Nome: RIO PARDO DE MINAS
Codigo Estacao: A551
Latitude: -15.72305554
Longitude: -42.43583333
Altitude: 850.06
Situacao: Operante
Data Inicial: 2007-11-16
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-11-30;9;null;null;null;null;null;
2007-12-31;13;99,4;917,946102;22,598118;10,1;2,711962;
2008-01-31;10;72,4;918,083386;22,390001;7,6;2,63023;
2008-02-29;13;81,2;918,471925;22,607887;8,9;2,247184;
2008-03-31;14;98,4;918,493671;22,049515;6,7;2,155797;
2008-04-30;7;82;918,160278;21,664861;6,9;1,738889;
2008-05-31;1;,2;920,974861;19,181667;5,8;1,630833;
2008-06-30;4;2,8;923,054687;18,125211;6,3;2,196124;
2008-07-31;3;2;924,225269;16,778629;6,9;2,315591;
2008-08-31;0;0;921,984122;19,463739;6,6;2,674357;
2008-09-30;3;7;921,428194;21,324167;6;2,741389;
2008-10-31;3;4;920,503764;23,360349;7,3;3,110753;
2008-11-30;22;229;917,936389;22,436806;6,6;2,236389;
2008-12-31;21;188,2;917,587231;21,814516;6,2;2,211425;
2009-01-31;17;173,4;918,709379;22,485274;6,9;2,241632;
2009-02-28;6;62;918,516369;23,041071;6,8;2,342857;
2009-03-31;7;15,4;917,665995;23,580107;7,2;1,975269;
2009-04-30;17;101,8;919,69;21,371111;6,6;2,148889;
2009-05-31;11;23,6;921,323656;18,997581;7;2,177285;
2009-06-30;4;1,6;922,533889;19,189861;7,2;2,164861;
2009-07-31;6;8,4;922,925584;19,020296;6,8;2,415895;
2009-08-31;10;8;922,726747;19,759812;7,9;2,989651;
2009-09-30;4;16,4;921,131528;22,763333;7,4;2,942778;
2009-10-31;12;209;917,950618;22,844915;7,4;2,566398;
2009-11-30;4;91,8;918,107361;23,147222;7,6;2,545972;
2009-12-31;16;144,6;918,496102;22,92285;7,5;2,397715;
2010-01-31;8;49,4;919,172288;23,695429;7,6;2,651192;
2010-02-28;16;192,4;919,151786;23,847917;13,3;2,9125;
2010-03-31;18;274,6;918,671371;22,972043;7,4;2,212097;
2010-04-30;6;41,8;920,146389;21,16625;6,9;2,341667;
2010-05-31;4;15,6;920,400403;20,746505;5,7;1,913844;
2010-06-30;5;2;923,758267;17,816999;7,9;2,314414;
2010-07-31;4;1,2;924,250403;18,260887;8,7;3,29543;
2010-08-31;0;0;923,722312;18,625269;8,8;3,191263;
2010-09-30;4;4,2;921,798056;20,773056;9,2;3,567639;
2010-10-31;10;51,2;918,675538;23,370968;8,2;2,916532;
2010-11-30;20;298,2;917,513472;22,022083;8,2;2,413194;
2010-12-31;16;194;916,112231;22,493548;6,3;2,077419;
2011-01-31;10;82,4;917,738978;22,275672;6;2,236425;
2011-02-28;5;53,6;918,390476;23,053423;8,1;2,209673;
2011-03-31;15;215,2;917,764589;22,176856;8;1,627798;
2011-04-30;15;70,4;919,968333;21,181528;7;2,006944;
2011-05-31;6;8,4;921,149186;18,887069;5,7;1,587381;
2011-06-30;2;,4;922,256159;18,244469;6,3;1,43224;
2011-07-31;4;3,8;922,901922;18,086312;6,8;1,893839;
2011-08-31;3;3,8;922,551016;19,769795;8,1;2,196382;
2011-09-30;0;0;923,123056;19,885175;7,3;2,714469;
2011-10-31;4;null;null;21,639908;6,3;null;
2011-11-30;6;null;null;null;7;null;
2011-12-31;11;64,8;918,197897;21,930716;7,2;1,899407;
2012-01-31;8;90,6;919,128444;21,906505;6,2;2,291725;
2012-02-29;6;10;919,343518;22,357253;6,7;2,518827;
2012-03-31;5;5;919,409005;22,80793;7,2;2,192204;
2012-04-30;1;1,2;919,334167;22,949028;8;2,058333;
2012-05-31;3;null;null;null;null;null;
2012-06-30;1;null;null;null;null;null;
2012-07-31;1;,8;923,174866;19,062634;7,7;2,32164;
2012-08-31;7;3,8;924,964785;18,450556;8;3,026402;
2012-09-30;2;1;922,761528;21,465833;7,1;2,672917;
2012-10-31;2;,4;919,881317;22,931989;6,9;3,185484;
2012-11-30;23;306,2;917,826574;21,695152;6,2;1,751762;
2012-12-31;2;66,2;917,964919;23,774194;6,1;2,134946;
2013-01-31;11;82,2;918,764919;23,215323;6,4;2,200269;
2013-02-28;3;,8;919,046726;23,434077;9,2;2,560565;
2013-03-31;9;45,2;919,0225;23,846983;8,9;2,207056;
2013-04-30;7;118,6;920,392917;21,526806;6;1,415278;
2013-05-31;7;5,6;921,203629;20,482527;5,5;,721505;
2013-06-30;3;10,2;922,528485;19,627879;5,8;,49375;
2013-07-31;4;2,8;923,539583;18,818333;7;2,299167;
2013-08-31;4;1,6;922,892608;19,540457;6,4;2,870833;
2013-09-30;7;6,2;921,860972;21,382361;8,5;3,21375;
2013-10-31;10;63,6;920,542876;21,617608;7,6;2,977016;
2013-11-30;12;227,2;918,348195;22,296389;7,2;2,854583;
2013-12-31;22;298,2;917,300538;21,966264;7,1;1,926747;
2014-01-31;7;36;920,168414;22,334543;6,8;2,678091;
2014-02-28;4;24,8;919,427232;22,566816;7;2,883333;
2014-03-31;10;94,8;919,739516;22,252151;6,4;2,320296;
2014-04-30;5;18;920,051667;21,993611;8;1,959028;
