Nome: SALINAS
Codigo Estacao: A552
Latitude: -16.16027777
Longitude: -42.31027777
Altitude: 487.14
Situacao: Operante
Data Inicial: 2007-09-13
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-09-30;1;null;null;23,366422;6,7;null;
2007-10-31;0;0;958,579915;25,831872;5,9;2,247616;
2007-11-30;10;null;955,548175;26,445652;7,7;2,079766;
2007-12-31;16;128,8;956,50672;24,652285;5,3;1,198253;
2008-01-31;13;79,6;956,700538;24,246505;7,9;1,235484;
2008-02-29;11;83;957,040179;24,213244;6;1,050893;
2008-03-31;11;34,8;957,035589;24,626519;7,2;1,219256;
2008-04-30;11;95,4;956,678056;23,843056;5,1;,791389;
2008-05-31;null;0;960,011111;21,2275;4,6;,809028;
2008-06-30;2;,6;962,382361;20,542083;5,3;1,131111;
2008-07-31;1;,2;963,849328;18,985753;5,5;1,23078;
2008-08-31;2;,4;961,169624;21,963978;7,3;1,470565;
2008-09-30;4;21,6;960,448056;23,801528;8;1,735694;
2008-10-31;2;2;959,188172;26,483064;6,7;2,138307;
2008-11-30;20;362,2;956,532361;25,033472;5,6;1,503611;
2008-12-31;21;207,2;956,246774;23,773253;5,8;1,219086;
2009-01-31;16;121;957,336027;24,404915;7,3;1,102378;
2009-02-28;2;15,8;957,10506;24,991072;7;1,039583;
2009-03-31;8;65,4;956,075941;25,107527;6,5;,896102;
2009-04-30;18;201,4;958,528333;23,21875;5,8;,966806;
2009-05-31;14;27,2;960,583871;20,368011;5;,686559;
2009-06-30;5;2,8;961,822083;20,341111;4,9;,78875;
2009-07-31;5;1;962,225134;20,086828;5,2;,92043;
2009-08-31;6;8,8;962,019624;21,913038;5,6;1,524194;
2009-09-30;2;5,6;959,912222;25,098056;8,8;1,561667;
2009-10-31;11;215,6;956,532902;25,184339;6,5;1,367098;
2009-11-30;9;47,8;956,725833;24,243611;7,5;1,0775;
2009-12-31;16;84;957,024866;24,462903;7,7;1,096237;
2010-01-31;8;35,8;957,660522;25,575555;8,7;1,219393;
2010-02-28;9;101,6;957,678125;25,999851;10,7;1,26622;
2010-03-31;18;278;957,22261;24,492134;7,4;,811343;
2010-04-30;11;109,8;959,027361;22,824167;4,8;,744583;
2010-05-31;9;27,8;959,323656;22,164247;5,4;,483333;
2010-06-30;4;,8;963,276806;19,338889;4,9;,762222;
2010-07-31;5;4,2;963,838307;20,707124;5,3;1,10457;
2010-08-31;0;0;963,225403;20,453226;5,9;1,179704;
2010-09-30;0;0;960,930139;23,534444;7,7;1,630417;
2010-10-31;9;17,6;957,309005;26,019489;7,5;1,391532;
2010-11-30;19;276,4;956,166806;24,284167;7;,860417;
2010-12-31;11;null;954,46421;24,334271;7,2;,701092;
2011-01-31;null;null;null;null;4,8;null;
2011-02-28;null;null;null;null;3,9;null;
2011-03-31;null;null;null;null;7,5;null;
2011-04-30;17;34,8;958,8475;23,385833;6,7;,700556;
2011-05-31;3;3,6;960,277384;21,528717;4,1;,567204;
2011-06-30;0;0;961,510139;20,684028;5;,734583;
2011-07-31;3;5,2;962,254436;20,359274;5,9;,768952;
2011-08-31;2;,6;961,700941;22,308064;5,7;1,094489;
2011-09-30;0;0;962,444028;22,560972;5,5;1,090417;
2011-10-31;10;102,6;957,76828;24,152554;7,2;,989919;
2011-11-30;12;203,6;957,964028;22,9275;4,9;,666528;
2011-12-31;9;192,2;956,88965;23,851478;6,2;,388441;
2012-01-31;7;99;957,926841;23,781528;4,3;,149194;
2012-02-29;8;37,8;957,938218;25,064224;4,8;,237931;
2012-03-31;5;32;958,072627;25,352209;8,1;,343817;
2012-04-30;2;3,2;957,937639;25,519722;5,6;,413333;
2012-05-31;11;76,6;960,990323;22,335887;5,5;,473387;
2012-06-30;null;0;961,928254;22,14181;5,2;,509742;
2012-07-31;2;2,2;962,519571;21,32074;5,7;,929056;
2012-08-31;6;4,6;964,612346;21,398194;6,6;1,163633;
2012-09-30;2;6,6;961,846528;24,634028;5,4;1,521806;
2012-10-31;4;14,8;958,675538;26,205108;8,6;1,975941;
2012-11-30;22;272;956,423308;24,111477;6,9;,99803;
2012-12-31;4;55,4;956,417204;25,51707;4,3;1,240054;
2013-01-31;15;160,4;957,304845;25,66669;7,9;1,509327;
2013-02-28;2;53,2;957,654684;25,532208;6,1;1,386834;
2013-03-31;10;82,6;957,589194;26,54727;7;1,544556;
2013-04-30;9;36,6;959,209861;24,513611;5,8;1,250695;
2013-05-31;3;27,6;960,176747;23,186425;5,4;1,230914;
2013-06-30;4;11,8;961,666667;22,608876;6;1,224028;
2013-07-31;1;,2;962,95575;21,929283;5,1;1,48698;
2013-08-31;3;12,6;962,18629;22,838312;7,3;1,817526;
2013-09-30;3;2,2;960,954505;24,760211;5,9;2,207983;
2013-10-31;8;38,2;959,501613;25,077823;6,5;2,091667;
2013-11-30;12;221,6;957,075556;25,53875;5,9;1,900139;
2013-12-31;23;354,2;955,772043;23,970833;6,8;1,193145;
2014-01-31;8;44,2;958,974632;25,64058;6,4;1,270144;
2014-02-28;4;49,2;958,105804;26,254315;6,5;1,457589;
2014-03-31;5;null;null;24,946667;5,7;null;
2014-04-30;6;11,6;958,657128;25,770365;5,5;1,213125;
2014-05-31;3;15,2;960,047312;24,118683;4,8;1,305914;
2014-06-30;6;13,8;962,282917;22,811806;6,2;1,321528;
2014-07-31;6;4,4;964,566667;21,799597;5,4;1,64086;
2014-08-31;1;,2;963,087635;21,878091;5,2;1,490591;
2014-09-30;1;,6;960,927361;24,606667;6,4;2,126806;
2014-10-31;5;74,2;959,975818;25,703658;6,3;2,362997;
2014-11-30;10;213,8;957,564445;24,929444;5,4;1,573472;
2014-12-31;16;239,4;958,216398;24,625;5,9;1,180511;
2015-01-31;5;10,4;958,852016;26,235618;5,5;1,223656;
2015-02-28;9;97,2;958,551488;25,859822;6,2;1,350149;
2015-03-31;4;56,2;957,986898;26,591275;5,1;1,296885;
2015-04-30;5;28,2;958,65125;25,747222;5,6;1,221111;
2015-05-31;7;29,4;961,36922;23,860215;4,5;1,377688;
2015-06-30;4;2,6;963,715;22,570556;5,6;1,598194;
2015-07-31;3;10;963,408065;22,914785;5;1,405242;
2015-08-31;4;5,4;962,887231;22,660349;4,8;1,712231;
2015-09-30;0;0;959,200417;26,972083;6,1;1,979722;
2015-10-31;2;55,2;958,997341;27,901964;7,5;2,245728;
2015-11-30;11;92,2;956,320417;27,847361;8,1;1,692917;
2015-12-31;8;109;958,176882;27,838844;13,5;1,546505;
2016-01-31;23;340;957,086904;26,195465;8,4;1,460198;
2016-02-29;5;5,2;958,709339;26,436782;4,9;1,009195;
2016-03-31;4;8,2;959,2;27,393011;4,7;1,201344;
2016-04-30;0;0;959,144722;27,065217;5,8;1,248158;
2016-05-31;3;4;961,364247;24,256989;4,7;1,124059;
2016-06-30;2;12,4;963,054028;22,828889;4,7;1,2975;
2016-07-31;4;2,2;963,114247;22,934812;4,8;1,507661;
2016-08-31;2;6;962,002285;25,184543;5,1;1,700672;
2016-09-30;2;51,2;960,858472;26,346667;5,6;1,769306;
2016-10-31;7;51,4;958,412687;27,278185;5,8;1,920827;
2016-11-30;7;null;957,840488;26,317769;6,3;1,902309;
2016-12-31;9;null;957,974276;24,854466;7,4;1,208423;
2017-01-31;5;107,2;957,833321;26,79891;6;1,318064;
2017-02-28;2;null;958,153896;null;6;1,302447;
2017-03-31;4;42,8;957,842608;25,821371;6,4;1,355645;
2017-04-30;2;44,2;959,343611;24,6775;4,8;1,276945;
2017-05-31;5;4,2;960,789382;23,07043;4,4;1,307661;
2017-06-30;3;3;962,745556;22,249028;5,4;1,422083;
2017-07-31;6;9,4;966,569624;20,201882;5,6;1,918145;
2017-08-31;0;0;962,516398;21,380645;5,2;1,454301;
2017-09-30;0;0;963,590417;23,846806;6,1;2,387361;
2017-10-31;0;0;958,855002;26,747838;7,5;2,356931;
2017-11-30;15;182,2;957,1175;24,832361;6,9;1,630694;
2017-12-31;16;224,2;956,836828;24,222177;8,8;1,173118;
2018-01-31;11;125,4;957,554839;25,364516;9,4;1,337366;
2018-02-28;15;315,2;957,129911;24,39122;6,4;1,083929;
2018-03-31;13;57;957,218011;24,461962;6,9;,979973;
2018-04-30;6;5,6;960,12875;23,735417;4,9;1,331111;
2018-05-31;7;29,8;961,680645;22,542473;6,1;1,255645;
2018-06-30;4;7,8;963,135;21,580972;5,4;1,129306;
2018-07-31;1;,6;963,175397;21,13996;4,6;1,169162;
2018-08-31;1;7,6;962,25578;24,100538;5,4;1,594758;
