Nome: CARATINGA
Codigo Estacao: A554
Latitude: -19.73583333
Longitude: -42.13722221
Altitude: 609.25
Situacao: Pane
Data Inicial: 2007-05-23
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-05-31;1;null;null;null;null;null;
2007-06-30;6;2,2;950,273045;18,165886;5,2;1,25426;
2007-07-31;6;1,8;949,851197;18,60303;5,3;1,400037;
2007-08-31;4;3,6;951,138644;19,350754;6,1;1,975524;
2007-09-30;3;25,6;950,602222;20,718194;6,6;2,178194;
2007-10-31;6;49,6;946,438102;23,266585;7,2;2,315358;
2007-11-30;9;null;943,363817;23,716611;6,3;1,719593;
2007-12-31;15;167,8;943,830107;23,773253;6,8;1,701479;
2008-01-31;15;172,2;944,172312;22,816935;6,3;1,666129;
2008-02-29;12;155,6;944,4275;23,391815;5,6;1,41931;
2008-03-31;16;172,8;944,514785;23,054973;5,6;1,46828;
2008-04-30;14;97,4;944,098056;22,454444;6,2;1,045556;
2008-05-31;10;8,8;947,522361;19,352361;5,3;1,036944;
2008-06-30;2;19,2;949,819216;18,429075;5,2;1,142154;
2008-07-31;2;2;951,295161;17,544355;5,6;1,337231;
2008-08-31;2;21,2;948,748983;20,37382;5,8;1,680429;
2008-09-30;5;30,8;948,183194;20,569167;6,8;1,86375;
2008-10-31;3;33;947,205242;23,468145;5,7;2,050941;
2008-11-30;23;249;944,36875;22,3675;6,2;1,788889;
2008-12-31;17;263,4;943,414785;22,501479;5,5;1,665054;
2009-01-31;22;260,6;944,629237;23,365486;5,6;1,602279;
2009-02-28;6;87,6;944,805655;24,205357;6,3;1,761905;
2009-03-31;13;150,2;943,70914;23,868011;5,6;1,230645;
2009-04-30;12;84;945,9625;21,659167;3,9;,962778;
2009-05-31;21;32,8;947,839382;19,424328;4,4;,929839;
2009-06-30;15;35;949,096111;18,329028;4,4;1,044861;
2009-07-31;17;5,2;949,516801;18,910081;4,6;1,174194;
2009-08-31;7;10;949,727822;19,778764;5,8;1,634005;
2009-09-30;9;159,6;947,591667;22,237222;5;1,572639;
2009-10-31;16;150,8;944,279454;22,502299;6,4;1,414799;
2009-11-30;8;71,4;943,933611;23,655972;7,5;1,515556;
2009-12-31;16;347,8;943,950134;23,439247;6,1;1,483737;
2010-01-31;4;85,4;945,49472;24,935833;4,7;1,703879;
2010-02-28;5;50,4;945,553274;25,465625;7,2;1,605357;
2010-03-31;22;241,8;944,355914;23,982153;4,7;1,193174;
2010-04-30;18;65;946,689583;21,707917;4,6;1,191667;
2010-05-31;24;36,2;946,891801;19,599731;3,8;,956048;
2010-06-30;18;5,2;950,896389;16,970556;4,5;,919861;
2010-07-31;8;3,2;951,665945;18,928665;4,4;1,049357;
2010-08-31;1;5,8;950,736999;19,44017;5,1;1,36361;
2010-09-30;3;8,2;948,780302;22,219341;6;1,801873;
2010-10-31;11;111;945,212097;23,109677;7,3;1,293548;
2010-11-30;20;217,4;943,379722;23,842222;4,8;1,100556;
2010-12-31;18;549,6;941,352957;25,484812;8,8;1,103091;
2011-01-31;10;165,8;943,614919;25,895968;5,1;1,431989;
2011-02-28;3;33,6;944,610119;26,623958;5,7;1,360417;
2011-03-31;22;291,8;943,720577;24,654728;6,4;,754224;
2011-04-30;15;74;946,635694;23,930139;4,8;,878889;
2011-05-31;21;12;947,892742;20,658333;4,3;,656586;
2011-06-30;14;14;948,87875;19,876528;4,3;,7275;
2011-07-31;17;4,2;949,866935;19,74086;6,3;,88414;
2011-08-31;6;1,2;949,080376;22,534005;4,9;1,27957;
2011-09-30;5;11,4;950,235507;22,14564;6;1,722512;
2011-10-31;13;131,6;945,605376;23,158333;5,7;1,564919;
2011-11-30;14;299,2;945,424861;23,036944;5,6;1,575556;
2011-12-31;19;388,6;943,999866;24,309677;6,2;1,248521;
2012-01-31;14;239,6;945,284543;24,569758;5,7;1,56371;
2012-02-29;5;19,4;945,804154;25,627686;5,6;1,749275;
2012-03-31;12;132;945,976531;24,690813;5;1,118712;
2012-04-30;13;51,8;945,960139;24,078611;5,3;,909722;
2012-05-31;21;119,2;948,818145;21,250134;4,3;,729301;
