Nome: OLIVEIRA
Codigo Estacao: A570
Latitude: -20.715
Longitude: -44.86444444
Altitude: 1025
Situacao: Operante
Data Inicial: 2017-10-18
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-10-31;null;null;null;null;null;null;
2017-11-30;null;null;null;null;null;null;
2017-12-31;23;307,8;900,033199;21,679167;7,1;null;
2018-01-31;19;263;901,169472;22,202361;null;null;
2018-02-28;14;94;900,650589;21,733819;7,1;null;
2018-03-31;15;192,4;900,892339;22,516532;6,7;2,321909;
2018-04-30;8;37,6;904,113333;19,985139;6,6;2,592361;
2018-05-31;4;39,6;905,166532;18,138306;6,4;null;
2018-06-30;4;22,6;906,039583;18,37625;null;null;
2018-07-31;1;,4;905,926344;18,152419;null;null;
2018-08-31;10;106,2;905,470027;18,048656;6,9;null;
2018-09-30;10;50,6;902,383333;20,171528;null;null;
2018-10-31;17;238,6;901,375403;21,342608;null;null;
2018-11-30;22;245,4;901,581389;20,608333;7,4;null;
2018-12-31;18;248,4;901,45845;21,992637;7,3;2,557774;
2019-01-31;10;114,2;903,315591;23,700403;6,7;2,348679;
2019-02-28;19;294,2;901,390923;22,50372;null;null;
2019-03-31;19;145,6;902,714913;21,702378;7,7;null;
2019-04-30;13;108,4;902,339028;21,3825;5,4;null;
2019-05-31;5;25,8;903,33414;20,078763;null;null;
2019-06-30;1;10,2;906,878611;17,942778;7,8;2,359378;
2019-07-31;1;,6;906,120179;16,974386;8,3;2,601216;
2019-08-31;3;1,8;907,129167;18,550672;7,9;3,02358;
2019-09-30;4;50,4;903,884583;22,321667;8;2,934861;
2019-10-31;11;99,8;901,963844;22,275941;null;null;
2019-11-30;22;266,4;900,554306;21,399583;null;null;
2019-12-31;17;210,2;901,059812;21,992339;null;null;
2020-01-31;20;325,4;900,070968;22,244893;7,7;2,346046;
2020-02-29;22;410,8;901,847701;21,659339;6,3;null;
2020-03-31;11;87;902,30578;20,893011;8,8;2,611641;
2020-04-30;9;26,2;903,541806;20,060417;6,2;2,656575;
2020-05-31;6;32,2;904,712231;17,238306;null;null;
2020-06-30;1;,2;905,932639;18,314583;null;null;
2020-07-31;0;0;905,6125;18,529436;null;null;
2020-08-31;2;14,8;905,813844;18,111828;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;5;null;null;null;null;null;
2020-11-30;17;148,2;901,251111;21,347361;null;null;
2020-12-31;21;277,4;900,86922;21,919355;6,8;2,304545;
2021-01-31;16;106;901,282258;22,577823;6,7;2,413085;
2021-02-28;24;423;900,116369;21,139583;8,8;2,452776;
2021-03-31;9;108;901,645833;22,05121;8,1;2,233807;
2021-04-30;6;21,4;902,615278;19,74625;6,3;2,644197;
2021-05-31;3;9;904,09422;18,883333;9,2;2,331767;
2021-06-30;5;36,8;905,025278;17,392361;6,4;2,482784;
2021-07-31;0;0;906,65336;16,241801;8;3,038277;
2021-08-31;2;1,8;906,013441;18,925;7,1;2,917876;
2021-09-30;4;18,8;903,17125;22,953472;10,1;3,09718;
2021-10-31;16;271,2;901,760618;20,675134;11,8;3,187255;
2021-11-30;14;185,6;899,845694;20,990972;6,6;3,10129;
2021-12-31;17;308,8;899,376075;20,743683;11,1;2,877885;
2022-01-31;23;471,2;900,679435;21,507796;7,9;2,733601;
2022-02-28;24;327,6;901,013988;21,189881;8,8;2,248484;
2022-03-31;6;43,8;901,913306;22,792876;6,5;2,36397;
2022-04-30;8;64,4;902,467778;21,157917;6,2;2,567778;
2022-05-31;3;18,2;904,079973;17,47043;7,9;2,604167;
2022-06-30;2;3,6;904,409583;17,474167;7,1;2,306389;
2022-07-31;0;0;905,956855;18,213979;7,7;2,536559;
2022-08-31;2;9;905,231048;18,148253;8,4;3,157602;
2022-09-30;7;108,4;903,277084;19,847917;8,5;3,224438;
2022-10-31;14;93,2;902,11828;21,841801;6,9;2,847516;
2022-11-30;13;127,4;900,714306;19,737361;7;3,046757;
2022-12-31;22;336,4;899,82957;20,496371;7,5;2,671253;
2023-01-31;28;543,8;901,09422;21,000134;7,9;2,555189;
2023-02-28;14;null;null;22,433283;9;null;
2023-03-31;10;107,8;902,782124;22,22957;9,9;2,431049;
2023-04-30;12;98,6;902,153056;20,182222;7,4;2,689826;
2023-05-31;2;2,2;904,502016;18,091398;6,9;2,686881;
2023-06-30;4;23;906,3325;17,259444;6,5;2,177778;
2023-07-31;2;5,8;906,337903;17,781183;8,9;2,634321;
2023-08-31;7;35;904,221102;19,77164;8,4;2,63968;
2023-09-30;7;14,2;903,321528;22,947361;7,9;2,773635;
2023-10-31;9;null;null;null;null;null;

