Nome: DUQUE DE CAXIAS - XEREM
Codigo Estacao: A603
Latitude: -22.58972221
Longitude: -43.28222221
Altitude: 22
Situacao: Operante
Data Inicial: 2002-10-20
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2002-10-31;null;null;null;null;null;null;
2002-11-30;7;null;null;26,709006;,2;null;
2002-12-31;16;null;1008,954409;26,142487;,2;,016616;
2003-01-31;15;null;1008,114421;26,142232;,3;,01489;
2003-02-28;4;null;1009,745069;27,66299;,4;,091857;
2003-03-31;13;null;1011,095687;24,954517;3,8;,202499;
2003-04-30;15;133,2;1013,026994;24,086753;3,7;,818957;
2003-05-31;28;131,8;1014,953709;20,909685;3,8;,782104;
2003-06-30;18;23,6;1015,113039;21,133358;5,1;,78087;
2003-07-31;23;56,8;1018,163786;19,488406;4,8;,821655;
2003-08-31;21;206;1017,570068;19,498711;5,2;,960774;
2003-09-30;19;null;1016,457073;21,042094;5,9;1,098152;
2003-10-31;null;null;null;null;null;null;
2003-11-30;null;null;null;null;null;null;
2003-12-31;null;null;null;null;null;null;
2004-01-31;null;null;null;null;null;null;
2004-02-29;null;null;null;null;null;null;
2004-03-31;null;null;null;null;null;null;
2004-04-30;null;null;null;null;null;null;
2004-05-31;null;null;null;null;null;null;
2004-06-30;null;null;null;null;null;null;
2004-07-31;null;null;null;null;null;null;
2004-08-31;null;null;null;null;null;null;
2004-09-30;null;null;null;null;null;null;
2004-10-31;null;null;null;null;null;null;
2004-11-30;17;null;1010,066369;23,598899;5,2;1,119485;
2004-12-31;16;null;1009,444816;24,418373;5,9;,925281;
2005-01-31;21;465,8;1007,940784;25,735922;6;,95592;
2005-02-28;19;252,8;1009,388943;24,577692;6,4;,883741;
2005-03-31;20;234,6;1010,466538;25,51873;5,8;,936571;
