Nome: NITEROI
Codigo Estacao: A605
Latitude: -22.90643
Longitude: -43.133437
Altitude: 10.58
Situacao: Desativada
Data Inicial: 2002-12-12
Data Final: 2009-07-16
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2002-12-31;null;null;null;null;null;null;
2003-01-31;4;null;null;null;null;null;
2003-02-28;2;2;1011,890934;28,288228;8;1,823948;
2003-03-31;11;235;1012,806951;26,850858;8,4;1,79999;
2003-04-30;6;86,8;1014,91655;25,965024;7,8;1,888463;
2003-05-31;8;48,2;1016,77485;23,399899;11,1;1,772692;
2003-06-30;3;31,4;1016,966669;23,521582;7,6;1,802818;
2003-07-31;7;null;null;21,930408;8,5;null;
2003-08-31;null;null;null;null;null;null;
2003-09-30;4;null;null;23,827651;8,4;null;
2003-10-31;11;166,2;1014,857363;25,112733;10,8;1,891344;
2003-11-30;7;null;null;null;9,7;null;
2003-12-31;null;null;null;null;null;null;
2004-01-31;null;null;null;null;null;null;
2004-02-29;null;null;null;null;null;null;
2004-03-31;null;null;null;null;null;null;
2004-04-30;2;null;null;null;null;null;
2004-05-31;null;null;null;null;null;null;
2004-06-30;null;null;null;null;null;null;
2004-07-31;null;null;null;null;null;null;
2004-08-31;null;null;null;null;null;null;
2004-09-30;null;null;null;null;null;null;
2004-10-31;null;null;null;null;null;null;
2004-11-30;null;null;null;null;null;null;
2004-12-31;null;null;null;null;null;null;
2005-01-31;null;null;null;null;null;null;
2005-02-28;null;null;null;null;null;null;
2005-03-31;null;null;null;null;null;null;
2005-04-30;null;null;null;null;null;null;
2005-05-31;null;null;null;null;null;null;
2005-06-30;null;null;null;null;null;null;
2005-07-31;null;null;null;null;null;null;
2005-08-31;null;null;null;null;null;null;
2005-09-30;null;null;null;null;null;null;
2005-10-31;5;null;null;24,287959;14,3;null;
2005-11-30;4;null;null;null;7,5;null;
2005-12-31;5;null;null;24,26873;9;null;
2006-01-31;1;null;null;null;null;null;
2006-02-28;null;null;null;null;null;null;
2006-03-31;null;null;null;null;null;null;
2006-04-30;null;null;null;null;null;null;
2006-05-31;null;null;null;null;null;null;
2006-06-30;3;null;null;null;7,5;null;
2006-07-31;null;null;null;null;6,6;null;
2006-08-31;null;null;null;null;null;null;
2006-09-30;null;null;null;null;null;null;
2006-10-31;1;null;null;null;null;null;
2006-11-30;19;125,8;1012,135103;23,380073;7,2;2,081116;
2006-12-31;9;108;1012,068181;25,022192;12,3;2,130939;
2007-01-31;19;102,6;1010,416667;24,78078;7,4;1,525134;
2007-02-28;4;92,6;1011,633916;26,103656;6,7;1,861141;
2007-03-31;5;20,2;1012,662775;26,09647;6,5;1,773539;
2007-04-30;4;null;1014,754529;25,323413;11,3;1,765579;
2007-05-31;15;107;1016,465499;21,963607;10,7;1,847064;
2007-06-30;13;39;1017,688363;21,461914;9,1;1,6359;
2007-07-31;9;68,6;1018,066239;20,917583;10,7;1,946151;
2007-08-31;7;14;1019,587862;21,116801;10,1;1,783912;
2007-09-30;4;13,2;1018,787917;22,077222;7,7;2,072778;
2007-10-31;9;168,8;1014,178652;22,153471;9,7;2,194197;
2007-11-30;11;null;1011,212145;23,61574;9,7;2,206243;
2007-12-31;11;178;1010,566263;25,162231;9;2,109946;
2008-01-31;18;149,6;1011,343683;24,672043;12,2;1,80578;
2008-02-29;17;132,2;1011,385718;24,374851;7,4;1,625402;
2008-03-31;15;180,6;1011,786339;23,989694;8,3;1,781072;
2008-04-30;15;130;1011,631528;23,582917;9,2;1,648611;
2008-05-31;9;102,8;1016,160338;21,7473;9;1,689732;
2008-06-30;10;68,2;1018,224671;20,83123;9,6;1,398036;
2008-07-31;8;58,4;1019,999059;20,295564;8,4;1,475672;
2008-08-31;19;31,4;1016,628898;21,968011;8,9;1,935753;
2008-09-30;18;65,6;1017,285833;19,514167;8;2,034583;
2008-10-31;11;62;1015,49664;20,824194;8,3;2,165054;
2008-11-30;22;183,2;1013,254722;20,738611;8,8;1,998056;
2008-12-31;16;151,2;1010,830242;21,492473;7,1;1,782258;
2009-01-31;21;206,8;1011,176251;23,492777;9;1,764727;
2009-02-28;8;74,2;1011,058293;25,231399;8,7;1,805533;
2009-03-31;11;89,4;1011,189516;24,741935;6,8;1,711962;
2009-04-30;13;85,8;1014,658333;22,708611;6,4;1,521111;
2009-05-31;10;31,4;1015,708468;22,321371;7,6;1,514382;
2009-06-30;7;75,8;1017,9475;20,152222;7,5;1,859028;
2009-07-31;5;null;null;20,692708;8,7;null;

