Nome: PICO DO COUTO
Codigo Estacao: A610
Latitude: -22.46472222
Longitude: -43.29138888
Altitude: 1777
Situacao: Operante
Data Inicial: 2006-10-21
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-10-31;2;null;null;null;null;null;
2006-11-30;26;389,4;825,262456;13,905115;13,8;5,705629;
2006-12-31;27;265,8;826,143821;15,252252;12,1;5,137636;
2007-01-31;31;669,4;825,146774;15,696909;14,4;6,010484;
2007-02-28;19;112,2;826,512649;15,89003;14,6;4,683333;
2007-03-31;18;86,8;827,861155;16,703116;12;3,981782;
2007-04-30;24;227,4;828,194306;14,875417;14,4;3,884076;
2007-05-31;27;156,2;827,509356;11,232337;13,7;5,348165;
2007-06-30;16;17,4;829,150658;12,452258;13,3;5,162289;
2007-07-31;15;83,6;828,463149;11,222885;14,9;6,041481;
2007-08-31;9;7,8;830,115083;12,542543;14,6;4,629237;
2007-09-30;8;63,6;830,167083;13,325694;12,8;4,514306;
2007-10-31;14;89,4;827,187105;14,891342;10,4;3,809974;
2007-11-30;8;null;825,080302;null;13,9;5,256202;
2007-12-31;12;null;825,392137;16,138334;13,5;4,734594;
2008-01-31;11;null;825,359501;15,306617;11,5;4,5505;
2008-02-29;4;null;null;null;12,4;null;
2008-03-31;18;null;825,751408;15,055229;12,6;4,657746;
2008-04-30;22;214,2;825,548889;14,809028;12,1;4,219722;
2008-05-31;13;117;827,399492;11,787202;11,5;4,390381;
2008-06-30;20;44;828,791899;11,293777;11,1;4,69896;
2008-07-31;8;23,8;830,150806;11,495161;11,2;3,898925;
2008-08-31;15;83,6;828,272177;12,7;12,4;5,006855;
2008-09-30;21;72;827,807222;11,998611;14,6;4,890972;
2008-10-31;22;164,4;828,075269;14,585081;12;4,871909;
2008-11-30;27;433,4;825,568472;13,484861;12,3;4,339583;
2008-12-31;29;304,4;824,294893;14,354301;11,8;4,334274;
2009-01-31;29;444,2;825,751192;15,61655;11,4;null;
2009-02-28;18;256,2;826,420706;16,650617;13,7;4,527564;
2009-03-31;24;127,6;825,92379;16,173253;10,2;3,925269;
2009-04-30;21;161;827,143889;13,45625;11,7;4,070556;
2009-05-31;25;56,8;827,621774;12,302285;11;4,402957;
2009-06-30;21;50,6;827,956389;10,311806;11,1;4,394028;
2009-07-31;23;85,2;828,492204;11,833065;14,3;5,346774;
2009-08-31;10;null;828,542572;12,183523;12,6;6,00044;
2009-09-30;null;null;null;null;null;null;
2009-10-31;1;null;null;null;null;null;
2009-11-30;21;358,8;825,274583;16,81875;12,5;4,987917;
2009-12-31;2;null;null;null;null;null;
2010-01-31;null;null;null;null;10,3;null;
2010-02-28;null;null;null;null;null;null;
2010-03-31;3;null;null;null;null;null;
2010-04-30;20;374,2;827,662778;13,822361;13,6;4,5725;
2010-05-31;17;141;826,793414;12,265054;12,5;5,00578;
2010-06-30;15;119;829,47375;10,936945;13,7;4,994861;
2010-07-31;16;62,4;830,565457;11,921102;15,7;4,502285;
2010-08-31;11;29,2;829,602513;11,510998;12,3;4,427626;
2010-09-30;16;64,6;827,995139;13,158194;14,4;5,5925;
2010-10-31;23;276,6;825,467204;13,081586;13,9;4,861425;
2010-11-30;26;364,6;824,014167;14,22875;12,8;5,011944;
2010-12-31;27;463,6;823,290591;16,422581;11,2;3,927688;
2011-01-31;23;252,4;824,536425;16,561828;15,9;5,808199;
2011-02-28;16;71,8;826,346131;17,15;10,2;3,758929;
2011-03-31;27;64,8;825,549232;15,199453;9,9;3,85607;
2011-04-30;20;39;827,470429;14,651869;12,4;4,116768;
2011-05-31;14;49,2;827,496909;11,152554;10,1;4,296237;
2011-06-30;6;3,8;827,52;10,3875;17,4;5,262361;
2011-07-31;4;3,4;828,582527;11,608065;14,8;4,488575;
2011-08-31;4;1,4;828,488172;13,243952;14;5,795027;
