Nome: SAO MATEUS
Codigo Estacao: A616
Latitude: -18.6761111
Longitude: -39.86416666
Altitude: 28.66
Situacao: Operante
Data Inicial: 2006-10-24
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-10-31;4;null;null;null;null;null;
2006-11-30;21;329,6;1008,811031;23,885397;7;2,9328;
2006-12-31;19;325,8;1009,421843;24,977724;7,2;2,836749;
2007-01-31;11;49,4;1008,34543;26,301479;7,2;2,944489;
2007-02-28;25;263,4;1009,365405;25,283941;6,3;2,208715;
2007-03-31;13;51,4;1010,282766;25,848066;5,9;2,068145;
2007-04-30;18;199,2;1010,650278;24,812361;5,7;2,015139;
2007-05-31;9;22,2;1012,334196;22,599227;8,2;2,288671;
2007-06-30;13;7,6;1015,059928;21,18558;5,6;1,734511;
2007-07-31;11;13,8;1015,006335;21,409631;10;2,406756;
2007-08-31;19;51;1016,593396;20,948855;7;2,099369;
2007-09-30;18;90,2;1016,250694;21,52;8,3;2,742083;
2007-10-31;11;62,4;1011,848323;23,399924;8,4;3,038371;
2007-11-30;8;98,6;1008,62;25,035694;8,1;3,479028;
2007-12-31;14;138,2;1008,201613;25,429301;null;null;
2008-01-31;13;137,4;1008,41586;25,039247;null;null;
2008-02-29;18;223;1008,32931;25,702443;null;null;
2008-03-31;17;133;1008,05463;25,644136;null;null;
2008-04-30;12;100,8;1007,74;25,633333;null;null;
2008-05-31;20;51,6;1011,820629;22,465001;null;null;
2008-06-30;16;29,8;1014,623293;21,614839;null;null;
2008-07-31;23;35;1016,544355;20,374597;6,3;2,400403;
2008-08-31;18;63,8;1014,107661;21,663306;7,3;2,312097;
2008-09-30;5;8;1013,642778;22,188194;7;3,059583;
2008-10-31;10;89,4;1012,338172;24,176747;7,2;3,440323;
2008-11-30;19;528,4;1008,715694;24,035;7,9;2,942778;
2008-12-31;17;148,6;1007,828226;24,614651;6,5;2,753091;
2009-01-31;17;195,6;1008,803378;25,699421;7,7;2,73684;
2009-02-28;16;45,6;1008,8625;26,451543;6,4;2,53412;
2009-03-31;10;129,8;1007,261156;26,311694;7,7;2,341398;
2009-04-30;13;150,8;1009,660695;24,845972;5,9;2,2225;
2009-05-31;16;11,2;1012,204704;22,701613;5,8;2,092607;
2009-06-30;11;43,8;1013,935833;21,687222;5,9;2,14875;
2009-07-31;22;35,2;1014,479032;21,947715;5,9;2,142204;
2009-08-31;19;42;1014,856048;21,962231;6,9;2,611962;
2009-09-30;8;12,8;1012,639722;24,005833;7,6;3,164861;
2009-10-31;14;289,2;1008,729048;24,403261;7,6;2,70972;
2009-11-30;6;111,2;1008,359444;25,583611;7,9;3,233333;
2009-12-31;9;30;1008,010215;26,579167;8,4;2,965726;
2010-01-31;7;13,4;1009,673061;27,246944;7,9;2,923867;
2010-02-28;12;37;1009,537649;27,080357;7,6;2,569643;
2010-03-31;14;270,2;1007,843145;26,623522;6,4;2,345699;
2010-04-30;17;135,4;1010,35108;24,577315;5,5;2,112346;
2010-05-31;null;null;null;null;5,6;null;
2010-06-30;1;null;null;null;6,3;null;
2010-07-31;29;98;1016,798118;21,286425;4,9;1,908065;
2010-08-31;19;9,6;1016,44247;20,618895;7;2,287458;
2010-09-30;14;32,2;1014,290694;22,264445;7;2,875556;
2010-10-31;9;145,4;1010,226479;23,355511;8;2,849597;
2010-11-30;15;175,8;1007,872639;24,24875;7,4;2,81375;
2010-12-31;15;109,4;1005,574866;25,783199;8,1;3,068011;
2011-01-31;12;73,2;1007,894758;25,941667;7,2;2,768011;
2011-02-28;16;61;1008,73015;26,26602;6;2,398622;
2011-03-31;21;203,2;1007,304141;25,53742;5,9;2,160658;
2011-04-30;24;239,8;1010,482778;24,560556;7,5;1,869444;
2011-05-31;10;37,8;1012,30578;22,240457;5,4;2,036156;
2011-06-30;15;40,8;1013,779583;21,295556;6,5;2,195139;
2011-07-31;19;96,6;1015,099462;20,590995;5,8;2,106317;
2011-08-31;14;29,4;1014,54612;21,360203;7,7;2,468256;
2011-09-30;13;18;1016,101724;21,003736;7,2;2,754454;
2011-10-31;24;219,6;1010,549059;23,001613;8,6;3,134677;
2011-11-30;20;244,4;1010,577778;22,844444;8;2,736528;
2011-12-31;22;161,4;1008,56922;24,685753;6,9;2,782796;
2012-01-31;22;129,8;1009,879032;25,278898;6,3;2,601075;
2012-02-29;19;104,6;1010,321983;25,326724;7,5;2,571983;
2012-03-31;8;44,2;1010,175403;25,451882;7,1;2,601882;
2012-04-30;15;43,2;1010,038889;25,0925;6,2;2,366667;
2012-05-31;15;43,2;1013,189074;22,712083;6,6;2,620545;
2012-06-30;12;17,4;1014,214306;22,778194;7,2;2,343194;
2012-07-31;17;106,8;1015,201344;21,346909;7,9;2,258333;
2012-08-31;25;216,2;1018,160637;21,321389;7,6;2,588217;
2012-09-30;13;34;1015,179167;22,225278;7,4;3,167778;
2012-10-31;14;24,4;1011,945968;23,53172;7,4;3,045699;
2012-11-30;23;262,6;1008,305278;24,266806;6,7;2,657917;
2012-12-31;6;16,8;1008,157661;26,258737;7,6;3,042876;
2013-01-31;15;159;1009,160484;25,977554;7,4;2,926747;
2013-02-28;9;20,4;1009,75878;26,150893;6,7;2,714435;
2013-03-31;8;18,6;1009,269056;26,500575;7,2;2,88425;
2013-04-30;13;116,6;1011,227083;24,125417;6,8;2,544722;
2013-05-31;10;52,2;1012,436694;22,813441;7;2,302554;
2013-06-30;15;21,2;1013,843889;22,531566;6,1;2,188725;
2013-07-31;17;80,6;1015,600538;21,754301;7,6;2,662769;
2013-08-31;19;63;1015,326344;21,315188;7,1;2,728763;
2013-09-30;13;78;1014,302639;22,198132;7;2,941893;
2013-10-31;16;92;1012,583871;22,788979;7,1;2,998656;
2013-11-30;19;252,8;1009,829583;24,23875;7,2;2,960694;
2013-12-31;18;243,4;1006,813172;25,261694;8,5;3,168011;
2014-01-31;18;63,8;1011,046774;25,60914;7;2,411559;
2014-02-28;17;71,6;1010,39747;25,669196;6,4;2,40506;
2014-03-31;21;93,4;1010,454839;25,429704;6,2;2,373118;
2014-04-30;13;79,6;1010,566389;24,665417;6,6;2,085833;
2014-05-31;13;16;1012,212366;23,19086;7,5;2,206183;
2014-06-30;10;null;null;22,207639;5,4;null;
2014-07-31;22;91,6;1017,49422;21,281452;7,3;2,274462;
2014-08-31;16;103,6;1016,101344;21,109005;7;2,476075;
2014-09-30;16;20,8;1014,344861;22,296945;7,4;2,936806;
2014-10-31;14;183,6;1013,390726;22,759005;8,4;3,246505;
2014-11-30;16;60,8;1009,890417;24,280972;7,3;3,089445;
2014-12-31;17;60,2;1010,223387;25,119892;7,7;2,902419;
2015-01-31;8;20,8;1011,137786;26,320097;7,5;3,208328;
2015-02-28;11;85,4;1010,181548;26,436905;7,6;2,775893;
2015-03-31;13;97,6;1009,624194;25,976882;7;2,441532;
2015-04-30;16;52,2;1010,377778;24,632917;6,8;2,267639;
2015-05-31;17;189,4;1013,536694;22,906317;6,3;2,340457;
2015-06-30;22;101,4;1016,103056;22,215694;7;2,312917;
2015-07-31;24;44,4;1016,204167;21,441129;6,3;1,850403;
2015-08-31;18;65,2;1016,023925;21,450403;7,1;2,10336;
2015-09-30;8;4,4;1012,197222;24,059861;7,5;3,2425;
2015-10-31;12;31,2;1012,200672;24,564516;7,5;3,256989;
2015-11-30;8;31,2;1008,205972;26,418889;7,6;3,244861;
2015-12-31;8;34,4;1010,369892;27,113441;8,2;3,381855;
2016-01-31;17;193,8;1008,426344;26,145968;7,7;2,868279;
