Nome: NOVA VENECIA
Codigo Estacao: A623
Latitude: -18.69527777
Longitude: -40.39055555
Altitude: 156.02
Situacao: Temporariamente Fechada
Data Inicial: 2008-06-21
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-06-30;2;null;null;null;null;null;
2008-07-31;7;29,8;1002,870161;20,495296;6,4;2,052419;
2008-08-31;7;20,4;1000,430108;22,008468;7,1;2,073387;
2008-09-30;4;22,8;999,924028;22,458472;6,5;2,549583;
2008-10-31;6;61,2;998,635887;24,625672;7,5;2,908871;
2008-11-30;24;268;995,179583;23,807639;7,3;2,436528;
2008-12-31;21;215,6;994,319489;24,149866;7,6;2,11129;
2009-01-31;17;303;995,301075;25,246102;6;2,096774;
2009-02-28;9;28,8;995,36503;26,245536;6,6;2,072619;
2009-03-31;10;116,6;993,850269;26,558602;6,5;1,927016;
2009-04-30;15;96,8;996,313889;24,327639;5,8;1,872361;
2009-05-31;10;9,6;998,729032;22,412097;6,3;1,813307;
2009-06-30;8;35,2;1000,353472;21,528333;5,8;1,866389;
2009-07-31;12;12,4;1000,864919;21,897446;5,8;1,857124;
2009-08-31;18;44,4;1001,222849;21,99328;6,6;2,313307;
2009-09-30;7;14;998,936389;24,383472;8,7;2,574583;
2009-10-31;10;311,4;995,119527;24,660449;8,2;2,29245;
2009-11-30;8;164;994,760211;25,732953;6,2;2,300894;
2009-12-31;14;110,2;994,500672;26,262769;6,7;2,164651;
2010-01-31;9;4,6;996,086713;27,307361;6,6;2,237615;
2010-02-28;11;65;996,084821;26,771726;6,7;2,046429;
2010-03-31;24;186;994,47621;26,32285;6,8;1,903763;
2010-04-30;17;141,6;997,042639;24,082222;8,2;1,913889;
2010-05-31;10;28;997,574731;23,012903;5,6;1,610753;
2010-06-30;9;4,6;1002,103611;20,792361;5,6;1,908472;
2010-07-31;21;74,4;1003,157392;21,079032;5,9;1,919355;
2010-08-31;7;3,8;1002,658117;20,765773;6,1;2,069425;
2010-09-30;7;17,8;1000,529028;22,501528;6,5;2,442361;
2010-10-31;9;66,4;996,549597;23,749731;6,6;2,504839;
2010-11-30;19;291,8;994,32125;24,011806;8,1;2,338056;
2010-12-31;11;259,8;992,034946;25,596237;9,7;2,136425;
2011-01-31;18;122,8;994,356989;25,688575;9,1;2,127419;
2011-02-28;9;88,2;995,187798;26,427828;6,5;1,976935;
2011-03-31;17;378,2;993,918248;25,227399;6,6;1,791474;
2011-04-30;25;173,4;997,095;24,008611;6,5;1,691944;
2011-05-31;12;8,6;998,794708;21,794769;5,6;1,70048;
2011-06-30;9;41;1000,17067;21,182856;6,6;1,905296;
2011-07-31;10;29,4;1001,40121;20,650403;5,8;1,833602;
2011-08-31;4;null;null;21,430208;6,3;null;
2011-09-30;1;null;null;null;6,1;null;
2011-10-31;20;147,2;996,905581;22,716258;6,6;2,534379;
2011-11-30;17;213,2;996,897083;22,450139;6,3;2,2275;
2011-12-31;19;129,4;994,964785;24,368414;6,6;2,035753;
2012-01-31;19;135,6;996,277554;24,711962;6,1;1,996102;
2012-02-29;12;48;996,703567;25,167316;6,3;2,116642;
2012-03-31;19;128,4;996,590726;25,271774;6,4;1,916801;
2012-04-30;12;50;996,500278;25,012778;5,2;1,836111;
2012-05-31;17;33,4;999,653763;22,457258;6,6;2,104839;
2012-06-30;4;,8;1000,563333;22,791806;5,6;1,850694;
2012-07-31;null;null;1001,522177;21,167608;6,6;1,842876;
2012-08-31;9;76,6;1004,465403;20,725586;8,4;2,297849;
2012-09-30;10;27;1001,445278;21,959167;8,1;2,317917;
2012-10-31;11;36,2;998,212635;23,348925;6,2;2,184812;
2012-11-30;22;271,8;994,76125;23,801944;6,9;2,126944;
2012-12-31;7;10,2;994,51371;26,323656;6,3;2,056943;
2013-01-31;15;180;995,56828;25,716801;7,9;2,138575;
2013-02-28;9;4;996,155952;26,024702;6,2;1,957738;
