Nome: ANGRA DOS REIS
Codigo Estacao: A628
Latitude: -22.97555554
Longitude: -44.30333333
Altitude: 6
Situacao: Operante
Data Inicial: 2017-08-24
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-08-31;null;null;null;null;null;null;
2017-09-30;4;15,2;1019,050977;21,985768;4,6;1,170785;
2017-10-31;15;69,8;1013,996599;23,640796;7,4;1,109081;
2017-11-30;16;319,4;1012,603436;23,12282;5,9;,97483;
2017-12-31;19;174,2;1011,522446;24,757796;4;,734274;
2018-01-31;18;368;1011,837097;26,095968;8,1;,885753;
2018-02-28;20;351,8;1012,386458;25,051339;4,8;,730357;
2018-03-31;15;258,2;1011,693145;26,513575;5,6;,805511;
2018-04-30;10;174,4;1016,885278;24,2225;3,9;,754306;
2018-05-31;10;135,8;1018,494624;21,938979;4,2;,733737;
2018-06-30;12;73,6;1019,011944;20,677222;3,4;,500833;
2018-07-31;10;39,8;1019,043145;20,638978;4,4;,71586;
2018-08-31;14;86,8;1019,917607;20,018011;5;,709543;
2018-09-30;10;109;1015,612361;22,064445;4,8;,918056;
2018-10-31;25;188,2;1014,281317;22,518011;4,4;,720296;
2018-11-30;17;304,4;1014,052361;23,709861;6,7;,921667;
2018-12-31;16;169,6;1012,8375;25,35457;5;,908065;
2019-01-31;8;123,4;1013,188978;28,495565;5,3;1,025941;
2019-02-28;18;487,8;1011,903571;25,831994;4;,711905;
2019-03-31;23;576,2;1014,28487;25,522423;4,4;,647733;
2019-04-30;14;203,4;1013,745972;25,170972;7,6;,659306;
2019-05-31;10;212,6;1015,28414;23,388979;3;,532258;
2019-06-30;7;53,2;1019,768194;21,784583;4,8;,564167;
2019-07-31;4;64;1019,676479;20,362366;6,4;,801479;
2019-08-31;14;171;1021,997876;19,928858;7,2;,732823;
2019-09-30;18;122,4;1017,479028;21,634306;4;,716806;
2019-10-31;15;88,8;1014,701613;23,635215;5,9;,852016;
2019-11-30;19;211,8;1013,348605;23,276298;4,7;,74189;
2019-12-31;15;110,4;1012,556317;24,776479;5,2;,778763;
2020-01-31;18;190,6;1011,004436;25,549059;4,7;,710081;
2020-02-29;21;347,2;1013,028736;25,056322;4,6;,567672;
2020-03-31;17;282,8;1015,168186;24,187956;3,9;,590498;
2020-04-30;10;null;1016,00471;22,699456;3,4;,520652;
2020-05-31;null;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;5,1;null;
2020-09-30;null;null;null;null;5,9;null;
2020-10-31;null;null;null;null;3,7;null;
2020-11-30;null;null;null;null;4,2;null;
2020-12-31;null;null;null;null;5,2;null;
2021-01-31;null;null;1011,711745;null;5,2;null;
2021-02-28;null;null;null;null;4,7;null;
2021-03-31;null;null;null;null;3,1;null;
2021-04-30;null;null;null;null;3,2;null;
2021-05-31;null;null;null;null;3,8;null;
2021-06-30;null;null;null;null;5,9;null;
2021-07-31;null;null;null;null;2,9;null;
2021-08-31;11;65;1019,975441;20,400936;6,5;,642911;
2021-09-30;12;40,2;1016,640833;22,074583;3,9;,691944;
2021-10-31;23;166;1015,648656;21,512634;4,7;,642742;
2021-11-30;11;150,4;1012,98125;22,357917;3,7;,635695;
2021-12-31;22;319,2;1011,654973;23,616129;3,3;,645699;
2022-01-31;21;344,4;1011,075;25,864919;5,1;,52957;
2022-02-28;17;214,4;1012,352976;25,188542;4,9;,503423;
2022-03-31;11;327,6;1012,548118;26,444086;4,2;,573387;
2022-04-30;9;null;1015,288439;23,48997;6;,570803;
2022-05-31;10;null;null;22,213889;4,7;null;
2022-06-30;16;99,8;1018,02625;19,432222;2,8;,408472;
2022-07-31;12;40,2;1018,716532;20,983736;5,1;,482393;
2022-08-31;13;136,6;1019,630914;20,084409;5,9;,635484;
2022-09-30;16;256,6;1018,091389;19,609306;6,3;,59567;
2022-10-31;18;54;1014,668924;22,693691;4,4;,5631;
2022-11-30;19;364,8;1014,607046;21,919798;3,2;,5744;
2022-12-31;21;207,2;1011,302272;24,399738;5,3;,661959;
2023-01-31;18;258;1011,878194;25,238673;4,1;,534758;
2023-02-28;17;null;1012,189148;26,027085;3,9;,558674;
2023-03-31;11;175;1014,061245;25,679914;5,2;,470052;
2023-04-30;16;188,4;1014,725036;23,253853;3,2;,386884;
2023-05-31;8;187,8;1018,131329;21,800145;4,3;,373913;
2023-06-30;9;83;1019,503055;20,698472;2,6;,329722;
2023-07-31;10;73;1020,054833;20,261127;4,5;,507352;
2023-08-31;14;124;1017,194489;21,338856;4,3;,466935;
2023-09-30;13;80,4;1015,225471;23,700024;7,1;,770483;
2023-10-31;13;null;null;null;null;null;

