Nome: CARMO
Codigo Estacao: A629
Latitude: -21.9386111
Longitude: -42.60083333
Altitude: 293
Situacao: Operante
Data Inicial: 2018-10-10
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-10-31;5;null;null;22,576111;3,4;null;
2018-11-30;13;202,6;981,234722;23,488056;5,6;1,051806;
2018-12-31;14;233,2;980,00253;24,947744;6,1;1,018209;
2019-01-31;6;106,6;981,326765;27,014475;3,2;,996289;
2019-02-28;15;198,6;979,362351;25,795089;4,5;,95625;
2019-03-31;16;126,8;981,306183;25,086694;4,7;,951075;
2019-04-30;5;37,6;980,924167;24,064444;4;,821389;
2019-05-31;7;125,2;982,426613;21,955645;3,6;,707661;
2019-06-30;4;14,8;987,000972;19,902639;3,3;,713346;
2019-07-31;2;3,2;986,631989;17,822984;3,4;,793817;
2019-08-31;8;22;988,375538;19,235349;3,5;,855914;
2019-09-30;6;54,4;984,003056;22,739444;3,9;,960972;
2019-10-31;13;44;981,569355;24,069489;5;1,042742;
2019-11-30;20;159,4;979,902778;23,99;3,9;1,085833;
2019-12-31;15;247,6;979,99664;24,455242;4;1,078629;
2020-01-31;21;219,2;978,256183;25,11035;3,9;,947581;
2020-02-29;17;193,8;980,369109;24,880747;4,1;,919397;
2020-03-31;16;234,2;981,651613;23,664516;3,5;,934409;
2020-04-30;11;32,6;983,283472;22,015556;3,1;,840139;
2020-05-31;12;73;984,672715;18,930107;2,7;,736021;
2020-06-30;3;,6;985,879583;19,389028;3;,71375;
2020-07-31;8;18,2;985,964247;19,414113;4,1;,758065;
2020-08-31;8;14,6;986,638979;19,474731;3,3;,865054;
2020-09-30;5;49,2;983,63;23,251528;3,8;,914583;
2020-10-31;17;84,6;980,658737;24,148118;4,8;1,125672;
2020-11-30;19;216,2;980,772778;23,609861;4,1;1,148611;
2020-12-31;17;205,4;979,158064;25,255108;2,8;,919758;
2021-01-31;6;98;979,856452;25,643011;3,9;1,057124;
2021-02-28;17;215,6;978,595238;24,757738;3,6;,981101;
2021-03-31;19;156,4;979,992876;24,751075;6,7;,975672;
2021-04-30;18;80;982,241111;21,209583;3,9;,852917;
2021-05-31;4;16,8;983,822446;20,220833;3,5;,721102;
2021-06-30;6;12;985,418472;18,442639;2,8;,679306;
2021-07-31;5;3;987,685081;16,589651;3,1;,750941;
2021-08-31;1;7,8;987,035484;19,510753;4,1;,874194;
2021-09-30;7;13,4;983,0575;23,429444;3,6;1,056528;
2021-10-31;22;208,6;982,067473;22,381586;4,6;1,030651;
2021-11-30;13;143,2;979,424444;22,81125;3,5;1,026528;
2021-12-31;24;321,8;978,481586;23,50336;4,7;1,037903;
2022-01-31;17;321;979,170161;25,152747;4;,984618;
2022-02-28;19;null;979,425667;24,772681;3,4;,992645;
2022-03-31;4;27;980,449059;25,175403;3,2;,92836;
2022-04-30;8;56;981,55875;23,047917;5,7;,847222;
2022-05-31;11;51,2;983,729839;19,599462;3;,752554;
2022-06-30;6;1,2;984,605695;18,160694;3,9;,663472;
2022-07-31;1;,2;986,291129;18,961828;3,6;,749462;
2022-08-31;4;2,2;986,176478;19,261618;3,8;,90876;
2022-09-30;9;96,2;984,194282;20,78006;3,8;,946092;
2022-10-31;16;71,8;981,868548;23,64664;5;1,024059;
2022-11-30;21;269;980,84;22,595417;4;1,078056;
2022-12-31;23;236,4;979,040591;23,793952;4,5;1,0625;
2023-01-31;19;364,8;979,832796;24,638441;3,7;,975403;
2023-02-28;13;185,4;980,354018;25,82753;4,7;1,018006;
2023-03-31;6;57,2;981,687903;25,212903;3,9;,897178;
2023-04-30;10;66,6;981,52875;22,888611;4,4;,814167;
2023-05-31;0;0;984,839785;20,074462;3,6;,749194;
2023-06-30;0;null;986,723195;18,408333;3,1;,663611;
2023-07-31;7;null;987,150941;18,630511;3,3;,749462;
2023-08-31;13;75,4;984,341667;20,677688;3,9;,829704;
2023-09-30;6;64,4;983,242361;23,035556;3,4;,926528;
2023-10-31;7;null;null;null;null;null;

