Nome: PONTA PORA
Codigo Estacao: A703
Latitude: -22.5525
Longitude: -55.71638888
Altitude: 668
Situacao: Operante
Data Inicial: 2001-09-06
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2001-09-30;7;null;null;20,024802;9,5;null;
2001-10-31;12;null;937,00938;22,213723;7,5;2,814261;
2001-11-30;17;210,4;935,087535;23,199693;7,1;2,839723;
2001-12-31;13;243;934,96305;22,645779;9,1;2,530483;
2002-01-31;9;98,4;935,425004;24,486968;8,7;2,933277;
2002-02-28;14;240,2;936,355299;22,888464;7,4;2,578662;
2002-03-31;8;68,2;936,792897;25,45;9,3;2,557996;
2002-04-30;5;41,8;937,498617;24,771131;null;null;
2002-05-31;15;306;938,548134;19,867091;null;null;
2002-06-30;7;null;940,894932;19,280937;null;null;
2002-07-31;10;30;940,89941;17,289721;null;null;
2002-08-31;7;16,6;939,235427;21,176543;null;null;
2002-09-30;4;17,2;938,642761;20,65559;null;null;
2002-10-31;8;null;935,511694;24,622942;null;null;
2002-11-30;10;null;935,771906;22,981652;9,3;3,583836;
2002-12-31;7;null;935,454351;25,133758;7,3;2,85356;
2003-01-31;6;null;null;null;6,3;null;
2003-02-28;5;null;null;null;8,6;null;
2003-03-31;null;null;null;null;null;null;
2003-04-30;null;null;null;null;null;null;
2003-05-31;null;null;null;null;null;null;
2003-06-30;null;null;null;null;null;null;
2003-07-31;null;null;null;null;null;null;
2003-08-31;null;null;null;null;null;null;
2003-09-30;null;null;null;null;null;null;
2003-10-31;null;null;null;null;null;null;
2003-11-30;null;null;null;null;null;null;
2003-12-31;null;null;null;null;null;null;
2004-01-31;null;null;null;null;null;null;
2004-02-29;null;null;null;null;null;null;
2004-03-31;null;null;null;null;null;null;
2004-04-30;null;null;null;null;null;null;
2004-05-31;null;null;null;null;null;null;
