Nome: PARANAIBA
Codigo Estacao: A710
Latitude: -19.69555555
Longitude: -51.18166666
Altitude: 408.06
Situacao: Operante
Data Inicial: 2006-11-09
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-11-30;4;null;null;27,318954;null;null;
2006-12-31;25;399,8;965,006224;25,780829;null;null;
2007-01-31;28;560,8;964,758468;25,250269;10,5;2,257661;
2007-02-28;12;98,2;965,003869;26,029167;7,8;2,056399;
2007-03-31;8;136,4;966,692368;26,118145;6,6;1,783801;
2007-04-30;7;86,2;967,372302;25,577011;8,2;1,911726;
2007-05-31;4;102,4;969,239575;21,688176;7,6;2,136208;
2007-06-30;2;4,4;970,647437;20,822247;5,4;1,477109;
2007-07-31;5;43,2;970,173104;20,157605;10,5;2,185642;
2007-08-31;0;0;970,086098;22,544822;8,7;2,336957;
2007-09-30;2;23,2;968,348333;26,753333;9,6;2,711806;
2007-10-31;5;76,8;965,337073;27,563055;8,6;2,421739;
2007-11-30;14;79,6;964,186494;25,785632;8,6;2,61523;
2007-12-31;12;null;null;null;8,6;null;
2008-01-31;null;null;null;null;null;null;
2008-02-29;null;null;null;null;null;null;
2008-03-31;10;null;null;null;5,1;null;
2008-04-30;null;null;null;null;null;null;
2008-05-31;null;null;null;null;null;null;
2008-06-30;null;null;970,283688;21,093087;7,6;1,673297;
2008-07-31;null;null;null;null;null;null;
2008-08-31;null;null;null;null;null;null;
2008-09-30;null;null;null;null;null;null;
2008-10-31;13;87;966,612769;26,35121;null;null;
2008-11-30;15;142,4;964,335549;25,898816;null;null;
2008-12-31;16;182;963,282626;26,274392;null;null;
2009-01-31;21;308,6;965,18317;24,968151;null;null;
2009-02-28;14;180;965,135132;25,750505;null;null;
2009-03-31;18;166,6;965,02836;25,64543;null;null;
2009-04-30;3;13,2;967,32375;24,168611;null;null;
2009-05-31;6;35,4;968,497581;22,255376;null;null;
2009-06-30;11;37;970,685694;19,433056;null;null;
2009-07-31;5;11,8;969,803898;21,423387;null;null;
2009-08-31;6;12,2;969,184005;22,691528;null;null;
2009-09-30;12;24,4;967,696769;24,626208;null;null;
2009-10-31;15;34,4;964,964655;25,116142;null;null;
2009-11-30;17;117,8;963,835833;26,683333;null;null;
2009-12-31;23;315,6;964,27715;25,168145;null;null;
2010-01-31;26;344,2;965,440408;25,26206;null;null;
2010-02-28;11;null;null;26,399256;null;null;
2010-03-31;null;null;null;null;null;null;
2010-04-30;null;null;null;null;null;null;
2010-05-31;null;null;null;null;null;null;
2010-06-30;null;null;null;21,890625;null;null;
2010-07-31;1;,4;969,604167;22,313978;null;null;
2010-08-31;null;null;null;21,014845;null;null;
2010-09-30;null;null;null;null;null;null;
2010-10-31;4;null;null;25,174242;9,4;null;
2010-11-30;10;62;963,386528;25,444444;8,2;2,360694;
2010-12-31;3;null;null;null;11,4;null;
2011-01-31;null;null;null;null;6;null;
2011-02-28;null;null;null;null;8;null;
2011-03-31;null;null;null;null;7,9;null;
2011-04-30;5;null;null;null;8,6;null;
2011-05-31;null;null;969,208472;20,80699;5,5;1,834884;
2011-06-30;3;null;969,640763;19,313695;11;1,832844;
2011-07-31;1;null;969,320452;22,114831;7,3;1,956129;
2011-08-31;3;16;null;23,363307;9;2,405511;
2011-09-30;1;null;null;25,254861;11,3;2,65753;
2011-10-31;4;null;null;null;10,3;null;
2011-11-30;1;null;null;null;10,1;null;
2011-12-31;null;null;null;null;7;null;
2012-01-31;null;null;null;null;9,2;null;
2012-02-29;null;null;null;null;5,8;null;
2012-03-31;1;null;null;null;10,1;null;
2012-04-30;null;null;null;null;8,8;null;
2012-05-31;2;null;null;null;7,3;null;
2012-06-30;2;null;null;null;8;null;
2012-07-31;null;null;null;null;8,5;null;
2012-08-31;null;null;null;null;8,1;null;
2012-09-30;4;null;967,639474;27,313826;12,6;2,235291;
2012-10-31;1;null;null;null;8,6;null;
2012-11-30;4;null;null;null;9,3;null;
2012-12-31;10;235,8;964,115591;27,371102;9,8;2,295027;
2013-01-31;19;190;964,543952;25,957393;9;2,268548;
2013-02-28;15;252,8;965,603423;25,705804;9,9;1,964732;
2013-03-31;19;218,8;965,82152;25,711638;6,7;2,038626;
2013-04-30;8;94,2;967,832083;23,35625;6,9;1,780278;
2013-05-31;7;20,6;968,435349;22,511021;7,7;1,727957;
2013-06-30;8;79,2;969,335013;22,526667;9,2;1,671035;
2013-07-31;3;24,4;971,396675;19,82337;9,3;1,968566;
2013-08-31;0;0;969,905108;21,426613;8,3;2,316398;
2013-09-30;6;15,4;967,943194;24,759583;9,1;2,589583;
2013-10-31;13;122,8;966,322715;25,75121;8,2;2,373118;
2013-11-30;14;52,4;964,195278;26,541944;8,5;2,335833;
2013-12-31;17;114,4;962,773253;27,163172;10,5;2,162366;
2014-01-31;17;101;966,460215;26,475;9;1,927957;
2014-02-28;13;171,8;965,343304;26,832292;7,4;2,084673;
2014-03-31;15;181,8;966,169086;25,605242;9,4;2,016398;
2014-04-30;6;87,2;967,2125;25,490278;8,3;1,9775;
2014-05-31;9;16,6;968,77285;21,627419;7,1;1,251075;
2014-06-30;3;8;969,882361;21,765139;6;1,432917;
2014-07-31;8;102,4;972,093292;21,154839;8,1;1,6424;
2014-08-31;0;0;970,0375;23,418548;7,8;1,561022;
2014-09-30;3;null;967,235411;25,939862;8,1;2,131651;
2014-10-31;4;null;null;null;10,3;null;
2014-11-30;16;176,8;964,778651;25,346839;7,4;1,863016;
2014-12-31;17;185;964,955645;26,04664;9,5;2,153495;
2015-01-31;8;96;966,470582;27,842835;6,9;1,863581;
2015-02-28;15;193,2;965,660119;26,295685;8,6;1,960268;
2015-03-31;11;153,2;966,121371;25,108333;9,8;1,683871;
2015-04-30;7;53,8;966,988611;25,278194;9,7;1,607222;
2015-05-31;10;124,6;969,261559;22,348118;9,6;1,630108;
2015-06-30;4;34,4;971,477361;21,259861;8;1,595556;
2015-07-31;6;37,8;970,354435;21,833871;5,7;1,710484;
2015-08-31;2;12,6;969,460349;23,239785;7,8;1,849194;
2015-09-30;7;57,4;966,319028;25,77375;10,7;2,084583;
2015-10-31;11;83,8;965,895565;27,368952;9,2;2,226075;
2015-11-30;19;215;964,417222;26,521111;10,9;1,929861;
2015-12-31;10;null;966,081812;26,431728;9,2;2,044376;
2016-01-31;6;null;null;null;6,4;null;
2016-02-29;10;null;966,526487;27,334039;11,6;1,825822;
2016-03-31;5;null;null;null;8,8;null;
2016-04-30;4;57;967,178831;25,937054;6,7;1,612261;
2016-05-31;14;155,8;970,225892;21,485997;8;1,537793;
2016-06-30;4;null;null;19,294765;5,1;null;
2016-07-31;2;2,2;970,627285;20,990457;8,6;1,468145;
2016-08-31;6;41,2;969,217473;22,529435;9,4;1,78871;
2016-09-30;7;51,2;968,825417;23,256389;9,4;2,139583;
2016-10-31;8;42,8;965,800684;25,676204;9,3;2,319916;
2016-11-30;11;118,2;964,794861;25,81375;9,8;2,347083;
2016-12-31;13;130,4;964,846516;26,289152;9,3;2,070211;
