Nome: IGUAPE
Codigo Estacao: A712
Latitude: -24.67166666
Longitude: -47.54583333
Altitude: 2.7
Situacao: Operante
Data Inicial: 2006-07-19
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-07-31;4;null;null;null;null;null;
2006-08-31;16;73,8;1017,615764;18,396528;6,6;1,335561;
2006-09-30;17;226,4;1017,411914;18,782838;7,1;1,957071;
2006-10-31;15;96,4;1014,727588;21,077058;7,1;2,007842;
2006-11-30;21;184,2;1012,990278;22,496027;6,5;2,085663;
2006-12-31;17;107,6;1012,167064;24,538949;6,6;2,141222;
2007-01-31;23;209;1010,342608;24,559409;5,6;1,520968;
2007-02-28;16;246,8;1012,051954;25,140399;7,4;1,687597;
2007-03-31;14;118,8;1012,850464;25,050868;5,3;1,267192;
2007-04-30;20;218,8;1014,803704;23,687191;6,5;1,204167;
2007-05-31;3;null;null;null;null;null;
2007-06-30;7;null;null;null;4,4;null;
2007-07-31;null;null;null;null;6,5;null;
2007-08-31;null;null;null;null;5,5;null;
2007-09-30;null;null;null;null;7,1;null;
2007-10-31;null;null;null;null;7,8;null;
2007-11-30;4;null;null;22,038677;6,6;null;
2007-12-31;4;null;1011,215171;null;8,7;1,797501;
2008-01-31;4;null;null;null;6,9;null;
2008-02-29;null;null;null;null;6,1;null;
2008-03-31;null;null;null;null;5,8;null;
2008-04-30;null;null;null;null;5,8;null;
2008-05-31;2;null;null;null;5,8;null;
2008-06-30;15;null;1018,211325;17,532248;4,3;,944884;
2008-07-31;15;24,8;1020,272988;17,502665;4,3;,949478;
2008-08-31;17;149;1017,281141;18,748845;5,1;1,383971;
2008-09-30;21;170;1018,05875;18,789444;6,1;1,863611;
2008-10-31;19;217,2;1016,227823;21,175;6,2;2,043817;
2008-11-30;20;167,2;1013,807603;21,919209;7,6;2,624952;
2008-12-31;16;145;1011,751613;22,379435;5,9;1,864651;
2009-01-31;23;286;1011,640504;24,275678;7,4;1,877525;
2009-02-28;17;505,4;1011,597903;25,096997;6,1;1,394941;
2009-03-31;16;119,2;1011,743817;24,794355;5,6;1,317473;
2009-04-30;20;341,6;1015,4675;22,215972;5,5;1,306111;
2009-05-31;23;110;1016,105376;20,348387;4,2;,989919;
