Nome: OURINHOS
Codigo Estacao: A716
Latitude: -23.00055555
Longitude: -49.84333333
Altitude: 500
Situacao: Operante
Data Inicial: 2006-08-28
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-08-31;null;null;null;null;null;null;
2006-09-30;7;101,2;964,97971;20,249179;11,1;4,187033;
2006-10-31;10;173,8;962,063038;23,331452;14,9;3,97043;
2006-11-30;11;53,6;960,930097;24,53977;11,5;4,257397;
2006-12-31;16;299;961,124754;25,100773;11,3;3,710937;
2007-01-31;17;null;960,038332;24,317627;8,2;2,816489;
2007-02-28;10;137;961,374558;25,131669;9,6;3,196504;
2007-03-31;9;209,4;962,758111;25,202104;9,7;2,347265;
2007-04-30;9;47,8;963,844035;24,114439;8,4;2,967331;
2007-05-31;null;null;null;null;null;null;
2007-06-30;null;null;null;null;null;null;
2007-07-31;8;193,8;965,853289;16,986313;8,5;2,695892;
2007-08-31;1;,8;966,853571;19,419431;7,6;2,909555;
2007-09-30;5;6,6;965,729306;23,141528;7,9;3,181389;
2007-10-31;9;116,6;962,218998;24,120091;8,6;3,059759;
2007-11-30;11;null;960,224345;22,931947;10,5;2,796481;
2007-12-31;10;152,2;960,136606;24,231154;6,8;2,170477;
2008-01-31;16;195,6;960,528226;23,145833;7,1;2,255108;
2008-02-29;15;119;961,166379;23,587054;8,1;1,740891;
2008-03-31;12;85,4;961,723422;22,962693;5,2;1,784461;
2008-04-30;16;172,4;961,702222;21,235417;6,1;1,484583;
2008-05-31;13;93,8;965,628676;17,393507;6,6;1,483789;
2008-06-30;15;59,6;966,731473;17,058333;4,5;1,304958;
2008-07-31;8;1,6;968,035081;17,345833;4,4;1,439785;
2008-08-31;8;89,2;964,940188;19,174462;5,9;1,756183;
2008-09-30;7;70,6;965,176944;19,341805;7,9;2,135833;
2008-10-31;10;146,8;963,584303;22,603237;7,1;2,098662;
2008-11-30;12;71,2;961,265278;22,975556;8,7;2,054583;
2008-12-31;10;65,2;959,752151;24,301747;5,8;1,979436;
2009-01-31;23;309,2;961,194098;22,991877;4,8;1,531609;
2009-02-28;14;91,8;961,10092;24,472227;6,3;1,216099;
2009-03-31;9;25;961,120833;24,576613;6,4;1,245296;
2009-04-30;5;27,6;964,019167;22,295694;4,2;1,388195;
2009-05-31;12;85,8;964,872312;19,568145;6;1,201747;
2009-06-30;18;89,8;966,980555;15,668472;5,3;1,109306;
2009-07-31;16;178,8;966,191129;17,427823;4,4;1,125672;
2009-08-31;9;89;965,979301;18,786962;5,1;1,318011;
2009-09-30;12;160,6;963,787083;21,442361;6,7;1,300972;
2009-10-31;13;192;961,649029;21,876894;6,4;1,505106;
2009-11-30;19;232,6;959,64625;25,070972;5,7;1,104722;
2009-12-31;18;271,8;960,118011;24,205242;5;1,260753;
2010-01-31;24;239,8;961,579839;23,97957;4,1;,920161;
2010-02-28;2;null;null;null;2,1;null;
2010-03-31;1;null;null;null;5,9;null;
2010-04-30;1;null;964,84765;null;3,5;1,046161;
2010-05-31;5;null;964,871475;17,710746;3,7;,957274;
2010-06-30;8;49,6;967,925088;17,351515;5;1,11495;
2010-07-31;9;41;967,630914;18,930914;4;1,210215;
2010-08-31;2;null;null;17,021214;6,6;null;
2010-09-30;null;null;964,162705;null;6,2;1,655467;
2010-10-31;1;null;null;null;6,4;null;
2010-11-30;null;null;null;null;4,6;null;
2010-12-31;null;null;null;null;5,4;null;
2011-01-31;1;null;null;null;4,8;null;
2011-02-28;null;null;null;null;5,8;null;
2011-03-31;null;null;null;null;6,8;null;
2011-04-30;null;null;null;null;5,7;null;
2011-05-31;2;null;966,28669;18,94266;3,4;,910112;
2011-06-30;1;null;null;null;5,4;null;
2011-07-31;1;null;null;null;3,4;null;
2011-08-31;null;null;null;null;7,9;null;
2011-09-30;3;2;966,272619;21,251488;6,5;1,744792;
2011-10-31;16;385;961,738575;22,183333;5,4;1,429839;
2011-11-30;5;67;961,620139;22,671806;5,2;1,453472;
2011-12-31;7;58,6;959,844489;24,516667;4,8;1,280376;
2012-01-31;18;177,8;961,118683;23,653898;5;1,065726;
2012-02-29;14;103,6;961,663506;25,528879;5;,876437;
2012-03-31;6;99,4;962,899866;24,084409;6,5;1,056586;
2012-04-30;11;127,4;962,926667;22,347639;5,3;,850417;
2012-05-31;11;88,8;966,579436;18,997984;3,7;,930376;
2012-06-30;12;309,6;966,323611;17,736944;6,3;,722778;
2012-07-31;4;45,6;966,82621;17,144758;3,7;,799059;
