Nome: RANCHARIA
Codigo Estacao: A718
Latitude: -22.37277777
Longitude: -50.97472221
Altitude: 398.75
Situacao: Operante
Data Inicial: 2006-08-31
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-08-31;null;null;null;null;null;null;
2006-09-30;8;72,2;970,244409;19,970177;9,7;2,364118;
2006-10-31;10;86,4;966,921505;24,106452;7,3;2,21707;
2006-11-30;11;64,6;965,858833;25,03004;7,5;2,487236;
2006-12-31;17;275,8;966,128348;25,325666;10,2;2,197189;
2007-01-31;21;293;965,131855;24,908065;7,6;2,088441;
2007-02-28;15;225,6;966,39925;24,799237;7,6;1,733482;
2007-03-31;15;97,2;967,896535;24,786682;7,1;1,44931;
2007-04-30;10;77,2;969,158889;23,290278;7,2;1,653056;
2007-05-31;12;42,6;970,797106;18,720821;9,5;1,688802;
2007-06-30;11;4,6;971,939342;17,418702;7,8;1,28314;
2007-07-31;10;265,8;971,600542;16,386144;8,1;1,843922;
2007-08-31;2;5,2;971,900037;19,260169;8,7;2,146328;
2007-09-30;1;2,8;970,544306;22,921945;9,7;2,516111;
2007-10-31;6;52,8;967,145319;24,7562;9,4;2,450292;
2007-11-30;11;134;965,672845;23,987644;9,9;2,790805;
2007-12-31;11;96,2;965,295833;24,625;8,9;1,985887;
2008-01-31;18;176,2;965,542608;23,85336;7,9;2,46586;
2008-02-29;15;178,6;966,414799;24,285776;7,2;1,667241;
2008-03-31;13;77,6;966,997446;23,397446;7,4;1,781183;
2008-04-30;15;62,6;966,945417;21,969444;8,7;1,608889;
2008-05-31;16;96;971,075725;17,505289;6,9;1,47441;
2008-06-30;16;48,8;972,152313;17,212258;6,7;1,468122;
2008-07-31;10;2,2;973,114785;17,111962;8,6;1,397581;
2008-08-31;11;80,6;969,9625;19,543548;7,8;2,000269;
2008-09-30;8;45;970,383333;19,65125;10,4;2,397361;
2008-10-31;9;76,6;968,491532;23,736156;8,3;2,494086;
2008-11-30;13;76,6;966,256552;23,762421;10,8;2,247144;
2008-12-31;11;79;964,81586;24,64785;7,9;2,098925;
2009-01-31;19;431;966,344542;23,701192;8,9;2,320594;
2009-02-28;16;119;966,236215;24,865476;9,1;1,677476;
2009-03-31;11;35,8;966,378226;24,604167;7,9;1,22043;
2009-04-30;11;26,8;969,194444;22,01375;6,8;1,243056;
2009-05-31;17;35;970,132258;19,390457;6,5;1,385081;
2009-06-30;19;70,2;972,3825;15,760556;6,1;1,443056;
2009-07-31;15;147,2;971,444664;17,838141;7,3;1,637074;
2009-08-31;12;124,2;971,144758;18,571237;9;1,850269;
2009-09-30;14;140,8;969,020302;22,223092;9,7;2,079903;
2009-10-31;11;217,6;966,759339;22,628917;10,3;2,177636;
2009-11-30;16;255,2;964,774306;25,471667;9,3;1,880556;
2009-12-31;19;324,6;965,25793;24,839113;8,5;2,106452;
2010-01-31;23;406,6;966,584066;24,758394;8,1;2,04565;
2010-02-28;14;120,2;966,970387;25,364583;7,7;1,713542;
2010-03-31;14;62,8;966,39328;24,288441;7,5;1,566936;
2010-04-30;17;60,8;969,825139;21,408056;7,6;1,694722;
2010-05-31;19;25,4;970,427688;17,747581;6,6;1,477688;
2010-06-30;11;26,2;973,089861;16,791667;7,6;1,585972;
2010-07-31;10;38,4;972,475194;18,249282;7,8;1,764639;
2010-08-31;1;,2;972,368291;17,719028;7,8;1,528967;
2010-09-30;5;50;969,376268;22,150349;9;2,287138;
2010-10-31;11;92,6;967,311883;21,702315;10;2,255247;
2010-11-30;10;88,6;964,991477;22,745669;8,9;1,947058;
2010-12-31;15;136,2;963,497446;24,404301;8,5;1,969086;
2011-01-31;11;66,2;964,376344;24,893952;9,2;1,580242;
2011-02-28;10;58,8;966,317113;24,768304;10;1,230952;
2011-03-31;9;null;null;null;7,5;null;
2011-04-30;null;null;null;null;5,9;null;
2011-05-31;1;null;null;null;5,5;null;
2011-06-30;2;null;null;null;8,6;null;
2011-07-31;null;null;null;null;4,2;null;
2011-08-31;1;null;null;null;7,7;null;
2011-09-30;4;6,6;970,972361;21,243889;11,8;,4275;
2011-10-31;14;194,6;966,74879;22,912769;8,8;,449462;
2011-11-30;8;43,2;966,624583;22,939167;8;,318611;
2011-12-31;8;88,6;964,996505;24,559005;10;,226613;
2012-01-31;20;257,6;966,140726;23,646102;7,3;,310081;
2012-02-29;11;61,4;966,831322;25,090948;6,9;,193391;
2012-03-31;11;65,4;968,072715;23,945027;9,9;,142742;
2012-04-30;21;138,4;968,207083;22,010417;8,5;,751111;
