Nome: COXIM
Codigo Estacao: A720
Latitude: -18.51222222
Longitude: -54.7361111
Altitude: 251.48
Situacao: Operante
Data Inicial: 2006-11-05
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-11-30;6;null;981,566782;26,022028;7,8;1,361512;
2006-12-31;23;330,2;981,850625;25,991754;5,4;1,273346;
2007-01-31;22;257,4;981,406721;26,152957;5,5;1,331989;
2007-02-28;21;131,4;981,644818;26,218731;5,5;1,223059;
2007-03-31;12;107,6;983,126426;25,876765;6,6;,919238;
2007-04-30;6;14,4;983,808472;25,871419;5,4;,999988;
2007-05-31;5;62,2;986,152132;21,794952;5,3;1,187119;
2007-06-30;1;,2;987,010296;21,296129;4,6;,980393;
2007-07-31;2;25;986,750944;20,910855;6,8;1,453708;
2007-08-31;1;1,2;986,262092;22,790988;5,2;1,410217;
2007-09-30;1;9;984,192361;27,769167;5,7;1,414028;
2007-10-31;9;62,4;981,815293;27,991982;7,4;1,453641;
2007-11-30;17;278;null;26,454454;6,7;1,500575;
2007-12-31;18;150;null;26,460753;6;1,311156;
2008-01-31;24;353;null;25,998925;6,7;1,395833;
2008-02-29;17;162,8;982,189224;25,855316;7;1,26092;
2008-03-31;14;100,2;982,241129;25,654704;5,9;1,053091;
2008-04-30;10;222,8;982,32125;24,672083;5,3;1,087222;
2008-05-31;10;21,2;986,366223;21,356779;4,7;1,064633;
2008-06-30;5;1,2;987,261655;21,422289;6,5;1,072397;
2008-07-31;0;0;987,10914;21,514382;5,1;,971505;
2008-08-31;2;1,6;983,999597;24,778763;5,9;1,385081;
2008-09-30;4;27,4;984,727083;25,477083;8,7;1,725694;
2008-10-31;12;248;983,094892;26,672177;6,2;1,565188;
2008-11-30;15;145;980,850012;27,025743;6;1,290882;
2008-12-31;14;134,2;980,183199;26,197446;7;1,355914;
2009-01-31;18;144;982,034946;25,690188;7,7;1,308871;
2009-02-28;17;344,6;981,827773;25,893209;8,3;1,154546;
2009-03-31;18;141;981,93414;26,075403;4,9;1,034409;
2009-04-30;2;2,2;984,013472;24,509444;4,7;,912083;
2009-05-31;1;30,4;985,203091;22,796237;4,9;1,028091;
2009-06-30;4;4,2;987,419167;20,511389;5,2;1,133472;
2009-07-31;4;61,4;986,328695;22,725575;6;1,148917;
2009-08-31;6;22,4;985,340995;23,487097;6;1,489247;
