Nome: CORUMBA
Codigo Estacao: A724
Latitude: -18.99666666
Longitude: -57.63749999
Altitude: 111.73
Situacao: Operante
Data Inicial: 2006-10-25
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-10-31;null;null;null;null;null;null;
2006-11-30;9;250,6;995,317476;27,609668;6;2,169698;
2006-12-31;17;245;995,6215;27,478167;5,9;1,617011;
2007-01-31;24;213,8;995,069086;27,715726;6,9;1,558468;
2007-02-28;13;87,2;995,751669;27,539156;6,2;1,578571;
2007-03-31;6;65,6;997,346938;28,119904;6;1,535618;
2007-04-30;5;23,8;998,424722;27,643194;5,6;1,893611;
2007-05-31;4;91;1001,517069;22,172307;6,8;2,133257;
2007-06-30;0;0;1001,444764;23,034837;8,8;2,379348;
2007-07-31;2;17;1001,605217;21,702597;10,1;2,396214;
2007-08-31;2;2,2;1001,619845;21,939138;9,2;3,043922;
2007-09-30;1;,2;998,439801;28,519305;9,3;2,425622;
2007-10-31;9;154;995,972622;27,659128;8,1;2,025672;
2007-11-30;15;117;994,869828;26,747701;7,7;1,921695;
2007-12-31;17;146,6;994,952419;27,450538;7,3;1,635887;
2008-01-31;24;226,8;994,791129;26,887769;5,4;,27957;
2008-02-29;15;209,8;996,40704;27,413218;0;0;
2008-03-31;11;95,4;996,69879;27,631183;0;0;
2008-04-30;5;48,8;997,23625;25,781528;0;0;
2008-05-31;6;85,2;1001,336726;22,94212;6,8;1,308948;
2008-06-30;1;null;1002,259568;21,28986;6,2;1,814694;
2008-07-31;1;4,4;1000,896102;25,416264;6,1;2,197984;
2008-08-31;3;32,8;998,284409;26,138575;8,6;2,179704;
2008-09-30;3;10,4;999,767028;25,607471;7,6;2,838306;
2008-10-31;3;52,2;996,677671;28,633151;7,5;2,435652;
2008-11-30;9;145;995,066655;28,53058;8,3;1,816987;
2008-12-31;10;77,6;994,436704;28,129746;7,8;1,792164;
2009-01-31;4;71,6;996,23823;28,100278;7,2;1,808103;
2009-02-28;19;104;995,799337;27,598255;6,2;1,486607;
2009-03-31;7;2,4;996,364113;27,672715;6,1;1,275134;
2009-04-30;2;,4;998,463889;28,142778;5,8;1,390278;
2009-05-31;2;43,8;999,178879;26,180316;7;1,964368;
2009-06-30;2;null;1001,369097;22,938368;6,2;2,258507;
2009-07-31;6;null;1000,50882;23,888316;8,6;1,970688;
2009-08-31;5;26;999,736503;24,838056;7,4;2,28426;
2009-09-30;4;7,6;999,151579;25,89454;9,6;2,592083;
2009-10-31;6;64,8;995,125862;28,583477;9,4;2,33592;
2009-11-30;null;null;null;null;6,3;null;
2009-12-31;null;null;null;null;5,3;null;
2010-01-31;5;null;null;null;7,5;null;
2010-02-28;8;null;null;null;6,6;null;
2010-03-31;3;null;null;null;6,6;null;
2010-04-30;null;null;null;null;6,9;null;
2010-05-31;null;null;null;null;5,1;null;
2010-06-30;null;null;null;null;null;null;
2010-07-31;null;null;null;null;null;null;
2010-08-31;null;null;null;null;null;null;
2010-09-30;3;null;null;null;null;null;
2010-10-31;7;41,2;996,575595;27,384226;10,4;2,542113;
2010-11-30;11;116;995,175;26,73375;10;2,046806;
2010-12-31;10;53,2;992,789919;28,806317;8,3;2,018145;
2011-01-31;16;231,6;994,362903;27,320699;6,8;1,684543;
2011-02-28;21;432,4;995,961607;26,518155;6,5;1,643601;
2011-03-31;19;260,4;995,325466;26,563858;5,7;1,761105;
2011-04-30;7;55,4;998,009861;27,151528;10;1,928611;
2011-05-31;1;,6;1001,28414;23,835484;5,8;2,133602;
2011-06-30;1;3,6;1001,014655;22,742385;5,9;2,281178;
2011-07-31;4;11,4;1000,145833;23,540774;6,9;2,200287;
2011-08-31;3;14;1000,088;24,950431;7,5;2,5005;
2011-09-30;3;23,6;999,29569;26,870259;8,4;2,580316;
2011-10-31;8;132;995,513979;27,913844;8,1;2,344624;
2011-11-30;5;23,8;994,98625;28,916111;9,3;2,373611;
2011-12-31;12;130,4;994,929435;28,679301;8,4;1,90457;
2012-01-31;14;117,2;995,045296;27,781855;6,3;1,755376;
2012-02-29;14;87,2;996,301149;27,518391;10,5;1,778161;
2012-03-31;13;111,6;998,034409;26,977554;7,2;1,633064;
2012-04-30;14;93;997,905972;26,633333;7,9;1,787361;
2012-05-31;6;86,4;1000,320833;24,293817;5,9;2,15121;
2012-06-30;8;50;1001,303056;22,712639;8,6;2,164722;
2012-07-31;1;,4;1002,254032;21,913038;7;2,398656;
2012-08-31;null;0;1001,450115;26,197222;8,7;2,993798;
