Nome: AVARE
Codigo Estacao: A725
Latitude: -23.10166666
Longitude: -48.9411111
Altitude: 776.36
Situacao: Operante
Data Inicial: 2006-09-21
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-09-30;null;null;null;null;null;null;
2006-10-31;0;0;927,271774;20,654973;8,3;3,597715;
2006-11-30;0;0;926,263816;21,5784;10;3,913333;
2006-12-31;0;0;926,481124;22,832065;11,2;3,60301;
2007-01-31;null;null;925,362053;22,125696;8,1;3,266834;
2007-02-28;null;null;926,799387;23,094744;8,3;3,185668;
2007-03-31;0;0;928,065457;23,725269;6,7;2,416801;
2007-04-30;0;0;929,275694;21,642222;9,8;3,259722;
2007-05-31;null;0;930,118294;17,45526;9,9;2,961009;
2007-06-30;null;0;931,341612;17,722333;7,7;1,995686;
2007-07-31;0;0;930,861779;15,670406;9,1;2,800806;
2007-08-31;0;0;931,793964;18,370675;8,7;3,210606;
2007-09-30;0;0;931,071667;21,766528;10,8;3,698195;
2007-10-31;0;0;927,653617;22,103723;12,6;3,642064;
2007-11-30;null;null;925,505365;20,713824;9;3,8176;
2007-12-31;0;0;925,587097;22,569758;8,5;2,912366;
2008-01-31;0;0;925,856586;21,417742;8,6;3,486694;
2008-02-29;null;0;926,448017;22,166369;7,4;2,488736;
2008-03-31;0;0;926,932527;21,706855;7,7;3,160618;
2008-04-30;9;94,8;926,7975;19,892778;6,7;2,536528;
2008-05-31;10;85,8;930,135162;16,502715;7,1;2,397444;
2008-06-30;16;64,4;931,21029;16,610062;7,2;2,445474;
2008-07-31;2;,6;932,725538;17,283602;7,6;2,283737;
2008-08-31;9;125,8;929,907258;18,454301;8,4;2,939247;
2008-09-30;7;82,6;929,934167;17,662083;8,6;3,699444;
2008-10-31;12;123,8;928,860214;20,665935;null;null;
2008-11-30;8;null;926,550322;20,822795;null;null;
2008-12-31;8;116,4;925,140269;21,955954;null;null;
2009-01-31;21;354;926,457395;21,292447;null;null;
2009-02-28;16;null;926,53933;22,747239;null;null;
2009-03-31;9;73,8;926,531568;22,960764;null;null;
2009-04-30;8;83,8;929,109133;20,391713;null;null;
2009-05-31;12;52,6;929,644359;18,537045;null;null;
2009-06-30;null;null;null;null;null;null;
2009-07-31;null;null;null;null;null;null;
2009-08-31;null;null;null;null;null;null;
2009-09-30;null;null;null;null;null;null;
2009-10-31;null;null;null;null;null;null;
2009-11-30;null;null;null;null;null;null;
2009-12-31;3;null;null;null;5,7;null;
2010-01-31;10;null;926,296752;null;8,4;2,39903;
2010-02-28;10;null;926,640674;24,106215;6,6;2,159152;
2010-03-31;2;null;925,58549;null;6,4;2,536821;
2010-04-30;null;null;null;null;6,4;null;
2010-05-31;5;null;null;null;5,7;null;
2010-06-30;2;null;931,707004;16,689886;7,1;2,499063;
2010-07-31;5;56,2;931,67976;18,119178;7,5;2,747731;
2010-08-31;null;0;931,34098;17,712233;7,1;2,807484;
2010-09-30;10;64,4;928,374924;20,024545;7,6;3,101338;
2010-10-31;11;128,8;926,533865;19,18331;7,7;3,012114;
2010-11-30;4;42,4;924,15125;21,624722;7,2;2,611389;
2010-12-31;19;260,6;923,055914;22,279032;7,5;2,834812;
2011-01-31;22;296,6;923,824597;23,349866;6,5;2,268414;
2011-02-28;18;295,2;925,805655;23,214435;7,7;1,988393;
2011-03-31;23;16,4;926,087943;21,11203;6,9;3,139511;
2011-04-30;null;null;928,079306;20,903333;6;2,229028;
2011-05-31;null;0;929,908907;16,899524;5,8;2,353695;
2011-06-30;4;null;929,792299;14,510689;7,3;2,075014;
2011-07-31;3;null;930,088571;null;7,8;2,142299;
2011-08-31;3;4;929,418075;17,845636;8,6;2,875778;
2011-09-30;3;3,2;930,376264;18,253905;7,4;3,194765;
2011-10-31;2;null;null;null;13;null;
2011-11-30;5;null;925,722512;20,957857;6,1;2,989076;
2011-12-31;8;128,2;924,492607;22,466129;7,5;2,7375;
2012-01-31;21;296,6;925,686022;21,259677;8,7;2,740457;
2012-02-29;15;181,6;926,398276;23,872845;6,8;1,452011;
2012-03-31;5;81,2;927,431883;22,322226;7,1;1,49007;
2012-04-30;7;null;927,296051;20,559309;7;2,031356;
2012-05-31;6;null;930,46112;17,652279;5,3;2,368046;
2012-06-30;15;null;930,110912;17,04199;6,2;1,947784;
2012-07-31;2;null;930,398176;16,090942;6,4;2,053289;
2012-08-31;1;1;933,155489;19,314478;6,9;2,439533;
2012-09-30;5;77,2;929,833441;20,6654;7,1;2,753703;
2012-10-31;10;null;926,55891;22,521707;7,6;2,620282;
2012-11-30;8;29,8;925,115429;21,659616;7,1;3,076886;
2012-12-31;20;270,2;925,071505;24,005645;8,5;2,230914;
2013-01-31;14;264,2;926,143548;21,61922;7,1;3,015188;
2013-02-28;21;323,6;926,567708;22,725893;6,2;2,212946;
2013-03-31;16;247,8;927,235111;21,640948;7;2,587167;
2013-04-30;2;null;null;null;5,8;null;
2013-05-31;1;null;null;null;5,9;null;
2013-06-30;11;null;929,968409;17,374515;6,2;1,846932;
2013-07-31;9;59,8;931,777317;16,29706;5,9;2,212607;
2013-08-31;1;1,4;930,272295;18,270121;6,5;2,4973;
2013-09-30;null;null;929,059554;null;7,4;2,75529;
2013-10-31;null;null;null;null;7,5;null;
2013-11-30;null;null;null;null;6,8;null;
2013-12-31;null;null;null;null;6,6;null;
2014-01-31;null;null;null;null;6,9;null;
2014-02-28;null;null;null;null;7,8;null;
2014-03-31;null;null;null;null;5,7;null;
2014-04-30;null;null;null;null;5,6;null;
2014-05-31;null;null;null;null;6,5;null;
2014-06-30;null;null;null;null;5,4;null;
2014-07-31;null;null;null;null;7,4;null;
2014-08-31;3;null;null;null;7,3;null;
2014-09-30;11;154;928,677222;20,314028;7,6;2,907639;
2014-10-31;5;28,8;928,499866;22,096774;8,1;2,904973;
2014-11-30;14;115,6;925,998333;21,68125;6,4;2,883333;
2014-12-31;15;223,6;926,171371;22,695296;7,2;2,9625;
2015-01-31;13;184,8;927,685753;24,813575;6,6;2,332527;
2015-02-28;21;277;926,548958;22,682292;7,4;2,109524;
2015-03-31;19;189,4;927,166532;21,965323;5,7;2,023387;
2015-04-30;9;99,6;928,349305;20,642639;6,6;2,425417;
2015-05-31;11;88;930,071909;18,110081;7,2;2,337634;
2015-06-30;7;11,2;932,303056;17,626111;6,4;2,060833;
2015-07-31;17;131,4;930,920968;17,345027;7,6;1,914113;
2015-08-31;5;33,8;930,787769;20,120564;6,6;1,864651;
2015-09-30;13;165,4;927,354722;21,17625;7;2,147083;
2015-10-31;17;79,4;927,81129;21,942876;11,9;2,662769;
2015-11-30;17;404,8;925,455695;21,852639;7,7;2,022917;
2015-12-31;22;272,4;926,841936;22,877419;6;1,961156;
2016-01-31;15;239,2;925,318683;22,748521;6,8;2,816667;
2016-02-29;20;170,4;927,318678;23,979598;4,8;1,799282;
2016-03-31;16;104,6;928,285484;22,764247;7,2;1,895565;
2016-04-30;8;38;928,41625;23,362639;6,3;1,589167;
2016-05-31;16;170,8;930,676747;17,256183;5,2;1,956317;
2016-06-30;10;123,6;932,103761;15,374898;5,8;1,558995;
2016-07-31;2;12,6;931,115228;17,468068;6,7;1,8238;
2016-08-31;8;79,8;929,949059;18,155376;8;2,227016;
