Nome: CHAPADAO DO SUL
Codigo Estacao: A730
Latitude: -18.80222222
Longitude: -52.6025
Altitude: 820.82
Situacao: Operante
Data Inicial: 2006-12-19
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-12-31;9;null;null;null;null;null;
2007-01-31;24;249;920,37379;23,159409;10,2;2,464247;
2007-02-28;14;64;920,542611;23,4919;6,7;1,90229;
2007-03-31;11;28;922,154167;23,995833;7,2;2,218011;
2007-04-30;7;31;922,71282;23,792403;7,4;2,276908;
2007-05-31;5;2,4;924,041359;20,084318;7,6;2,413664;
2007-06-30;0;0;925,3109;20,946461;6,5;1,979444;
2007-07-31;3;5,4;924,665622;19,793219;9,6;2,530205;
2007-08-31;0;0;924,658236;22,214944;8,9;3,232515;
2007-09-30;0;0;923,561806;25,646805;8;3,172361;
2007-10-31;5;25,6;921,070857;24,854687;8,4;2,532544;
2007-11-30;9;36,8;919,740327;23,196726;12;3,139583;
2007-12-31;14;42,2;919,785215;23,330511;10,4;2,461156;
2008-01-31;17;61,4;919,638038;22,554167;8,6;2,436425;
2008-02-29;15;89,2;920,938793;22,395259;8,4;2,141954;
2008-03-31;13;87;921,040591;22,375;8,3;2,145833;
2008-04-30;12;94,8;920,92875;22,4825;7,5;2,215417;
2008-05-31;7;27,6;924,166386;19,587068;9,3;2,117123;
2008-06-30;4;1;925,090617;20,125025;6,2;2,311594;
2008-07-31;0;0;925,668683;21,421237;7,7;2,616667;
2008-08-31;3;3;923,035215;23,286694;7,9;2,679167;
2008-09-30;5;13,2;923,250556;22,679861;7;2,818611;
2008-10-31;9;null;921,906194;24,06939;11,1;2,12387;
2008-11-30;null;null;null;null;11;null;
2008-12-31;null;null;null;null;7,1;null;
2009-01-31;1;null;921,030768;null;8,6;1,59876;
2009-02-28;2;null;null;null;8,7;null;
2009-03-31;21;203,2;920,744875;23,434724;7,1;1,153237;
2009-04-30;11;2,2;922,719306;22,931667;6,3;1,404583;
2009-05-31;10;13,6;923,569758;21,49879;9,1;1,410349;
2009-06-30;9;10;925,129499;19,089176;7,4;1,641655;
2009-07-31;1;,4;924,578528;21,74122;9,5;1,958673;
2009-08-31;8;34,2;923,891398;21,78293;10;2,760887;
2009-09-30;11;null;922,874964;23,783918;9,9;2,584191;
2009-10-31;null;null;null;null;7,2;null;
2009-11-30;null;null;null;null;9,5;null;
2009-12-31;null;null;null;null;9,2;null;
2010-01-31;null;null;null;null;7,6;null;
2010-02-28;null;null;null;null;8,4;null;
2010-03-31;4;null;920,853171;24,324129;8,3;2,115773;
2010-04-30;1;null;923,136219;23,397477;6,5;2,280487;
2010-05-31;4;16,8;923,72836;19,638441;6,7;1,93293;
2010-06-30;1;,8;925,800278;20,917361;5,8;2,275556;
2010-07-31;3;1,4;925,265591;21,36586;9,5;2,499328;
2010-08-31;2;3,4;924,960393;22,46596;7,3;2,795254;
2010-09-30;4;5,4;921,941907;25,025013;9,6;3,196667;
2010-10-31;2;null;null;null;10,5;null;
2010-11-30;null;null;null;null;8,5;null;
2010-12-31;null;null;null;null;7,5;null;
2011-01-31;1;null;null;null;7,9;null;
2011-02-28;null;null;null;null;7,7;null;
2011-03-31;null;null;null;null;7,6;null;
2011-04-30;7;65,8;922,517857;23,03006;6,4;2,26131;
2011-05-31;4;28,8;924,184946;20,449597;7,3;2,264785;
2011-06-30;4;23,8;924,440278;19,545;11,4;2,305556;
2011-07-31;0;0;924,34422;21,31707;9,4;2,529973;
2011-08-31;4;6,6;923,938038;22,632124;8,9;2,895564;
2011-09-30;2;11;923,788333;24,734722;8,9;3,023056;
2011-10-31;16;161;920,422446;23,096371;9,9;2,947312;
2011-11-30;12;91;920,146111;23,229306;9,1;2,499861;
2011-12-31;13;137,2;919,685887;23,572043;6,9;2,07957;
2012-01-31;22;370,8;920,372715;22,32379;9;2,202957;
2012-02-29;17;286,6;921,322845;23,46681;8,4;1,560489;
2012-03-31;20;217,6;922,263575;22,648253;7,3;1,45672;
2012-04-30;16;194,6;922,2075;22,720556;10;1,775;
2012-05-31;12;157,4;924,385166;19,878067;8,1;2,08389;
2012-06-30;7;81,6;924,890695;20,103056;9,9;2,429028;
2012-07-31;2;5,8;925,275941;19,833199;6,7;2,052822;
