Nome: SAO LUIZ DO PARAITINGA
Codigo Estacao: A740
Latitude: -23.22833332
Longitude: -45.41694443
Altitude: 862.3
Situacao: Operante
Data Inicial: 2007-10-31
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-10-31;null;null;null;null;null;null;
2007-11-30;12;null;null;18,824053;8,8;null;
2007-12-31;22;177,2;915,298656;20,818817;11,3;1,772581;
2008-01-31;22;173,2;915,813172;19,996774;8,1;1,956048;
2008-02-29;26;227,4;916,146379;20,585268;10,4;1,679224;
2008-03-31;22;135,2;916,542982;20,182784;6,5;1,626151;
2008-04-30;22;152;916,226268;19,152343;6;1,314698;
2008-05-31;15;33,2;919,412897;15,832737;5;1,390212;
2008-06-30;23;61,8;920,818749;15,731681;8,1;1,40585;
2008-07-31;17;4;922,453091;15,052419;5,8;1,313844;
2008-08-31;14;75,2;919,748522;17,777151;7,7;1,546909;
2008-09-30;12;47,4;919,681111;18,713315;6,6;1,841443;
2008-10-31;14;108;918,858737;21,970027;8,3;1,885484;
2008-11-30;21;187,8;916,502095;22,256522;7,5;2,043889;
2008-12-31;19;248,4;914,933275;23,383059;5,8;1,644542;
2009-01-31;24;263,8;916,062312;24,667083;8,9;1,742957;
2009-02-28;20;207,6;916,261549;25,31523;7;1,609731;
2009-03-31;18;147,6;916,144355;24,530645;5,7;1,504435;
2009-04-30;21;47,4;918,606945;19,532917;5,5;1,307639;
2009-05-31;26;22;919,200538;17,639651;6,4;1,22621;
2009-06-30;25;70;920,493472;14,402639;8,2;1,246667;
2009-07-31;21;131;920,374509;16,005102;7,6;1,38099;
2009-08-31;19;45;920,581586;16,617608;7,9;1,54422;
2009-09-30;14;79,8;918,780833;19,032361;7,6;1,86625;
2009-10-31;15;104,2;916,513793;19,479167;6,6;1,679741;
2009-11-30;17;220,8;914,92875;22,699861;8,2;1,741945;
2009-12-31;26;396,2;915,116532;21,382527;8,1;1,667204;
2010-01-31;26;296,8;916,708218;22,490694;7,5;1,403418;
2010-02-28;13;104;917,201786;23,076786;6,4;1,329911;
2010-03-31;25;243,8;916,32043;21,485349;8,1;1,379704;
2010-04-30;19;58,2;919,146944;18,94375;5,3;1,092778;
2010-05-31;21;42;918,598208;16,637065;6,7;,986087;
2010-06-30;21;13;922,091015;14,332397;6,5;1,020809;
2010-07-31;20;55,6;922,53629;16,249328;7,3;1,229167;
2010-08-31;8;4;921,932597;15,561062;7,4;1,193268;
2010-09-30;9;68,8;919,235048;18,082947;6,6;1,586932;
2010-10-31;16;53,8;916,875403;17,645968;10,6;1,662231;
2010-11-30;17;91,2;914,649064;19,538086;7,9;1,663321;
2010-12-31;22;332,4;913,30215;21,409677;10,3;1,443548;
2011-01-31;20;261,4;914,224328;22,239785;6,5;1,285484;
2011-02-28;15;272,8;916,133068;22,13937;8,6;1,285022;
2011-03-31;21;205,4;916,462903;20,298118;6,7;1,44664;
2011-04-30;14;76,8;918,446528;19,671944;5,1;1,156111;
2011-05-31;19;30,2;919,952554;15,78172;5,1;,930242;
2011-06-30;19;44,6;919,968472;13,890972;7,7;,946667;
2011-07-31;11;4,2;920,592473;15,324328;5,7;,903629;
2011-08-31;10;25,6;919,918683;17,012903;7,5;1,433333;
2011-09-30;8;18;921,219444;16,679722;7,1;1,561944;
2011-10-31;11;156;916,687366;19,047715;7,7;1,744086;
2011-11-30;12;149,2;916,566528;18,086806;10;1,533194;
2011-12-31;14;154,4;914,89086;20,302151;6,2;1,486694;
2012-01-31;24;256,8;916,213821;19,718519;6,9;1,311775;
2012-02-29;16;101,4;916,781178;22,300718;5,9;1,257615;
2012-03-31;18;92,2;917,795833;20,329839;6,5;1,271237;
2012-04-30;22;120;917,572615;19,401322;7,9;1,048569;
2012-05-31;23;70;920,761694;16,137097;5,5;,993145;
2012-06-30;24;144;920,455694;16,328333;5,8;,932778;
2012-07-31;19;71,4;920,924176;15,490247;5;1,080879;
2012-08-31;17;13,6;923,948558;16,168646;6,4;1,0261;
2012-09-30;9;17,4;920,544583;18,173333;6,7;1,616806;
2012-10-31;10;null;917,58614;19,799728;5,7;1,688687;
2012-11-30;null;null;null;null;null;null;
2012-12-31;14;null;null;22,748026;7,6;null;
2013-01-31;23;210,6;916,65578;20,466935;8,2;1,710081;
2013-02-28;24;162;916,921429;21,477976;9,3;1,555655;
2013-03-31;23;161,8;917,575611;20,586782;7,9;1,607417;
2013-04-30;18;45;919,008889;17,9475;5,5;1,196944;
2013-05-31;17;28,8;919,454435;16,858333;6;1,172984;
2013-06-30;16;null;919,986133;16,589789;7,9;1,211818;
2013-07-31;19;63,8;921,88078;14,887634;7,5;1,343952;
2013-08-31;12;5,2;920,768952;16,129839;7,7;1,475941;
