Nome: BARRA BONITA
Codigo Estacao: A741
Latitude: -22.4711111
Longitude: -48.5575
Altitude: 533.68
Situacao: Operante
Data Inicial: 2008-04-23
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;1;null;null;null;null;null;
2008-05-31;1;null;955,580049;null;6,9;2,254956;
2008-06-30;8;null;956,611114;18,616994;6,2;2,231682;
2008-07-31;0;0;958,308737;18,67836;6,8;2,119624;
2008-08-31;7;41;955,199193;20,688172;8,8;2,79664;
2008-09-30;7;51;955,242917;20,117083;8,1;3,579861;
2008-10-31;7;null;null;22,327778;11;null;
2008-11-30;8;null;951,212333;23,336667;8,8;3,614;
2008-12-31;11;102;950,033468;24,095968;9,7;3,244086;
2009-01-31;18;267,6;951,545296;23,685753;8,2;2,893548;
2009-02-28;13;163,8;951,506522;24,914907;7,2;2,171772;
2009-03-31;10;110,2;951,375672;24,909274;7,9;2,293817;
2009-04-30;4;24,8;954,161806;22,458333;6,4;2,672361;
2009-05-31;8;39;955,002688;20,572849;8,5;2,343683;
2009-06-30;11;40,4;957,022778;16,581389;6,6;2,283194;
2009-07-31;12;76,4;956,369624;18,202151;7,4;2,360215;
2009-08-31;7;73;956,223253;19,709677;7,1;2,826075;
2009-09-30;14;156;954,269028;21,897917;8,5;2,731806;
2009-10-31;10;139,2;951,919828;22,283621;8,4;3,433046;
2009-11-30;15;211,2;950,156111;25,858611;6,7;2,562083;
2009-12-31;23;228;950,49207;24,509543;8,6;2,911962;
2010-01-31;24;384;952,094318;24,523558;6,1;2,183248;
2010-02-28;15;185,6;952,288988;25,708631;8,8;2,21131;
2010-03-31;12;110,6;951,451157;24,807147;8,4;2,599334;
2010-04-30;5;88;954,784028;22,170972;7,6;2,853194;
2010-05-31;5;23,6;954,881183;19,253763;7,9;2,534005;
2010-06-30;2;23,2;958,067361;17,711667;7,2;2,524306;
2010-07-31;3;79,2;957,899194;19,614113;7,8;2,820833;
2010-08-31;0;0;957,477928;19,324936;8,7;3,177227;
2010-09-30;10;88;954,277083;22,155972;9,8;3,133472;
2010-10-31;14;113,8;952,373253;21,752016;10,1;3,54328;
2010-11-30;11;51;949,795278;24,052299;7,9;2,825972;
2010-12-31;19;329;948,613038;24,652151;7,2;2,884543;
2011-01-31;24;490,2;949,47379;25,165054;7,2;2,109408;
2011-02-28;19;142,4;951,441815;25,208333;8,7;1,900744;
2011-03-31;18;293,8;951,642819;23,026111;7,5;3,049904;
2011-04-30;10;113,4;953,902083;22,474167;7,8;2,147222;
2011-05-31;2;26;956,060887;18,800941;8,9;2,628091;
2011-06-30;5;46,4;956,280278;16,663333;7,3;2,163333;
2011-07-31;4;4,8;956,320968;19,435081;8,5;2,21371;
2011-08-31;7;39,2;955,522312;20,269489;8,1;3,062634;
2011-09-30;4;4,6;956,283472;21,190417;9,6;3,714167;
2011-10-31;14;189,8;952,009736;22,766643;12,6;3,135724;
2011-11-30;10;166,8;951,795694;22,56375;8,2;3,287778;
2011-12-31;9;135;950,114919;24,589919;7,6;2,651478;
2012-01-31;19;237,6;951,601882;23,138172;7,1;2,14879;
2012-02-29;14;67,2;952,070389;25,779911;5,8;1,556152;
2012-03-31;10;56,4;953,144744;24,344611;9,9;2,228532;
2012-04-30;8;77,2;953,058194;23,080417;6,1;2,22;
2012-05-31;13;33,8;956,655107;19,125403;7,5;2,372849;
2012-06-30;6;15,4;956,497959;18,363388;6,5;1,904354;
2012-07-31;4;17;956,955511;18,235887;8,7;2,015188;
2012-08-31;1;,8;959,330512;20,763527;7,1;2,703814;
2012-09-30;7;85,4;955,787222;22,393611;11,3;3,101389;
2012-10-31;9;72,2;952,133988;24,960227;9,2;2,910683;
2012-11-30;8;84,8;950,5966;24,110018;7,7;3,466896;
2012-12-31;19;250,2;950,674287;26,218256;7;2,185472;
2013-01-31;17;379,6;951,791129;23,58414;8,4;3,059005;
2013-02-28;17;228,2;952,307835;24,753306;6,7;1,984291;
2013-03-31;18;170,8;952,938361;23,679454;8,2;2,596889;
2013-04-30;7;109,4;954,671075;21,548871;6,8;2,39067;
