Nome: BARRETOS
Codigo Estacao: A748
Latitude: -20.55916666
Longitude: -48.54499999
Altitude: 534.36
Situacao: Operante
Data Inicial: 2010-06-18
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-06-30;null;null;null;null;null;null;
2010-07-31;1;,4;956,985753;20,761828;4,9;1,431989;
2010-08-31;null;0;956,339414;21,136069;5,6;1,51224;
2010-09-30;8;72,6;953,305139;24,094167;6,9;1,797778;
2010-10-31;12;97,6;951,354973;23,906989;7,1;1,752016;
2010-11-30;12;143,6;949,354167;24,43;5,2;1,508611;
2010-12-31;18;246,4;948,06922;25,334005;5,9;1,424866;
2011-01-31;25;260,4;949,378091;24,74879;5,4;1,262769;
2011-02-28;16;184,2;951,061905;24,904911;5,5;1,332738;
2011-03-31;27;336,4;950,659732;23,24375;4,4;1,303523;
2011-04-30;12;53,6;953,17375;22,754861;4,5;1,144722;
2011-05-31;5;4,6;954,998521;19,856317;3,5;1,124328;
2011-06-30;6;25,8;955,662361;18,01875;6,3;1,255417;
2011-07-31;2;1;955,753629;20,205511;3,7;1,265054;
2011-08-31;3;8,6;954,847177;22,203629;4,8;1,491935;
2011-09-30;2;20,6;954,899306;23,939444;5,6;1,754305;
2011-10-31;15;94;951,317339;24,005645;5,2;1,690054;
2011-11-30;10;144,2;950,813889;23,892639;6,6;1,63375;
2011-12-31;19;182,6;949,80336;24,284274;5,4;1,33629;
2012-01-31;23;268;951,293011;22,963441;4,3;1,312634;
2012-02-29;13;115,8;951,716379;24,745546;4,1;1,143391;
2012-03-31;13;86;952,461156;24,347177;4,8;1,213038;
2012-04-30;10;102,4;952,552874;23,2157;6,3;1,152542;
2012-05-31;14;52,2;955,725403;19,373253;3,1;1,145565;
2012-06-30;19;35,8;955,986111;19,696944;5,1;1,057361;
2012-07-31;3;16,6;956,460887;18,578898;4,9;1,107124;
2012-08-31;null;0;958,293376;20,631806;4;1,411501;
2012-09-30;5;78,8;954,8;23,608056;5,5;1,57875;
2012-10-31;4;52,6;951,254839;26,184946;4,8;1,524328;
2012-11-30;14;150,2;949,477917;24,710695;4,7;1,475417;
2012-12-31;18;140,2;950,544086;25,350672;4,2;1,292204;
2013-01-31;22;310,4;951,013038;24,010484;4,4;1,336425;
2013-02-28;16;237,2;951,870536;24,268899;4,4;1,159077;
2013-03-31;17;224,6;952,187028;24,039655;4,1;1,255667;
2013-04-30;17;66,6;953,954167;21,70375;4;1,075695;
2013-05-31;11;102;954,725403;20,266263;4,5;1,081317;
2013-06-30;13;49,8;955,662702;20,170846;4,6;1,031465;
2013-07-31;9;22,8;957,420968;18,477151;6,1;1,273253;
2013-08-31;2;1;955,978629;19,936425;5,5;1,307124;
2013-09-30;7;72,4;954,430278;22,607778;4,5;1,489028;
2013-10-31;11;124,4;952,745833;23,646371;5;1,504704;
2013-11-30;18;219;950,726944;24,114722;4,4;1,269028;
2013-12-31;18;272,4;949,085081;25,122581;4,4;1,302151;
2014-01-31;12;64,8;952,735484;25,932258;4,1;1,174194;
2014-02-28;9;82,4;951,874405;26,113542;4,1;1,223214;
2014-03-31;18;147,6;952,576882;24,641936;4,2;1,152823;
2014-04-30;18;98,8;953,496111;23,425139;3,7;1,100417;
2014-05-31;null;null;954,821371;20,112634;3,9;1,011021;
2014-06-30;3;2,2;956,16625;20,15125;3,4;1,075695;
2014-07-31;7;44,4;958,376478;19,41707;3,3;1,109543;
2014-08-31;0;0;956,35914;22,181317;4,5;1,262769;
2014-09-30;8;29,6;953,74875;24,354444;7,5;1,582639;
2014-10-31;4;24;952,921774;26,207796;4,4;1,622715;
2014-11-30;12;138,6;950,944861;25,199167;4,6;1,4725;
2014-12-31;19;175,2;951,597312;24,742608;3,7;1,212231;
2015-01-31;14;62;952,766538;26,66714;4,3;1,192111;
2015-02-28;21;188,4;952,069196;24,57872;3,9;1,127976;
2015-03-31;21;148;952,528091;23,683737;3,8;1,015188;
2015-04-30;13;120,8;953,200972;23,35125;4,4;1,055833;
2015-05-31;13;68,6;955,545027;20,436828;4,8;1,041935;
2015-06-30;10;7,4;957,857222;19,746528;3,5;1,12125;
2015-07-31;6;18,4;956,701882;20,389785;3,7;1,089919;
2015-08-31;1;1,6;956,121774;21,521237;5,1;1,267339;
2015-09-30;8;112;952,687222;24,3125;5,8;1,319167;
2015-10-31;7;75,4;952,196102;26,815726;5,4;1,501747;
2015-11-30;18;197,2;950,71875;24,909444;5,3;1,218056;
2015-12-31;22;228,8;952,592742;24,65672;4,9;1,13871;
2016-01-31;19;337,2;950,262231;24,463575;4,7;1,266667;
2016-02-29;14;156,8;952,798994;25,446264;5,5;1,077012;
2016-03-31;17;239;953,573925;24,446237;5,3;1,093011;
2016-04-30;6;13;953,744583;22,865694;3,1;,898056;
2016-05-31;12;54,2;956,11707;20,202688;3;1,055376;
2016-06-30;11;90,6;957,81875;18,243611;2,8;,969167;
2016-07-31;0;0;956,876478;19,180645;4,5;1,016263;
2016-08-31;8;31,8;955,444221;20,916398;4,5;1,226075;
2016-09-30;5;15;954,443055;23,134306;4,9;1,387778;
2016-10-31;11;57,4;951,868169;24,516696;5,2;1,571114;
2016-11-30;16;138,2;951,100556;23,965694;5,1;1,433889;
2016-12-31;18;250,4;951,39879;24,487097;6,2;1,355914;
2017-01-31;23;161,6;952,179973;23,994489;3,7;1,051882;
2017-02-28;12;123,8;951,823512;24,928125;3,4;1,121875;
2017-03-31;9;107,8;952,323656;24,734005;4,5;1,207124;
2017-04-30;11;84,2;953,621528;22,987778;4,4;1,194445;
2017-05-31;11;104;954,656048;21,313979;3,4;1,057124;
2017-06-30;4;2,2;957,234722;18,867639;3,5;1,047083;
2017-07-31;0;0;960,692742;17,910215;3,6;1,180511;
2017-08-31;4;10,8;955,373253;21,415054;5,1;1,365457;
2017-09-30;2;7,4;955,606111;23,957639;3,4;1,327917;
2017-10-31;11;73,6;951,726882;25,500672;4,2;1,483602;
2017-11-30;15;253,6;950,353472;24,023333;4,4;1,415417;
2017-12-31;15;293,2;950,268145;24,652285;5,5;1,254167;
2018-01-31;20;266,8;951,474731;24,506452;3,6;1,197581;
2018-02-28;16;95;951,036161;24,17619;3,8;1,152232;
2018-03-31;12;65;951,195968;25,445296;4,1;1,050538;
2018-04-30;9;17,4;954,754583;22,493889;2,6;1,032639;
2018-05-31;6;11,8;956,142742;20,081452;3;1,039247;
2018-06-30;3;19,8;956,927639;20,590972;3,9;1,017917;
2018-07-31;1;2,8;956,905242;19,661828;3,4;,96828;
2018-08-31;3;null;null;19,736765;4;null;
2018-09-30;6;null;null;24,519517;5,3;null;
2018-10-31;11;94,4;951,529973;25,272043;5,5;1,345886;
2018-11-30;null;null;951,297917;23,783611;4,5;1,334861;
2018-12-31;9;22;951,800538;25,286021;3,7;1,189247;
2019-01-31;null;null;953,45914;25,931048;3,9;1,121237;
2019-02-28;15;153;951,586161;24,683036;4,4;1,147917;
2019-03-31;31;94,8;953,188441;24,129301;3,8;1,053763;
2019-04-30;null;null;952,98875;23,333611;3,3;,960417;
2019-05-31;null;null;954,2875;21,221774;3,6;,928226;
2019-06-30;null;null;957,840972;18,996389;4;,969722;
2019-07-31;null;null;957,228629;18,604032;4,9;1,101075;
2019-08-31;4;1,6;957,713172;21,166801;4;1,288575;
2019-09-30;1;,6;953,630694;25,269861;4,8;1,4375;
2019-10-31;6;22,4;951,733468;26,090995;4,5;1,359946;
2019-11-30;18;135,2;950,460139;25,10125;3,6;1,229861;
2019-12-31;21;241,8;951,20672;24,624462;3,3;1,090726;
2020-01-31;25;262,8;950,380376;24,700269;3,5;1,05793;
2020-02-29;21;195,6;951,995546;24,130603;4,5;1,061351;
2020-03-31;12;126,2;952,606452;23,703091;3,5;1,076613;
2020-04-30;9;28,2;954,3775;22,077778;3,7;,983333;
2020-05-31;9;19,6;956,17043;18,41707;3,6;,953494;
