Nome: SIDROLANDIA
Codigo Estacao: A754
Latitude: -20.98166666
Longitude: -54.97194443
Altitude: 471.43
Situacao: Operante
Data Inicial: 2008-09-28
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-09-30;null;null;null;null;null;null;
2008-10-31;7;95,6;958,698889;24,969444;10,6;2,370773;
2008-11-30;16;147,4;956,448001;25,158158;10,6;2,043675;
2008-12-31;17;118,6;955,515188;25,850806;9;2,007766;
2009-01-31;12;211;957,128343;24,648936;7,6;2,152823;
2009-02-28;14;92,4;957,018912;25,277841;8,8;1,916017;
2009-03-31;16;225;957,364919;25,361828;6;1,647849;
2009-04-30;1;3,2;959,641389;24,916944;5,3;1,677778;
2009-05-31;12;62,6;960,355242;21,986694;7,2;1,957393;
2009-06-30;11;78,8;962,505556;18,651806;5,4;2,097639;
2009-07-31;15;90;961,710753;19,424328;8,6;2,245699;
2009-08-31;9;134;960,760349;21,243414;7,1;2,500672;
2009-09-30;8;121,4;959,735556;22,412083;7,5;2,805972;
2009-10-31;12;142,4;956,792816;24,521264;7,6;2,282902;
2009-11-30;14;94,8;955,093194;26,491667;7,7;2,624583;
2009-12-31;19;169,4;956,007393;25,332796;7,8;2,115457;
2010-01-31;19;297,4;956,603409;25,28695;6,8;2,174817;
2010-02-28;16;122,2;957,137649;26,083482;6,7;2,196131;
2010-03-31;9;178;957,26828;25,933065;6,1;1,964785;
2010-04-30;21;103,2;960,167917;23,403194;6,2;1,970139;
2010-05-31;29;46,6;961,310753;18,848925;6;1,973253;
2010-06-30;19;10,8;962,689722;20,785972;7,1;2,047778;
2010-07-31;14;13,4;962,441398;19,863979;6,7;2,527554;
2010-08-31;21;8;962,127285;21,936694;9,2;2,55457;
2010-09-30;17;59,4;958,460278;24,266528;10,6;2,692083;
2010-10-31;11;49,8;958,085349;23,19086;7,1;2,45;
2010-11-30;0;0;956,107917;23,852083;9,7;2,330417;
2010-12-31;0;0;954,177554;25,703091;8,3;2,238038;
2011-01-31;null;null;955,444758;24,957393;5,3;1,849462;
2011-02-28;null;null;956,871726;24,917857;5,2;1,954574;
2011-03-31;null;null;956,416876;24,33174;9,2;1,895704;
2011-04-30;null;null;959,218333;23,568889;5,7;1,800278;
2011-05-31;null;null;961,791667;20,307796;4,9;1,847984;
2011-06-30;null;null;961,427222;19,276389;6,7;2,174167;
2011-07-31;null;0;961,14543;21,040188;7,6;2,325941;
2011-08-31;null;null;960,815188;22,248521;9,9;2,818145;
2011-09-30;null;null;960,730278;23,679028;10,5;2,682361;
2011-10-31;3;67,4;956,844489;24,800134;7,2;2,582527;
2011-11-30;8;183,4;956,877917;24,965694;8,6;2,350417;
2011-12-31;7;111,8;956,109543;25,724597;6,3;2,089516;
2012-01-31;19;133,2;956,219892;25,354704;7;2,174328;
2012-02-29;16;153,8;957,555603;25,572557;6,8;1,908908;
2012-03-31;12;80,8;958,984005;24,499328;8,3;1,836425;
2012-04-30;16;119,2;958,930972;23,53125;6,5;1,969306;
2012-05-31;9;99,6;961,40672;20,596102;5,9;2,011156;
2012-06-30;9;235,6;961,7525;19,725972;8,4;2,315694;
2012-07-31;5;26,8;962,400806;19,573522;7;2,17836;
2012-08-31;3;4;962,825269;23,809306;7,8;2,864823;
2012-09-30;5;96,6;960,3125;25,068056;8,7;2,744028;
2012-10-31;8;130,8;957,120161;26,256452;7,7;2,460349;
2012-11-30;12;184,2;955,8575;25,879028;9,2;2,07785;
2012-12-31;14;69,8;955,96586;26,772581;7,7;2,459005;
2013-01-31;11;165,6;956,89879;25,40457;7,6;2,165995;
2013-02-28;18;83;957,374256;25,39003;9,1;2,266667;
2013-03-31;12;234,2;958,172043;25,021371;7,6;2,160349;
2013-04-30;12;237,8;960,15375;22,364444;6;1,971944;
2013-05-31;7;38;960,690054;22,104704;8,9;2,249328;
2013-06-30;15;245,4;961,465695;20,53;7,7;1,760417;
2013-07-31;4;48,4;963,452419;19,544892;8,5;2,406048;
2013-08-31;0;0;962,221909;20,12621;9,4;2,66586;
2013-09-30;8;79,6;959,991944;23,444722;8,5;2,734861;
2013-10-31;15;252,2;958,741801;24,086559;8,6;2,35211;
2013-11-30;10;158,6;956,540556;25,764028;8,4;2,163454;
2013-12-31;14;130,6;955,249731;26,071102;6,6;1,937598;
2014-01-31;24;191;958,607392;24,977957;7,9;2,036793;
2014-02-28;14;120,4;957,393452;25,613244;5,9;2,138691;
2014-03-31;11;179,2;958,274866;24,332124;7,2;1,98172;
2014-04-30;8;69,6;959,856389;23,604861;7,2;2,127083;
2014-05-31;11;238,2;961,041936;20,086156;7,6;2,189919;
2014-06-30;11;81;961,777222;20,500972;8,6;2,395833;
2014-07-31;null;null;963,876479;19,660081;7;2,265457;
2014-08-31;3;null;962,125672;22,879301;7,1;2,312097;
2014-09-30;9;164,4;958,738056;25,470278;6,8;2,539444;
2014-10-31;7;50;958,57043;26,908737;10,1;2,366532;
2014-11-30;17;139;956,987917;24,472083;11,2;2,086389;
2014-12-31;27;48;956,802151;25,143011;7,8;2,169489;
2015-01-31;13;57,2;959,108333;25,940095;7,7;null;
2015-02-28;null;null;957,669643;25,349851;null;null;
2015-03-31;null;null;958,356452;25,164919;null;null;
2015-04-30;null;null;959,668056;23,840139;null;null;
2015-05-31;null;null;961,408468;21,010081;null;null;
2015-06-30;null;null;963,150278;21,108333;null;null;
2015-07-31;null;null;962,03172;20,443011;null;null;
2015-08-31;null;null;960,611828;24,777016;null;null;
2015-09-30;5;55,2;958,2725;25,168611;null;null;
2015-10-31;null;null;958,291935;25,509812;null;null;
2015-11-30;null;null;956,444861;25,751667;null;null;
2015-12-31;null;0;957,854032;25,610618;null;null;
2016-01-31;null;null;956,02957;24,9875;null;null;
2016-02-29;null;null;958,431753;25,734914;null;null;
2016-03-31;12;179,8;959,934409;24,886021;null;null;
2016-04-30;5;20;959,629583;25,1675;null;null;
2016-05-31;7;111,8;962,632124;19,783736;null;null;
2016-06-30;9;46,6;963,947917;18,587351;6,1;null;
2016-07-31;3;18;962,460215;20,698522;7,8;2,327016;
2016-08-31;10;56;961,204704;21,811962;7,8;2,379436;
2016-09-30;4;42,4;961,702222;21,722778;null;null;
2016-10-31;6;18,4;958,226964;24,519653;null;null;
2016-11-30;6;48,4;957,392083;25,065833;null;null;
2016-12-31;16;165,8;957,19086;24,883871;7;2,215629;
2017-01-31;16;267,4;957,80457;25,253764;7,1;1,813949;
2017-02-28;5;77,2;957,587798;25,548065;6,1;1,821085;
2017-03-31;6;64;958,497715;25,024597;6,9;1,894513;
2017-04-30;14;132,2;959,982778;22,224722;7,3;2,136111;
2017-05-31;null;null;null;null;7,4;null;
2017-06-30;null;null;null;null;8,4;null;
2017-07-31;null;null;null;null;7,5;null;
2017-08-31;null;null;null;null;8;null;
2017-09-30;3;null;null;null;6,1;null;
2017-10-31;11;79,8;957,567204;24,853898;8,8;2,42391;
2017-11-30;13;230,6;956,1225;24,692361;7,9;2,15059;
