Nome: BELA VISTA
Codigo Estacao: A757
Latitude: -22.10166666
Longitude: -56.54083333
Altitude: 206.09
Situacao: Fechada
Data Inicial: 2011-08-08
Data Final: 2023-02-09
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2011-08-31;5;null;null;21,998016;7,3;null;
2011-09-30;8;63,6;989,984861;22,359167;7,2;1,831944;
2011-10-31;14;117,8;985,490994;24,882796;9,3;2,027419;
2011-11-30;8;193,8;985,3975;25,070139;7;1,84875;
2011-12-31;8;49,4;984,850134;26,062634;6,3;1,747446;
2012-01-31;11;126,2;984,486962;26,947984;6,5;1,745699;
2012-02-29;12;144,8;985,932471;26,105172;6,3;1,606897;
2012-03-31;16;177,6;987,983871;24,369086;6,4;1,428898;
2012-04-30;14;133,6;null;23,368472;7,3;1,584444;
2012-05-31;19;146,6;989,898558;20,632527;5,1;1,428898;
2012-06-30;20;226;991,132911;19,050012;6,3;1,728406;
2012-07-31;12;20,2;992,126478;17,598253;7,6;1,859677;
2012-08-31;4;17,8;991,844076;21,727862;5,5;2,021607;
2012-09-30;7;39,6;988,9925;24,139583;8,3;2,097917;
2012-10-31;2;88,4;985,362903;26,491935;9,8;2,063441;
2012-11-30;0;0;984,71875;26,208889;6,1;1,743195;
2012-12-31;null;null;983,856855;27,646102;6,6;1,875269;
2013-01-31;null;null;985,576554;26,684899;9,5;1,662973;
2013-02-28;null;null;985,570089;26,822768;6,1;1,665502;
2013-03-31;null;null;986,826972;26,241092;6,1;1,709222;
2013-04-30;null;0;989,190912;22,396661;6,1;1,434293;
2013-05-31;20;165,4;989,895565;21,108871;7,3;1,762231;
2013-06-30;22;219,2;990,784962;19,788599;4,8;1,397651;
2013-07-31;14;31,4;993,082393;18,33871;5,2;1,651344;
2013-08-31;3;,6;992,147849;17,921102;8;2,205107;
2013-09-30;7;59;989,238889;22,589861;7,5;2,158056;
2013-10-31;17;209,6;987,685349;24,035349;7,5;1,722984;
2013-11-30;10;221,4;985,145833;26,106806;7,8;1,8125;
2013-12-31;17;161,6;983,564516;27,035215;6,1;1,560753;
2014-01-31;15;159,6;986,813844;26,356048;7,2;1,641936;
2014-02-28;18;131,8;null;26,069345;5,8;1,524107;
2014-03-31;16;165,2;null;24,948253;10,1;1,525;
2014-04-30;15;186,2;null;23,919583;9,8;1,604445;
2014-05-31;20;212,6;null;19,844624;7,8;1,583602;
2014-06-30;15;120,8;null;20,29375;7,1;1,904306;
2014-07-31;14;109;null;19,104704;7,1;1,717608;
2014-08-31;6;23,6;null;21,590457;7;1,732661;
2014-09-30;12;107,4;986,905833;25,539167;7,1;2,132778;
2014-10-31;1;null;986,760991;27,253159;6,5;1,870339;
2014-11-30;10;null;null;25,028908;6,3;null;
2014-12-31;14;208,6;985,172984;26,538307;6,9;1,923925;
2015-01-31;16;89;987,470851;26,964423;7,6;1,605312;
2015-02-28;14;113,4;986,066964;26,767262;5;1,552827;
2015-03-31;16;104,4;987,364516;25,108333;7,9;1,419758;
2015-04-30;12;227;988,692222;24,268194;6,5;1,436945;
2015-05-31;19;194,6;990,632527;21,389247;6;1,663575;
2015-06-30;16;97;992,216389;20,860417;5,4;1,878194;
2015-07-31;18;147,8;991,23293;19,672581;9,8;2,071909;
2015-08-31;5;5,6;989,045833;23,079301;6,6;2,070027;
2015-09-30;12;150,2;986,897222;24,334306;7,7;2,262361;
2015-10-31;13;148,8;986,950862;25,513844;6,5;2,276747;
2015-11-30;16;245,6;984,622619;26,193056;7,7;2,119306;
2015-12-31;19;268,8;null;26,925134;10,4;2,480645;
2016-01-31;19;266,8;984,491532;26,571237;7,2;1,797312;
2016-02-29;18;248,4;986,609052;26,784626;5,6;1,939511;
2016-03-31;13;125,6;989,212366;24,622715;5,2;1,60121;
2016-04-30;10;66;988,441389;24,896389;7,4;2,023333;
2016-05-31;21;174,4;null;18,885215;6,3;1,699731;
2016-06-30;15;17,6;995,716506;16,317361;4,6;1,615417;
2016-07-31;7;24,4;991,753898;19,135484;7,9;2,095161;
2016-08-31;11;52,6;990,307083;20,686758;10;2,149784;
2016-09-30;8;null;990,742337;21,008906;7,9;1,896388;
2016-10-31;10;135,8;986,863056;24,635657;11,9;2,298388;
2016-11-30;6;null;null;25,087633;12,4;null;
2016-12-31;19;319,8;985,420027;25,955108;8,2;2,205376;
2017-01-31;13;114,4;986,06922;26,842876;5,8;1,939247;
2017-02-28;5;49,6;986,087798;26,754613;8,6;1,813095;
2017-03-31;null;null;987,193817;25,963306;5,8;1,734274;
