Nome: BATAGUASSU
Codigo Estacao: A759
Latitude: -21.75
Longitude: -52.47138888
Altitude: 392.13
Situacao: Operante
Data Inicial: 2013-03-20
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2013-03-31;null;null;null;null;null;null;
2013-04-30;2;null;null;22,286508;6,8;null;
2013-05-31;7;55,6;969,777823;22,061559;7,2;3,169302;
2013-06-30;10;null;970,530336;20,607418;8,9;3,037239;
2013-07-31;5;19,8;972,870699;19,222849;8,3;3,421371;
2013-08-31;0;0;971,325941;20,267742;10,3;3,952016;
2013-09-30;11;62;969,264167;23,095139;11,4;4,093195;
2013-10-31;12;129,2;967,83172;24,132124;10,6;3,604354;
2013-11-30;7;63;965,582083;25,638333;11,7;3,704698;
2013-12-31;9;115,8;963,870968;27,04328;10,3;3,041258;
2014-01-31;14;62,2;967,453495;26,686559;11,9;2,777949;
2014-02-28;9;68,2;966,328423;27,385268;9,2;3,450506;
2014-03-31;13;147,4;967,291935;25,283065;13;2,952563;
2014-04-30;14;83;968,890278;23,864167;11,1;3,172506;
2014-05-31;8;39,4;970,113575;21,015591;8,6;3,189674;
2014-06-30;6;14,8;971,013889;20,983056;8,5;3,308333;
2014-07-31;10;87,2;973,490726;19,585753;11,3;3,62836;
2014-08-31;3;6,4;971,410349;23,085753;7,9;3,728103;
2014-09-30;10;160,2;968,300417;24,265;13;4,110624;
2014-10-31;4;55,4;967,972312;26,510618;9,9;3,8041;
2014-11-30;15;194,6;965,932222;24,7975;9,9;3,100132;
2014-12-31;16;127,8;965,733064;25,914785;7,9;3,204127;
2015-01-31;11;257;967,670091;27,174492;9;2,866908;
2015-02-28;19;231,4;966,502381;25,543453;7,2;2,55137;
2015-03-31;16;178,4;967,277016;24,980335;8;2,635525;
2015-04-30;8;65,6;968,586944;24,88;7,9;2,906443;
2015-05-31;8;77;970,700806;21,85793;7,9;3,144489;
2015-06-30;5;29;972,740711;21,787637;8;3,412754;
2015-07-31;14;119,4;971,525538;20,71129;9;3,52;
2015-08-31;4;10,8;970,523656;24,052823;9;3,81707;
2015-09-30;9;146,8;967,360833;25,168611;11,6;3,295592;
2015-10-31;14;253,2;967,381317;25,994624;9;3,315902;
2015-11-30;20;257;965,356515;25,961401;9,4;2,956227;
2015-12-31;8;null;null;null;7,1;null;
2016-01-31;1;null;null;null;null;null;
2016-02-29;18;161,8;967,32227;26,769397;7;2,453264;
2016-03-31;10;79;968,685887;25,698387;9,1;2,863465;
2016-04-30;2;59,4;968,444305;26,590833;7,5;2,988255;
2016-05-31;14;132;971,81828;20,377151;8;3,211803;
2016-06-30;7;39,8;973,552778;18,789444;6,8;2,967065;
2016-07-31;3;12,8;971,835349;21,167339;7,4;3,234946;
2016-08-31;7;86,6;970,442473;22,302554;9,1;3,551636;
2016-09-30;4;38,2;970,688472;22,283056;8,8;3,388561;
2016-10-31;7;81,4;967,364522;24,762658;9,7;3,593628;
2016-11-30;8;94;966,120833;26,060972;9,6;3,26661;
2016-12-31;21;233,6;966,061021;26,009274;9,6;3,148839;
2017-01-31;20;235,6;966,791801;25,74086;8,6;2,510232;
2017-02-28;9;139,2;966,321131;27,392857;7,7;2,612749;
2017-03-31;7;130,2;967,450538;26,381317;9,8;2,544892;
2017-04-30;12;47,4;969,017639;23,593611;7,3;3,129444;
2017-05-31;10;139,6;969,514919;23,139382;9,2;3,193145;
2017-06-30;5;32,8;972,267917;20,383472;8,2;3,2925;
2017-07-31;0;0;975,572581;20,459409;9,3;3,905645;
2017-08-31;8;92,8;970,227419;22,91828;9;3,969969;
2017-09-30;2;16,4;969,802639;26,823611;8,2;3,856987;
