Nome: COSTA RICA
Codigo Estacao: A760
Latitude: -18.49277777
Longitude: -53.17138888
Altitude: 727.34
Situacao: Operante
Data Inicial: 2012-12-03
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2012-12-31;18;null;929,474333;24,158167;13;3,265167;
2013-01-31;21;484,4;929,63414;23,811156;9,5;3,16707;
2013-02-28;21;301,8;930,593304;23,465476;8;3,183036;
2013-03-31;21;216;930,812969;24,000237;7,9;3,0892;
2013-04-30;9;56,6;932,451618;22,177047;8,3;2,924577;
2013-05-31;2;10;933,058456;21,983672;9,3;3,213277;
2013-06-30;6;48,4;933,787589;21,638881;8,5;3,157379;
2013-07-31;5;18,4;935,266936;19,767473;9,3;3,551747;
2013-08-31;1;,2;934,017876;21,085753;7,8;3,783602;
2013-09-30;8;42,4;932,372778;23,820139;11,7;3,913333;
2013-10-31;17;111,8;931,194431;23,860291;9,9;3,423083;
2013-11-30;20;185,2;929,279922;23,924722;9,6;3,253339;
2013-12-31;19;171,8;928,400085;24,069149;10,6;3,306603;
2014-01-31;25;266;931,604377;23,255622;10,7;2,976578;
2014-02-28;20;318;930,270063;23,419908;9;3,13894;
2014-03-31;21;330,4;930,993022;23,402267;8,9;3,178606;
2014-04-30;13;129,6;932,073569;23,441576;7,8;2,884251;
2014-05-31;5;31,2;933,114785;21,154436;8,7;3,217742;
2014-06-30;3;15,2;934,168333;20,945555;8,7;3,455417;
2014-07-31;5;166;935,915457;20,466532;10;3,574731;
2014-08-31;0;0;934,368548;22,984543;8,9;3,66922;
2014-09-30;9;102,4;931,865972;24,6225;10,9;3,689583;
2014-10-31;11;40,8;931,354032;25,632258;17,6;3,638307;
2014-11-30;21;237;929,834861;23,502361;10,2;3,428194;
2014-12-31;25;347,8;930,018817;23,459543;7,8;3,18172;
2015-01-31;19;110,8;931,919881;24,715948;8,7;2,744331;
2015-02-28;23;187,6;930,901935;23,539286;10,9;3,163988;
2015-03-31;26;239,8;931,108088;22,989388;8,5;2,765323;
2015-04-30;15;70,8;931,995972;23,52875;7,4;2,687778;
2015-05-31;10;169,2;933,597984;21,399731;7,9;3,019758;
2015-06-30;1;25,6;935,450556;21,072083;7,7;3,705;
2015-07-31;4;13,6;934,537021;21,774953;9,4;3,610133;
2015-08-31;2;26,2;933,572849;23,718683;10,6;3,870833;
2015-09-30;6;32,8;931,285972;25,30125;11,6;4,007639;
2015-10-31;null;null;930,997043;26,141801;9,2;3,540591;
2015-11-30;9;57,2;929,746944;24,687639;13,6;3,668194;
2015-12-31;24;239,2;931,390995;24,246774;11,5;3,54543;
2016-01-31;21;382,6;929,051479;24,168952;8,6;3,468817;
2016-02-29;19;137,2;931,615086;24,793535;10,4;3,050862;
2016-03-31;20;225;932,371774;24,02164;9,3;2,838844;
2016-04-30;7;85,2;932,181111;24,316944;8,8;3,073611;
2016-05-31;6;36;934,459946;21,641532;7,4;3,14328;
2016-06-30;11;17;935,927917;19,797778;6,9;3,007083;
2016-07-31;0;0;934,787097;21,239516;7,6;3,575;
2016-08-31;5;61,8;933,69785;22,284812;9,9;3,661425;
2016-09-30;null;null;933,304795;23,204022;9,1;3,300181;
2016-10-31;null;null;930,824059;23,544489;10,5;3,404435;
2016-11-30;null;null;929,895417;23,3175;9,3;3,128889;
2016-12-31;null;null;930,280376;23,442608;9,1;3,141263;
2017-01-31;null;null;930,929973;23,233064;9,2;2,890323;
2017-02-28;null;null;930,509077;23,502976;9,8;2,890476;
2017-03-31;null;null;931,112231;23,667608;10,1;2,646102;
2017-04-30;null;null;932,127996;23,286458;9,8;3,057787;
2017-05-31;9;100,2;932,84328;22,988844;11,5;3,288844;
2017-06-30;5;12,2;934,804306;20,472778;7,6;3,509306;
2017-07-31;null;0;937,405107;20,106065;8,4;3,923044;
2017-08-31;4;31;933,071773;23,27207;9,7;3,814217;
2017-09-30;1;,4;932,975383;26,026688;8,6;3,698062;
2017-10-31;4;5,2;930,37444;25,343142;13,5;3,72189;
2017-11-30;null;null;928,981007;24,427587;10,8;3,415444;
2017-12-31;11;null;929,33788;23,26553;8,7;3,073586;
2018-01-31;28;158;930,299731;23,599059;10,6;3,07164;
2018-02-28;18;185,2;929,884375;23,553125;7,9;2,839137;
2018-03-31;19;271,8;930,536425;24,123118;7,7;2,458871;
2018-04-30;8;98,6;932,940833;23,059167;7,5;2,867639;
2018-05-31;5;29,4;934,182258;21,309812;7,9;3,302419;
2018-06-30;4;3;935,2675;20,806528;9,5;3,500555;
2018-07-31;0;0;934,891935;21,313038;7,6;3,474597;
2018-08-31;1;7,4;934,538172;22,126075;9,6;3,664247;
2018-09-30;11;107,2;931,341528;23,506667;10,5;3,678611;
2018-10-31;17;125,2;930,375538;24,73293;10,7;3,396236;
2018-11-30;24;439,4;929,395833;23,801667;11,3;3,209028;
2018-12-31;16;108,8;930,884163;24,348071;8;3,061396;
2019-01-31;22;208,4;932,346102;24,149866;12,5;2,934274;
2019-02-28;18;158,8;930,660714;23,954018;10,1;3,035714;
2019-03-31;19;123,8;931,926496;24,029506;8,4;2,913406;
2019-04-30;15;222,4;931,883611;23,765139;7,3;2,670972;
2019-05-31;10;51,8;932,970348;22,067748;7,3;2,969174;
2019-06-30;2;5;935,375278;21,060417;9,7;3,38462;
2019-07-31;2;1;934,969086;20,650941;8,2;3,310484;
2019-08-31;4;54;935,450672;22,769355;7,8;3,752957;
2019-09-30;3;25;931,753472;26,924722;9,3;3,866945;
2019-10-31;10;null;null;25,023221;11,5;null;
2019-11-30;10;null;null;24,538553;9,6;null;
2019-12-31;23;165;930,076613;24,325269;9,8;3,248925;
2020-01-31;17;156;929,716398;24,650538;8,2;3,037903;
2020-02-29;2;3,4;930,762069;23,932615;8,6;2,807759;
2020-03-31;11;35,2;931,043817;24,633065;8,5;2,933333;
2020-04-30;null;null;933,042083;23,388194;11,7;2,874028;
2020-05-31;null;null;934,471237;19,839247;7,2;2,993145;
2020-06-30;null;null;934,212361;21,747778;9,8;3,52625;
2020-07-31;null;0;934,091263;21,681586;7,8;3,547715;
2020-08-31;1;,4;933,615323;23,095027;9,5;3,9125;
2020-09-30;1;,8;931,754445;27,1125;8,4;3,75375;
2020-10-31;null;null;929,808737;26,569758;9,8;3,611559;
2020-11-30;null;null;930,244444;25,417917;9,8;3,527639;
2020-12-31;null;null;929,862097;24,306855;12,3;3,416936;
2021-01-31;null;null;930,400538;23,483333;11,1;2,902688;
2021-02-28;null;null;929,527232;23,526488;8,6;2,671131;
2021-03-31;null;null;930,992339;23,627688;7,8;3,04879;
2021-04-30;null;null;932,092222;23,346111;7;2,801944;
2021-05-31;4;90,4;933,912231;21,802151;7,7;3,092742;
2021-06-30;3;6,4;934,714167;20,435972;8,3;3,265278;
2021-07-31;0;0;936,017608;19,52621;7,5;3,50457;
2021-08-31;2;5,2;934,051613;23,450941;8,1;3,471371;
2021-09-30;7;38;931,525556;26,836944;8,6;3,608472;
2021-10-31;null;null;930,449731;24,443952;13;3,92621;
2021-11-30;null;null;929,079861;24,423056;9,1;3,185139;
2021-12-31;null;null;928,167876;24,143011;9,5;2,927016;
2022-01-31;null;null;929,458064;23,708333;9,5;2,990591;
2022-02-28;null;null;930,111012;23,823214;10,2;2,872619;
2022-03-31;null;null;930,816398;23,641667;8;2,624597;
2022-04-30;null;null;931,805164;23,446023;6,7;2,819365;
2022-05-31;null;null;null;null;8,4;null;
2022-06-30;null;null;null;null;7,1;null;
2022-07-31;null;null;null;null;8,9;null;
2022-08-31;2;null;null;21,896389;9,9;null;
2022-09-30;9;93,4;931,906389;23,958056;9,1;3,860556;
2022-10-31;14;154,6;930,833333;23,96586;12,7;3,562769;
2022-11-30;9;77,4;930,125;23,194306;10,2;3,581667;
2022-12-31;22;323,8;928,630511;23,756989;8,5;3,042876;
2023-01-31;26;314,6;930,143683;22,962366;8;3,225134;
2023-02-28;23;276,6;931,325298;23,311012;9,5;2,925893;
2023-03-31;21;263,4;931,56707;23,582527;7,4;2,880914;
2023-04-30;16;186;931,567639;22,765972;8,9;2,804167;
2023-05-31;2;57;933,838575;21,690188;7,1;3,047715;
2023-06-30;5;27;935,606389;19,219445;6,1;3,156389;
2023-07-31;1;2,2;935,115457;21,734677;9,6;3,518548;
2023-08-31;3;35,6;932,908333;24,029301;12;3,732527;
2023-09-30;8;64,6;931,534445;25,928611;9,5;3,548195;
2023-10-31;6;null;null;null;null;null;

