Nome: PORTO ALEGRE - JARDIM BOTANICO
Codigo Estacao: A801
Latitude: -30.05361111
Longitude: -51.17472221
Altitude: 41.18
Situacao: Operante
Data Inicial: 2000-09-21
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2000-09-30;2;null;null;null;null;null;
2000-10-31;17;125,8;1010,146708;19,287709;8;2,321121;
2000-11-30;11;137,6;1007,403333;21,070694;7,9;2,212778;
2000-12-31;14;73,6;1005,127016;23,58172;7,7;1,827151;
2001-01-31;10;null;1006,439982;25,255208;7,5;1,747061;
2001-02-28;13;104,2;1006,568155;25,692411;6,1;1,920387;
2001-03-31;13;111,6;1007,538574;24,970078;5,5;1,626993;
2001-04-30;18;287,2;1010,352977;21,038714;5,1;1,453358;
2001-05-31;7;null;null;null;5;null;
2001-06-30;13;null;1014,135588;15,651309;13,3;1,645231;
2001-07-31;7;null;null;14,485417;6,3;null;
2001-08-31;7;21,2;1014,870021;18,749807;5,4;1,39096;
2001-09-30;9;null;1012,216703;17,745833;6,1;2,249616;
2001-10-31;6;35,6;1007,728412;21,236276;7,6;2,071422;
2001-11-30;10;null;1007,269135;21,459628;7,7;2,152451;
2001-12-31;7;null;1006,313893;22,575601;5,2;2,102982;
2002-01-31;11;74,8;1005,804012;24,611915;6,1;1,921063;
2002-02-28;13;80,2;1007,277756;23,706625;6,1;1,762552;
2002-03-31;13;90,6;1007,0322;25,72052;6,3;1,705521;
2002-04-30;14;92,2;1009,5413;20,970847;5,3;1,807723;
2002-05-31;7;null;1010,334058;19,098074;10,3;1,164085;
2002-06-30;9;null;null;15,676402;5,7;null;
2002-07-31;9;null;1014,354707;14,340554;6,9;1,332567;
2002-08-31;11;120;1011,917889;17,051735;5,9;1,435966;
2002-09-30;10;null;1011,538871;15,953226;5,5;1,836573;
2002-10-31;14;null;1008,334307;20,276331;7,1;1,850499;
2002-11-30;7;null;null;21,927402;8,2;null;
2002-12-31;6;null;null;null;5,9;null;
2003-01-31;6;92;1005,939014;24,947193;5;1,782452;
2003-02-28;9;null;1006,715497;25,837884;4,8;1,340294;
2003-03-31;5;null;null;null;5,3;null;
2003-04-30;8;null;1011,329227;19,716659;6;1,476588;
2003-05-31;4;null;null;17,954567;6,3;null;
2003-06-30;8;null;null;16,804401;5,8;null;
2003-07-31;13;149,8;1014,849526;15,041446;5,7;1,365801;
2003-08-31;7;null;1016,673018;14,228098;5,4;1,638721;
2003-09-30;8;null;1013,712862;15,882364;6,4;1,846856;
2003-10-31;6;null;1011,136096;19,796833;9,5;1,888109;
2003-11-30;9;null;1006,928119;21,288421;7,1;1,964193;
2003-12-31;6;null;1006,529119;22,437294;6,5;2,050079;
2004-01-31;5;null;1006,153409;24,691704;7,5;1,96542;
2004-02-29;6;null;1008,602567;23,907819;5;1,683055;
2004-03-31;8;null;1008,992719;22,765597;5,5;1,99151;
2004-04-30;7;null;null;23,664035;5,5;null;
2004-05-31;9;null;null;null;4,9;null;
2004-06-30;8;null;1014,442595;16,09047;4,9;1,123498;
