Nome: URUGUAIANA
Codigo Estacao: A809
Latitude: -29.83999999
Longitude: -57.08194443
Altitude: 74.29
Situacao: Operante
Data Inicial: 2006-09-27
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-09-30;2;null;null;null;null;null;
2006-10-31;6;173,8;1003,594624;21,705914;9,7;3,977554;
2006-11-30;5;143;1003,581486;22,036618;12;4,080719;
2006-12-31;7;107,2;1001,249848;26,08334;9,2;3,324406;
2007-01-31;6;35,2;1000,905914;25,968952;8,4;3,235349;
2007-02-28;10;170;1001,779264;25,470918;9;3,443155;
2007-03-31;14;273,8;1003,270746;23,86361;8,8;3,221149;
2007-04-30;11;93,8;1005,819028;21,516944;11,4;3,00375;
2007-05-31;10;23,6;1009,965188;13,551075;8;2,484677;
2007-06-30;11;58,4;1007,356895;13,444627;7,7;2,154403;
2007-07-31;7;16;1008,555274;11,143283;8,5;2,753818;
2007-08-31;14;93,8;1009,212537;12,616748;10;3,511157;
2007-09-30;8;null;1007,357212;18,673077;11,1;4,357051;
2007-10-31;13;103,2;1002,909157;21,23232;10,1;4,24622;
2007-11-30;5;null;1002,755247;21,76891;9,5;3,013673;
2007-12-31;5;62,4;1001,385215;24,926747;9,3;2,894489;
2008-01-31;9;143;1001,957918;26,058614;10,2;3,751338;
2008-02-29;8;102,6;1002,235201;25,402011;8,8;2,795977;
2008-03-31;6;118,2;1003,805108;23,597312;8,1;2,813306;
2008-04-30;6;53,4;1004,44625;19,341805;6,4;2,170139;
2008-05-31;11;79,2;1008,815495;15,374022;6,7;2,701944;
2008-06-30;10;null;1009,948249;11,515362;7;2,523222;
2008-07-31;8;67,6;1007,991753;16,495679;8,8;3,719828;
2008-08-31;10;98,4;1006,999378;14,387742;10;3,436141;
2008-09-30;4;30;1009,069494;15,667411;8,8;3,68006;
2008-10-31;8;202,2;1006,095635;19,726293;11,1;3,843314;
2008-11-30;4;14,6;1003,585048;24,130405;8,1;2,665719;
2008-12-31;5;24,2;1002,213441;25,708333;8,6;2,400538;
2009-01-31;10;109;1002,674211;25,27798;9;2,968122;
2009-02-28;10;133,8;1001,9;25,2875;8;2,652381;
2009-03-31;5;139,2;1003,02621;23,880108;5,8;2,107124;
2009-04-30;6;25;1007,306389;20,761389;9,1;2,100139;
2009-05-31;7;91,6;1006,358602;17,487231;9;2,691532;
2009-06-30;11;18,4;1009,83425;11,565948;8,4;2,561944;
2009-07-31;7;27,8;1010,00793;10,89543;12,4;2,557661;
2009-08-31;3;27;1006,969086;16,56129;11,8;3,934677;
2009-09-30;13;120,4;1007,450972;15,653611;11;2,683333;
2009-10-31;6;46,4;1003,708908;19,813218;9,9;2,315517;
2009-11-30;21;558,6;998,307639;23,494722;11,3;2,151667;
2009-12-31;12;309,8;1001,385215;24,263844;10,6;1,111962;
2010-01-31;10;168,6;1001,291557;25,600782;9,9;,709005;
2010-02-28;14;303;1001,020536;25,629911;8,6;1,165476;
2010-03-31;4;134,2;1003,273387;24,120833;9,6;1,14664;
2010-04-30;7;31,8;1007,835278;19,361667;9,9;1,6125;
2010-05-31;17;188,2;1008,74879;15,612769;13,3;1,683468;
2010-06-30;6;5,6;1009,575833;14,202083;9,9;2,122778;
2010-07-31;13;126,6;1009,73414;12,759409;8,6;2,246505;
2010-08-31;4;8,2;1009,957319;14,026939;9,6;2,623182;
2010-09-30;12;162;1006,088333;16,809583;14,4;2,469444;
2010-10-31;7;46;1006,216129;18,765995;10,3;2,566398;
2010-11-30;5;22,6;1002,981111;22,134306;8;2,030417;
2010-12-31;8;94,2;999,344893;24,953629;9,8;2,418011;
2011-01-31;14;119;999,587366;26,550672;8,6;1,563979;
2011-02-28;9;76;1002,298512;25,026935;7,8;1,860863;
2011-03-31;4;79,8;1004,131513;23,121442;8,4;1,988691;
2011-04-30;7;58;1005,492778;20,356389;8,1;1,304444;
2011-05-31;9;56,4;1009,435484;16,288172;8,7;1,993145;
2011-06-30;12;57;1007,875556;13,254306;9,1;1,965694;
2011-07-31;11;57,6;1008,651613;12,518548;9,9;2,138038;
2011-08-31;8;97,2;1007,250135;14,19785;9,7;2,812366;
2011-09-30;6;75;1008,637639;17,440972;11,2;3,125;
2011-10-31;11;179;1004,167742;19,340323;12,2;1,669893;
2011-11-30;5;54,2;1003,277639;23,399306;9,5;2,504861;
2011-12-31;5;173,6;1002,002383;23,941508;15,5;3,118157;
2012-01-31;6;51,4;1001,802016;26,028495;8,1;3,188844;
2012-02-29;8;99,4;1001,106897;26,56796;10,5;3,205172;
2012-03-31;8;43;1004,81513;23,26953;9,5;2,700152;
2012-04-30;7;143;1006,056111;19,465139;9,9;2,443611;
2012-05-31;8;40;1008,337231;18,009677;8,4;2,931317;
2012-06-30;8;39,2;1008,33375;14,121389;7,4;2,638611;
2012-07-31;4;30,8;1010,125538;11,532124;8,2;2,76129;
2012-08-31;11;137;1008,850922;18,019167;10,8;3,855472;
2012-09-30;4;null;null;null;11,2;null;
2012-10-31;3;null;null;null;9,7;null;
2012-11-30;4;35,4;1002,957639;24,310139;8,3;3,425833;
2012-12-31;14;309;999,493145;24,828763;11,3;3,748118;
2013-01-31;7;150,8;1003,61828;24,422581;8,5;3,165054;
2013-02-28;10;261;1002,275446;24,481548;8,2;3,20372;
2013-03-31;11;150,8;1005,242306;21,159195;12,5;3,060278;
2013-04-30;5;86,6;1006,55;19,835972;10,7;2,568056;
2013-05-31;14;96,6;1007,127016;15,882527;9,2;2,653495;
2013-06-30;16;29,6;1008,585972;13,811982;6,3;2,330164;
2013-07-31;10;97,2;1010,376712;13,811179;10,1;3,143011;
2013-08-31;7;15,8;1010,462903;12,779435;8,4;3,444489;
2013-09-30;6;45,8;1007,289444;17,037222;10,3;3,741667;
2013-10-31;7;80,4;1005,582796;20,429301;9,3;3,753898;
2013-11-30;10;216,6;1002,092778;22,571528;11,5;3,850694;
2013-12-31;5;91,4;999,992876;26,879973;10,9;2,947043;
2014-01-31;11;154,8;1001,848253;26,502688;9,5;3,167608;
2014-02-28;12;294;1002,552976;25,205357;10,2;3,589435;
2014-03-31;12;199,6;1004,188038;21,508871;8,3;2,620968;
2014-04-30;9;82,4;1006,75625;20,0475;10,6;3,196111;
2014-05-31;14;142,8;1007,860127;16,200456;9,5;2,72202;
2014-06-30;11;83,2;1008,690278;13,780139;10,3;3,158056;
2014-07-31;10;89,6;1010,058064;14,827688;8,8;3,162097;
2014-08-31;8;24,2;1008,542876;16,363441;8,6;3,300941;
2014-09-30;16;213,2;1004,780278;17,994028;13,2;3,969167;
2014-10-31;12;132,4;1004,377016;21,89207;11,9;4,098656;
2014-11-30;7;51,2;1003,145972;23,108611;10,7;3,341111;
2014-12-31;13;437,2;1001,860887;23,74664;11,6;3,219355;
2015-01-31;16;210,6;1003,223311;25,001765;8,1;2,798907;
2015-02-28;10;143;1002,90253;25,008929;8,2;2,669792;
2015-03-31;9;92,4;1004,861425;23,518817;7;2,340323;
2015-04-30;2;28,4;1006,828611;21,116389;7,8;2,615694;
2015-05-31;8;106,4;1008,481586;17,574866;8,7;2,719758;
2015-06-30;11;55;1009,155278;15,557778;9,7;2,578889;
2015-07-31;14;77;1008,615726;14,089919;7,2;2,561828;
2015-08-31;14;167,6;1004,822984;18,449059;10,7;2,836693;
2015-09-30;7;60;1005,010278;17,171667;9,9;2,415694;
2015-10-31;14;317,2;1005,320564;18,585215;11;2,606855;
2015-11-30;12;245,8;1002,733056;21,125694;10,3;2,95375;
2015-12-31;13;360,6;1001,312769;23,894489;11,8;1,936021;
2016-01-31;7;115,6;1001,741129;26,700269;9,5;1,52043;
2016-02-29;7;92,8;1002,003305;25,894971;8,1;1,121983;
2016-03-31;10;124,2;1006,658333;21,495027;7,4;1,499731;
2016-04-30;4;null;null;null;null;null;
2016-05-31;null;null;null;null;null;null;
2016-06-30;null;null;null;null;null;null;
2016-07-31;null;null;null;null;null;null;
2016-08-31;8;84;1007,936858;15,87958;9,5;3,297755;
2016-09-30;11;25,4;1009,979022;15,880018;7,3;3,267361;
2016-10-31;15;239,6;1004,597834;19,507501;13,3;null;
2016-11-30;9;84,8;1004,366395;22,111111;9,9;3,284487;
2016-12-31;12;79,4;1001,106317;25,072984;7,7;3,313172;
2017-01-31;10;87;1002,040726;25,346909;9,4;3,199462;
2017-02-28;11;null;1001,837617;25,099909;6,9;2,387511;
2017-03-31;10;90,6;1004,715323;23,134946;8,1;3,221774;
2017-04-30;11;281,4;1006,255139;19,533195;9,8;3,212222;
2017-05-31;20;247,6;1006,396053;17,449194;10,4;3,287647;
2017-06-30;14;81;1008,152861;15,135488;9,1;3,347;
2017-07-31;7;79,4;1011,578091;16,418952;8,3;3,664919;
2017-08-31;17;146,2;1006,356037;16,659028;9,9;3,972155;
2017-09-30;12;null;1007,258601;18,829227;9,3;3,630146;
2017-10-31;9;84,2;1003,227325;19,627442;11,1;4,014735;
2017-11-30;6;88,8;1002,929243;21,893472;10,5;3,345669;
2017-12-31;9;70,8;1001,069793;25,960139;9,3;3,356388;
2018-01-31;10;116,2;1001,404032;25,619758;8,8;3,2375;
2018-02-28;5;53,4;1003,096875;25,091071;9,1;3,16369;
2018-03-31;10;132,2;1002,872214;22,950464;9,1;2,870039;
2018-04-30;8;59,8;1006,315924;23,448883;11,8;3,127729;
2018-05-31;17;169,4;1008,034851;17,499444;9,5;3,302264;
2018-06-30;16;52,8;1010,714093;11,651219;9,2;null;
2018-07-31;11;81,8;1010,117742;12,683333;9,1;2,932124;
2018-08-31;12;60,2;1010,699328;12,91707;9;3,595565;
2018-09-30;14;147;1004,815423;19,333225;14,8;3,836051;
2018-10-31;6;49;1004,945338;20,353396;10;4,028177;
2018-11-30;3;null;1003,151552;23,440446;8,9;3,805896;
2018-12-31;3;null;1002,553598;24,865732;13,8;3,210367;
2019-01-31;18;685,4;1002,317181;25,04266;12,9;3,389323;
2019-02-28;6;58,2;1003,446513;24,461193;6,6;2,898784;
2019-03-31;8;61,4;1006,000538;22,101075;7,6;2,852285;
2019-04-30;11;162,4;1005,585972;20,676528;8,6;2,551528;
2019-05-31;20;116,6;1006,775134;17,84879;7,5;2,973656;
2019-06-30;11;15,6;1007,48625;17,065417;7,1;3,139861;
2019-07-31;11;91;1009,999462;13,085753;null;null;
2019-08-31;8;36,2;1011,714571;14,344127;null;null;
2019-09-30;7;19,4;1007,541528;16,994167;9,1;3,640865;
2019-10-31;15;219,6;1004,342637;20,705686;11,9;4,166994;
2019-11-30;11;217,2;1002,492639;23,4525;9,6;3,678472;
2019-12-31;7;83,2;1002,317339;24,307527;8,7;2,759677;
2020-01-31;9;159,4;1001,615188;25,365995;8,1;3,233602;
2020-02-29;7;105;1003,828305;24,628736;7,1;2,918965;
2020-03-31;5;50;1004,572935;25,384245;8,2;2,750376;
2020-04-30;7;36,6;1008,291806;19,644306;8,9;2,863194;
2020-05-31;11;310,6;1008,088306;15,979032;8;2,978091;
2020-06-30;15;103;1006,083611;15,31875;11,9;3,528889;
2020-07-31;7;16;1008,668145;12,52957;7,9;3,184274;
2020-08-31;4;24;1008,368952;16,613038;9,1;3,713306;
2020-09-30;11;96,8;1006,824861;16,993333;9,2;3,389722;
2020-10-31;5;null;null;null;10,9;null;
2020-11-30;null;null;null;null;9;null;
2020-12-31;6;null;null;24,571429;11,6;null;
2021-01-31;10;null;1000,968364;24,889815;9,5;3,241049;
2021-02-28;9;62;1003,077232;24,037054;7,1;2,462202;
2021-03-31;7;165;1004,107749;22,891176;11,9;2,622201;
2021-04-30;6;42,4;1007,228472;21,115694;7,6;3,207778;
2021-05-31;8;176;1008,838636;14,886962;7,1;2,479753;
2021-06-30;11;120,6;1010,461806;13,026944;11,2;2,857361;
2021-07-31;8;23,8;1011,259677;13,456586;7,1;3,011559;
2021-08-31;8;26,6;1009,015188;15,783333;8,6;3,28871;
2021-09-30;8;128,8;1005,7725;18,050556;11,4;3,740139;
2021-10-31;8;87,8;1005,663575;20,00457;9,2;3,305108;
2021-11-30;10;78,8;1002,947077;23,421292;11,6;3,410827;
2021-12-31;4;31,6;1002,230841;25,683639;8;3,547935;
2022-01-31;5;22,8;1000,239066;28,804512;9,5;3,775818;
2022-02-28;6;46,2;1001,915166;26,414383;9,2;3,123505;
2022-03-31;9;174,6;1004,141556;21,79834;8,5;3,0991;
2022-04-30;13;140,8;1005,644306;19,1;10,9;3,087361;
2022-05-31;14;46,6;1009,484677;14,597177;6,8;2,609274;
2022-06-30;13;35,2;1009,708935;11,751124;6,5;2,470549;
2022-07-31;14;103,8;1005,227835;16,422373;9;3,595748;
2022-08-31;8;100,4;1009,880575;14,353629;9,2;3,562179;
2022-09-30;5;25,2;1008,869034;15,754674;8,8;3,392011;
2022-10-31;7;91,6;1005,677004;19,020516;8,8;3,604655;
2022-11-30;3;31,8;1006,026975;23,116744;8,3;3,699406;
2022-12-31;5;39,4;1001,220055;26,697131;10,7;3,24544;
2023-01-31;6;16,8;1001,180371;28,361202;8,3;3,183919;
2023-02-28;6;null;1002,190423;26,344793;8,7;3,074314;
2023-03-31;12;191,4;1003,279271;26,271008;10,4;2,994979;
2023-04-30;4;16,8;1005,908056;20,170833;8;2,937222;
2023-05-31;11;126,8;1008,455512;17,497705;null;null;
2023-06-30;12;41,8;1009,751528;16,048611;null;null;
2023-07-31;22;24;1009,195711;14,777232;null;null;
2023-08-31;3;14,2;1006,474264;16,758964;null;null;
2023-09-30;19;259,2;1003,891002;17,683074;9,8;3,80558;
2023-10-31;2;null;null;null;null;null;

