Nome: RIO PARDO
Codigo Estacao: A813
Latitude: -29.87222221
Longitude: -52.38194443
Altitude: 106.99
Situacao: Operante
Data Inicial: 2006-09-29
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-09-30;null;null;null;null;null;null;
2006-10-31;9;125,4;1001,46371;19,84328;9,1;3,099731;
2006-11-30;13;161,4;1000,935549;20,327808;11,1;3,29628;
2006-12-31;5;36;998,634564;24,669455;11,1;2,813835;
2007-01-31;13;95,2;997,831989;24,251344;9,3;2,691263;
2007-02-28;12;168,4;999,295536;24,125149;8,5;2,791667;
2007-03-31;17;117,8;1000,31032;23,723299;8,4;2,308181;
2007-04-30;13;60,4;1002,957325;21,064692;9,2;2,39878;
2007-05-31;16;134,8;1005,899731;14,187634;7,2;2,466129;
2007-06-30;15;175,6;1004,169164;13,899825;11,1;2,648777;
2007-07-31;14;144,8;1005,173871;12,103125;12,9;2,849528;
2007-08-31;15;110,8;1006,499906;13,464575;10,9;3,604897;
2007-09-30;14;229;1005,13875;18,801528;11,1;3,132639;
2007-10-31;16;116,2;1000,9544;20,0536;9;3,200251;
2007-11-30;14;null;999,563364;19,99968;9,7;2,826451;
2007-12-31;10;121,8;998,372931;23,002986;7,8;2,649702;
2008-01-31;9;51,4;999,761425;23,573118;8,4;3,165188;
2008-02-29;9;79,8;999,408621;23,455891;7,4;2,806897;
2008-03-31;10;90,6;1000,522849;22,688575;9,4;2,493414;
2008-04-30;19;126,8;1000,510417;18,764306;9,2;2,216945;
2008-05-31;17;183,6;1004,728937;15,708007;8,8;2,606806;
2008-06-30;19;171,2;1006,052245;12,054863;12,8;2,797024;
2008-07-31;11;null;1006,133593;16,320471;10,8;2,561618;
2008-08-31;13;141,6;1003,962524;14,621679;11,2;2,926238;
2008-09-30;12;160,8;1005,626721;15,16349;10,1;3,410139;
2008-10-31;12;null;1003,341606;18,729864;11;3,133467;
2008-11-30;4;20,4;1001,200858;21,811848;10,4;3,403237;
2008-12-31;8;77,2;999,158199;22,752688;8,4;3,054704;
2009-01-31;12;182,6;999,63414;22,800806;10,4;2,880242;
2009-02-28;10;210,2;999,054464;23,587202;9,4;2,621577;
2009-03-31;17;132;999,612097;22,625269;9;2,581183;
2009-04-30;9;11;1003,784167;19,981667;7;2,105972;
2009-05-31;13;106;1003,215726;17,337222;9,9;2,394681;
2009-06-30;13;71;1006,265972;12,674583;12,8;2,610694;
2009-07-31;10;80;1006,410349;11,083736;13,1;2,49422;
2009-08-31;15;289;1004,246505;16,226882;8,9;2,478091;
2009-09-30;17;292,6;1003,453472;16,109028;9,4;3,14125;
2009-10-31;8;82,4;1001,273676;18,360788;11,1;2,898632;
2009-11-30;19;433;996,387222;22,372083;13;2,976111;
2009-12-31;16;203,4;998,508065;23,083736;8,6;2,852419;
2010-01-31;16;183,6;998,601075;24,088331;9;2,544025;
