Nome: GOIOERE
Codigo Estacao: A825
Latitude: -24.18388888
Longitude: -53.04888888
Altitude: 481
Situacao: Operante
Data Inicial: 2006-10-18
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-10-31;2;null;null;null;null;null;
2006-11-30;15;210,2;959,119167;23,859937;8,9;2,535896;
2006-12-31;8;158,6;959,128443;25,211297;10,9;2,22165;
2007-01-31;19;200;957,986828;24,414382;9,7;2,084677;
2007-02-28;12;104,8;959,473861;24,869171;7,8;2,169572;
2007-03-31;11;69,8;961,051741;24,977647;9,9;2,078874;
2007-04-30;12;121,4;962,538472;22,842083;10,1;2,264445;
2007-05-31;12;89,4;964,157422;17,861133;9,2;2,340404;
2007-06-30;2;4,2;964,617005;18,187693;10,6;2,31433;
2007-07-31;5;74,6;964,596209;16,194314;9,4;2,481761;
2007-08-31;4;22,2;964,852636;18,76068;8,7;2,691689;
2007-09-30;4;21;963,489861;23,409722;8,9;2,835694;
2007-10-31;7;null;960,059685;24,218616;10,5;2,914438;
2007-11-30;4;null;958,80476;24,434199;13,6;2,599168;
2007-12-31;13;117,6;958,405278;24,528333;7,6;2,121667;
2008-01-31;15;102,6;958,710417;23,838346;6,9;2,514823;
2008-02-29;9;127,8;959,437486;24,219693;9,3;2,065065;
2008-03-31;12;52,2;960,240995;23,672984;8,5;2,282258;
2008-04-30;10;58,6;959,852719;21,747973;8,1;2,192856;
2008-05-31;4;null;964,056652;18,360123;7,2;2,030971;
2008-06-30;8;null;null;16,210031;9,6;null;
2008-07-31;4;54;965,738208;18,917887;6,7;2,357971;
2008-08-31;7;null;962,553991;20,078583;9,9;2,648556;
2008-09-30;4;24;963,351852;19,455864;9,2;2,921296;
2008-10-31;12;109,2;961,345436;23,772531;13,7;2,798784;
2008-11-30;7;null;959,524213;23,93447;12,4;2,545346;
2008-12-31;6;100,8;958,096832;24,808195;10;2,239919;
2009-01-31;14;120;959,361304;23,589155;8,5;2,087979;
2009-02-28;12;101,2;959,332887;24,954613;9,2;1,931548;
2009-03-31;7;45,4;959,755376;25,208333;7,9;1,599462;
2009-04-30;null;null;962,550278;22,779028;5,6;1,575833;
2009-05-31;null;null;963,23207;19,864666;6,9;1,33313;
2009-06-30;null;null;null;15,011458;6;null;
2009-07-31;null;null;null;17,462917;7,3;null;
2009-08-31;null;null;964,031192;19,820833;9,5;1,886759;
2009-09-30;null;null;961,433842;20,910449;11,4;2,165685;
2009-10-31;null;null;959,461145;22,619227;10;1,565971;
2009-11-30;null;null;957,299861;25,770139;11,9;1,695694;
2009-12-31;null;null;958,324059;24,542473;8,8;1,471909;
2010-01-31;null;null;959,168671;24,653372;8,4;1,549707;
2010-02-28;null;null;959,846131;25,413691;9,9;1,737946;
2010-03-31;null;null;959,705242;24,106317;8,6;1,533333;
2010-04-30;null;null;963,175325;21,866785;9,2;,970771;
2010-05-31;null;null;963,739397;17,913638;6,9;,716595;
2010-06-30;null;null;965,715384;18,126852;8,8;,641559;
2010-07-31;null;null;964,742667;18,935;6,4;,902333;
2010-08-31;null;null;964,715381;20,247596;7,6;1,581842;
2010-09-30;null;null;962,256612;21,786734;10,1;2,454188;
2010-10-31;null;null;960,714918;21,467838;9,4;,897957;
2010-11-30;null;null;958,410972;22,779356;13,5;1,060373;
2010-12-31;18;195,8;956,64422;23,406183;10,4;2,260349;
2011-01-31;16;157;957,572581;24,395027;10,9;1,762231;
2011-02-28;19;232,2;959,330357;24,188691;7,2;1,938393;
2011-03-31;8;117,8;959,758838;24,160058;6,9;2,576178;
2011-04-30;15;112,8;962,164306;21,587083;12,1;1,941389;
2011-05-31;9;12,8;964,782527;18,092876;6,8;1,828629;
2011-06-30;12;94,2;964,46408;15,919971;9,4;2,263649;
2011-07-31;5;null;963,588107;18,840167;7,7;2,395243;
2011-08-31;3;null;964,034594;19,908505;8,5;2,811565;
2011-09-30;5;49,6;964,249617;null;7,7;2,629837;
2011-10-31;14;193;959,700379;22,259337;11,4;2,619587;
2011-11-30;11;173;959,843056;22,875139;8,4;2,46869;
2011-12-31;3;49,8;958,353629;24,3375;8;2,267608;
2012-01-31;8;129,4;958,885753;24,06828;7,3;2,174194;
2012-02-29;13;123,6;959,915805;25,641954;8,6;2,155029;
2012-03-31;7;114,6;961,519869;23,723948;7,7;2,125205;
2012-04-30;15;214,6;961,581667;21,30375;10,7;1,960694;
2012-05-31;13;78;964,811694;18,549194;5,6;2,136156;
2012-06-30;26;245;964,479444;17,2025;11;1,936944;
2012-07-31;12;66,8;965,026882;17,143683;6,3;2,199194;
2012-08-31;2;5,8;966,554935;20,873333;7,4;2,538806;
2012-09-30;9;54,2;963,353056;22,402917;10,3;2,810972;
2012-10-31;10;55;959,89422;23,890591;14,8;2,847312;
2012-11-30;1;39,6;958,594861;24,371528;9,6;2,129861;
2012-12-31;19;178,4;958,183737;25,35215;10,4;2,198387;
2013-01-31;11;148,6;959,756048;24,370564;10,6;2,251075;
