Nome: SAO BORJA
Codigo Estacao: A830
Latitude: -28.65
Longitude: -56.01638888
Altitude: 81.08
Situacao: Operante
Data Inicial: 2007-07-20
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-07-31;1;null;null;null;null;null;
2007-08-31;11;22,6;1008,112033;14,159952;8,5;3,367555;
2007-09-30;14;256,2;1006,003194;20,319861;8,5;3,519722;
2007-10-31;13;210,6;1001,789294;22,22545;9,7;3,406551;
2007-11-30;7;null;1001,770443;21,424004;8,1;2,869537;
2007-12-31;6;null;null;25,898444;9,5;null;
2008-01-31;5;40,8;1000,638306;26,56707;12,4;3,13629;
2008-02-29;13;90,8;1000,996149;25,750595;6;2,57796;
2008-03-31;8;108,8;1002,461705;24,22808;8,8;2,826362;
2008-04-30;8;203;1003,216111;19,891111;9,9;2,224028;
2008-05-31;12;83;1007,618659;15,825054;7,7;2,432277;
2008-06-30;12;163,6;1008,851135;13,427126;9,9;2,551787;
2008-07-31;13;76,2;1006,942876;17,612231;9,4;2,972312;
2008-08-31;10;101,6;1005,69834;16,065743;8,8;2,965381;
2008-09-30;9;80;1007,593611;16,306389;7,7;3,152778;
2008-10-31;13;446,2;1004,496774;20,669355;8,8;3,261156;
2008-11-30;4;12,6;1002,051806;24,359305;7,4;3,203333;
2008-12-31;7;53,6;1000,584274;26,192339;7,7;3,169624;
2009-01-31;8;85,2;1001,426478;25,391801;10,2;3,07957;
2009-02-28;13;121,2;1000,729911;25,970684;7,8;2,716667;
2009-03-31;5;62,8;1001,750134;24,626747;11;2,315054;
2009-04-30;4;14,6;1005,794861;21,945;11,1;2,410139;
2009-05-31;7;116,6;1005,323656;18,600403;6,8;2,660753;
2009-06-30;3;null;null;null;9,1;null;
2009-07-31;10;32,2;1009,308494;11,921955;7,3;2,242468;
2009-08-31;7;126;1005,955914;17,065591;8,1;3,309543;
2009-09-30;13;137,4;1005,665833;17,165139;10;3,393472;
2009-10-31;7;81,8;1002,384339;20,832184;10,6;3,234195;
2009-11-30;19;504,8;997,324583;24,811528;14;3,197222;
2009-12-31;12;56,6;999,976478;25,332661;9,7;2,867204;
2010-01-31;13;319,4;1000,187154;26,024861;7,3;2,825154;
2010-02-28;11;156,2;1000,127827;26,555952;8,4;2,956994;
2010-03-31;5;55,8;1001,880376;24,818011;14,6;2,501882;
2010-04-30;7;92,6;1006,449583;20,436528;8,2;2,765278;
2010-05-31;14;136,6;1007,51828;16,24207;9,1;2,659543;
2010-06-30;11;40,6;1008,377778;15,641111;7,4;2,813472;
2010-07-31;13;214;1008,584028;14,246528;7,8;3,062917;
2010-08-31;8;11,4;1008,938441;15,472849;10,2;3,354704;
2010-09-30;12;282,2;1004,798333;17,984306;8,9;3,302361;
2010-10-31;3;77,6;1004,695565;19,671505;10,3;3,16922;
2010-11-30;5;31,8;1001,508056;22,425972;9,9;2,712222;
2010-12-31;9;325;998,156855;25,193817;12,8;2,814785;
2011-01-31;7;116,2;998,494624;27,10578;7,4;2,147581;
2011-02-28;16;206,8;1000,970536;25,141369;6,7;2,729167;
2011-03-31;5;102,8;1002,559274;24,121347;7,8;2,780572;
2011-04-30;6;null;null;21,851804;9,3;null;
2011-05-31;null;null;null;null;5,8;null;
2011-06-30;12;62,8;1006,954243;14,238548;10,6;2,85351;
2011-07-31;12;44;1007,316936;13,98629;7,8;2,7875;
2011-08-31;7;null;1006,548418;15,77137;9,8;3,222436;
2011-09-30;9;73,4;1007,291944;18,470972;7,4;3,210833;
2011-10-31;11;202,8;1002,686828;20,593011;10,9;3,050269;
2011-11-30;7;54,8;1001,956389;23,917639;7,1;2,968056;
2011-12-31;7;88,2;1000,54543;24,443952;9,3;2,745565;
2012-01-31;6;58,4;1000,389516;26,587903;7,5;2,866532;
2012-02-29;null;null;null;null;null;null;
2012-03-31;2;null;null;21,952546;6,3;null;
2012-04-30;9;100,8;1004,670278;20,259028;13;2,227083;
2012-05-31;5;39,4;1007,338844;19,163575;7,9;2,564382;
