Nome: QUARAI
Codigo Estacao: A831
Latitude: -30.368578
Longitude: -56.437115
Altitude: 113.05
Situacao: Operante
Data Inicial: 2007-10-16
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-10-31;7;null;null;null;13,9;null;
2007-11-30;4;null;998,142885;19,8755;9,7;2,965128;
2007-12-31;6;64,6;996,448656;24,05;10,7;2,900806;
2008-01-31;8;83,2;997,257661;25,410618;9,4;3,49543;
2008-02-29;7;104,8;997,32546;25,212054;7,4;2,841782;
2008-03-31;5;60,6;998,812629;23,038307;7,7;2,99903;
2008-04-30;7;117,2;999,306667;17,874028;11,4;2,263889;
2008-05-31;10;72,6;1003,641908;14,823626;8;2,684041;
2008-06-30;14;105,8;1004,791049;11,105801;10,5;2,636959;
2008-07-31;14;139;1003,024825;15,833532;10,2;3,543765;
2008-08-31;12;85,4;1002,026736;13,457252;11,5;3,349503;
2008-09-30;9;98;1004,1007;14,522597;10,5;3,649336;
2008-10-31;8;213,6;1001,248656;18,802823;10,9;3,679301;
2008-11-30;4;11,2;998,83375;22,989722;8,9;3,404028;
2008-12-31;8;44,8;997,44543;24,51586;9,8;3,246505;
2009-01-31;9;64,4;997,671371;25,081989;10,4;3,728629;
2009-02-28;11;181,2;997,050744;24,803571;11,2;3,111607;
2009-03-31;11;36;998,086425;22,776478;8,2;2,698522;
2009-04-30;5;16,2;1002,376944;19,222083;8,8;2,277222;
2009-05-31;9;133,8;1001,342456;16,535823;9,1;2,940141;
2009-06-30;11;16;1004,586834;10,962832;10,2;2,933817;
2009-07-31;9;29,4;1004,748812;9,768164;13;2,76797;
2009-08-31;7;22;1002,027951;16,075147;14,6;4,070483;
2009-09-30;17;186,2;1002,314583;15,053182;11;3,989517;
2009-10-31;7;74;998,90431;18,74023;11,6;3,709052;
2009-11-30;22;629,8;993,670278;22,72125;14,9;3,807222;
2009-12-31;13;338;996,627419;23,430914;13,2;3,063038;
2010-01-31;10;260;996,475998;24,912778;7,5;2,413537;
2010-02-28;14;186,4;996,331548;24,955804;9,2;2,896131;
2010-03-31;5;38,4;998,430814;23,171318;9,5;2,100999;
2010-04-30;11;111,4;1002,86715;18,323134;14,8;2,285549;
2010-05-31;19;103,4;1003,638786;14,874772;8,9;2,352928;
2010-06-30;12;22,2;1004,570102;13,314885;9,6;2,670977;
2010-07-31;15;231;1004,494159;12,086645;9,8;3,011522;
2010-08-31;8;10;1005,390089;12,978179;9,7;2,985198;
2010-09-30;14;155,8;1001,053195;15,937083;8,7;2,904861;
2010-10-31;4;29,4;1001,167052;17,523714;12,3;2,422061;
2010-11-30;5;31;997,949306;21,057083;9,4;2,03;
2010-12-31;6;30,8;994,494624;25,300269;10,3;2,469892;
2011-01-31;11;90,2;994,716801;26,738306;13,6;1,429435;
2011-02-28;11;183,6;997,457738;24,446131;8,1;1,34003;
