Nome: SAO GABRIEL
Codigo Estacao: A832
Latitude: -30.34138888
Longitude: -54.31083333
Altitude: 114.89
Situacao: Operante
Data Inicial: 2007-07-10
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-07-31;null;null;null;null;null;null;
2007-08-31;null;null;null;null;null;null;
2007-09-30;null;null;null;null;null;null;
2007-10-31;12;null;null;19,729091;7,1;null;
2007-11-30;7;null;998,812719;19,913971;6,6;1,982415;
2007-12-31;8;104,2;997,368817;24,138441;6,8;2,161828;
2008-01-31;6;30,6;998,624059;24,815457;7,9;3,059812;
2008-02-29;9;91,8;998,473046;24,225893;8;2,174253;
2008-03-31;9;58,6;999,672703;23,038154;7,5;2,01648;
2008-04-30;11;108,2;999,938333;18,114167;8,6;1,071389;
2008-05-31;7;110,2;1004,249909;14,947083;6,2;1,443768;
2008-06-30;14;117;1005,436602;11,774692;7,5;1,689347;
2008-07-31;13;225,6;1004,661156;15,576747;7,3;2,032392;
2008-08-31;12;182,4;1003,057392;14,102957;7,7;2,003226;
2008-09-30;10;129,2;1004,970048;14,941703;7,5;2,353333;
2008-10-31;14;238,8;1002,395161;19,067339;9,2;2,65;
2008-11-30;6;61;1000,089028;23,075278;7,8;2,931389;
2008-12-31;9;62,4;998,289651;24,315726;6,9;2,232393;
2009-01-31;13;84,2;998,723925;24,472043;8,1;2,535618;
2009-02-28;10;208,2;998,125149;24,828125;6,5;2,099405;
2009-03-31;12;97,8;998,940054;23,210484;6,8;1,801479;
2009-04-30;7;10;1003,138333;20,010417;7,6;1,220139;
2009-05-31;10;75,6;1002,422715;16,947446;8,6;1,624328;
2009-06-30;13;69,4;1005,543472;11,750694;6,5;1,717083;
2009-07-31;11;36,6;1005,627688;10,835887;8,1;1,657124;
2009-08-31;13;139;1003,310753;16,342204;7,2;2,200806;
2009-09-30;16;218,6;1002,884444;16,14375;7,6;2,389444;
2009-10-31;6;48;1000,177874;19,261351;12,3;2,570833;
2009-11-30;20;433,8;995,215694;23,243194;9,5;2,548472;
2009-12-31;9;185,6;997,632258;24,225134;9,5;2,244489;
2010-01-31;14;201;997,684332;25,361528;7,6;2,053226;
2010-02-28;13;218,4;997,701786;25,873661;7,7;2,022768;
2010-03-31;8;40;999,362903;24,062903;7,3;1,608199;
2010-04-30;9;99,8;1003,725417;19,810695;7,1;1,610417;
