Nome: CAMAQUA
Codigo Estacao: A838
Latitude: -30.807953
Longitude: -51.83424
Altitude: 92.3
Situacao: Operante
Data Inicial: 2006-12-11
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-12-31;4;null;null;24,088485;5,5;null;
2007-01-31;17;145;1000,222581;23,155376;7,5;1,748387;
2007-02-28;6;17,6;1001,483075;23,378119;5,3;1,702769;
2007-03-31;15;95,4;1002,358713;23,15987;7;1,58511;
2007-04-30;20;141;1005,042058;20,22423;6,6;1,335408;
2007-05-31;23;90,8;1007,714949;13,332983;4,9;1,242298;
2007-06-30;17;null;1006,397069;12,418217;5;1,296003;
2007-07-31;17;162,6;1006,948751;11,072932;5,7;1,675625;
2007-08-31;20;204;1008,751669;12,244422;5,2;1,95273;
2007-09-30;22;90,4;1007,948583;17,409736;6,8;1,68871;
2007-10-31;13;null;1003,899162;19,04885;5,5;1,904296;
2007-11-30;9;null;1001,871707;18,61805;6,7;1,820722;
2007-12-31;10;62,6;1000,707124;22,447043;6,4;1,91828;
2008-01-31;10;58,8;1002,41828;23,009543;8,3;2,044355;
2008-02-29;19;165,2;1001,858592;22,269792;5,7;1,66342;
2008-03-31;17;69,6;1002,706329;21,967432;5,7;1,491053;
2008-04-30;20;94,2;1002,186944;18,130833;4,3;1,326944;
2008-05-31;22;174,4;1006,484511;15,097415;6,8;1,487416;
2008-06-30;22;123,8;1007,63412;11,986086;6,9;1,365114;
2008-07-31;17;147,8;1008,061937;14,795128;8,7;1,180959;
2008-08-31;19;108,6;1006,068672;13,176389;5,5;1,439826;
2008-09-30;17;103,6;1007,864479;14,44294;7,6;1,990519;
2008-10-31;23;142,8;1005,794086;17,735618;7;1,936828;
2008-11-30;14;42,6;1004,13875;20,6225;6,8;2,213611;
2008-12-31;13;101;1001,690054;21,630914;6,9;1,856586;
2009-01-31;18;217,4;1001,957661;22,029839;5,3;1,765995;
2009-02-28;15;197,6;1001,319048;22,725149;6,6;1,422173;
2009-03-31;22;124,4;1001,704032;22,005108;5,5;1,456048;
2009-04-30;19;10,2;1005,938889;18,876806;5,3;1,267917;
2009-05-31;23;84,4;1004,964651;16,414919;6,8;1,147312;
2009-06-30;21;47,4;1007,907361;11,896111;5,4;1,196667;
2009-07-31;19;60,6;1008,157393;10,503091;4,5;1,115995;
2009-08-31;26;224;1006,285349;14,904704;6,1;1,368548;
2009-09-30;21;274,6;1005,626806;15,488472;6;1,850972;
2009-10-31;14;82,4;1003,761707;17,169865;6,2;1,583727;
2009-11-30;21;366,2;998,820556;21,288889;6,2;1,510278;
2009-12-31;19;254,4;1001,040457;21,930914;7,7;1,616935;
2010-01-31;15;154;1000,826018;23,562222;5,8;1,361386;
2010-02-28;16;133,4;1000,779167;24,607143;6,3;1,317113;
2010-03-31;18;108,4;1002,315323;22,097984;5,1;1,314247;
2010-04-30;22;110,2;1006,388472;18,591528;4,5;1,107639;
2010-05-31;25;143,6;1007,077016;16,309946;4,5;1,433199;
2010-06-30;19;154,2;1008,928611;13,684861;4,8;1,044861;
2010-07-31;21;162,8;1008,553948;13,10977;4,6;,969028;
2010-08-31;23;97,4;1009,740054;12,800134;5,7;,956048;
2010-09-30;14;124,8;1005,945343;15,882561;7,2;1,533477;
2010-10-31;13;47;1004,957796;16,657258;6,6;1,433468;
2010-11-30;11;null;1001,805667;19,182333;5,8;1,680167;
2010-12-31;15;61;999,477419;22,297984;6,3;1,702285;
2011-01-31;14;null;998,688623;24,295238;6,1;1,138719;
2011-02-28;11;null;null;22,760417;5,2;null;
2011-03-31;null;null;null;null;3,9;null;
2011-04-30;20;105;1004,357778;18,907361;6;,988889;
2011-05-31;20;44,8;1008,061425;15,121505;5,1;1,068414;
2011-06-30;19;110;1006,205906;12,72968;5,6;1,197977;
