Nome: DOIS VIZINHOS
Codigo Estacao: A843
Latitude: -25.69916666
Longitude: -53.09527777
Altitude: 545.95
Situacao: Operante
Data Inicial: 2007-03-28
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-03-31;null;null;null;null;null;null;
2007-04-30;10;200,2;952,379444;21,359722;9,8;2,76875;
2007-05-31;13;269,2;953,71951;15,852009;10,2;2,878681;
2007-06-30;5;26,4;953,848458;16,473807;11,2;2,528696;
2007-07-31;12;101,4;953,749422;13,939016;9,5;2,724063;
2007-08-31;8;16,2;954,305406;17,050812;7,6;2,884894;
2007-09-30;9;18,2;953,337083;21,805;9,7;3,298056;
2007-10-31;11;130,8;950,0696;22,500526;12,5;3,517193;
2007-11-30;7;null;947,964841;22,09637;11,3;3,141151;
2007-12-31;14;176;948,098925;23,58414;8,6;2,471774;
2008-01-31;9;107;948,517473;23,17957;8,1;2,950806;
2008-02-29;9;48,4;948,987615;23,414732;8,5;2,453247;
2008-03-31;10;63,8;949,971891;22,705324;9,5;2,728407;
2008-04-30;16;219,4;949,975556;19,332639;8,7;2,567222;
2008-05-31;7;64,2;953,531592;16,254412;8,8;2,687559;
2008-06-30;18;189;954,656805;14,084167;7,8;2,549167;
2008-07-31;7;57,8;955,202554;17,607124;9,7;2,625134;
2008-08-31;14;199,8;952,095699;18,280645;9,3;2,889382;
2008-09-30;6;112,6;953,211111;17,191558;8,9;3,219306;
2008-10-31;15;260,8;951,275941;20,824328;16,4;3,054435;
2008-11-30;9;127,6;949,239028;22,314583;13,6;2,720556;
2008-12-31;10;54,4;947,908333;23,755511;15;2,762366;
2009-01-31;14;166,4;949,027285;22,90336;11,2;2,881989;
2009-02-28;12;63,6;949,035268;23,960268;12,3;2,434375;
2009-03-31;12;60;949,537634;23,508602;12,5;2,213307;
2009-04-30;6;56,2;952,384306;21,588889;8,6;2,454306;
2009-05-31;17;237,6;952,580792;17,884946;7;2,543744;
2009-06-30;12;119,2;954,56622;13,983482;6,6;2,369792;
2009-07-31;16;155,8;953,898522;14,302874;12,8;2,431797;
2009-08-31;16;178,8;953,318548;16,959812;9,5;2,69086;
2009-09-30;15;249,8;951,345405;18,263957;12,4;2,856416;
2009-10-31;14;330,4;949,407033;20,730741;13,5;2,725375;
2009-11-30;13;157,6;946,771945;24,38;9,4;2,626389;
2009-12-31;13;152;947,902823;23,824059;10,4;2,487769;
2010-01-31;18;304,4;948,598656;23,873253;8;2,417339;
2010-02-28;12;216,8;949,452381;24,380952;13,3;2,101786;
2010-03-31;10;177,8;949,485215;23,173925;8,5;2,001478;
2010-04-30;9;169,8;953,05174;20,197309;7,6;1,949541;
2010-05-31;14;125,6;953,147917;16,180891;6,7;1,934769;
2010-06-30;9;60,2;955,13625;16,371806;6,9;1,723056;
2010-07-31;7;null;954,742963;16,147882;9;2,208041;
2010-08-31;4;30,8;954,834087;17,2439;10,7;2,669036;
2010-09-30;1;null;null;null;null;null;
2010-10-31;null;null;null;null;null;null;
2010-11-30;2;null;null;null;null;null;
2010-12-31;13;267,6;946,425538;22,24207;12;2,535349;
2011-01-31;15;186,2;947,156317;23,596371;9;2,009274;
2011-02-28;17;198,6;948,957887;23,28869;6;2,180952;
2011-03-31;9;46;949,915754;23,390374;10,8;3,165438;
2011-04-30;12;103,4;951,843889;20,599167;12,6;2,256111;
2011-05-31;7;32,4;954,378091;16,942876;12,5;2,379032;
2011-06-30;11;95;953,72625;14,4775;10,3;1,967361;
2011-07-31;13;233,8;953,383468;15,887903;10,4;2,249194;
2011-08-31;17;327,4;952,929436;16,522715;9,8;2,924597;
2011-09-30;6;null;954,165625;18,876213;8,3;2,79576;
2011-10-31;10;271,8;949,461828;20,916801;13,2;2,933199;
