Nome: DIONISIO CERQUEIRA
Codigo Estacao: A848
Latitude: -26.286562
Longitude: -53.633114
Altitude: 807.54
Situacao: Operante
Data Inicial: 2008-05-30
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-05-31;null;null;null;null;null;null;
2008-06-30;15;172,8;924,713216;12,769285;8,7;3,700256;
2008-07-31;5;37,8;926,134946;17,867204;9,4;4,309677;
2008-08-31;9;99,6;921,463575;16,971102;9,7;4,184812;
2008-09-30;9;146,8;922,55173;15,469015;11;4,173573;
2008-10-31;14;380,2;922,90793;19,32285;10,6;4,119624;
2008-11-30;11;165,6;921,047917;20,947778;8,9;3,400694;
2008-12-31;8;71,4;919,995027;22,695296;11,1;3,397715;
2009-01-31;14;197,8;920,960244;21,332527;8,2;3,486191;
2009-02-28;13;207,2;921,065625;22,820685;8,7;3,213839;
2009-03-31;11;22,8;921,580242;22,997177;7,7;3,014247;
2009-04-30;7;82,6;924,204306;20,954722;8;2,94625;
2009-05-31;16;307,8;923,848925;17,145699;9,5;3,636022;
2009-06-30;12;107,4;925,400354;12,938537;9,2;3,845829;
2009-07-31;16;184,8;924,638937;13,554911;11,1;3,644417;
2009-08-31;13;153,8;924,367099;16,687412;10,5;4,406831;
2009-09-30;18;373,4;922,830556;16,25875;10;4,179444;
2009-10-31;15;204,4;921,028017;19,363793;9,8;3,675718;
2009-11-30;16;228,4;918,781111;23,03375;11,6;4,245278;
2009-12-31;16;174,6;920,04207;22,540457;7,9;3,230914;
2010-01-31;9;null;null;23,352778;10,5;null;
2010-02-28;null;null;null;null;null;null;
2010-03-31;8;null;null;null;null;null;
2010-04-30;8;306,8;924,584861;18,975139;7,8;3,44375;
2010-05-31;17;261,8;924,396166;14,576256;8,9;3,677297;
2010-06-30;9;87;926,067917;15,592083;9,4;4,500278;
2010-07-31;11;153,4;926,012744;15,197075;11,4;4,782578;
2010-08-31;5;27,6;926,125689;17,117501;11,2;4,827984;
2010-09-30;11;123,8;922,76625;17,980417;10,6;4,333333;
2010-10-31;15;197;922,200269;17,716532;9,8;3,605645;
2010-11-30;7;80,6;919,967778;19,955;7,4;3,22875;
2010-12-31;18;381,4;918,299059;21,328898;9,8;3,726075;
2011-01-31;21;285,4;919,175538;22,866935;8;2,866935;
2011-02-28;16;231,2;920,864402;21,782978;7,3;3,212403;
2011-03-31;14;110,4;921,773626;21,524713;8,5;3,918581;
2011-04-30;11;137,8;923,439583;19,373056;9,6;3,542083;
2011-05-31;10;37,2;925,559613;15,87403;8,9;3,314206;
2011-06-30;13;179,8;924,279018;14,370982;10,1;4,451042;
2011-07-31;12;251,2;924,151525;16,113257;10,4;4,22201;
2011-08-31;12;180,6;923,617159;16,630249;12,5;4,913806;
2011-09-30;11;204,2;925,232258;17,740852;11,6;4,198116;
2011-10-31;11;251,8;921,142473;19,379167;11;4,008737;
2011-11-30;9;149,6;921,326667;20,277083;10,9;3,70875;
2011-12-31;8;76,2;919,984677;21,981452;9,5;3,122312;
2012-01-31;7;96,6;920,403886;23,010618;9,4;3,511413;
2012-02-29;null;null;null;null;null;null;
