Nome: DIAMANTE DO NORTE
Codigo Estacao: A849
Latitude: -22.63944444
Longitude: -52.89027777
Altitude: 368.22
Situacao: Operante
Data Inicial: 2008-03-05
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-03-31;10;null;970,158333;24,231833;7,3;2,717;
2008-04-30;10;133,8;969,475162;22,834277;7,6;2,324344;
2008-05-31;5;48;973,352549;19,537228;7;2,60374;
2008-06-30;7;null;974,488119;17,767286;8,1;2,687696;
2008-07-31;2;14;975,077957;20,785484;7,4;3,380376;
2008-08-31;14;130,2;971,968952;21,558871;9,2;3,598253;
2008-09-30;6;74,8;972,868756;20,496715;9,6;3,390694;
2008-10-31;10;115,6;970,672715;24,500941;13,2;3,384005;
2008-11-30;8;114,8;968,575833;24,506111;8,5;3,103611;
2008-12-31;7;21,6;967,140913;26,213587;10,4;3,012751;
2009-01-31;14;186,6;968,603608;24,645298;8,2;2,919985;
2009-02-28;16;146,6;968,598661;25,631845;7,3;2,385119;
2009-03-31;8;44,2;968,92216;25,797394;7,6;2,199147;
2009-04-30;4;10,4;971,593333;24,63125;9,8;2,617778;
2009-05-31;11;74,8;972,485753;21,393414;9,7;2,953495;
2009-06-30;13;82,4;974,885833;17,065556;7,2;2,844444;
2009-07-31;16;137;973,959619;18,218993;8,4;2,763786;
2009-08-31;9;151;973,376747;19,968145;7,7;3,370161;
2009-09-30;14;147;971,555139;21,634583;9,8;2,826528;
2009-10-31;14;229,4;968,985488;23,271552;14,4;3,203305;
2009-11-30;15;166,2;966,7975;26,501667;15,4;3,014167;
2009-12-31;15;135,2;967,616129;25,389247;10,8;2,716935;
2010-01-31;1;null;null;null;null;null;
2010-02-28;null;null;null;null;null;null;
2010-03-31;null;null;null;null;null;null;
2010-04-30;6;49,4;972,366092;23,105603;7,9;2,425;
2010-05-31;8;80,6;973,200672;18,719892;6,9;2,114516;
2010-06-30;4;4,8;975,24375;19,57625;7,2;2,894861;
2010-07-31;5;13,6;974,893011;19,836828;7,8;2,868817;
2010-08-31;4;4,6;974,681452;20,744489;8,3;3,073656;
2010-09-30;10;233,2;970,904444;23,389167;11,9;3,557083;
2010-10-31;11;133,8;970,072259;22,353483;10,1;2,893683;
2010-11-30;10;128,6;967,679583;23,6575;8,2;2,320833;
2010-12-31;16;166,6;965,835215;25,136694;7,6;2,450806;
2011-01-31;18;243,8;966,791667;25,887366;7,2;1,779435;
2011-02-28;18;164,6;968,629167;25,345238;7,3;1,857292;
2011-03-31;null;null;968,722804;24,471658;6,4;2,814603;
2011-04-30;null;null;971,277222;23,262778;7,7;2,406667;
2011-05-31;null;null;974,047849;19,622177;6;2,138441;
2011-06-30;null;null;973,915139;17,530139;7,8;2,446528;
2011-07-31;null;null;973,33223;20,062069;7;2,500154;
2011-08-31;null;null;972,863575;20,763038;10,6;2,813978;
2011-09-30;null;null;973,200139;22,646806;8,1;3,190833;
2011-10-31;7;67,6;968,93535;23,778091;9,9;2,845833;
2011-11-30;6;98,6;968,935556;24,106389;7,5;2,738056;
2011-12-31;7;37,8;967,495968;25,88871;10;2,124462;
2012-01-31;1;null;null;null;7,8;null;
2012-02-29;7;null;null;26,309849;6,5;null;
2012-03-31;6;99,2;970,670325;25,077858;6,9;1,854155;
2012-04-30;11;151,4;970,801667;23,043333;8,5;1,023333;
2012-05-31;7;128,2;973,980376;20,181452;6,7;1,881989;
2012-06-30;15;282,8;973,91375;18,963194;9,9;,586111;
2012-07-31;4;22,8;974,577823;18,79543;6,6;,951344;
2012-08-31;3;2,6;975,845929;22,326111;8,5;2,275499;
2012-09-30;5;116;972,566667;24,021389;8,3;2,289306;
2012-10-31;10;43,6;969,064516;25,755645;9,6;1,90457;
2012-11-30;7;null;null;25,502252;8,3;null;
2012-12-31;18;131,8;967,567339;26,666801;9,8;,840188;
2013-01-31;15;211,2;968,831317;25,294355;9,4;1,212634;
2013-02-28;18;314,4;969,295387;25,076637;10,6;,840923;
2013-03-31;16;226,6;969,9475;24,612787;10;1,139417;
2013-04-30;7;273,8;972,207917;22,057639;7,6;,675556;
2013-05-31;11;60,2;972,808602;20,891667;7,2;,799194;
2013-06-30;15;182,8;973,673451;19,627155;5,8;,68846;
2013-07-31;6;58,6;975,95457;18,102419;6,3;1,166129;
2013-08-31;3;1,6;974,380511;19,051075;7,2;1,518952;
2013-09-30;11;54,4;972,273194;22,345139;11,3;1,795;
2013-10-31;12;137,4;970,815591;23,609409;8,8;1,50672;
2013-11-30;9;71;968,548056;25,696806;10,4;2,105;
2013-12-31;9;81,2;966,775672;27,051478;9,8;1,412097;
2014-01-31;18;155,4;970,286559;26,216263;8,3;,590591;
