Nome: ITAPOA
Codigo Estacao: A851
Latitude: -26.08138888
Longitude: -48.64166666
Altitude: 6.18
Situacao: Operante
Data Inicial: 2007-06-05
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-06-30;5;null;null;16,391406;4;null;
2007-07-31;16;69,6;1018,144404;14,091166;6,4;,896322;
2007-08-31;16;66,8;1020,114583;15,419109;6,4;1,044611;
2007-09-30;15;93,2;1019,327639;18,825833;5,7;1,217917;
2007-10-31;19;132,4;1015,109777;20,809152;6,2;1,568671;
2007-11-30;15;null;1011,667167;21,0465;7,2;1,4575;
2007-12-31;16;212;1011,213441;23,301882;5,3;1,596505;
2008-01-31;26;445,8;1012,013575;23,458333;5,6;1,838575;
2008-02-29;22;394,6;1011,594655;23,902232;5,3;1,523218;
2008-03-31;22;218,4;1012,623522;23,434409;5,2;1,328629;
2008-04-30;21;143,6;1012,260088;20,564655;5,4;,987873;
2008-05-31;18;46,4;1016,222551;17,544284;5,5;,865161;
2008-06-30;19;104,4;1018,466111;15,480556;6,8;,874444;
2008-07-31;15;37,2;1019,780511;16,847984;6,4;,820699;
2008-08-31;19;144,8;1017,168676;17,515114;7;1,146653;
2008-09-30;21;110,6;1018,268983;17,132234;6,3;1,261381;
2008-10-31;22;371,8;1016,407258;19,998253;6,2;1,458602;
2008-11-30;28;891,6;1014,226528;21,168611;8,4;2,188194;
2008-12-31;20;406,4;1011,738306;22,120565;5,4;1,665054;
2009-01-31;24;295;1011,599211;23,318081;6;1,64505;
2009-02-28;22;197,6;1011,593155;24,419196;6,2;1,307292;
2009-03-31;23;429,8;1011,6625;24,261022;4,5;1,198387;
2009-04-30;21;73,4;1015,552222;21,826667;6,3;1,194583;
2009-05-31;21;60,2;1015,73494;19,054475;7;,738125;
2009-06-30;14;null;1018,123852;15,034074;7,8;,936386;
2009-07-31;15;null;null;16,087706;4,2;null;
2009-08-31;19;95;1018,167708;16,933631;7,5;1,030952;
2009-09-30;20;304,4;1015,476354;18,463057;6;1,217932;
2009-10-31;16;null;1014,417564;19,540716;6,2;1,367011;
2009-11-30;19;194,6;1009,729722;23,974444;7;1,329167;
2009-12-31;24;212,8;1010,719086;24,349059;6;1,621774;
2010-01-31;26;564,2;1011,010023;24,637083;6,4;1,22644;
