Nome: PALMEIRA DAS MISSOES
Codigo Estacao: A856
Latitude: -27.92027777
Longitude: -53.31805554
Altitude: 614.11
Situacao: Operante
Data Inicial: 2008-02-25
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-02-29;1;null;null;null;null;null;
2008-03-31;8;36,6;943,855208;21,354316;7,1;2,327679;
2008-04-30;15;198,2;942,820921;18,63538;10,8;2,314067;
2008-05-31;8;90,2;945,628382;16,087486;10;2,667324;
2008-06-30;13;null;946,833168;13,891617;8,3;2,648696;
2008-07-31;12;31,4;947,310739;17,333551;11,8;3,09716;
2008-08-31;12;122,6;944,76586;15,68286;9,3;3,032696;
2008-09-30;8;null;946,17635;15,743821;9,1;2,873154;
2008-10-31;17;364,8;944,383824;18,119653;9,8;2,788043;
2008-11-30;8;146;942,400972;20,827639;8,2;2,600556;
2008-12-31;10;121,4;941,141264;22,041935;8,7;2,263038;
2009-01-31;12;94,4;942,007246;21,345138;9,1;2,510671;
2009-02-28;12;74,8;941,874554;22,873065;7,2;2,524256;
2009-03-31;8;34;942,370494;22,440685;10,8;2,28023;
2009-04-30;6;13,4;945,4075;20,448056;7,6;2,277361;
2009-05-31;10;206,2;945,041066;17,226041;7,8;2,54677;
2009-06-30;6;null;null;null;11,6;null;
2009-07-31;12;225;946,702023;11,552488;10;2,353703;
2009-08-31;16;189,8;945,672043;16,133871;12,1;3,292473;
2009-09-30;17;357,6;944,353291;15,342138;8,5;2,900447;
2009-10-31;9;106,8;942,386757;18,935913;10;2,683071;
2009-11-30;20;410,4;939,317083;22,724861;11,9;3,541667;
2009-12-31;17;169,4;940,83629;22,872177;8,5;2,816532;
2010-01-31;14;137,8;941,454582;22,726405;10;2,734971;
2010-02-28;11;150;942,05997;23,918006;10,8;3,152083;
2010-03-31;5;1,8;942,594624;21,669489;8,1;2,249194;
2010-04-30;7;15,6;946,106667;18,555417;7,6;2,631528;
2010-05-31;18;35,8;946,175456;14,515434;7,5;2,498855;
2010-06-30;10;120,6;947,668291;14,374831;8,8;3,059481;
2010-07-31;12;199,6;947,743521;13,814348;10,1;3,32325;
2010-08-31;6;43,8;947,859555;14,594809;9;3,184666;
2010-09-30;16;198,4;944,327639;16,156389;12;2,86625;
2010-10-31;10;119,2;943,754739;17,202694;8,9;2,443881;
2010-11-30;1;,2;941,002917;20,150417;11,4;2,450972;
2010-12-31;11;248,4;939,207393;21,825538;12,8;2,793145;
2011-01-31;18;168,2;939,84664;23,435215;7,6;2,061021;
2011-02-28;20;247,4;941,78497;22,240327;7;2,412054;
2011-03-31;11;197,2;943,166745;21,070145;8,5;2,474783;
2011-04-30;12;148,2;944,493472;19,440417;10;2,460972;
2011-05-31;14;83;947,204745;15,019437;8,1;2,488616;
2011-06-30;19;245;945,897273;12,572049;8,1;3,014614;
2011-07-31;16;316,4;945,922733;13,399497;8,9;2,845781;
2011-08-31;19;206;945,132194;14,389002;12,1;3,52943;
2011-09-30;10;57;946,814722;16,344306;9,2;2,884445;
2011-10-31;15;168,8;942,384046;18,87985;10,9;2,889674;
2011-11-30;8;73,4;942,543955;20,676769;8,6;2,741051;
2011-12-31;10;37,6;940,757252;22,056224;8,2;2,450047;
2012-01-31;7;108;941,376759;23,16804;6,6;2,550234;
2012-02-29;9;null;942,030323;24,762166;8,4;2,814646;
2012-03-31;4;null;null;19,584825;6,6;null;
2012-04-30;10;98,2;944,132222;18,782017;7,6;2,221021;
2012-05-31;6;9,2;947,309409;16,690188;8,4;2,620968;
2012-06-30;14;141,6;946,487657;13,907862;8,5;2,615864;
2012-07-31;14;188,4;946,813441;12,62164;9,2;2,938038;
2012-08-31;11;43;948,634966;18,079293;11,4;3,720726;
2012-09-30;11;115,2;945,880012;17,37221;9,6;3,01433;
2012-10-31;17;367,6;942,452285;19,197581;10,6;3,230108;
2012-11-30;6;69,2;941,734414;22,193557;7,9;2,560827;
2012-12-31;18;159,2;940,071102;23,272312;10,8;3,274059;
2013-01-31;11;167,6;942,81783;21,749316;9,2;2,597271;
2013-02-28;12;144,6;942,122626;21,960061;7,4;2,581341;
