Nome: SAO MIGUEL DO OESTE
Codigo Estacao: A857
Latitude: -26.78638888
Longitude: -53.51416666
Altitude: 647
Situacao: Operante
Data Inicial: 2008-03-11
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-03-31;5;null;null;22,062269;7;null;
2008-04-30;16;356,2;938,441944;19,063472;10,4;2,755278;
2008-05-31;9;68,2;941,844656;15,598056;11;2,967422;
2008-06-30;16;138,6;942,714796;12,892283;8,6;3,043001;
2008-07-31;9;28,2;943,005511;18,580376;11,4;3,281452;
2008-08-31;11;91,6;940,313844;17,432124;10,4;3,300941;
2008-09-30;10;132,4;941,600593;15,586389;9,3;3,389356;
2008-10-31;16;390,2;939,753226;19,624462;8,6;3,348521;
2008-11-30;9;127,4;937,785;21,821111;14,3;2,741944;
2008-12-31;6;88,4;936,607071;23,647154;7,4;2,814084;
2009-01-31;13;167,8;937,571371;22,584543;10,2;3,062366;
2009-02-28;15;134,6;937,517411;24,597024;8,9;2,689732;
2009-03-31;12;54,4;938,055704;24,414417;8,8;2,443998;
2009-04-30;5;61,8;940,938194;21,451389;7,8;2,560139;
2009-05-31;13;252;940,702285;17,642473;8;2,771102;
2009-06-30;14;90;942,664861;12,779028;10,1;2,810278;
2009-07-31;16;155;942,153898;12,22836;12,7;2,783065;
2009-08-31;17;172,2;941,270564;17,314247;12;3,363441;
2009-09-30;18;395,2;939,848889;16,509583;12,2;3,338472;
2009-10-31;13;196;937,851149;19,67069;9,9;2,782902;
2009-11-30;18;284,8;935,143472;23,573194;10,1;3,307083;
