Nome: CACADOR
Codigo Estacao: A859
Latitude: -26.819156
Longitude: -50.98552
Altitude: 944.26
Situacao: Operante
Data Inicial: 2008-03-18
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-03-31;5;null;null;null;null;null;
2008-04-30;21;193,8;907,849861;15,385833;6,2;1,483194;
2008-05-31;17;66,2;910,624638;12,42058;5,6;1,765858;
2008-06-30;19;148;911,434415;10,987936;10,5;1,694236;
2008-07-31;13;36,6;912,876478;13,445699;5,4;1,717608;
2008-08-31;19;88,2;910,068548;14,295833;8,5;2,031855;
2008-09-30;13;173,6;910,836111;13,199583;7,9;2,2625;
2008-10-31;18;314,2;909,871102;16,65121;6,4;2,074866;
2008-11-30;13;147,8;908,127778;17,921806;6,7;2,211667;
2008-12-31;14;109,6;906,567339;19,266129;5,7;1,991801;
2009-01-31;20;219,8;907,332603;18,984391;7,6;1,903045;
2009-02-28;18;177,4;907,647768;20,476191;7;1,648363;
2009-03-31;14;44,8;907,927016;20,090188;5,5;1,723387;
2009-04-30;8;46,2;910,539583;17,124167;6,4;1,602639;
2009-05-31;19;105;910,10914;14,063038;5,7;1,631048;
2009-06-30;21;73,8;911,469861;10,228194;5,4;1,743194;
2009-07-31;23;168;910,969489;10,757796;6;1,54543;
2009-08-31;22;164,2;910,95672;14,100134;6,9;1,936156;
2009-09-30;17;262,6;909,20875;14,802778;7,3;1,910556;
2009-10-31;13;114,2;907,833046;16,953592;8,7;1,938362;
2009-11-30;15;149,8;905,619028;21,23625;7,3;1,980278;
2009-12-31;14;156,8;906,549328;20,760753;6,4;1,849866;
2010-01-31;6;1,2;907,318299;20,801389;6,5;1,836118;
2010-02-28;2;48,4;908,227976;21,414286;6;1,773661;
2010-03-31;18;208,8;907,997709;18,961442;5,6;1,534829;
2010-04-30;13;304,4;911,141944;16,281944;5,1;1,591389;
2010-05-31;22;161,2;910,350807;13,074059;6,4;1,713575;
2010-06-30;12;127,8;912,824583;12,475972;5,4;1,674028;
2010-07-31;19;83,2;912,92379;12,732361;6,9;1,83798;
2010-08-31;9;84,2;912,837769;13,061694;6,1;2,12957;
2010-09-30;7;40,8;909,821111;15,755;8,4;2,3325;
2010-10-31;17;155;908,345699;15,36922;6,2;1,841129;
2010-11-30;15;126,6;905,997778;17,586806;8,4;1,920556;
2010-12-31;19;291,6;905,073925;19,103763;7,2;1,721774;
2011-01-31;24;274,6;905,513441;20,904973;5,7;1,42164;
2011-02-28;23;227,6;907,409821;20,667857;5,4;1,514881;
2011-03-31;13;139,8;908,985511;18,619235;6,4;1,868783;
2011-04-30;18;113,6;909,89125;16,786944;7,4;1,404583;
2011-05-31;18;47,4;911,659892;12,760694;5,6;1,34121;
2011-06-30;19;169,8;910,699697;10,662033;6,2;1,691806;
2011-07-31;16;259,8;910,937249;12,313435;5,6;1,724573;
2011-08-31;17;251,4;910,395161;13,160484;8,3;2,276613;
2011-09-30;14;196,4;912,306341;13,808291;7,6;2,059493;
2011-10-31;13;156,8;907,783883;16,732502;5,8;2,05672;
2011-11-30;10;53,4;908,220972;17,4275;6,9;2,019722;
2011-12-31;17;99,8;906,343817;18,526344;5,4;1,873656;
2012-01-31;17;143;907,145798;19,778612;5,6;1,734981;
2012-02-29;16;121,4;908,110057;21,334626;9,4;1,516379;
2012-03-31;10;65,6;909,271946;18,895398;5,2;1,586926;
2012-04-30;6;null;null;null;null;null;
2012-05-31;8;54,6;912,394559;13,461384;6,7;1,513184;
2012-06-30;17;139,4;911,187193;12,357284;5;1,472376;
2012-07-31;20;167;911,352264;11,688446;6,9;1,697218;
2012-08-31;11;15;914,549117;15,372778;6,6;1,901056;
2012-09-30;10;57;911,391202;15,667585;7,9;2,284106;
2012-10-31;18;185,2;908,38629;17,648253;7,3;1,899731;
2012-11-30;11;15,2;907,355556;19,66125;6;2,055972;
2012-12-31;15;26;906,279839;21,473656;7;1,87164;
2013-01-31;null;null;908,310081;19,5875;7,2;1,913038;
2013-02-28;null;null;907,829167;20,021429;5,7;1,63125;
2013-03-31;null;null;909,143611;18,19296;7;1,697778;
2013-04-30;17;60,4;910,6025;15,364722;5,5;1,647083;
2013-05-31;5;6,4;910,529085;13,768937;6,9;1,630432;
2013-06-30;null;null;910,755025;12,673775;4,7;1,57678;
2013-07-31;7;38,2;912,347381;12,467747;6,4;1,852083;
2013-08-31;19;34,6;911,521407;12,551428;7,9;1,975097;
2013-09-30;24;49,6;910,722222;14,372778;6,6;1,998333;
2013-10-31;18;29,4;909,553898;16,599194;7,5;2,121774;
2013-11-30;24;156,2;908,075417;18,644722;8,1;2,365694;
2013-12-31;31;303,4;906,186559;20,302957;5,8;1,884812;
2014-01-31;30;111;908,89422;21,138172;7,7;1,764247;
2014-02-28;27;103,8;909,047024;20,830952;5,6;1,861161;
2014-03-31;25;55,4;909,11371;18,601882;6,3;1,783468;
2014-04-30;27;113,4;910,827791;17,111346;5,5;1,685743;
2014-05-31;9;47,8;910,758871;13,660753;6,3;1,63871;
2014-06-30;null;null;911,036946;13,41097;6,9;1,854627;
2014-07-31;null;null;914,049199;12,337342;6,7;1,913131;
2014-08-31;null;null;912,279528;14,295546;9,6;1,849333;
2014-09-30;null;null;909,848611;16,130417;8,7;2,048889;
2014-10-31;null;null;910,426747;18,476882;9,9;2,077151;
2014-11-30;14;124;907,944306;18,895833;5,4;1,873056;
2014-12-31;31;258;907,649597;20,127688;6,4;1,872312;
2015-01-31;25;73,4;909,430242;20,774462;7,5;1,56465;
2015-02-28;28;51,6;908,259077;19,90506;5,1;1,361905;
2015-03-31;null;null;909,211425;19,368817;5,7;1,412366;
2015-04-30;4;13;910,512778;16,981111;7;1,482083;
2015-05-31;null;null;911,672984;14,383468;4,8;1,385618;
2015-06-30;null;null;913,306753;13,012931;6,7;1,58477;
2015-07-31;null;null;911,433415;12,893613;5,8;1,459894;
2015-08-31;null;null;911,760618;16,004032;6,7;1,70578;
2015-09-30;null;null;908,012417;17,137946;8,5;1,751437;
2015-10-31;null;null;909,10914;17,811425;7,3;1,700403;
2015-11-30;null;null;null;18,262222;5,1;null;
2015-12-31;29;157,4;907,502419;20,736156;6,1;,587365;
2016-01-31;23;36,6;907,465457;21,373656;6,1;,292608;
2016-02-29;null;null;908,488218;21,480029;4,6;,180029;
2016-03-31;null;null;909,911828;18,833065;5,5;,323387;
2016-04-30;10;81,6;910,010695;18,692841;5,8;,33875;
2016-05-31;20;160,4;911,823656;12,760088;3,7;,186938;
2016-06-30;12;null;913,094444;10,770139;4,7;,122917;
2016-07-31;12;74,8;911,700722;12,611756;6,9;,419945;
2016-08-31;18;209,8;911,048661;13,233535;6;,265;
2016-09-30;6;87,2;911,383086;13,767289;6,8;,350127;
2016-10-31;12;227,4;908,827016;16,541801;6,4;,644086;
2016-11-30;14;164,8;908,134583;18,041806;5,2;,300972;
2016-12-31;23;160,8;907,364382;19,258468;6;,300403;
2017-01-31;17;223,2;908,111693;21,03172;5;,134677;
2017-02-28;15;78;908,288988;21,251191;5,7;,173958;
2017-03-31;17;142;909,769489;19,158737;4,2;,092608;
2017-04-30;10;72,4;910,687333;16,533764;5,6;,197083;
2017-05-31;17;290;910,654435;15,373387;7;,158065;
2017-06-30;16;94,4;912,215437;13,072988;4,3;,150992;
2017-07-31;8;7;916,52318;12,679343;6,3;,201616;
2017-08-31;9;96;911,568987;14,155972;5,5;,198062;
2017-09-30;4;29,8;912,258333;18,330139;6,2;,158333;
2017-10-31;23;342,4;908,116129;16,505645;4,9;,274194;
2017-11-30;12;156;906,859444;17,560139;4,8;,175417;
2017-12-31;15;136;906,591667;20,386022;6;,107527;
2018-01-31;22;213,2;907,56828;20,006586;3,8;,124597;
2018-02-28;10;48,2;908,19122;19,161905;3;,075149;
2018-03-31;18;238,6;907,616398;20,010215;5,5;,083065;
2018-04-30;11;17,2;911,9625;18,164167;1,9;,044444;
2018-05-31;12;46;912,293171;14,599378;4,1;,128232;
2018-06-30;19;116,8;912,195119;12,498255;6,1;,114498;
2018-07-31;10;6;912,19305;13,540328;5,5;,175786;
2018-08-31;14;87;912,216169;12,196249;5,4;,201026;
2018-09-30;19;178,2;909,284444;15,481667;6,2;,164306;
2018-10-31;17;271,6;908,53629;16,770565;5,3;,190995;
2018-11-30;12;128,4;908,341322;19,100827;5,3;,315199;
2018-12-31;14;169,8;908,193952;20,311828;7,8;1,681855;
2019-01-31;19;221,6;909,58078;22,11586;5,7;1,487231;
2019-02-28;17;242,6;908,199405;19,548066;7,5;1,436161;
2019-03-31;18;124,2;910,216801;19,048521;6;1,493952;
2019-04-30;14;174,6;909,456667;17,972778;4,1;1,151667;
2019-05-31;22;275;910,100134;15,933468;5,2;1,260349;
2019-06-30;15;44;913,111806;14,595278;7;1,556667;
2019-07-31;11;null;912,076112;13,541938;5,5;1,685272;
2019-08-31;7;15,4;914,061967;13,825776;7,5;2,098341;
2019-09-30;9;80,4;910,575556;16,634583;6,1;1,914583;
2019-10-31;15;141,2;909,371909;18,852823;7,6;1,897849;
2019-11-30;14;163,2;907,768056;19,067222;6,5;1,960695;
2019-12-31;9;122,2;907,587634;19,94328;6,6;1,669624;
2020-01-31;15;154,6;907,013844;20,537231;5,6;1,560081;
2020-02-29;13;104,2;908,937787;19,620115;5,7;1,689368;
2020-03-31;6;54;910,312903;19,222984;5,8;1,528226;
2020-04-30;6;61,6;911,376053;15,19983;5,9;1,548083;
2020-05-31;12;88;911,243732;12,782876;6,4;1,572891;
2020-06-30;16;169,8;911,035972;13,860278;6,2;1,432083;
2020-07-31;14;132,4;911,231435;12,937191;7,5;1,585714;
2020-08-31;8;88,4;912,187081;14,080917;6;1,424697;
2020-09-30;8;63,2;910,43;17,594028;6,3;1,359861;
2020-10-31;8;28,4;908,587769;18,56371;6,2;,572984;
2020-11-30;13;134,2;908,824445;18,193889;6;,063333;
2020-12-31;15;199,2;907,252419;20,05914;6,9;,163979;
2021-01-31;23;272,8;907,608105;20,187605;5,8;,121815;
2021-02-28;10;36,2;907,531696;19,101488;6,3;,145685;
2021-03-31;14;104,8;908,247581;19,456989;5,7;,101613;
2021-04-30;3;21,8;911,401553;15,82274;4;,132412;
2021-05-31;8;99;910,918637;13,207827;7;,28686;
2021-06-30;16;117,2;911,848127;12,253606;5,3;,249795;
2021-07-31;4;null;913,55398;11,621527;6;,332935;
2021-08-31;7;24,4;912,837823;15,382615;7,3;,727392;
2021-09-30;14;148,8;909,983333;16,843472;7;,79125;
2021-10-31;16;240,2;909,109946;15,986022;6,1;,656048;
2021-11-30;8;139,4;907,19875;18,964583;7,7;,799028;
2021-12-31;8;28,4;906,683468;20,38293;6,3;,811828;
2022-01-31;16;148;907,290591;20,841532;7,2;,658602;
2022-02-28;12;170,8;907,78631;20,460417;6;,643601;
2022-03-31;16;239,2;908,596237;19,230108;6,7;,584409;
2022-04-30;12;147,2;909,945;15,9575;5,6;,648056;
2022-05-31;12;null;910,889348;12,806076;6,3;1,200032;
2022-06-30;null;null;null;null;null;null;
2022-07-31;2;null;null;null;5;null;
2022-08-31;11;195,4;911,663207;12,684937;6,9;,938989;
2022-09-30;18;152;910,643606;12,999228;6,7;1,037202;
2022-10-31;19;357,8;908,519086;15,82621;5,9;,851747;
2022-11-30;10;70;909,507802;16,275024;5,9;1,118847;
2022-12-31;14;202,2;906,538979;19,61129;5,5;1,082258;
2023-01-31;14;129,6;907,630242;19,985484;7,1;,82621;
