Nome: RIO DO CAMPO
Codigo Estacao: A861
Latitude: -26.93749999
Longitude: -50.14555555
Altitude: 591.67
Situacao: Operante
Data Inicial: 2008-03-09
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-03-31;9;null;null;null;5,9;null;
2008-04-30;8;null;null;18,128901;8,9;null;
2008-05-31;13;null;965,190039;13,578337;6,3;1,04482;
2008-06-30;6;null;null;null;6,2;null;
2008-07-31;9;null;968,315576;13,958601;5,3;,993801;
2008-08-31;6;null;null;null;6,7;null;
2008-09-30;5;null;null;13,96654;6,4;null;
2008-10-31;2;null;null;null;5,4;null;
2008-11-30;null;null;null;null;5,9;null;
2008-12-31;null;null;961,200753;20,794701;5,7;1,514399;
2009-01-31;null;null;null;null;6;null;
2009-02-28;null;null;962,08985;21,847667;5,8;1,060763;
2009-03-31;0;0;962,18629;21,760887;5,4;1,055376;
2009-04-30;0;0;963,375833;18,810972;4;,856389;
2009-05-31;null;0;964,813506;15,525;7,9;1,010776;
2009-06-30;null;null;965,5478;10,912674;5,8;1,032633;
2009-07-31;null;null;967,1114;11,529529;4,8;,831944;
2009-08-31;null;0;966,404898;14,755441;6,9;1,163441;
2009-09-30;7;null;955,01865;16,010329;7,9;1,344792;
2009-10-31;20;174,8;946,304885;17,344684;6,4;1,34023;
2009-11-30;20;199,2;943,004583;22,307917;11,2;1,379306;
2009-12-31;15;169,4;944,052016;22,233468;6,3;1,518952;
2010-01-31;26;212,4;944,702248;22,314443;5,5;1,307857;
2010-02-28;16;193,4;945,466518;23,06875;6,2;1,212649;
2010-03-31;22;199,8;945,450538;20,790591;8,2;,963038;
2010-04-30;19;222,8;949,241304;17,884821;4,4;,821937;
2010-05-31;26;198,6;948,523387;15,090995;4,8;1,038172;
2010-06-30;20;93,6;951,622639;13,53625;6,1;1,082917;
2010-07-31;25;119,4;951,888306;13,124866;6,2;,934274;
2010-08-31;17;84,2;951,659451;13,516389;6,2;1,069686;
2010-09-30;15;47,6;948,552778;16,354583;6,2;1,37625;
2010-10-31;16;182,8;946,613978;16,641129;7,1;1,140457;
2010-11-30;14;150,4;943,81625;19,259306;7,5;1,029861;
2010-12-31;14;198,6;942,734409;20,421774;5,1;,916532;
2011-01-31;null;null;null;22,241667;6,6;null;
2011-02-28;null;null;null;null;4,7;null;
2011-03-31;null;null;null;null;3,9;null;
2011-04-30;null;null;null;null;5;null;
2011-05-31;18;121;950,101344;14,429032;4,8;,868145;
2011-06-30;25;134,4;949,068756;11,464706;6,4;1,180034;
2011-07-31;27;380,4;949,740515;12,687792;6,3;,830902;
2011-08-31;21;429,8;949,238575;13,590457;7,7;1,515726;
2011-09-30;4;null;null;null;null;null;
2011-10-31;null;null;null;null;null;null;
2011-11-30;4;null;null;null;null;null;
2011-12-31;15;142,2;944,023656;20,143414;6,5;1,265457;
2012-01-31;24;554,6;944,840457;21,03965;6;1,312769;
2012-02-29;18;335,8;945,395115;22,673851;7,3;1,12658;
2012-03-31;13;27,2;947,05672;20,501479;4,8;1,121237;
2012-04-30;18;210;946,959028;18,1775;5,9;1,059167;
2012-05-31;22;118;950,834812;15,01371;5,2;,771505;
2012-06-30;22;212,8;949,772361;13,247361;4,5;,864445;
2012-07-31;24;293,8;950,003091;12,249462;5,3;1,024597;
2012-08-31;15;34,6;953,374117;16,269167;4,9;,974097;
2012-09-30;21;78,8;949,929583;16,278195;6;1,391528;
2012-10-31;24;267;946,461156;18,475135;7,4;1,295833;
2012-11-30;15;145;945,449861;20,444722;4,8;1,279445;
2012-12-31;23;391,8;943,444355;22,748387;7,9;1,122849;
2013-01-31;17;268,2;946,075806;20,988306;5;1,040995;
2013-02-28;null;null;945,190327;21,719345;6,1;,831696;
2013-03-31;19;238,2;946,840333;19,812644;4,8;,636972;
2013-04-30;22;120,8;948,608889;17,050694;5,6;,541806;
2013-05-31;29;57,4;948,671774;14,86371;7,2;,580242;
2013-06-30;26;380;949,245732;13,684722;5;,605505;
2013-07-31;24;191,2;951,645699;11,988441;6,3;,693952;
2013-08-31;22;321,6;950,247715;13,104704;6,3;,881317;
2013-09-30;20;446,2;949,202083;15,356389;6,6;1,002083;
2013-10-31;19;185;947,903226;17,741129;5,3;,96371;
2013-11-30;19;71,2;946,213056;19,802917;5,7;1,139583;
2013-12-31;15;226,8;943,621102;21,967204;4,9;,853629;
2014-01-31;18;458,8;946,122312;22,710618;5,5;,771909;
2014-02-28;16;169,6;946,369494;22,669048;8;,911905;
2014-03-31;20;200;946,792339;20,581586;5,4;,690188;
2014-04-30;16;107,2;948,971667;18,555972;4,5;,559306;
2014-05-31;23;141,6;949,035753;15,263441;4,4;,466801;
2014-06-30;16;null;950,090551;14,081551;6,4;,644986;
2014-07-31;19;62,8;952,737274;13,244792;5,7;,4797;
2014-08-31;22;164,4;951,05775;13,988506;5,4;,635028;
2014-09-30;16;null;948,351649;17,202928;5,2;,940001;
2014-10-31;16;55,2;948,744722;19,253056;10,4;,846528;
2014-11-30;14;236,6;945,883657;20,440517;6,1;,844815;
2014-12-31;17;229,8;945,210349;21,582361;5,2;,841237;
2015-01-31;26;321,6;946,646441;22,284689;6,7;,741328;
2015-02-28;24;363,6;945,667411;21,682738;5,1;,588095;
2015-03-31;15;160,8;946,810618;21,131586;3,9;,546909;
2015-04-30;15;76,2;948,494971;18,472701;4,1;,488506;
2015-05-31;17;101,6;950,419345;15,870833;6,2;,501637;
2015-06-30;24;104,6;952,43486;13,224651;4,2;,433295;
2015-07-31;18;null;950,191333;13,926;5,5;,552167;
2015-08-31;11;13,8;950,176293;17,305747;4,7;,612069;
2015-09-30;21;201,6;946,432241;17,280276;5,5;,799443;
2015-10-31;27;568,8;947,55672;17,97379;5,6;,661962;
2015-11-30;24;459,2;944,954028;19,193472;4,8;,738472;
2015-12-31;26;262,8;944,974533;22,108649;7;,783479;
2016-01-31;17;275,6;945,22621;22,480376;4,8;,677151;
2016-02-29;20;368;945,81593;22,921727;5;,640124;
2016-03-31;18;462,2;947,631586;20,491532;4,2;,57043;
2016-04-30;19;253,8;947,476528;20,441528;4,7;,60875;
2016-05-31;22;222,2;950,35793;14,338441;4,9;,359812;
2016-06-30;22;110,8;952,625417;10,562083;5,2;,334306;
2016-07-31;23;78;950,44422;12,834005;6,4;,73871;
2016-08-31;28;280,6;949,6125;13,692876;5;,589247;
2016-09-30;11;68;949,763611;15,525972;5,9;,343889;
2016-10-31;18;327,4;947,290422;17,59678;6,2;,786997;
2016-11-30;13;129,4;946,231111;19,296806;6,5;,569306;
2016-12-31;20;225,6;944,86362;20,81256;5;,585251;
2017-01-31;24;287,2;945,463963;22,636198;4;,395257;
2017-02-28;17;138,8;945,725924;22,800098;7,6;,366553;
2017-03-31;25;100,4;947,600076;20,653839;3,6;,319875;
2017-04-30;16;60;948,95875;17,742778;4,5;,415139;
2017-05-31;22;246,6;949,092473;16,649194;5,4;,207796;
2017-06-30;20;126,4;950,816528;13,75875;5,3;,316667;
2017-07-31;19;16,2;955,739785;12,669355;4,7;,248387;
2017-08-31;19;102;950,42478;14,61013;5,2;,226625;
2017-09-30;14;70,4;950,823243;18,456123;5,6;,528831;
2017-10-31;21;230;946,141263;18,089516;6,9;,915591;
2017-11-30;13;99;944,791791;19,215917;4,9;1,031191;
2017-12-31;14;105;944,299805;21,804691;5,2;,904661;
2018-01-31;22;396;944,992511;21,601886;5,9;,437988;
2018-02-28;11;null;945,989162;20,648503;3,8;,377049;
2018-03-31;15;null;945,179676;21,211703;7,4;,193515;
2018-04-30;11;10,6;949,915128;19,351857;3,1;,048354;
2018-05-31;11;35,6;950,616713;15,927998;4,7;,154863;
2018-06-30;23;81,6;950,679028;13,132639;5,3;,210139;
2018-07-31;17;9,4;950,669193;13,694703;5,3;,313459;
2018-08-31;7;null;null;12,094444;4,7;null;
2018-09-30;null;null;null;null;null;null;
2018-10-31;null;null;null;null;null;null;
2018-11-30;null;null;null;null;null;null;
2018-12-31;9;null;945,792848;21,01297;10,9;1,282319;
2019-01-31;8;null;null;null;5,8;null;
2019-02-28;9;null;null;null;6,9;null;
2019-03-31;8;null;948,578686;null;4,1;,899545;
2019-04-30;13;null;946,841631;19,081243;4,5;,685612;
2019-05-31;9;null;948,102522;null;5,1;,910219;
2019-06-30;7;null;951,801922;14,61073;4,8;,595315;
2019-07-31;12;null;951,162897;11,561605;5,6;,832588;
2019-08-31;6;null;954,135758;11,271614;5,3;1,001239;
2019-09-30;6;null;null;null;5,5;null;
2019-10-31;1;null;null;null;7,3;null;
2019-11-30;null;null;null;null;5;null;
2019-12-31;null;null;null;null;4;null;
2020-01-31;null;null;null;null;3,9;null;
2020-02-29;1;null;null;null;5;null;
2020-03-31;null;null;null;null;3,9;null;
2020-04-30;1;null;null;null;5,1;null;
2020-05-31;1;null;null;null;4,7;null;
2020-06-30;1;null;null;null;5,7;null;
2020-07-31;null;null;null;null;7;null;
2020-08-31;1;null;null;null;6,2;null;
2020-09-30;null;null;null;null;4,6;null;
2020-10-31;null;null;null;null;4,2;null;
2020-11-30;null;null;null;null;4;null;
2020-12-31;16;200,2;945,043452;21,516667;5,9;1,252679;
2021-01-31;27;332,8;945,233199;21,806855;4,6;1,171774;
2021-02-28;15;58,6;944,910268;21,215179;5;1,179464;
2021-03-31;21;176,8;945,669489;21,294086;4,8;,97621;
2021-04-30;9;4,4;949,545278;17,644028;3,9;,805;
2021-05-31;15;108,4;949,239516;14,265591;5,3;,855107;
2021-06-30;21;197,8;950,817639;12,979722;5,1;,80875;
2021-07-31;10;23,8;952,708737;10,9;6,9;,949597;
2021-08-31;13;51,4;951,612634;15,443145;5;,874194;
2021-09-30;19;164,2;948,378243;16,92872;4,5;1,088834;
2021-10-31;21;153,4;947,644624;17,112769;5,3;1,217339;
2021-11-30;12;83,2;945,147361;20,107639;5,6;1,462361;
2021-12-31;12;71,8;944,657392;21,308871;6,3;1,379704;
2022-01-31;16;255,6;944,761022;22,780139;6,2;1,206413;
2022-02-28;15;72,4;945,227669;22,416012;11,2;1,120819;
