Nome: Laguna - Farol de Santa Marta
Codigo Estacao: A866
Latitude: -28.60444444
Longitude: -48.81333333
Altitude: 34.36
Situacao: Operante
Data Inicial: 2008-05-31
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-05-31;null;null;null;null;null;null;
2008-06-30;null;56,2;1012,71158;15,160457;14,8;4,971985;
2008-07-31;null;16,6;1014,044355;17,44086;15;5,756637;
2008-08-31;null;37,8;1011,841398;16,40914;15;6,091109;
2008-09-30;null;165,8;1013,218194;16,473472;15,8;7,583549;
2008-10-31;null;192,6;1011,515726;18,669355;19,9;8,14003;
2008-11-30;null;161,6;1010,155072;19,551751;17,1;7,728599;
2008-12-31;null;48,6;1006,941129;20,532661;17,9;7,112097;
2009-01-31;null;252;1007,24373;22,063844;19,3;6,420775;
2009-02-28;null;46,8;1007,017857;22,52247;16,9;6,060863;
2009-03-31;null;97,4;1007,150134;23,542204;17,4;5,359788;
2009-04-30;null;75;1011,088472;21,550833;17,6;6,12125;
2009-05-31;null;63,8;1010,568548;19,327285;16,4;5,648522;
2009-06-30;null;48,6;1013,31875;15,597778;19,8;6,348575;
2009-07-31;null;69,6;1013,690591;14,46707;20;5,982003;
2009-08-31;null;164,8;1012,0125;16,130242;19,8;7,902592;
2009-09-30;null;341,8;1010,906806;17,471667;19,7;7,481027;
2009-10-31;null;60,4;1009,433477;18,361207;20;7,193994;
2009-11-30;null;98,8;1004,287414;21,666518;19,7;6,909828;
2009-12-31;null;99;1006,088038;22,666936;19,1;7,298867;
2010-01-31;null;139,8;1006,28882;24,040738;17,1;4,255425;
2010-02-28;null;66,6;1006,416518;24,689732;15,3;5,437946;
2010-03-31;null;220,2;1007,301075;23,720699;16,8;4,324866;
2010-04-30;null;156,6;1011,903869;21,329911;16,7;5,940923;
2010-05-31;null;null;null;18,768001;19,3;null;
2010-06-30;null;null;null;null;20;null;
2010-07-31;null;null;null;null;20;null;
2010-08-31;null;null;null;16,127437;19,7;null;
2010-09-30;null;93;1011,596389;17,640694;20;7,746705;
2010-10-31;null;64,2;1009,97379;18,388978;18,8;7,074737;
2010-11-30;null;157,2;1006,589499;20,254269;19,8;7,370042;
2010-12-31;null;92,4;1004,985887;22,163844;18,6;6,747581;
2011-01-31;null;114,8;1004,322312;24,043011;16,5;5,229167;
2011-02-28;null;82,4;1006,587946;23,904613;16,4;5,754911;
2011-03-31;null;134,4;1009,969561;21,445758;16,5;5,883806;
2011-04-30;null;60,2;1010,06875;20,82875;16,2;4,586667;
2011-05-31;null;118;1013,138248;18,487383;17,4;6,089715;
2011-06-30;null;92,4;1011,847407;16,22729;19,9;6,588336;
2011-07-31;null;null;1012,823087;15,330522;18;7,320978;
2011-08-31;null;245,8;1012,069548;15,973991;22,8;8,255806;
2011-09-30;null;131,8;1014,720337;16,324282;22,9;8,534186;
2011-10-31;null;52,6;1008,804558;18,686131;19,8;7,321151;
2011-11-30;null;25,2;1009,735417;19,42125;18,5;7,187222;
2011-12-31;null;139,6;1006,551478;21,10336;15,5;5,993145;
2012-01-31;null;158,8;1007,096371;21,922177;17,8;6,123387;
2012-02-29;null;19,2;1006,315948;22,148132;17,2;5,537644;
2012-03-31;null;23;1008,875012;22,417876;18,5;5,576332;
2012-04-30;null;60;1009,374306;21,288472;17,4;6,280417;
2012-05-31;null;66,8;1013,60672;19,335753;15;5,550941;
2012-06-30;null;108,4;1012,128571;16,828274;17;5,22753;
2012-07-31;null;85;1012,812351;15,046296;21,3;5,958095;
2012-08-31;null;null;null;null;19,2;null;
2012-09-30;null;123,8;1012,808056;17,771806;19,6;8,235278;
2012-10-31;null;157;1008,163307;19,355645;23,3;8,571102;
2012-11-30;null;83,8;1008,407778;20,696806;17,5;6,736528;
2012-12-31;null;109,4;1004,726344;22,462231;19,2;6,651478;
2013-01-31;null;76;1008,374866;23,227285;18;7,071909;
2013-02-28;null;88,4;1006,87619;23,769048;14,9;5,659821;
2013-03-31;null;203,6;1009,444222;22,272701;18,5;6,783111;
2013-04-30;null;87,4;1010,835694;20,981944;19;6,603472;
2013-05-31;null;27,4;1010,971371;18,432258;19,6;5,766936;
2013-06-30;null;90,8;1012,344325;16,554774;16,7;4,695279;
2013-07-31;null;66,4;1014,971564;14,633421;17,2;6,342239;
2013-08-31;null;360;1013,67836;14,574866;21;7,978763;
2013-09-30;null;206;1011,726806;17,003472;20,7;7,802639;
2013-10-31;null;81,8;1011,093011;18,868011;23,2;8,210215;
2013-11-30;null;42,4;1008,556944;19,718472;22,5;8,974306;
2013-12-31;null;85,8;1005,705108;22,504839;18,1;5,579973;
2014-01-31;null;191,2;1007,179435;23,707258;19,5;5,554435;
2014-02-28;null;90,6;1007,598512;23,74003;23,1;6,568304;
2014-03-31;null;94;1008,699731;23,243145;17,7;4,377419;
2014-04-30;null;147,6;1011,563611;21,391389;17,5;5,134167;
2014-05-31;null;88,2;1011,845296;18,746774;23,9;4,089382;
2014-06-30;null;243;1012,416944;17,134583;18,4;3,627917;
2014-07-31;null;50,6;1015,966398;16,789247;3,6;,025806;
2014-08-31;null;86,4;1013,5875;16,374059;,6;,000941;
2014-09-30;null;82,2;1010,772222;18,316944;,1;,000139;
2014-10-31;null;112,8;1011,17957;19,355511;0;0;
2014-11-30;null;53,8;1008,165761;20,763617;,6;,001389;
2014-12-31;null;null;null;21,907936;15,1;null;
2015-01-31;null;null;null;null;17,9;null;
2015-02-28;null;204,4;1007,406548;24,126191;18;5,62128;
2015-03-31;null;213,6;1009,022072;22,774731;16,1;6,111559;
2015-04-30;null;128,4;1011,202639;21,54875;18,4;6,238611;
2015-05-31;null;71,4;1012,939516;19,071371;23,3;6,377419;
2015-06-30;null;null;1014,383452;17,656753;18,9;6,062064;
2015-07-31;null;248,4;1012,904839;16,227823;19,6;5,927016;
2015-08-31;null;58,6;1011,925538;18,229973;22,1;8,999866;
2015-09-30;null;229,4;1009,331111;17,220278;18,9;6,923472;
2015-10-31;null;187;1010,733494;17,544551;21,2;7,44359;
2015-11-30;null;null;null;null;null;null;
2015-12-31;null;null;null;null;null;null;
2016-01-31;null;null;null;null;null;null;
2016-02-29;null;null;null;null;null;null;
2016-03-31;null;166,2;1009,838038;22,924194;20,3;5,868414;
2016-04-30;null;226,2;1008,882361;22,56875;21,3;6,13;
2016-05-31;null;74,8;1013,937634;16,243683;18,4;5,508468;
2016-06-30;null;45,6;1016,756528;12,716806;17,9;5,27;
2016-07-31;null;117,2;1013,314785;14,750806;17,3;5,876747;
2016-08-31;null;90,2;1012,371102;15,596505;20,8;5,860618;
2016-09-30;null;113,4;1013,084167;16,238195;18,1;6,53375;
2016-10-31;null;108,6;1010,280914;18,228629;21,2;8,263979;
2016-11-30;null;67;1008,847917;20,150417;29,1;8,178194;
2016-12-31;null;167,8;1006,510081;22,35793;null;null;
2017-01-31;null;155,2;1007,18688;24,356124;null;null;
2017-02-28;null;33,8;1006,899702;24,326935;null;null;
2017-03-31;null;169,2;1009,806317;23,511828;null;null;
2017-04-30;null;105,2;1011,570556;20,279722;null;null;
2017-05-31;null;217,4;1011,931586;19,245968;null;null;
2017-06-30;null;158,4;1013,16875;17,179167;null;null;
2017-07-31;null;12;1018,764113;16,760081;null;null;
2017-08-31;null;65,6;1012,874597;17,580645;null;null;
2017-09-30;null;31;1013,201389;18,338195;null;null;
2017-10-31;null;99,2;1008,13591;18,851911;null;null;
2017-11-30;null;100;1007,46875;19,921944;20;7,876389;
2017-12-31;null;143,2;1006,625;21,395027;18,7;7,28871;
2018-01-31;null;117,8;1006,822528;22,766749;15,1;5,184432;
2018-02-28;null;62,2;1008,299702;22,64256;14,9;2,806101;
2018-03-31;null;142,6;1006,874462;22,977823;18,2;4,790726;
2018-04-30;null;33,8;1011,701806;22,391528;16,2;4,338333;
2018-05-31;null;39,6;1013,061962;19,523253;17,7;4,913575;
2018-06-30;null;null;1014,233152;15,725379;17,9;4,117649;
2018-07-31;null;null;null;null;null;null;
2018-08-31;null;null;null;null;null;null;
2018-09-30;null;null;null;null;null;null;
2018-10-31;null;null;null;null;null;null;
2018-11-30;null;null;null;null;null;null;
2018-12-31;null;174;1007,552554;23,061828;20,8;7,152016;
2019-01-31;null;53,2;1007,758065;24,98535;15,4;5,836962;
2019-02-28;null;118,2;1007,40372;24,292857;15,2;5,744792;
2019-03-31;null;104,6;1009,988978;24,065726;16,7;6,083333;
2019-04-30;null;156,4;1009,060972;22,744167;16,8;5,351389;
2019-05-31;null;482,6;1010,591667;20,73293;21,1;5,753764;
2019-06-30;null;63;1013,314583;19,748333;17,1;5,535278;
2019-07-31;null;124,6;1014,191935;16,070564;17,4;6,529301;
2019-08-31;null;15,2;1016,184543;16,148387;17,9;8,709812;
2019-09-30;null;42,2;1012,445417;17,671389;20,3;5,199444;
2019-10-31;null;109,8;1009,734274;20,173656;0;0;
2019-11-30;null;59;1008,2025;20,50875;0;0;
2019-12-31;null;35;1006,900403;22,290591;0;0;
2020-01-31;17;186,4;1006,259946;23,745968;0;0;
2020-02-29;14;29,2;1008,875;23,173132;4,1;,017529;
2020-03-31;9;25,2;1010,284005;23,413575;29,1;10,126677;
2020-04-30;12;27,6;1011,408333;21,169861;null;null;
2020-05-31;9;14,2;1011,130401;19,182063;null;null;
2020-06-30;13;108,8;1011,663056;18,231389;0;0;
2020-07-31;12;153;1012,845238;15,260714;0;0;
2020-08-31;15;77,2;1014,31625;16,544444;0;0;
2020-09-30;16;145,8;1012,123889;17,855278;0;0;
2020-10-31;14;51,2;1009,793952;19,84879;0;0;
2020-11-30;17;121,8;1009,797361;21,148611;19,9;1,396389;
2020-12-31;21;127,2;1007,191667;22,747312;18,6;6,187634;
2021-01-31;22;196;1006,8706;23,346681;17,6;6,243788;
2021-02-28;10;47,6;1006,75878;24,580952;19,8;5,393899;
2021-03-31;19;150,8;1007,301987;24,321687;16,6;5,961658;
2021-04-30;16;null;1012,112832;21,662262;15,3;4,883768;
2021-05-31;3;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
