Nome: ARARANGUA
Codigo Estacao: A867
Latitude: -28.931353
Longitude: -49.49792
Altitude: 2
Situacao: Operante
Data Inicial: 2008-09-27
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-09-30;1;null;null;null;null;null;
2008-10-31;19;264,4;1016,266263;19,294758;9,7;3,024866;
2008-11-30;17;192,8;1014,855139;20,681528;10,1;3,3275;
2008-12-31;13;66,4;1011,716129;22,12164;8,1;2,683468;
2009-01-31;20;270,6;1012,081101;22,552939;9,7;2,531732;
2009-02-28;15;144,2;1011,729762;23,496577;7,9;1,948661;
2009-03-31;17;84,2;1011,888844;22,963172;8,7;1,95578;
2009-04-30;15;103,8;1016,040972;20,184167;7,5;1,862083;
2009-05-31;24;63,6;1015,470161;17,582258;11,7;1,651613;
2009-06-30;21;50,6;1018,3975;14,098611;8,6;1,844445;
2009-07-31;19;76,2;1018,717742;12,91828;8,8;1,783871;
2009-08-31;25;170,6;1016,897312;15,940188;9,6;1,935215;
2009-09-30;21;465,6;1015,926389;17,308194;10,4;2,570694;
2009-10-31;14;68,8;1014,310057;18,657759;10,6;2,507902;
2009-11-30;19;146,6;1009,100833;23,218056;13,6;2,395972;
2009-12-31;15;112,2;1010,907392;23,575538;12,1;2,737097;
2010-01-31;24;181,6;1011,035215;24,375758;8,3;1,95011;
2010-02-28;15;140,8;1011,076488;25,470089;7,4;1,881845;
2010-03-31;21;313;1012,166801;23,111559;7,7;2,114247;
2010-04-30;21;178,4;1016,578611;20,200972;6,7;1,905972;
2010-05-31;27;295,2;1016,734677;18,094355;8,6;2,006317;
2010-06-30;15;78;1019,783472;15,347222;9,4;1,363611;
2010-07-31;19;110;1019,748253;15,262634;10,4;1,597715;
2010-08-31;12;64;1020,365491;14,985332;11,6;1,968959;
2010-09-30;12;88,4;1016,329583;17,63125;11,3;2,714306;
2010-10-31;16;74;1014,998656;18,288575;9,1;2,49664;
2010-11-30;16;234,4;1011,396389;20,482639;14,5;2,655556;
2010-12-31;18;45,8;1009,799328;22,490591;7,7;2,477419;
2011-01-31;20;219,4;1009,110753;24,566263;7,2;1,891667;
2011-02-28;24;201,2;1011,417708;24,168601;8,3;1,872024;
2011-03-31;17;135,6;1014,738084;21,883874;7,7;2,211667;
2011-04-30;22;97;1014,872361;19,988056;7,7;1,668472;
2011-05-31;19;70;1018,255645;17,188172;7,4;1,87836;
2011-06-30;20;130,6;1016,906196;13,991564;9,5;1,703599;
2011-07-31;22;126,4;1018,275666;13,922259;8,1;1,845155;
2011-08-31;18;317,4;1016,98241;15,229272;17;2,704056;
2011-09-30;11;106,4;1019,604306;16,106806;12,3;2,546667;
2011-10-31;5;null;null;null;null;null;
2011-11-30;8;22,8;1014,12338;20,792546;9,6;2,849044;
2011-12-31;17;225;1011,356855;21,662231;9,9;2,570161;
2012-01-31;20;192,4;1011,849328;23,12164;9,8;2,456048;
2012-02-29;14;45,4;1010,77227;24,824713;7,1;1,906322;
2012-03-31;13;8,8;1013,601747;22,389516;7,6;2,082258;
2012-04-30;17;36,6;1014,341806;20,093194;9,9;2,079444;
2012-05-31;20;51,6;1018,476578;17,825561;8,5;1,75024;
2012-06-30;21;85;1017,085248;15,296862;11,4;1,419268;
2012-07-31;19;114,8;1018,553068;14,047271;7,4;1,989078;
2012-08-31;9;39,6;1020,610215;18,550833;9,2;2,652573;
2012-09-30;15;128,2;1017,74628;18,213176;11,6;2,80567;
2012-10-31;11;143,8;1012,843817;20,983871;10,1;2,668817;
2012-11-30;9;26,8;1013,089583;21,840694;8,8;2,860278;
2012-12-31;5;null;null;null;9,2;null;
2013-01-31;null;null;null;null;null;null;
2013-02-28;23;228,8;1011,691072;23,588244;13,6;1,973661;
2013-03-31;20;181,6;1014,422444;21,33477;8,3;1,755111;
2013-04-30;13;48,8;1015,703913;19,737657;7,9;1,777428;
2013-05-31;15;51;1015,926344;16,709005;7,9;1,131183;
2013-06-30;20;107,8;1017,317799;15,424139;8,1;,963964;
2013-07-31;16;73,4;1019,97143;13,967179;7,5;1,095654;
2013-08-31;20;411,4;1018,846476;14,546669;9,9;2,026321;
2013-09-30;13;162;1016,590139;17,559861;9;2,014028;
