Nome: GENERAL CARNEIRO
Codigo Estacao: A875
Latitude: -26.3986111
Longitude: -51.35361111
Altitude: 1009.01
Situacao: Operante
Data Inicial: 2008-04-29
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-04-30;null;null;null;null;null;null;
2008-05-31;6;null;null;null;4,9;null;
2008-06-30;15;null;null;9,434009;7,6;null;
2008-07-31;22;48,2;906,711962;11,30336;6;,868011;
2008-08-31;22;131,4;903,798522;13,183737;6,8;1,236425;
2008-09-30;16;164,8;904,464861;12,602361;6,1;1,586667;
2008-10-31;25;325,6;903,541935;16,46707;5,7;1,570968;
2008-11-30;20;144;901,788388;17,418104;5,5;1,773231;
2008-12-31;13;77,2;900,295296;18,966667;7,1;1,579704;
2009-01-31;24;145;901,075234;18,580657;6,9;1,743694;
2009-02-28;21;157,4;901,433929;20,125298;6,1;1,300446;
2009-03-31;18;50,6;901,759543;19,256048;7,5;1,203495;
2009-04-30;19;75,2;904,315833;15,741806;6,1;1,040278;
2009-05-31;25;103;904,080661;13,068304;6,8;,999339;
2009-06-30;1;,2;905,350157;9,195216;7,1;1,068867;
2009-07-31;null;0;904,568472;10,430417;4,9;1,042917;
2009-08-31;0;0;904,718683;12,811962;6,4;1,424328;
2009-09-30;6;127,2;902,716865;15,027241;6,5;1,412001;
2009-10-31;19;167;901,531465;16,459626;7,2;1,422557;
2009-11-30;17;199;899,511914;20,524481;7,3;1,419463;
2009-12-31;20;214,2;900,333064;19,997312;5,1;1,483065;
2010-01-31;24;178,8;901,101332;20,408468;7,5;1,497715;
2010-02-28;18;134;902,039137;21,010714;6,8;1,304018;
2010-03-31;24;220;901,654722;18,452361;6,3;,926389;
2010-04-30;17;null;905,371196;15,626276;5,3;,73913;
2010-05-31;20;null;904,092708;12,564931;5,3;,818924;
2010-06-30;11;null;null;10,734138;7,5;null;
2010-07-31;16;null;906,19665;11,666423;6,3;,744292;
2010-08-31;17;null;906,109332;12,747222;5,6;1,05804;
2010-09-30;10;null;903,742555;15,658683;7,7;1,369797;
2010-10-31;11;null;901,831099;15,416564;5,8;1,02193;
2010-11-30;15;133,8;899,68375;17,498333;6,4;1,111806;
2010-12-31;18;null;899,075819;19,272803;5,9;1,082422;
2011-01-31;25;342,2;899,327688;20,487366;8,4;,807258;
2011-02-28;null;null;901,145685;20,567262;5,3;,949702;
2011-03-31;null;null;902,597456;18,737915;4,9;1,211611;
2011-04-30;10;30,2;903,699107;16,350298;7,2;,71622;
