Nome: CANELA
Codigo Estacao: A879
Latitude: -29.36888888
Longitude: -50.82722221
Altitude: 830.93
Situacao: Operante
Data Inicial: 2008-08-22
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-08-31;1;null;null;null;null;null;
2008-09-30;7;null;null;13,02126;11,7;null;
2008-10-31;23;279,2;921,861564;14,959346;8,2;2,931641;
2008-11-30;14;102,4;920,497699;16,937277;8,9;3,406739;
2008-12-31;17;173,2;918,665375;18,107124;8,7;2,767105;
2009-01-31;21;348,8;919,297248;18,34654;7,7;2,764902;
2009-02-28;16;207,6;919,32951;19,818329;8,3;2,83609;
2009-03-31;19;102,8;919,573031;18,926999;7,2;2,675853;
2009-04-30;12;80,2;922,616063;16,340133;7,9;2,316866;
2009-05-31;14;126;921,623856;14,288056;10,4;2,699495;
2009-06-30;15;91,6;923,0054;9,896751;8,6;3,051421;
2009-07-31;11;null;922,64758;10,044126;11,1;2,89461;
2009-08-31;14;258,4;922,351965;14,045357;10,3;3,333606;
2009-09-30;22;555,2;921,181093;12,993213;10,3;2,823381;
2009-10-31;15;145,6;919,839568;14,849113;9,9;2,72242;
2009-11-30;20;297;916,915556;19,71375;9,7;3,184722;
2009-12-31;20;227,6;918,418952;19,127957;7,6;2,678091;
2010-01-31;23;316,2;918,945173;20,104338;7,5;2,776955;
2010-02-28;15;216,4;919,617411;21,306696;8,3;3,140476;
2010-03-31;22;278,2;919,849568;18,654067;7,2;2,345266;
2010-04-30;19;219,6;923,128611;15,818611;8,6;2,612222;
2010-05-31;24;263,4;922,586693;12,908602;8,8;2,504436;
2010-06-30;17;134;924,421668;11,748012;8,5;3,121481;
2010-07-31;14;203,8;924,05982;13,151394;10,3;3,718913;
2010-08-31;15;88;924,712985;12,28345;10,9;3,098765;
2010-09-30;14;227,8;921,422361;13,967222;10,3;3,638333;
2010-10-31;16;46,2;920,543817;13,60672;9,2;2,498656;
2010-11-30;16;202,4;917,941806;16,070972;8;2,586528;
2010-12-31;17;102,4;916,913979;18,593817;8,4;2,865995;
2011-01-31;17;75,6;917,328763;20,471102;6,9;2,275134;
2011-02-28;24;262,4;919,324405;19,62381;7,6;2,543304;
2011-03-31;13;219,6;921,107439;18,111076;9;3,279145;
2011-04-30;20;168,8;921,399167;16,158889;7,3;2,476806;
2011-05-31;20;61,2;923,615287;12,595564;7,8;2,775927;
2011-06-30;14;173,8;921,868357;10,904616;8,5;3,138005;
2011-07-31;17;null;922,445481;12,468667;8,8;3,155897;
