Nome: TEUTONIA
Codigo Estacao: A882
Latitude: -29.44916666
Longitude: -51.82333332
Altitude: 81
Situacao: Operante
Data Inicial: 2012-10-03
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2012-10-31;6;null;null;20,662697;8,8;null;
2012-11-30;10;73,6;1002,733195;22,639028;5,4;1,947857;
2012-12-31;10;null;1000,373007;25,343297;12,5;1,984097;
2013-01-31;10;95,4;1003,742742;23,703898;8,6;1,93819;
2013-02-28;21;140,6;1002,40878;23,934524;8,9;1,800935;
2013-03-31;18;139;1005,246167;21,097845;7,1;1,755242;
2013-04-30;20;102,4;1006,67;19,597778;6,2;1,584445;
2013-05-31;19;102,4;1007,151689;16,197645;9,2;1,632428;
2013-06-30;27;137;1008,247281;14,769908;8,6;1,649286;
2013-07-31;20;141,8;1010,52096;14,107645;6,2;1,64875;
2013-08-31;25;318;1010,051642;13,876432;9,6;1,950527;
2013-09-30;17;160;1007,386389;17,535;9,3;2,029861;
2013-10-31;17;148,2;1006,093817;19,558333;7,5;1,906013;
2013-11-30;10;240,8;1002,866667;22,945278;7,9;2,264959;
2013-12-31;11;135,2;1000,55793;24,74207;8,6;1,930744;
2014-01-31;18;185,8;1002,436021;26,105108;7,9;1,963623;
2014-02-28;15;215,2;1003,061161;25,670387;8,2;2,110268;
2014-03-31;18;155,2;1004,10914;22,615995;8,8;1,761594;
2014-04-30;15;90,6;1007,1075;20,398333;10,3;1,658599;
2014-05-31;24;132,4;1007,988038;16,369624;10,6;1,484498;
2014-06-30;25;223,8;1008,013708;15,452216;10,6;1,893865;
2014-07-31;21;165;1011,260057;15,413517;9,6;1,759128;
2014-08-31;13;107,2;1008,748889;16,690417;10;2,039306;
2014-09-30;16;262,6;1005,595;18,953056;10,1;2,157313;
2014-10-31;15;157,6;1005,94086;21,237769;12;2,016936;
2014-11-30;14;103,8;1003,198188;23,028249;8,9;1,896703;
2014-12-31;12;null;1002,125672;24,148253;8,6;1,995296;
2015-01-31;null;null;1003,503629;24,919489;9,1;1,837903;
2015-02-28;15;null;1003,113839;24,112311;7,8;1,752711;
2015-03-31;10;39,4;1004,758737;23,363979;5,8;1,646505;
2015-04-30;19;128;1007,042083;20,309167;5,4;1,527361;
2015-05-31;22;153,8;1008,680242;17,843145;14,1;1,738172;
2015-06-30;19;235,6;1010,138;15,714943;7;1,667278;
2015-07-31;26;334,4;1008,820968;15,502419;8,2;1,649778;
2015-08-31;13;73,6;1006,480108;20,514919;10;2,327285;
2015-09-30;19;270,2;1004,976963;17,787054;7,4;1,909513;
2015-10-31;17;355,8;1005,585349;19,067608;8,4;1,937769;
2015-11-30;15;177;1002,955833;20,963472;12,6;2,154583;
2015-12-31;16;304,4;1001,802399;23,852286;8,3;1,914463;
2016-01-31;1;null;null;null;null;null;
2016-02-29;7;null;null;25,4925;6;null;
2016-03-31;22;325,4;1005,778898;22,126075;7,2;1,79879;
2016-04-30;15;203;1004,909028;22,049305;8;1,879722;
2016-05-31;17;50,8;1010,614174;14,66129;8,1;1,515567;
2016-06-30;12;null;1012,31242;12,380327;5,9;1,306714;
2016-07-31;17;179,4;1009,28744;14,391099;9,9;1,94826;
2016-08-31;14;80,4;1008,150285;16,417854;8,6;1,665138;
2016-09-30;14;85;1009,341111;16,369306;10,2;2,230278;
2016-10-31;14;323,2;1005,167204;19,359543;9,5;2,048656;
2016-11-30;10;140,2;1004,477083;20,865417;9,8;1,860972;
