Nome: IBIRUBA
Codigo Estacao: A883
Latitude: -28.65333333
Longitude: -53.11194444
Altitude: 455.27
Situacao: Operante
Data Inicial: 2012-12-12
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2012-12-31;8;null;null;23,646538;10;null;
2013-01-31;7;75;960,901309;22,085127;7,3;2,598907;
2013-02-28;14;126,8;959,971253;22,235985;7,7;2,304951;
2013-03-31;12;172;961,937787;19,420259;10,5;2,547989;
2013-04-30;8;null;963,359958;19,461441;5,9;2,256179;
2013-05-31;7;null;962,826158;16,825571;8,7;2,176782;
2013-06-30;12;null;963,919008;14,822601;6,7;2,241843;
2013-07-31;4;null;null;null;7;null;
2013-08-31;2;null;null;null;6;null;
2013-09-30;10;null;963,095683;17,305092;9,6;2,662328;
2013-10-31;12;233,2;962,474328;18,485215;7,3;2,660788;
2013-11-30;11;147,8;959,804444;22,010833;9,5;3,201896;
2013-12-31;8;157,4;957,970833;24,302957;5,8;2,549059;
2014-01-31;12;157,6;960,467473;24,20914;7,2;2,342204;
2014-02-28;12;101,6;960,715179;23,909226;7,1;2,610268;
2014-03-31;18;127;961,277554;21,177016;6;2,255242;
2014-04-30;10;119,8;963,621389;19,520417;8,2;2,545972;
2014-05-31;24;264;964,270296;15,2375;7,5;2,127236;
2014-06-30;23;356,6;964,180604;14,017385;8;2,517529;
2014-07-31;16;181,2;967,018195;14,406497;6,3;2,643868;
2014-08-31;3;null;null;null;null;null;
2014-09-30;14;null;962,41929;17,611728;9,1;2,998302;
2014-10-31;7;null;962,915415;20,474094;7,8;2,898492;
2014-11-30;15;107,6;960,427083;22,202222;6,3;2,705278;
2014-12-31;15;135,6;959,726882;22,914382;6,4;2,659677;
2015-01-31;19;322,4;961,464142;22,909151;6,3;2,424731;
2015-02-28;5;null;null;null;6,3;null;
2015-03-31;9;37,8;961,993011;22,235618;5,1;2,281183;
2015-04-30;13;201,6;963,752083;19,430833;6,6;2,245;
2015-05-31;13;178,4;965,179032;16,510349;8,1;2,410887;
2015-06-30;13;263;966,536389;14,62375;7,3;2,491528;
2015-07-31;23;243,4;965,028763;14,041398;6,1;2,469086;
2015-08-31;6;null;null;19,647083;6,9;null;
2015-09-30;10;null;null;18,236667;8,2;null;
2015-10-31;12;null;961,491146;19,697222;8,3;3,047743;
2015-11-30;14;152,2;959,604722;20,216806;7,8;2,7825;
2015-12-31;18;515,2;959,460215;22,225403;7,9;2,537097;
2016-01-31;8;59,2;959,64422;24,463172;6,5;2,464651;
2016-02-29;14;174;960,524856;23,874138;7,2;2,213218;
2016-03-31;16;270,4;962,879435;20,752554;7,1;2,490591;
2016-04-30;19;150;962,323889;21,144861;8,3;2,374583;
2016-05-31;21;72,2;966,313844;13,89207;6,3;2,139919;
2016-06-30;14;16;968,755833;10,756389;6,7;2,000833;
2016-07-31;17;169,4;965,454839;13,366263;7,7;2,387634;
2016-08-31;14;101,2;964,553495;15,049194;6,2;2,339516;
2016-09-30;10;64,8;965,616389;15,097222;8,3;2,421944;
2016-10-31;15;275,6;961,633608;18,367239;8,4;2,816859;
2016-11-30;7;101;961,267083;20,590694;8,4;2,543333;
2016-12-31;12;62,2;959,416532;23,188038;7;2,478226;
2017-01-31;15;52,4;960,415323;23,262903;6;2,338575;
2017-02-28;14;169,6;960,145685;23,374851;7,1;2,132738;
2017-03-31;14;142,8;962,274866;21,75672;6,6;2,425269;
2017-04-30;10;216;963,769583;18,429861;6,4;2,515278;
2017-05-31;21;322,6;963,699328;16,722849;9,1;2,574462;
2017-06-30;17;182,4;965,540833;14,6175;7,5;2,445139;
2017-07-31;5;36,6;970,001344;14,767473;6,3;2,391532;
2017-08-31;15;190,6;964,471505;15,72164;7,9;2,671371;
2017-09-30;10;109,6;964,581944;19,905556;6,4;2,656667;
2017-10-31;18;256,4;960,494355;19,051613;7,6;2,788441;
2017-11-30;10;229,6;959,815;20,273195;7,4;2,529861;
2017-12-31;12;126;958,864382;23,387634;9,1;2,460484;
2018-01-31;16;340,8;959,759274;22,680914;7,5;2,390188;
2018-02-28;12;140,8;960,873065;21,870982;9;2,19122;
2018-03-31;13;157,8;960,220296;21,677151;8,3;2,172177;
2018-04-30;13;83,2;964,515278;21,721111;5,5;2,140972;
2018-05-31;13;115,2;965,491532;16,828763;5,6;2,284543;
2018-06-30;21;94;966,321389;12,262083;9,8;2,18375;
2018-07-31;21;114;965,976613;13,397715;5,8;2,372177;
2018-08-31;18;91;966,667204;12,255645;6,6;2,370833;
2018-09-30;18;183,8;962,212917;17,711528;7,8;2,457083;
2018-10-31;11;194,2;961,644893;18,959274;7,3;2,8;
2018-11-30;10;239,2;960,496944;22,147917;7,9;2,800278;
2018-12-31;13;209,2;960,72379;22,620699;7,6;2,408012;
2019-01-31;18;205;961,131317;24,334005;7,7;2,363172;
2019-02-28;15;126,4;960,8625;22,204316;6,6;2,228571;
2019-03-31;14;175,8;963,075672;20,871102;5,2;2,263172;
2019-04-30;13;177,6;962,414861;20,418056;6,9;2,000417;
2019-05-31;25;214,2;963,389382;17,427151;5,3;2,17836;
2019-06-30;9;22;965,824533;16,915455;9;2,335543;
2019-07-31;18;150,4;966,604839;12,560215;6,5;2,130108;
2019-08-31;9;74,2;967,990188;14,034006;6;2,588038;
2019-09-30;13;83,2;963,837361;16,459722;7;2,648056;
2019-10-31;15;329,4;961,910887;19,976882;7,5;2,765591;
2019-11-30;11;222,4;960,009028;22,158056;6,6;2,732778;
2019-12-31;5;19,4;959,748522;24,063844;9,8;2,38407;
2020-01-31;13;137,8;959,382258;23,632124;6,3;2,484829;
2020-02-29;10;32,6;961,574569;22,828448;6;2,362198;
2020-03-31;5;25,2;962,546371;24,006048;6,5;2,411962;
