Nome: CUIABA
Codigo Estacao: A901
Latitude: -15.559295
Longitude: -56.062951
Altitude: 241.56
Situacao: Operante
Data Inicial: 2002-12-07
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2002-12-31;null;null;null;null;15;null;
2003-01-31;11;null;null;26,810887;5,4;null;
2003-02-28;20;155;993,511109;26,576391;6,5;1,961141;
2003-03-31;19;133,2;993,181317;26,510081;5,8;1,845968;
2003-04-30;12;122,2;994,624444;26,105694;6,4;1,784167;
2003-05-31;5;46,8;995,597861;25,163511;5,5;1,68532;
2003-06-30;1;,4;995,634266;24,588362;4,8;1,597798;
2003-07-31;0;0;997,262769;23,649462;5,1;1,794892;
2003-08-31;0;0;997,210484;24,690054;7,5;2,208602;
2003-09-30;1;,2;994,664583;27,252917;9,5;2,038611;
2003-10-31;0;0;992,605376;27,495027;9,3;2,090188;
2003-11-30;13;187,2;991,755972;26,938889;7,9;2,121111;
2003-12-31;13;null;null;27,527314;8,2;null;
2004-01-31;25;177,4;990,055575;26,8071;6;1,893589;
2004-02-29;16;194;992,395415;26,716511;5,2;1,842323;
2004-03-31;1;19,8;992,156691;27,485548;8,8;1,755645;
2004-04-30;2;45,2;993,186473;26,834052;6,2;1,759674;
2004-05-31;4;9,2;997,240726;22,929301;5,3;1,965591;
2004-06-30;7;1,4;997,749426;23,670833;6;1,681588;
2004-07-31;7;24,8;996,689633;23,330458;6,7;1,854909;
2004-08-31;1;,2;996,641885;25,344913;6,5;1,684531;
2004-09-30;3;12,6;993,709707;28,193489;6,5;1,947655;
2004-10-31;10;153,8;992,056382;28,395062;9,4;2,05845;
2004-11-30;11;null;991,53003;27,232123;7,7;1,820914;
2004-12-31;17;143,2;991,379682;27,853533;6,2;1,974281;
2005-01-31;22;113;990,398792;27,086634;8,4;2,018277;
2005-02-28;12;null;991,707726;27,362489;5,7;1,735149;
2005-03-31;17;250,8;992,698924;26,936957;7;1,758305;
2005-04-30;12;85;994,371417;26,364161;6,6;1,80371;
2005-05-31;1;null;994,461473;26,47494;7,2;1,681985;
2005-06-30;3;15,4;995,505141;25,497766;6,3;1,707318;
2005-07-31;null;0;998,21602;23,42306;6,6;2,134491;
2005-08-31;1;,8;995,168715;25,930964;7;1,969532;
2005-09-30;4;null;995,401594;25,757918;8,6;2,234613;
2005-10-31;9;null;992,530566;28,429891;7,5;1,931732;
2005-11-30;10;92;990,7975;27,765278;7,6;1,927639;
2005-12-31;19;110,6;990,378495;27,297312;8;2,249866;
2006-01-31;19;163,6;991,851613;26,953898;6;1,86371;
2006-02-28;20;null;991,758581;26,981673;7,7;1,878102;
2006-03-31;20;265,4;992,232615;26,763362;6,3;1,796677;
2006-04-30;14;null;992,901544;26,329113;5,8;1,464789;
2006-05-31;2;null;null;24,275901;4,8;null;
2006-06-30;5;4,6;996,349069;25,035401;4,4;1,553754;
2006-07-31;4;10;996,675462;24,644507;10,6;1,834385;
2006-08-31;2;23,4;994,994499;26,756244;6;2,095646;
2006-09-30;4;null;994,639852;27,703775;7,5;null;
2006-10-31;13;101,4;992,395746;27,324077;5,9;1,813213;
2006-11-30;null;null;null;null;5,2;null;
2006-12-31;4;null;null;null;5;null;
2007-01-31;21;271,6;992,334759;27,63674;8,4;2,141252;
2007-02-28;22;275,6;992,478571;26,705506;6,2;1,793452;
2007-03-31;15;153,8;993,403346;27,314475;9,5;1,616561;
2007-04-30;16;135,4;994,146866;27,25314;8;1,529281;
2007-05-31;4;15,2;996,537845;23,679982;5,9;1,819113;
2007-06-30;3;,6;997,194269;23,988647;5;1,659161;
2007-07-31;5;20,2;997,039909;23,595411;9,3;1,896244;
2007-08-31;null;null;null;null;null;null;
2007-09-30;1;null;null;null;null;null;
2007-10-31;10;204,6;992,263172;28,123656;8,1;1,793279;
2007-11-30;16;268,2;991,350833;26,998056;9,1;2,020833;
2007-12-31;19;179,4;991,568414;27,04543;6,5;2,05793;
2008-01-31;26;344,2;991,861156;26,229032;7,7;1,968414;
2008-02-29;16;61,4;992,930661;26,836012;7,3;2,029339;
2008-03-31;13;null;null;26,500594;6,3;null;
2008-04-30;7;45,8;992,858082;25,834808;5,7;1,759465;
2008-05-31;null;null;null;null;5,6;null;
2008-06-30;null;null;null;null;3,9;null;
2008-07-31;null;null;null;null;null;null;
2008-08-31;null;null;null;null;null;null;
2008-09-30;1;null;null;27,395282;6,7;null;
2008-10-31;6;14,6;993,275672;28,41586;6,3;2,161962;
2008-11-30;10;92,6;991,265833;28,710139;7,9;2,209583;
2008-12-31;20;187,4;990,806633;27,287452;5,8;1,876666;
2009-01-31;4;null;992,49104;27,949577;6,9;1,925155;
2009-02-28;4;null;null;null;5,3;null;
2009-03-31;6;null;null;null;5,3;null;
2009-04-30;8;79,8;995,895556;24,821667;null;null;
2009-05-31;10;45,8;995,215457;25,724462;null;null;
2009-06-30;12;42,6;997,669722;22,810972;null;null;
2009-07-31;6;27;996,774018;24,123995;null;null;
2009-08-31;7;79,4;995,260753;25,981855;null;null;
2009-09-30;10;58,2;994,903611;27,244861;null;null;
2009-10-31;10;152;991,628879;28,415661;null;null;
2009-11-30;21;106,8;990,838461;28,348992;null;null;
