Nome: S.J. DO RIO CLARO
Codigo Estacao: A903
Latitude: -13.45388888
Longitude: -56.67722221
Altitude: 339.59
Situacao: Operante
Data Inicial: 2003-02-24
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2003-02-28;1;null;null;null;null;null;
2003-03-31;24;362,2;973,167608;24,769624;5,7;1,495027;
2003-04-30;14;116,6;974,233889;24,752083;4,8;1,384583;
2003-05-31;9;41,4;975,116071;23,75301;4,4;1,301671;
2003-06-30;6;1,2;975,367699;22,745696;4,7;1,117933;
2003-07-31;3;,6;976,789919;21,675672;4,2;1,283871;
2003-08-31;1;,2;976,20914;23,81371;6,4;1,648925;
2003-09-30;7;74,8;974,419444;24,728889;5,3;1,448056;
2003-10-31;11;96,8;972,759946;25,293548;5,1;1,555914;
2003-11-30;20;170,4;971,901806;25,243472;5,6;1,527778;
2003-12-31;15;null;null;25,579521;6,2;null;
2004-01-31;26;260,8;970,792479;24,852127;8,3;1,872762;
2004-02-29;26;488,6;972,822376;24,480204;7;1,396408;
2004-03-31;23;129,8;972,401478;25,615726;5,5;1,247446;
2004-04-30;17;83;973,273164;25,177271;5,5;1,244366;
2004-05-31;9;24;975,711694;23,235618;6,2;1,622446;
2004-06-30;5;2;977,252403;22,14131;4,8;1,207349;
2004-07-31;6;18,6;976,002676;22,084391;4,9;1,32486;
2004-08-31;0;0;976,100771;23,827858;4,8;1,326794;
2004-09-30;3;32,2;973,750803;25,297232;7,2;1,403195;
2004-10-31;16;111,4;972,221523;26,000701;9,9;1,498259;
2004-11-30;16;null;971,717034;25,432868;7,6;1,44116;
2004-12-31;23;177,2;971,830879;25,267722;7,2;1,485455;
2005-01-31;23;516,8;971,030389;24,913209;7,8;1,522846;
2005-02-28;19;null;971,940235;25,156247;6,2;1,36964;
2005-03-31;23;181,8;972,883303;25,183488;6;1,431739;
2005-04-30;11;35,8;973,957419;25,150425;4,4;1,421187;
2005-05-31;6;null;974,279234;24,660588;5,3;1,255227;
2005-06-30;2;,4;975,356201;23,729567;4,4;1,236143;
2005-07-31;null;0;977,346473;22,629187;5;1,647884;
2005-08-31;null;0;975,002697;24,067103;5;1,33974;
2005-09-30;3;null;974,483255;24,512838;5,2;1,838932;
2005-10-31;14;129,2;972,634215;26,772993;10;1,607438;
2005-11-30;16;239,4;971,016528;25,853333;6,1;1,565139;
2005-12-31;28;321;970,731528;24,731907;10,6;1,651145;
2006-01-31;9;null;null;25,726396;6,7;null;
2006-02-28;null;null;null;null;6;null;
2006-03-31;null;null;null;null;5,8;null;
2006-04-30;null;null;null;null;4,2;null;
2006-05-31;null;null;null;null;4,7;null;
2006-06-30;null;null;null;null;4,8;null;
2006-07-31;null;null;null;null;null;null;
2006-08-31;null;null;null;null;5,3;null;
2006-09-30;7;null;null;26,428874;7,6;null;
2006-10-31;23;71,8;972,310593;25,445405;8,4;1,33377;
2006-11-30;18;8,4;971,586866;25,860036;8,1;1,461431;
2006-12-31;13;2,6;972,769403;24,952743;6,7;1,471377;
2007-01-31;31;10,2;972,633292;25,274082;6,2;1,424369;
2007-02-28;28;6,4;972,582279;25,067961;9,9;1,507376;
2007-03-31;24;5;973,004367;25,566877;4,7;1,148382;
2007-04-30;9;17,6;973,693327;25,471033;6;1,171969;
2007-05-31;7;5,6;975,14293;22,963798;4,4;1,327103;
2007-06-30;2;2,6;976,114994;22,723358;4,8;1,112597;
2007-07-31;2;,6;975,810864;22,529783;6,2;1,374577;
2007-08-31;1;,2;975,020436;23,437775;4,8;1,505558;
2007-09-30;3;1,2;973,885435;25,678044;8;1,163514;
2007-10-31;13;72,6;972,153167;25,596406;6,2;1,475993;
2007-11-30;21;266,4;971,119617;25,58037;6,2;1,633055;
2007-12-31;23;224;971,635899;24,960063;6,2;1,533889;
2008-01-31;26;272,2;972,023451;24,405458;8,8;1,5071;
2008-02-29;25;283,2;972,959789;24,423082;7,5;1,46846;
2008-03-31;18;200,6;972,558568;24,901731;6,1;1,257602;
2008-04-30;20;194,4;972,325556;24,217778;6,4;1,302083;
2008-05-31;7;3,8;975,16645;22,876601;4,1;1,316743;
2008-06-30;3;,6;976,158213;22,135215;3,2;1,248218;
2008-07-31;0;0;976,018683;22,373656;3,8;1,073656;
2008-08-31;null;null;null;24,61249;3,8;null;
2008-09-30;null;null;null;null;null;null;
2008-10-31;null;null;null;null;null;null;
2008-11-30;1;null;null;null;5,8;null;
2008-12-31;null;null;null;null;5,6;null;
2009-01-31;null;null;null;null;8,1;null;
2009-02-28;8;null;null;null;5,1;null;
2009-03-31;11;null;972,373588;25,167771;8,6;1,25087;
2009-04-30;6;null;973,693244;25,093125;5,2;1,0973;
2009-05-31;12;11,8;974,45596;24,151543;4,3;1,005028;
2009-06-30;8;null;976,259862;22,503113;3,6;1,223349;
2009-07-31;7;2;975,652227;22,866111;4,2;1,144739;
2009-08-31;6;16,2;974,458602;24,250134;4,3;1,31586;
2009-09-30;13;34,6;974,271806;25,668611;5,7;1,520417;
2009-10-31;17;null;971,737021;26,033542;7,5;1,350808;
2009-11-30;3;null;null;null;5,9;null;
2009-12-31;null;null;null;null;7,8;null;
2010-01-31;null;null;null;null;4,6;null;
2010-02-28;null;null;null;null;null;null;
2010-03-31;6;null;null;25,713859;6,3;null;
2010-04-30;1;null;973,70031;25,469034;4,4;null;
2010-05-31;1;1,2;974,716667;23,659543;null;null;
2010-06-30;2;36,8;976,418194;23,450556;null;null;
2010-07-31;null;0;975,844397;22,02381;null;null;
2010-08-31;null;0;975,641434;22,889321;null;null;
2010-09-30;null;null;null;null;null;null;
2010-10-31;null;null;null;null;null;null;
2010-11-30;null;null;null;null;null;null;
2010-12-31;null;null;null;null;null;null;
2011-01-31;null;null;null;null;null;null;
2011-02-28;9;null;null;null;null;null;
2011-03-31;24;183;971,219999;24,731806;6,8;1,113111;
2011-04-30;13;151,4;972,82875;25,26875;5,8;,94125;
2011-05-31;2;,4;974,298522;23,82043;4,4;1,106452;
2011-06-30;2;11,4;975,041389;22,945139;4,8;,963889;
2011-07-31;0;0;974,761828;23,053763;4,6;1,040995;
2011-08-31;1;3,2;974,37621;24,350538;4,2;1,160215;
2011-09-30;7;42,4;973,612083;26,750695;4,6;1,214861;
2011-10-31;19;96,6;971,205376;25,587634;8,1;1,177285;
2011-11-30;20;217,8;971,033194;25,496667;6,2;1,1425;
2011-12-31;22;203,6;971,379973;24,97836;5,7;1,120833;
2012-01-31;23;242,6;971,859677;24,377016;4,5;1,281317;
2012-02-29;20;88,6;972,174138;24,481034;5,5;1,152874;
2012-03-31;null;null;973,193548;24,878495;6,3;1,061559;
2012-04-30;16;66,4;972,965972;25,137361;4,4;,818889;
2012-05-31;null;null;974,605645;23,609409;3,6;,847446;
2012-06-30;null;null;975,580556;23,098472;4,3;,888333;
2012-07-31;null;0;975,736021;22,436022;6;1;
2012-08-31;null;0;975,621141;23,743889;4,3;1,093817;
2012-09-30;9;40,8;973,999722;25,990278;6,2;1,100139;
2012-10-31;11;58,6;971,709409;26,525672;7,2;1,143817;
2012-11-30;17;113,8;970,97625;25,531806;6,5;1,189306;
2012-12-31;10;null;971,04435;null;5,1;1,18296;
2013-01-31;6;null;null;null;6,4;null;
2013-02-28;12;null;null;25,300152;5,6;null;
2013-03-31;19;236,2;972,589611;25,546983;5,7;1,04875;
2013-04-30;18;170,4;973,946667;24,537778;5,6;,964583;
