Nome: SORRISO
Codigo Estacao: A904
Latitude: -12.555
Longitude: -55.72277777
Altitude: 379.31
Situacao: Operante
Data Inicial: 2002-12-15
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2002-12-31;null;null;null;null;null;null;
2003-01-31;13;null;null;24,794086;5,3;null;
2003-02-28;21;259,8;968,895982;24,983185;5,3;1,966964;
2003-03-31;23;294,2;968,566801;24,960887;6,2;2,154704;
2003-04-30;16;247,2;969,42;25,494583;6,6;2,198472;
2003-05-31;5;4,2;970,282112;25,078904;6,9;2,50433;
2003-06-30;null;0;970,551667;25,09181;5,8;2,389147;
2003-07-31;0;0;971,932796;24,543145;7,1;2,575;
2003-08-31;0;0;971,126882;26,03414;7,5;2,952688;
2003-09-30;9;57,8;969,64875;26,434167;8,6;2,54;
2003-10-31;18;196,6;968,199462;25,882796;7,8;2,381855;
2003-11-30;20;370,6;967,361944;25,443472;7,5;2,355972;
2003-12-31;18;370,4;967,776075;25,600269;7,3;2,091263;
2004-01-31;29;444,4;966,486962;24,721874;8,3;2,40021;
2004-02-29;16;null;null;24,61701;5,5;null;
2004-03-31;20;319,4;967,886156;25,9375;7,4;2,163306;
2004-04-30;14;98,2;968,690151;25,615278;6,8;2,103611;
2004-05-31;4;71,2;970,562769;24,654436;7,8;1,054301;
2004-06-30;0;0;972,41067;24,081292;0;0;
2004-07-31;2;30;971,082749;24,20741;0;0;
2004-08-31;1;,2;971,25031;25,849053;0;0;
2004-09-30;5;26;969,007256;26,773022;0;0;
2004-10-31;16;102,2;967,765699;26,2794;,1;,000275;
2004-11-30;null;null;967,179612;25,908087;0;0;
2004-12-31;0;0;967,468273;25,199877;,1;,000134;
2005-01-31;null;0;966,727892;24,961923;,1;,000154;
2005-02-28;null;null;967,339379;25,64987;,1;0;
2005-03-31;null;0;968,506381;24,874716;0;0;
2005-04-30;1;1;969,177464;25,947632;0;0;
2005-05-31;null;null;969,673892;25,923665;0;0;
2005-06-30;null;0;970,718894;25,549702;0;0;
2005-07-31;null;0;972,409001;24,784045;0;0;
2005-08-31;1;,2;970,332579;26,437866;0;0;
2005-09-30;1;null;969,516725;25,595462;0;0;
2005-10-31;null;0;968,093444;27,253506;0;0;
2005-11-30;0;0;966,6475;25,739861;0;0;
2005-12-31;0;0;966,520968;24,550094;0;0;
2006-01-31;0;0;967,429032;25,183199;0;0;
2006-02-28;null;null;967,821386;24,956643;0;0;
2006-03-31;null;0;968,233615;25,533533;0;0;
2006-04-30;7;null;968,15871;25,103065;0;0;
2006-05-31;null;null;null;24,547171;0;null;
2006-06-30;null;0;971,415873;25,014843;0;0;
2006-07-31;0;0;971,75083;25,214137;0;0;
2006-08-31;1;6;969,884367;27,131932;,3;,003226;
2006-09-30;10;53,8;969,533893;26,826829;,1;,000972;
2006-10-31;14;137,8;967,850438;25,69557;,1;,000134;
2006-11-30;13;149,4;967,182222;26,144444;0;0;
2006-12-31;24;364,2;968,466757;24,761394;0;0;
2007-01-31;28;270;968,274515;25,246172;,1;,000269;
2007-02-28;24;542,6;968,24923;24,802931;,1;,000893;
2007-03-31;16;140,6;968,466708;26,235016;0;0;
2007-04-30;10;89;968,962989;26,396753;0;0;
2007-05-31;4;null;970,094956;24,601713;7,1;1,383489;
2007-06-30;1;null;null;25,032709;6,7;null;
2007-07-31;3;9,6;970,989729;24,912677;11,1;2,59876;
2007-08-31;0;0;970,14647;25,995407;7,9;2,944226;
2007-09-30;1;18,6;969,303194;27,510417;8,3;2,165695;
2007-10-31;17;169,4;967,638108;26,411185;8,3;2,042643;
2007-11-30;14;158,6;966,681399;25,7375;7,5;2,309524;
2007-12-31;23;353,2;967,312775;25,004663;7,4;2,10021;
2008-01-31;29;403,2;967,689458;24,237553;8;1,994291;
2008-02-29;4;null;null;null;null;null;
2008-03-31;null;null;null;null;null;null;
2008-04-30;14;null;null;25,060088;8,7;null;
2008-05-31;6;49,8;970,243361;24,492292;6,7;2,492374;
2008-06-30;0;0;971,186286;24,523452;7,1;2,525828;
2008-07-31;0;0;971,42164;25,374462;6,7;2,411694;
2008-08-31;1;1,2;968,71129;27,68629;7,4;2,481586;
2008-09-30;6;59,8;968,964469;27,443726;8;2,785894;
2008-10-31;16;203,6;968,353495;26,878091;8,1;2,215726;
2008-11-30;21;268,8;967,10195;25,524827;9,6;1,996103;
2008-12-31;21;346,6;966,817905;24,936607;6,6;2,113996;
2009-01-31;16;73,4;968,206896;25,763692;6,3;1,832293;
2009-02-28;12;null;967,943855;25,484024;6,2;1,80694;
2009-03-31;16;151,4;967,752241;25,987088;7,8;1,623056;
2009-04-30;7;null;969,067473;25,980237;5,9;1,641125;
2009-05-31;4;56,8;969,934416;25,540164;5,7;1,267674;
2009-06-30;2;14;971,380278;24,547361;6,8;2,278333;
2009-07-31;null;null;970,850202;25,811874;6,7;2,180453;
2009-08-31;4;24,2;969,788033;26,682798;null;null;
2009-09-30;1;null;null;null;7,1;null;
2009-10-31;null;null;null;null;null;null;
2009-11-30;null;null;null;null;null;null;
2009-12-31;null;null;null;null;null;null;
2010-01-31;null;null;null;null;null;null;
2010-02-28;null;null;null;null;null;null;
2010-03-31;null;null;null;null;null;null;
2010-04-30;null;null;null;null;null;null;
2010-05-31;null;null;null;null;null;null;
2010-06-30;null;null;null;null;null;null;
2010-07-31;null;null;null;null;null;null;
2010-08-31;null;null;null;null;null;null;
2010-09-30;0;0;967,490694;28,550139;7;1,902083;
2010-10-31;14;135,6;967,458737;27,08629;8,8;2,10336;
2010-11-30;16;277;966,494028;25,692222;6,1;2,000972;
2010-12-31;19;300,2;965,712903;25,083199;7,7;1,781048;
2011-01-31;22;352,4;966,835007;24,547068;6,9;1,793187;
2011-02-28;23;373;967,678274;24,829018;7;1,904613;
2011-03-31;25;34,4;967,085843;24,956178;5,5;1,786127;
2011-04-30;null;null;968,503472;25,780694;5,5;1,364306;
2011-05-31;null;0;969,429613;25,365592;6,3;2,320699;
2011-06-30;0;0;970,498611;25,027639;8,2;,716111;
2011-07-31;0;0;970,211962;25,582527;0;0;
2011-08-31;0;0;969,733602;26,942607;0;0;
2011-09-30;null;null;969,080278;28,73875;0;0;
2011-10-31;null;null;966,961828;25,756317;,1;,000269;
2011-11-30;null;null;966,940694;25,060556;,4;,00125;
2011-12-31;17;null;967,034286;24,781636;5,4;1,415327;
2012-01-31;21;null;967,83135;24,145734;6;2,002191;
2012-02-29;21;227,4;967,954885;24,711063;7,9;2,01408;
2012-03-31;19;150,2;968,799328;25,346909;8,1;1,738172;
2012-04-30;14;87;968,565556;25,815972;6;1,57625;
2012-05-31;6;66;970,070161;25,217608;5,9;1,943414;
2012-06-30;5;18,8;971,01375;25,218889;6,1;1,954028;
2012-07-31;0;0;971,030108;25,192876;6,8;2,164113;
2012-08-31;null;0;971,156471;26,589861;8;2,685292;
2012-09-30;5;93,8;969,678333;27,903056;10,9;1,866528;
2012-10-31;11;138,4;967,428226;27,645699;9,5;1,656048;
2012-11-30;17;null;966,940885;25,517282;6,8;1,504721;
2012-12-31;1;null;null;null;6,3;null;
2013-01-31;1;null;null;null;6,3;null;
2013-02-28;14;null;null;25,959428;9,7;null;
2013-03-31;14;47,4;968,200179;25,751698;5,5;1,755506;
2013-04-30;7;null;null;null;5;null;
2013-05-31;4;45,8;969,957527;25,784812;5,9;1,934812;
2013-06-30;3;null;970,27503;26,061237;5,4;1,857664;
2013-07-31;2;6;971,561939;25,191889;7,5;2,451058;
2013-08-31;null;null;null;null;null;null;
2013-09-30;null;null;null;null;null;null;
2013-10-31;19;261,2;968,477285;25,962366;6,7;1,783199;
2013-11-30;17;134;967,014583;25,130972;7,4;1,644306;
2013-12-31;21;137;967,260618;24,776479;7,7;1,652957;
2014-01-31;null;null;969,08871;24,529436;9;1,42164;
2014-02-28;4;91,4;967,944792;24,783333;7,4;1,380952;
2014-03-31;22;119,8;968,486156;25,343683;6,7;1,328091;
2014-04-30;18;60,8;969,265694;25,893333;6,6;,871389;
2014-05-31;3;2;969,728495;25,774194;7,6;,776882;
2014-06-30;2;17;970,798472;25,495139;7,5;1,920694;
2014-07-31;null;null;972,32621;25,515457;8,1;1,910887;
2014-08-31;1;null;970,522984;27,289516;6,8;,546909;
2014-09-30;12;91;968,953333;27,736528;7,1;,5425;
2014-10-31;null;null;968,311022;27,805376;7,4;,659946;
2014-11-30;9;50,8;967,590833;26,139583;8,8;,537083;
2014-12-31;25;358;968,132124;25,018011;6,2;,071774;
2015-01-31;3;,6;969,422306;25,917578;10,5;,095997;
2015-02-28;null;null;969,013691;24,859673;9,8;,188244;
2015-03-31;null;null;968,801075;25,041129;5,8;,11707;
2015-04-30;null;null;969,313194;25,742778;5,6;,560694;
2015-05-31;null;null;970,368145;25,706586;7,7;,174866;
2015-06-30;null;null;971,73375;25,653889;6,3;,259861;
2015-07-31;null;null;971,32621;25,723656;5,6;,24785;
2015-08-31;null;null;969,922043;27,425403;6,7;,281048;
2015-09-30;null;null;968,264722;29,204861;7,6;,197778;
2015-10-31;null;null;968,235753;28,322984;8,9;,439516;
2015-11-30;null;null;967,261944;27,001389;7,9;,420556;
2015-12-31;null;null;968,737903;26,941667;5,7;,692204;
2016-01-31;null;null;967,906586;25,318011;7,6;,69422;
2016-02-29;null;null;968,650781;26,764705;8;,344378;
2016-03-31;null;null;969,621102;26,083065;4,3;,21828;
2016-04-30;null;null;969,068116;26,715833;9,2;,505417;
2016-05-31;null;null;970,793683;26,714651;5,5;,121774;
2016-06-30;null;null;972,365139;25,667778;4,5;,688611;
2016-07-31;null;0;971,33965;26,252016;5,5;,545161;
2016-08-31;7;33,8;970,26707;26,910484;6,9;,821505;
2016-09-30;10;110,6;970,021528;26,205833;11;1,110417;
2016-10-31;21;163;967,963721;26,431621;7,1;,526198;
2016-11-30;21;292,4;967,131528;25,975139;5,5;,540556;
2016-12-31;26;390,8;968,09086;24,73871;4,7;,365591;
2017-01-31;22;298,6;968,600269;25,189113;4,2;,278495;
2017-02-28;24;318,6;968,463988;24,769196;4,2;,264732;
2017-03-31;19;329,6;968,64207;25,554436;5;,154032;
2017-04-30;18;100,8;969,113472;26,147639;4,2;,24875;
2017-05-31;7;20,6;969,702419;26,62836;3;,256586;
2017-06-30;1;5,2;971,123611;25,45375;4,3;,549445;
2017-07-31;0;0;973,45672;24,30121;6;1,009274;
2017-08-31;3;15,4;969,646909;27,725;7,2;,741935;
2017-09-30;2;80,2;969,192639;28,531667;9;,957083;
2017-10-31;9;128,6;967,670968;27,103763;8,6;,951613;
2017-11-30;22;364,4;966,890139;25,734444;6,5;,836806;
2017-12-31;23;292,6;967,478763;25,069624;7,3;1,54207;
2018-01-31;24;398,2;968,154839;25,176478;7,1;1,410618;
2018-02-28;21;315;967,689286;25,2;5,2;1,578423;
2018-03-31;24;419,4;968,227285;25,684274;7,1;1,319624;
2018-04-30;15;127,8;969,661389;25,52625;6,3;1,571667;
2018-05-31;3;104,2;970,666398;25,64086;5,8;1,925403;
2018-06-30;0;0;972,095694;24,345278;6,1;2,09875;
2018-07-31;0;0;971,593279;25,174597;6,2;1,94543;
2018-08-31;3;12,6;970,884409;26,965726;6,8;2,113038;
2018-09-30;12;68,4;968,325833;27,160972;6,8;1,893333;
2018-10-31;19;179,6;967,918145;26,84664;8,3;1,718952;
2018-11-30;26;345,6;967,362639;25,419028;6,1;1,495139;
2018-12-31;27;184,8;968,872312;25,197984;8,6;1,669489;
2019-01-31;18;278;969,74207;25,771909;7,7;1,68414;
2019-02-28;23;407,8;968,840179;25,704464;7,1;1,727232;
