Nome: JUARA
Codigo Estacao: A914
Latitude: -11.28027777
Longitude: -57.52666666
Altitude: 263.43
Situacao: Operante
Data Inicial: 2006-11-01
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-11-30;15;92,4;979,454741;26,021371;6,2;1,236838;
2006-12-31;23;177,8;980,576404;25,264985;5,5;1,1331;
2007-01-31;24;290,8;980,385215;25,706317;6,8;1,177419;
2007-02-28;22;434,4;980,560566;24,996577;7,2;1,347917;
2007-03-31;24;197;980,576882;25,677688;5,8;,970027;
2007-04-30;16;98,2;981,224078;25,942967;6,8;1,047437;
2007-05-31;8;52;982,300645;24,713424;5,8;1,191716;
2007-06-30;3;2,2;983,335254;24,664245;5,5;1,141117;
2007-07-31;3;59,2;983,052687;24,602711;8,1;1,168496;
2007-08-31;1;1,6;982,028296;25,563114;7,4;1,297446;
2007-09-30;null;null;null;null;5,9;null;
2007-10-31;2;null;null;null;6,2;null;
2007-11-30;null;null;null;null;6,2;null;
2007-12-31;null;null;null;null;6,3;null;
2008-01-31;null;null;null;null;6,8;null;
2008-02-29;1;null;null;null;4,7;null;
2008-03-31;null;null;null;null;5,4;null;
2008-04-30;2;null;null;null;5,1;null;
2008-05-31;2;null;null;null;5,2;null;
2008-06-30;null;null;983,036844;null;5,1;1,122985;
2008-07-31;null;null;983,267631;null;5,7;1,445877;
2008-08-31;null;null;null;null;5,2;null;
2008-09-30;null;null;null;null;6,2;null;
2008-10-31;1;null;null;null;6,9;null;
2008-11-30;10;null;null;null;6,9;null;
2008-12-31;26;337,4;979,028629;25,092204;5,1;1,306317;
2009-01-31;25;378;980,476051;25,289431;7,8;1,186608;
2009-02-28;23;307,2;980,109713;25,312135;6,3;1,088122;
2009-03-31;23;194,2;980,081048;25,52164;5,2;1,06465;
2009-04-30;22;213,2;981,268333;25,467778;6,1;,957083;
2009-05-31;15;69,8;981,942876;25,215591;5,5;,989247;
2009-06-30;3;39,8;983,426806;24,271111;4,6;1,179722;
2009-07-31;0;0;982,886828;25,09879;5,3;1,196102;
2009-08-31;4;18,6;981,778226;26,415054;4,8;1,358871;
2009-09-30;13;56;981,821944;26,469722;8,8;1,376389;
2009-10-31;9;181;979,432328;26,864512;6,9;1,276724;
2009-11-30;21;265,6;978,834722;26,084722;6,6;1,233889;
2009-12-31;24;313,6;980,201075;25,263978;6,3;1,055107;
2010-01-31;29;347,4;980,403556;25,409103;6,3;1,139211;
2010-02-28;22;418,8;979,971577;25,739881;5,7;1,202827;
2010-03-31;24;317;980,437903;25,926613;5,7;,80578;
2010-04-30;14;38;981,078472;26,365417;4,5;,877778;
2010-05-31;9;26,4;981,917339;25,282392;5,1;1,034812;
2010-06-30;1;,4;983,633194;25,326806;6;,902361;
2010-07-31;2;1;983,183602;24,708737;5,7;,943145;
2010-08-31;1;13,6;982,663653;25,44712;8,1;,994469;
2010-09-30;1;4,4;979,855972;28,29875;5,1;1,202778;
2010-10-31;14;214,4;979,984677;26,900806;7;1,387635;
2010-11-30;21;229;978,956944;25,819306;6,3;1,331806;
2010-12-31;21;233;978,255645;25,385081;7,7;1,206317;
2011-01-31;28;310,2;979,226344;24,928226;7,6;1,134812;
2011-02-28;25;205,6;980,15;24,978125;5,8;1,178571;
2011-03-31;23;161,6;979,585016;25,290321;6;1,208461;
2011-04-30;21;220,8;980,872083;25,382361;4,2;,92375;
2011-05-31;8;25,2;981,865323;24,929973;4,7;1,138979;
2011-06-30;1;,2;982,706528;24,794306;5,1;1,151667;
2011-07-31;0;0;982,353898;25,408468;5,8;1,302151;
2011-08-31;6;20,8;982,09328;26,440457;6,2;1,288038;
2011-09-30;6;24,6;981,461806;27,951944;6,3;1,320833;
2011-10-31;20;218,4;979,263978;26,329301;7,7;1,41828;
2011-11-30;22;304,4;979,253472;25,645417;8,1;1,141944;
2011-12-31;27;353;979,636156;25,398656;5,6;,740592;
2012-01-31;29;253,8;980,24664;24,734274;6,3;1,143011;
2012-02-29;26;372,2;980,401437;24,476437;6,3;1,125862;
2012-03-31;23;241;981,313172;25,022849;5,9;,973387;
2012-04-30;21;151,6;981,006944;25,415139;5,4;,816111;
2012-05-31;11;null;982,259049;25,205677;4,9;,890685;
2012-06-30;null;null;null;null;null;null;
2012-07-31;null;null;null;null;4,4;null;
2012-08-31;null;null;null;null;null;null;
2012-09-30;1;null;null;null;null;null;
2012-10-31;null;null;null;null;null;null;
2012-11-30;null;null;null;null;null;null;
2012-12-31;null;null;null;null;null;null;
2013-01-31;null;null;null;null;null;null;
2013-02-28;null;null;null;null;null;null;
2013-03-31;22;378,8;980,748396;25,672826;5,4;1,024202;
2013-04-30;23;167;981,720278;25,124861;5,2;1,05375;
2013-05-31;7;11,8;982,125806;25,754032;4,7;,945565;
2013-06-30;5;13,4;982,49947;25,900215;4,2;,91154;
2013-07-31;1;,4;983,746774;24,805376;5,3;1,209812;
2013-08-31;0;0;982,329167;25,598387;7,1;1,410484;
2013-09-30;7;75;981,44125;26,729722;8,6;1,299444;
2013-10-31;17;286,4;980,802957;25,990054;6,6;1,154973;
2013-11-30;22;227;979,25875;25,114861;4,7;1,070139;
2013-12-31;24;336,2;979,688979;25,253091;8,8;1,357124;
2014-01-31;25;241,6;981,278495;24,851613;5;1,130108;
2014-02-28;25;256,6;980,347619;25,037798;5,6;1,197917;
2014-03-31;22;336,8;980,802554;25,283065;6,5;1,092339;
2014-04-30;20;164,2;981,56625;25,6975;5,4;,880556;
2014-05-31;9;162,8;981,913038;25,473925;5;,968683;
2014-06-30;1;,2;982,859861;25,217778;5,4;1,103889;
2014-07-31;1;2,8;984,386559;25,135349;8;1,208199;
2014-08-31;2;10,2;982,566801;26,77164;5,7;1,227016;
2014-09-30;11;115;981,21875;27,143889;6,1;1,097222;
2014-10-31;11;75,8;980,614919;27,213441;5,6;1,154301;
2014-11-30;17;208,2;979,846806;26,10625;6,2;1,152639;
2014-12-31;23;202,2;980,338038;25,537769;5,7;1,170968;
2015-01-31;26;192,6;981,83127;25,272949;4,8;,996833;
2015-02-28;21;341,4;981,344345;25,046726;5,4;1,101935;
2015-03-31;27;211,6;981,134409;25,177419;5,3;,97621;
2015-04-30;22;142,2;981,631111;25,3725;5,2;,833472;
2015-05-31;15;114,2;982,500269;25,543414;5,2;,997312;
2015-06-30;5;1,4;983,800139;25,225972;4,8;1,061389;
2015-07-31;2;5,6;983,394086;25,393145;5,7;1,137097;
2015-08-31;2;42,6;981,860887;26,946371;7,2;1,118145;
2015-09-30;3;10,8;980,531667;28,427917;6,7;1,097639;
2015-10-31;11;107;980,647312;27,255645;9,8;1,268952;
2015-11-30;12;92,8;979,359722;26,966944;8;1,208472;
2015-12-31;24;325,8;974,757124;27,174059;8,4;1,097446;
2016-01-31;23;284;937,365323;27,317339;6,3;1,294758;
2016-02-29;22;137,4;955,4123;28,147557;4,5;1,075862;
2016-03-31;4;null;null;null;null;null;
2016-04-30;null;null;null;null;null;null;
2016-05-31;null;null;null;null;null;null;
2016-06-30;1;,6;984,525556;24,899167;5,2;1,152222;
2016-07-31;0;0;983,431855;25,183602;5;1,053495;
2016-08-31;3;40,2;982,431183;26,455511;6,5;1,187903;
2016-09-30;8;73,6;982,137083;25,90875;7,1;1,434167;
2016-10-31;13;200,2;978,250707;26,731691;5,9;1,051695;
2016-11-30;16;158,2;975,924028;26,03625;6,1;1,215;
2016-12-31;20;null;977,227435;25,076768;6,2;1,068361;
2017-01-31;7;null;984,617413;null;5,1;1,178659;
2017-02-28;10;null;null;null;5,2;null;
2017-03-31;null;null;null;null;null;null;
2017-04-30;null;null;null;null;null;null;
2017-05-31;null;null;null;null;null;null;
2017-06-30;1;null;null;23,794136;5,2;1,041158;
2017-07-31;0;0;null;23,94207;6,7;1,397849;
2017-08-31;3;1;null;27,2125;4,6;1,045833;
2017-09-30;2;6,6;null;27,869861;5,8;1,304306;
2017-10-31;15;238;null;26,381452;9,3;1,337903;
2017-11-30;23;193,2;null;25,898472;4,9;1,109028;
2017-12-31;27;403,8;null;25,427688;4,7;1,156183;
2018-01-31;26;186,8;null;25,157124;5,2;1,058468;
2018-02-28;28;297;null;25,080804;6,5;1,350893;
2018-03-31;23;200,8;null;25,720699;5,2;1,014919;
2018-04-30;26;150,6;982,128879;25,095139;4,1;,777222;
2018-05-31;10;41,8;982,971909;25,310349;4,4;,79422;
2018-06-30;7;66,6;984,632361;23,237639;4,6;,909583;
2018-07-31;0;0;983,899597;24,249194;5,7;,886693;
2018-08-31;5;38,6;983,399059;26,17957;5,5;,925269;
2018-09-30;9;81,8;980,896389;26,214583;5,6;,7125;
2018-10-31;13;84,4;980,318414;26,881183;5,5;,630108;
2018-11-30;20;336;979,694028;26,143611;5;,586945;
2018-12-31;18;null;981,477305;25,008378;6,8;,442351;
2019-01-31;null;null;null;null;null;null;
2019-02-28;null;null;null;null;null;null;
2019-03-31;null;null;null;null;null;null;
2019-04-30;null;null;null;null;null;null;
2019-05-31;1;null;null;null;null;null;
2019-06-30;1;,2;983,843056;25,604722;5,2;,301528;
2019-07-31;1;,8;983,881586;25,107392;5,1;,342339;
2019-08-31;2;4,8;983,991398;26,427688;6,6;,466263;
2019-09-30;8;71,6;981,139638;28,528593;5,9;,284861;
2019-10-31;19;329,6;980,962903;26,051882;5,6;,272581;
2019-11-30;22;146,2;979,773195;25,948611;4;,194306;
2019-12-31;18;352;980,215824;26,100209;6,1;,201021;
2020-01-31;22;187,8;980,83367;25,973443;6,6;,332719;
2020-02-29;18;null;981,394605;26,046609;4,1;,289736;
2020-03-31;24;161,2;980,9875;25,998387;3,4;,200672;
2020-04-30;14;166;982,339987;26,024621;3;,114861;
2020-05-31;2;67,8;983,682661;24,938844;5,1;,527554;
2020-06-30;2;5;983,115139;25,676528;3,8;,164028;
2020-07-31;0;0;982,761828;25,68078;3,5;,28965;
2020-08-31;null;null;982,119457;26,742742;6,2;,486848;
2020-09-30;null;null;null;null;6,4;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;null;null;null;null;null;null;
2022-09-30;null;null;null;null;null;null;
2022-10-31;1;null;null;null;null;null;
2022-11-30;12;140;980,219028;26,062917;6,2;1,292361;
2022-12-31;23;379,8;979,615995;25,286694;5,6;1,255511;
2023-01-31;28;324;981,378763;24,909677;5,6;1,073387;
2023-02-28;24;240,8;981,326488;25,561161;5,2;1,018899;
2023-03-31;25;358,4;981,41035;25,261156;6;1,125941;
2023-04-30;20;303,4;981,201806;25,542222;4,7;,925972;
2023-05-31;7;32,2;982,516398;26,281586;3,5;,99422;
2023-06-30;4;8,8;984,310776;24,762644;5,1;1,247126;
2023-07-31;null;null;983,857246;25,796196;4,5;1,151993;
2023-08-31;2;null;null;null;6,6;null;
2023-09-30;3;null;null;28,729992;5,2;null;
2023-10-31;5;null;null;null;null;null;

