Nome: PARANATINGA
Codigo Estacao: A915
Latitude: -14.42138888
Longitude: -54.0361111
Altitude: 476.91
Situacao: Operante
Data Inicial: 2006-12-18
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2006-12-31;4;null;null;null;null;null;
2007-01-31;15;93,6;957,086425;25,006586;10;1,861962;
2007-02-28;2;20,6;956,935714;24,345089;9,8;2,274702;
2007-03-31;3;6,6;957,562967;25,332468;10,8;1,511191;
2007-04-30;12;54,2;958,139028;25,060139;9;1,424583;
2007-05-31;1;20;959,322896;23,408394;7,6;1,763817;
2007-06-30;0;0;960,634535;23,043792;9,1;1,464928;
2007-07-31;1;4,6;960,166726;23,048167;10;1,854844;
2007-08-31;0;0;959,473574;24,562436;8,1;2,065247;
2007-09-30;0;0;958,388333;27,323056;8,9;1,880278;
2007-10-31;1;3,8;956,481253;26,406709;9;2,123574;
2007-11-30;0;0;955,642639;25,282361;10,1;1,968889;
2007-12-31;0;0;956,189382;24,461021;8,2;1,865323;
2008-01-31;0;0;956,354436;24,135618;8,5;1,962769;
2008-02-29;0;0;957,222701;24,145402;7,2;1,83319;
2008-03-31;null;0;957,024074;24,257716;7,7;1,642438;
2008-04-30;0;0;956,574583;24,525417;7,5;1,564444;
2008-05-31;0;0;959,41842;23,084274;6,4;1,59737;
2008-06-30;1;22,8;960,455622;22,460368;6,8;1,521431;
2008-07-31;0;0;960,898253;22,505108;7,8;1,62957;
2008-08-31;0;0;958,122043;25,445296;8,4;1,938978;
2008-09-30;0;0;957,996111;26,802778;7,3;2,263056;
2008-10-31;0;0;957,327688;26,384677;9;2,100134;
2008-11-30;0;0;955,982252;25,124414;8,8;1,949716;
2008-12-31;null;null;null;24,703704;7,3;null;
2009-01-31;null;null;null;null;null;null;
2009-02-28;null;null;null;null;null;null;
2009-03-31;null;null;null;null;null;null;
2009-04-30;null;null;null;null;null;null;
2009-05-31;null;null;null;null;null;null;
2009-06-30;null;null;null;null;null;null;
2009-07-31;null;null;null;null;null;null;
2009-08-31;null;null;null;null;null;null;
2009-09-30;null;null;null;null;null;null;
2009-10-31;null;null;null;null;null;null;
2009-11-30;null;null;null;null;null;null;
2009-12-31;null;null;null;null;null;null;
2010-01-31;null;null;null;null;null;null;
2010-02-28;null;null;null;null;null;null;
2010-03-31;null;null;null;null;null;null;
2010-04-30;null;null;null;null;null;null;
2010-05-31;null;null;null;null;null;null;
2010-06-30;null;null;null;null;null;null;
2010-07-31;null;null;null;null;null;null;
2010-08-31;null;null;null;null;null;null;
2010-09-30;2;6,8;956,833194;27,559583;9;2,074583;
2010-10-31;15;110,6;956,377688;27,212366;11,9;2,167339;
2010-11-30;26;421,2;955,581389;24,694306;7,5;1,873611;
2010-12-31;20;301,6;954,607258;24,586962;8,9;1,853763;
2011-01-31;22;303,2;955,621371;24,144086;10,2;1,806989;
2011-02-28;23;276,2;956,796131;24,351935;8,6;1,867411;
2011-03-31;24;393,2;956,141551;24,235895;8,9;1,648846;
2011-04-30;12;66;957,743333;24,895972;6,6;1,368056;
2011-05-31;2;10,6;958,983602;23,656317;6,2;1,620565;
2011-06-30;2;13,8;959,975556;22,571389;7,7;1,749028;
2011-07-31;0;0;959,724597;23,34879;7,5;1,82621;
2011-08-31;null;null;null;null;null;null;
2011-09-30;4;null;null;null;null;null;
2011-10-31;16;119,6;956,107258;25,475672;10,3;1,956048;
2011-11-30;18;230,8;956,097778;24,686806;9,6;1,967361;
2011-12-31;27;283,6;956,245699;24,247715;11,1;1,808737;
2012-01-31;27;299;956,91586;23,791129;7,6;2,040726;
2012-02-29;23;151,8;957,209339;24,105172;7;1,636351;
2012-03-31;14;182,8;957,882124;24,559812;7,6;1,514919;
2012-04-30;15;110,6;957,720278;25,311944;10,1;1,409167;
2012-05-31;13;41,8;959,508065;23,572849;13;1,519489;
2012-06-30;5;51;960,367639;23,344167;7,3;1,545695;
2012-07-31;4;1,6;960,455511;23,012634;6,8;1,747446;
2012-08-31;3;1,8;960,761002;24,952778;7,6;2,150979;
2012-09-30;8;72,2;958,904583;26,531528;8,9;1,906528;
2012-10-31;14;78,2;956,466263;26,807527;9,9;1,932392;
2012-11-30;21;282,2;955,785556;24,830694;10,4;1,8675;
2012-12-31;22;173,4;956,286559;25,229301;10,5;1,757796;
2013-01-31;27;358;956,902957;24,221774;7;1,818952;
2013-02-28;20;231,2;957,287947;24,297619;7,5;1,552976;
2013-03-31;27;337,8;957,440083;24,865517;7,5;1,4705;
2013-04-30;16;83,6;958,709306;24,486667;7,5;1,401667;
2013-05-31;2;18,4;959,265188;24,292339;6,8;1,308065;
2013-06-30;9;null;null;23,45247;7;null;
2013-07-31;null;null;null;null;null;null;
2013-08-31;null;null;null;null;null;null;
2013-09-30;2;null;null;null;null;null;
2013-10-31;13;222,2;957,587097;25,67164;11;1,878091;
2013-11-30;8;null;null;null;8,8;null;
2013-12-31;null;null;null;null;null;null;
2014-01-31;null;null;null;null;6,5;null;
2014-02-28;2;null;null;null;null;null;
2014-03-31;21;362,6;957,674597;24,710215;12,2;1,678898;
2014-04-30;20;118,6;958,439445;24,762917;7,6;1,3725;
2014-05-31;2;2,8;959,092339;24,146909;7,4;1,413979;
2014-06-30;1;20;960,257222;23,224167;6,4;1,516667;
2014-07-31;2;7,2;961,842742;23,303226;7,7;1,85914;
2014-08-31;0;0;959,947312;25,327151;7;1,860887;
2014-09-30;8;69;958,097834;26,957945;8,3;1,944692;
2014-10-31;8;97,8;957,488575;26,923925;7,8;1,768548;
2014-11-30;19;219,4;956,663611;25,44875;8,1;1,745556;
2014-12-31;26;412,6;957,230511;24,085887;8,6;1,622177;
2015-01-31;20;121;958,552285;24,640726;7,4;1,412634;
2015-02-28;24;364;958,040476;24,347768;9,2;1,921429;
2015-03-31;16;251;957,920968;24,407392;13,6;1,503495;
2015-04-30;19;175,4;958,489306;24,71;6,3;1,194167;
2015-05-31;17;19,8;959,83629;23,809409;5,7;1,37957;
2015-06-30;2;null;null;null;6;null;
2015-07-31;2;null;null;null;8,1;null;
2015-08-31;null;null;null;null;10,4;null;
2015-09-30;3;null;957,588041;28,058815;8,2;2,142987;
2015-10-31;11;46,8;957,271183;27,659722;7,9;2,179113;
2015-11-30;15;185;956,387361;26,591389;8,9;1,639861;
2015-12-31;19;110,4;957,932796;26,199059;10,2;1,628092;
2016-01-31;29;264,4;956,684274;24,716532;7,8;2,045296;
2016-02-29;18;85,6;958,026006;25,519109;8,3;1,41796;
2016-03-31;21;308;958,750403;25,485618;7,6;1,468414;
2016-04-30;5;46;958,242917;25,783889;7,6;1,498472;
2016-05-31;null;null;960,151013;null;5,2;1,30619;
2016-06-30;null;null;null;null;8,3;null;
2016-07-31;null;null;null;null;5,8;null;
2016-08-31;null;null;null;null;8,7;null;
2016-09-30;null;null;null;null;8,1;null;
2016-10-31;11;null;957,005369;26,001819;7,2;1,916003;
2016-11-30;21;278;956,30125;25,187917;8,4;1,834444;
2016-12-31;28;404,4;957,140054;24,277554;7,6;1,651613;
2017-01-31;22;221,6;957,613844;24,520161;8,2;1,399462;
2017-02-28;17;null;null;24,477292;0;null;
2017-03-31;null;null;null;null;null;null;
2017-04-30;null;null;null;null;null;null;
2017-05-31;null;null;null;null;null;null;
2017-06-30;3;null;null;null;null;null;
2017-07-31;null;null;null;null;null;null;
2017-08-31;null;null;null;null;null;null;
2017-09-30;null;null;null;null;null;null;
2017-10-31;4;null;null;null;null;null;
2017-11-30;5;null;null;null;8,2;null;
2017-12-31;17;null;956,532553;24,520179;0;0;
2018-01-31;13;null;null;24,08418;0;null;
2018-02-28;4;null;null;null;0;null;
2018-03-31;null;null;null;null;0;null;
2018-04-30;null;null;null;null;0;null;
2018-05-31;null;null;null;null;null;null;
2018-06-30;null;null;null;null;null;null;
2018-07-31;null;null;null;null;null;null;
2018-08-31;null;null;null;null;null;null;
2018-09-30;null;null;null;null;null;null;
2018-10-31;null;null;null;null;8,5;null;
2018-11-30;null;null;null;null;6,8;null;
2018-12-31;null;null;null;null;5,8;null;
2019-01-31;null;null;null;null;null;null;
2019-02-28;6;null;null;null;10;null;
2019-03-31;25;146,4;958,432626;25,114834;8,2;1,532636;
2019-04-30;24;160;958,3825;24,799722;7,2;1,031389;
2019-05-31;13;53;959,056586;24,017742;6;1,243817;
2019-06-30;1;,2;961,370417;22,549167;6,4;1,392083;
2019-07-31;0;0;961,138102;22,462722;7,5;1,513862;
2019-08-31;null;0;961,185079;25,368303;7,5;1,940586;
2019-09-30;6;42,6;957,850139;27,64;6,2;,955417;
2019-10-31;19;110,2;957,322131;25,866608;0;0;
2019-11-30;null;null;956,378744;25,028798;0;0;
2019-12-31;null;null;956,856452;25,097984;0;0;
2020-01-31;null;null;957,043262;25,23262;0;0;
2020-02-29;null;null;957,77426;24,870904;0;0;
2020-03-31;null;null;null;null;null;null;
2020-04-30;null;null;null;null;null;null;
2020-05-31;null;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
