Nome: QUERENCIA
Codigo Estacao: A916
Latitude: -12.60305555
Longitude: -52.1625
Altitude: 355
Situacao: Operante
Data Inicial: 2007-07-17
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-07-31;null;null;null;null;null;null;
2007-08-31;0;0;971,940632;25,465702;6,7;1,869004;
2007-09-30;1;,2;971,025972;27,446667;6,9;1,853194;
2007-10-31;10;75,8;969,061594;26,903752;10,4;1,762839;
2007-11-30;15;229,8;968,320833;25,789286;9,1;1,810714;
2007-12-31;18;111,8;969,099328;25,020565;8,1;1,498118;
2008-01-31;18;285,2;969,400134;24,509005;7,1;1,429032;
2008-02-29;21;560,8;970,241523;24,291523;7,3;1,660776;
2008-03-31;24;254,8;969,958488;24,566204;6;1,366512;
2008-04-30;19;122,2;969,267361;24,773333;7,7;1,283889;
2008-05-31;4;7,6;971,6571;24,285238;4,4;1,211805;
2008-06-30;0;0;972,902765;23,737445;5,1;1,498714;
2008-07-31;0;0;973,604032;23,979032;6,1;1,672715;
2008-08-31;0;0;970,767876;26,167473;6,5;1,578226;
2008-09-30;5;16,8;970,352586;27,201006;7,2;1,629598;
2008-10-31;15;23,2;969,8875;26,737366;9,7;1,825269;
2008-11-30;18;102,8;968,970809;25,319903;6,9;1,717814;
2008-12-31;24;212,4;968,770699;24,468145;8,9;1,674597;
2009-01-31;16;183,6;969,980686;25,104634;7,8;1,443946;
2009-02-28;17;161,2;969,862798;24,579356;6,1;1,257657;
2009-03-31;19;194,2;969,451075;25,310618;7,9;1,36707;
2009-04-30;22;77,4;970,902917;24,71375;6;1,161389;
2009-05-31;18;3,6;971,847984;24,338038;4,9;1,069086;
2009-06-30;2;9,6;973,110972;23,806528;6,9;1,348611;
2009-07-31;0;0;972,759543;24,67957;5;1,319624;
2009-08-31;0;0;971,791667;25,538978;6,2;1,667742;
2009-09-30;17;31,6;971,226667;26,285694;8,7;1,239444;
2009-10-31;15;11;969,27931;25,397414;6,9;1,127874;
2009-11-30;3;,6;968,903056;25,766806;8,9;1,217083;
2009-12-31;1;,2;969,929167;24,738038;11,4;1,158199;
2010-01-31;1;,2;970,187854;24,538734;6,5;,934494;
2010-02-28;0;0;969,813393;25,084375;7;,719048;
2010-03-31;0;0;970,047715;25,479839;7,5;1,034005;
2010-04-30;0;0;970,572639;26,405;6,4;,563056;
2010-05-31;5;null;970,830929;25,854647;6,2;,62484;
2010-06-30;null;null;null;null;5,3;null;
2010-07-31;2;null;null;25,055159;4,9;null;
2010-08-31;null;null;null;null;null;null;
2010-09-30;null;null;null;null;null;null;
2010-10-31;null;null;null;null;null;null;
2010-11-30;12;null;null;25,466875;7,1;null;
2010-12-31;24;286,4;967,679032;24,859677;6,6;1,585618;
2011-01-31;23;305,8;968,784005;24,041532;7,4;1,385753;
2011-02-28;null;null;969,791964;24,671726;7,1;1,548512;
2011-03-31;25;29,6;969,286665;24,839468;9,8;1,589123;
2011-04-30;null;null;970,468472;25,209028;7,2;1,138333;
2011-05-31;8;5,2;971,221774;25,126882;5,5;1,141263;
2011-06-30;1;,2;972,49186;24,244922;5,6;1,322675;
2011-07-31;0;0;972,354132;24,715375;5,7;1,464931;
2011-08-31;0;0;971,52678;26,439875;6,7;1,615181;
2011-09-30;2;,8;970,971692;27,478668;6,5;1,717574;
2011-10-31;null;null;969,02022;25,607591;7,5;1,665025;
2011-11-30;12;171,6;969,273611;24,565972;6,1;1,656389;
2011-12-31;24;323,2;969,374597;24,802823;7,4;1,51371;
2012-01-31;26;360,2;970,203629;24,105242;6,2;1,394355;
2012-02-29;null;null;970,149856;24,407471;7,1;1,315517;
2012-03-31;12;86,2;970,534812;24,887097;7,2;1,202957;
2012-04-30;12;138,6;970,214861;25,70875;7,3;,936667;
2012-05-31;5;30;972,054834;24,51667;4,8;1,020856;
2012-06-30;1;null;972,761561;25,007788;6;,740481;
2012-07-31;null;null;null;null;null;null;
2012-08-31;null;null;null;null;null;null;
2012-09-30;5;16,6;971,576389;27,204722;8,2;1,336667;
2012-10-31;6;93,4;969,18293;27,167473;7,7;1,869489;
2012-11-30;25;159,2;968,995278;25,184028;9,7;1,702917;
2012-12-31;15;147,4;969,172849;25,26828;7,8;1,317204;
2013-01-31;26;422,4;970,252151;24,613306;5,8;1,37836;
2013-02-28;21;174,6;969,964286;25,058631;7,5;1,248512;
2013-03-31;24;201,4;970,391696;25,187787;6,5;1,174846;
2013-04-30;17;177,6;971,268611;25,1575;5,1;,692917;
2013-05-31;4;33,6;971,787231;24,928495;5,6;,768548;
2013-06-30;3;23;972,491212;24,914103;6,5;1,011553;
2013-07-31;0;0;973,341398;24,470699;7,8;1,614247;
2013-08-31;0;0;971,916129;25,654973;8,6;1,927822;
2013-09-30;4;58;970,829306;26,998472;9,7;1,7975;
2013-10-31;14;156,2;970,264919;26,25336;6,9;1,789113;
2013-11-30;20;184,6;969,076528;24,834444;6,7;1,490833;
2013-12-31;23;341,8;969,143011;24,632796;7,1;1,691801;
2014-01-31;16;null;971,042535;24,642014;8,4;1,248264;
2014-02-28;null;null;null;null;null;null;
2014-03-31;null;null;null;null;null;null;
2014-04-30;null;null;null;null;null;null;
2014-05-31;null;null;null;null;6;null;
2014-06-30;null;null;null;null;5,2;null;
2014-07-31;null;null;null;null;7,9;null;
2014-08-31;null;null;null;null;6,3;null;
2014-09-30;null;null;null;null;5,8;null;
2014-10-31;null;null;null;null;3,8;null;
2014-11-30;null;null;null;null;null;null;
2014-12-31;7;null;null;null;4,9;null;
