Nome: ALTA FLORESTA
Codigo Estacao: A924
Latitude: -10.07722221
Longitude: -56.17916666
Altitude: 291.85
Situacao: Pane
Data Inicial: 2007-05-22
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-05-31;null;null;null;null;null;null;
2007-06-30;null;null;null;null;null;null;
2007-07-31;null;null;null;null;null;null;
2007-08-31;1;null;null;null;null;null;
2007-09-30;1;null;null;null;5,9;null;
2007-10-31;3;null;976,735085;null;7,8;1,560353;
2007-11-30;2;null;null;null;6;null;
2007-12-31;null;null;null;null;4,8;null;
2008-01-31;1;null;null;null;7,1;null;
2008-02-29;null;null;null;null;4,9;null;
2008-03-31;null;null;null;null;4,6;null;
2008-04-30;null;null;976,764387;24,791624;6,1;1,416162;
2008-05-31;null;null;978,945135;24,294883;5;1,395915;
2008-06-30;null;0;979,711906;23,033664;5,7;1,663712;
2008-07-31;0;0;980,069893;23,099462;6,2;1,871909;
2008-08-31;0;0;977,469489;25,090591;6;1,581183;
2008-09-30;null;0;978,113324;25,59955;7,6;1,448923;
2008-10-31;null;null;null;null;7;null;
2008-11-30;null;null;null;null;4,9;null;
2008-12-31;null;null;null;null;6,8;null;
2009-01-31;null;null;null;null;6;null;
2009-02-28;null;null;null;null;5,4;null;
2009-03-31;null;null;977,077608;null;6,4;1,331133;
2009-04-30;null;null;null;null;6,6;null;
2009-05-31;null;null;null;null;5,4;null;
2009-06-30;null;null;null;23,889289;5,7;null;
2009-07-31;null;null;null;null;null;null;
2009-08-31;null;null;null;null;null;null;
2009-09-30;null;null;null;null;null;null;
2009-10-31;null;null;null;25,163282;null;null;
2009-11-30;0;0;975,955833;25,263056;null;null;
2009-12-31;1;1;977,280376;24,721774;null;null;
2010-01-31;0;0;977,470173;24,789569;null;null;
2010-02-28;0;0;976,907887;25,405357;null;null;
2010-03-31;0;0;977,433468;25,546102;null;null;
2010-04-30;null;null;null;25,348815;null;null;
2010-05-31;0;0;978,449462;25,081048;null;null;
2010-06-30;0;0;980,215556;24,255417;null;null;
2010-07-31;0;0;979,715323;23,903226;null;null;
2010-08-31;null;0;979,276187;23,893018;null;null;
2010-09-30;0;0;976,863056;26,340556;null;null;
2010-10-31;0;0;976,955511;25,907124;null;null;
2010-11-30;0;0;975,971528;25,287083;null;null;
2010-12-31;0;0;975,308737;24,914382;null;null;
2011-01-31;null;null;976,328226;24,276882;null;null;
2011-02-28;null;null;977,258036;24,137946;null;null;
2011-03-31;null;null;976,703243;24,610366;null;null;
2011-04-30;null;null;977,752361;24,778333;null;null;
2011-05-31;null;null;978,367473;24,395296;null;null;
2011-06-30;null;null;979,34375;23,909028;null;null;
2011-07-31;null;null;null;null;null;null;
2011-08-31;null;null;null;null;null;null;
2011-09-30;4;null;978,1855;26,209;6,4;1,488333;
2011-10-31;18;176,6;976,312903;25,211021;6,8;1,495296;
2011-11-30;22;227;976,4175;24,84375;5,6;1,408889;
2011-12-31;6;null;null;null;6,4;null;
2012-01-31;null;null;null;null;null;null;
2012-02-29;null;null;null;null;null;null;
2012-03-31;22;250,8;978,097068;24,537191;8,1;1,291228;
2012-04-30;26;64,8;977,788333;25,105694;4,6;1,162222;
2012-05-31;10;62,2;978,969892;24,548253;5,4;1,462097;
2012-06-30;12;44,2;980,076667;23,70875;5,2;1,339861;
2012-07-31;2;,8;979,917742;23,200806;6,9;1,606989;
2012-08-31;null;0;979,87788;24,404583;6,1;1,923829;
2012-09-30;12;167;979,0825;25,272222;12,8;1,485139;
2012-10-31;19;144,6;977,00215;25,599328;7,2;1,389651;
2012-11-30;23;213;976,439444;25,21875;6,5;1,381111;
2012-12-31;23;222,2;976,513172;25,002554;4,7;1,271371;
2013-01-31;27;416,8;977,763306;24,633199;5,5;1,396505;
2013-02-28;25;333,2;977,393304;24,498214;6,6;1,319792;
2013-03-31;22;334,6;977,841222;25,206034;7;1,317389;
2013-04-30;23;125;978,542778;25,015;4,7;1,350278;
2013-05-31;11;73,6;978,950134;24,923387;5;1,224059;
2013-06-30;4;6,4;979,39173;24,752765;5,2;1,339861;
2013-07-31;1;1;980,400134;23,867204;5,4;1,629839;
2013-08-31;0;0;978,917876;24,577016;7,6;1,733199;
2013-09-30;10;106,8;978,457361;25,552917;6;1,504444;
2013-10-31;19;241,2;977,821102;25,346236;5,8;1,397715;
2013-11-30;23;285,6;976,425833;24,397083;5,6;1,337639;
2013-12-31;28;312,6;976,892876;24,808333;5,9;1,468414;
2014-01-31;26;316,2;978,27621;24,41465;5,9;1,466129;
2014-02-28;23;353,8;977,402381;24,515774;6,7;1,479464;
2014-03-31;26;366;977,965995;24,689785;6,5;1,39328;
2014-04-30;26;257,6;978,537361;25,027083;5,9;1,304445;
2014-05-31;19;134;978,689516;25,101882;4,7;1,263575;
2014-06-30;9;5,8;979,648195;24,232083;5,1;1,518194;
2014-07-31;2;1,8;981,096505;24,098925;6;1,703226;
2014-08-31;2;20,2;979,499059;25,015323;6,3;1,579435;
2014-09-30;12;95,8;978,390972;25,830555;6,9;1,254722;
2014-10-31;16;166,2;977,789247;25,550941;5,9;1,311828;
2014-11-30;20;255,4;977,001528;25,614445;6,2;1,340139;
2014-12-31;26;372,2;977,500941;25,050672;5,3;1,305645;
2015-01-31;25;362,8;978,808339;24,665486;9;1,303039;
2015-02-28;21;302,8;978,482143;24,59256;6,1;1,413542;
2015-03-31;23;184,2;978,27164;24,634543;5,2;1,240457;
2015-04-30;24;301;978,571389;25,314028;4,6;1,062083;
2015-05-31;16;153,2;979,338441;25,760349;6,3;1,415323;
2015-06-30;4;5,6;980,445833;25,363117;6,2;1,633025;
2015-07-31;null;null;null;null;null;null;
2015-08-31;1;null;null;null;null;null;
2015-09-30;null;null;null;null;4,8;null;
2015-10-31;1;null;null;null;6,4;null;
2015-11-30;18;74,8;976,613889;26,099583;6,7;1,246667;
2015-12-31;24;135,8;977,970564;26,016801;6,1;1,231989;
2016-01-31;25;333,6;977,649059;25,23871;5;1,450538;
2016-02-29;19;126,6;977,81681;26,020259;6,5;1,25977;
2016-03-31;25;263,2;978,95336;25,764113;5,3;1,270027;
2016-04-30;12;71,8;978,14375;25,86;7,3;1,346944;
2016-05-31;3;68,8;979,734946;25,409543;4,6;1,184812;
2016-06-30;8;44;981,266667;24,000278;6,6;1,5025;
2016-07-31;1;null;980,507997;23,323485;5,6;1,395393;
2016-08-31;null;null;null;null;9,2;null;
2016-09-30;4;null;979,283563;25,403318;8,4;1,439437;
2016-10-31;9;null;977,30504;25,756757;7,2;1,339535;
2016-11-30;21;418,8;976,444028;25,451806;8,5;1,272639;
2016-12-31;24;279,8;977,394086;24,879973;4,7;1,309274;
2017-01-31;24;241,2;978,087097;24,717339;6,8;1,333065;
2017-02-28;27;316;978,060119;24,377976;5;1,402827;
2017-03-31;23;135,6;978,038038;25,092742;4,8;1,119758;
2017-04-30;20;216,4;978,369861;25,304861;5,4;1,185833;
2017-05-31;15;60,8;978,707889;25,73592;5,9;1,168222;
2017-06-30;null;null;null;null;5,2;null;
2017-07-31;null;null;null;null;5,8;null;
2017-08-31;null;null;null;null;4,9;null;
2017-09-30;null;null;null;null;5,2;null;
2017-10-31;8;null;null;null;9,1;null;
2017-11-30;null;null;null;null;5,1;null;
2017-12-31;null;null;null;null;null;null;
2018-01-31;null;null;null;null;null;null;
2018-02-28;null;null;null;null;null;null;
2018-03-31;null;null;null;null;null;null;
2018-04-30;null;null;null;null;null;null;
2018-05-31;2;null;null;null;null;null;
2018-06-30;11;14,6;980,898195;22,901389;4,6;1,471111;
2018-07-31;4;,8;980,391263;22,921237;6,2;1,592608;
2018-08-31;7;54,6;979,95336;25,071505;7,7;1,346102;
2018-09-30;10;41,8;977,578611;25,703333;6,5;1,362778;
2018-10-31;20;130,8;977,291129;25,879839;7,6;1,291263;
2018-11-30;24;206,2;976,719722;25,474722;4,7;1,210417;
2018-12-31;26;257,4;978,497581;24,651882;4,7;1,365054;
2019-01-31;26;329,8;979,081855;25,091129;4;1,272984;
2019-02-28;25;235,2;978,399702;25,134673;5,5;1,220982;
2019-03-31;23;356,4;978,674193;25,142742;6,1;1,213172;
2019-04-30;23;343,2;978,339306;25,4975;4,8;1,005218;
2019-05-31;9;37,2;978,622177;25,248656;4,3;,992339;
2019-06-30;0;0;980,494861;24,005139;5,3;null;
2019-07-31;0;0;980,44543;23,603226;5,4;1,428337;
2019-08-31;1;,2;980,522446;24,818683;6,2;1,526882;
2019-09-30;12;36,2;978,083195;26,806667;5;1,173611;
2019-10-31;null;null;977,76465;25,472043;6,2;1,313844;
2019-11-30;null;null;976,645;25,814861;6;1,309861;
2019-12-31;24;85,8;977,074194;25,552688;5;1,282796;
2020-01-31;null;null;978,026882;25,386828;6,4;1,429973;
2020-02-29;26;117,2;978,436494;24,915661;5,3;1,306178;
2020-03-31;31;100,2;978,018011;25,489247;4;1,403898;
2020-04-30;30;82,6;979,011667;25,55125;6,2;1,26125;
2020-05-31;7;63,6;980,113979;24,798925;4,6;1,508333;
2020-06-30;0;0;979,82875;24,159306;6,1;1,619028;
2020-07-31;null;null;979,1915;23,8865;6,1;1,708833;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;null;null;null;null;null;null;
2022-09-30;null;null;null;null;null;null;
2022-10-31;2;null;null;null;null;null;
2022-11-30;11;103,6;977,029722;25,527083;5,3;1,635278;
2022-12-31;24;249,4;976,729032;24,902419;7,4;1,511021;
2023-01-31;26;280,4;978,363978;24,478898;6;1,382661;
2023-02-28;19;null;977,955828;25,028261;6,5;1,343973;
2023-03-31;7;null;null;null;5,9;null;
2023-04-30;19;238;977,824763;25,384633;6,2;1,257559;
2023-05-31;10;16,4;978,915323;25,546505;4,8;1,4375;
2023-06-30;9;32,2;980,530316;24,155603;5,4;1,701437;
2023-07-31;1;null;null;null;null;null;
2023-08-31;null;null;null;null;null;null;
2023-09-30;null;null;null;null;null;null;
2023-10-31;null;null;null;null;null;null;

