Nome: PORTO VELHO
Codigo Estacao: A925
Latitude: -8.7936111
Longitude: -63.84583333
Altitude: 86.7
Situacao: Operante
Data Inicial: 2007-07-10
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-07-31;7;null;null;25,24672;5,4;null;
2007-08-31;4;4;1001,520181;26,618331;4,4;1,448252;
2007-09-30;8;40,6;1001,44293;27,287481;5,9;1,337874;
2007-10-31;19;180,2;999,728816;26,347169;8,8;1,385859;
2007-11-30;20;221,6;998,623031;26,086848;8,2;1,425741;
2007-12-31;23;280,8;999,074959;25,896388;7,7;1,526765;
2008-01-31;21;387;999,851842;25,346733;5,7;1,450868;
2008-02-29;24;238,4;1000,852931;25,196053;6,1;null;
2008-03-31;20;null;1000,52431;25,036833;null;null;
2008-04-30;14;null;999,799426;25,657287;null;null;
2008-05-31;14;207,4;1002,114013;24,757147;null;null;
2008-06-30;5;4,8;1003,103528;24,605617;null;null;
2008-07-31;2;9;1002,425351;25,760787;null;null;
2008-08-31;5;null;1000,196166;27,249189;null;null;
2008-09-30;11;79,4;1001,300025;26,915051;6,4;1,420126;
2008-10-31;11;142,8;1000,449804;26,882663;7,4;1,522619;
2008-11-30;25;273,8;998,956818;26,091252;7,1;1,301988;
2008-12-31;28;311,6;999,218022;25,521751;6;1,377443;
2009-01-31;27;296,2;1000,452025;25,709028;6;1,387574;
2009-02-28;23;353,4;999,961507;25,338853;5,7;1,324236;
2009-03-31;26;268;999,966889;25,671674;7,7;1,222102;
2009-04-30;21;331,4;1001,1568;25,708038;4,4;1,249782;
2009-05-31;22;173,6;1001,582994;25,581668;5,4;1,07387;
2009-06-30;9;72,2;1002,94072;25,017043;18,4;1,271122;
2009-07-31;8;38,2;1002,389994;25,446203;18,2;1,783571;
2009-08-31;7;74,8;1001,141568;26,461077;10,5;1,083571;
2009-09-30;18;134,4;1001,331214;26,83506;19,9;1,505827;
2009-10-31;11;226,8;999,051437;27,090374;5,8;1,396983;
2009-11-30;21;282,6;997,984306;26,599861;7,9;1,38125;
2009-12-31;26;287,6;999,841129;25,837231;5,8;1,339919;
2010-01-31;13;18,2;1000,106602;26,046023;5,9;null;
2010-02-28;23;147,8;999,463393;26,563542;null;null;
2010-03-31;25;473,4;1000,038482;26,748942;null;null;
2010-04-30;16;109;1000,73375;26,915972;null;null;
2010-05-31;10;86,2;1001,575135;26,00578;null;null;
2010-06-30;3;28,8;1002,984112;26,269994;null;null;
2010-07-31;0;0;1002,787366;25,480914;null;null;
2010-08-31;null;null;null;26,063023;null;null;
2010-09-30;null;null;null;null;null;null;
2010-10-31;null;null;null;null;null;null;
2010-11-30;null;null;null;null;null;null;
2010-12-31;17;228,2;998,162758;25,892098;8,4;1,345835;
2011-01-31;24;312,4;999,006855;25,441801;4;null;
2011-02-28;24;317,4;1000,11409;25,194673;null;null;
2011-03-31;22;293,6;999,549466;25,683137;null;null;
2011-04-30;22;226;1000,559306;25,925972;null;null;
2011-05-31;8;66,2;1001,293472;26,0325;null;null;
2011-06-30;null;null;null;null;null;null;
2011-07-31;null;null;null;null;null;null;
2011-08-31;null;null;null;null;null;null;
2011-09-30;null;null;null;null;null;null;
2011-10-31;null;null;null;null;null;null;
2011-11-30;13;null;998,886062;26,38442;7,8;1,388145;
2011-12-31;26;442;999,304973;25,775888;5,2;1,28123;
2012-01-31;24;333,8;1000,237845;25,335402;6,5;null;
2012-02-29;26;456;1000,163362;25,068247;null;null;
2012-03-31;28;457;1001,150129;25,339686;null;null;
2012-04-30;20;133,8;1000,785972;25,796389;null;null;
2012-05-31;20;130,6;1001,783333;25,704167;null;null;
2012-06-30;15;94,4;1002,967059;25,273219;null;null;
2012-07-31;9;6,4;1002,859274;24,872984;4,8;1,145968;
2012-08-31;3;16,2;1002,37891;26,270435;4,2;1,247289;
2012-09-30;10;107,4;1001,520097;27,321286;10,1;1,405308;
2012-10-31;14;155,4;998,220588;26,815866;5,5;1,315393;
2012-11-30;21;321;997,473611;26,666389;5,6;1,404583;
2012-12-31;5;null;null;null;null;null;
2013-01-31;null;null;null;null;null;null;
2013-02-28;19;null;986,617391;25,633877;8,1;1,337319;
2013-03-31;22;247,8;988,84881;26,210185;6;1,294167;
2013-04-30;19;null;992,617308;25,972917;7,6;1,301282;
2013-05-31;21;160,6;991,145968;25,780645;5,1;1,172849;
2013-06-30;17;68,2;989,55471;25,829242;10,2;null;
2013-07-31;13;83,2;991,135105;24,528042;null;null;
2013-08-31;5;35;994,984946;25,188172;null;null;
2013-09-30;14;114,4;985,030694;26,503889;null;null;
2013-10-31;16;null;null;25,862061;null;null;
2013-11-30;null;null;null;null;null;null;
2013-12-31;21;null;955,663109;26,143473;5,5;null;
2014-01-31;28;416,4;959,867525;25,631199;7,7;1,350354;
2014-02-28;26;239,2;962,981548;25,413542;5;1,382143;
2014-03-31;25;234,4;966,317204;25,757258;6,6;1,368011;
2014-04-30;23;122,8;970,711945;25,719028;6,8;1,177917;
2014-05-31;22;226,6;975,382124;25,550403;4,9;1,232796;
2014-06-30;12;63;985,462778;25,623889;4,2;1,19875;
2014-07-31;8;28,8;995,395699;24,995296;5,1;1,234812;
2014-08-31;13;69;998,32957;26,234409;4,9;1,203091;
2014-09-30;11;113,6;997,834306;27,211528;5,7;1,305417;
2014-10-31;23;375,8;986,730914;26,254839;7,1;1,300269;
2014-11-30;20;175;975,941528;26,274028;5,1;1,354445;
2014-12-31;7;null;null;null;null;null;
2015-01-31;null;null;null;null;null;null;
2015-02-28;16;null;null;25,639331;7;null;
2015-03-31;28;403,4;979,633468;25,821774;6;1,339113;
2015-04-30;23;296,8;980,535278;26,190694;5,6;1,138472;
2015-05-31;25;207,8;985,391935;25,890323;4,6;1,179032;
2015-06-30;5;null;993,041835;25,915523;3,6;1,202424;
2015-07-31;null;null;null;null;5;null;
2015-08-31;null;null;null;null;5,5;null;
2015-09-30;2;null;null;null;5,3;null;
2015-10-31;16;null;998,69716;27,808033;9,1;1,378139;
2015-11-30;14;133,6;996,159861;27,780972;6,2;1,453889;
2015-12-31;17;281,4;995,103393;26,931322;5,9;1,263691;
2016-01-31;16;null;990,419422;27,136965;6,1;1,461018;
2016-02-29;13;null;988,561463;27,420196;4,3;1,314178;
2016-03-31;14;null;986,578506;26,8106;4,7;1,328085;
2016-04-30;6;null;986,599306;27,028634;5,1;1,323884;
