Nome: GAUCHA DO NORTE
Codigo Estacao: A930
Latitude: -13.18472221
Longitude: -53.2575
Altitude: 375.87
Situacao: Operante
Data Inicial: 2008-06-03
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-06-30;null;null;null;null;null;null;
2008-07-31;null;null;null;null;null;null;
2008-08-31;null;null;null;25,898889;5,5;null;
2008-09-30;5;24,6;968,521528;26,926944;8,6;1,693194;
2008-10-31;12;119,4;967,858737;26,920296;9,6;1,755511;
2008-11-30;17;289;966,794897;25,529191;5,8;1,570688;
2008-12-31;26;267,4;966,491532;24,66922;6;1,711828;
2009-01-31;18;282,4;967,820027;25,455511;5,2;1,397177;
2009-02-28;21;319,8;967,710795;24,898512;7,6;1,303666;
2009-03-31;20;164,8;967,384812;25,63414;5,5;1,301075;
2009-04-30;16;143,6;968,825278;24,96125;6,5;1,194306;
2009-05-31;7;31,4;969,786425;24,835349;6,1;1,133333;
2009-06-30;2;4,2;971,204167;23,886944;6,5;1,427778;
2009-07-31;0;0;970,780108;24,582796;5,6;1,286156;
2009-08-31;4;29,6;969,805511;25,258064;5,3;1,497446;
2009-09-30;12;71,8;969,230912;26,660344;5,5;1,512446;
2009-10-31;14;127,4;967,108764;25,839943;6,5;1,433046;
2009-11-30;20;248,4;966,762361;25,796528;6,5;1,376389;
2009-12-31;24;270,4;967,747446;24,735887;6,2;1,386694;
2010-01-31;24;379,4;968,007124;24,840469;5,8;1,365298;
2010-02-28;21;188,6;967,696131;25,672173;6,4;1,119048;
2010-03-31;20;312;967,936022;25,541667;5,8;1,163306;
2010-04-30;7;59,2;968,63875;26,360695;5,2;1,065417;
2010-05-31;0;0;969,248253;25,656586;5,8;1,24207;
2010-06-30;0;0;971,50875;24,699167;5;1,050972;
2010-07-31;2;3;971,007392;24,182527;5,8;1,169758;
2010-08-31;null;0;970,475507;24,802156;5,8;1,262156;
2010-09-30;1;30,4;967,550139;27,515833;8,3;1,318194;
2010-10-31;12;118,8;967,106989;27,267473;10,5;1,532392;
2010-11-30;21;222,8;966,404306;25,412222;6,4;1,293472;
2010-12-31;20;314,6;965,493548;25,105645;5,5;1,181452;
2011-01-31;8;null;null;null;6,4;null;
2011-02-28;null;null;null;null;5,4;null;
2011-03-31;null;null;null;null;4,3;null;
2011-04-30;1;null;null;null;3,1;null;
2011-05-31;1;4,4;969,37043;25,323522;5,6;1,201344;
2011-06-30;2;4,2;970,591111;24,309306;5,2;1,030694;
2011-07-31;0;0;970,391936;24,861693;5,8;1,013172;
2011-08-31;0;0;969,636559;26,586559;5,8;1,139382;
2011-09-30;3;42,6;969,046111;27,945278;5,7;1,287917;
2011-10-31;16;183,6;966,937903;25,951613;5;1,086559;
2011-11-30;21;141;967,073472;24,95125;4,4;1,015972;
2011-12-31;27;171;967,197581;24,826478;6,2;1,017608;
2012-01-31;null;null;967,968683;24,337231;6,2;1,026075;
2012-02-29;null;null;968,056609;24,931466;6;1,018966;
2012-03-31;null;null;968,541591;25,384362;5,8;,986284;
2012-04-30;null;null;968,268889;26,534167;6,2;,86;
2012-05-31;4;26,6;970,04879;25,16371;4,6;,97043;
2012-06-30;2;1,8;970,904722;25,375417;6;1,098055;
2012-07-31;0;0;970,990457;24,846774;4,8;1,296774;
2012-08-31;null;0;971,425691;26,099028;5,9;1,543241;
2012-09-30;6;13,8;969,595139;27,688472;6;1,287917;
2012-10-31;12;157;967,152016;27,697715;7;1,290457;
2012-11-30;21;392;966,79;25,201944;8,4;1,233472;
2012-12-31;14;156;967,070699;26,045699;7;1,096774;
2013-01-31;28;553,6;967,990054;24,725672;4,6;1,103091;
2013-02-28;18;402;967,969494;25,268601;6,4;,928125;
2013-03-31;20;443;968,258722;25,80977;6,8;,891556;
2013-04-30;11;67,8;969,299028;26,005;4,6;,914306;
2013-05-31;1;30;969,856048;26,256855;5,3;,846774;
2013-06-30;4;35,4;970,572058;25,633144;5,1;,79125;
2013-07-31;0;0;971,522177;25,300538;4,9;1,242608;
2013-08-31;1;,2;970,12285;26,045161;7,1;1,518414;
2013-09-30;5;30,8;968,922222;27,690972;5,6;1,526111;
2013-10-31;17;168,4;968,265054;26,604704;5;1,495968;
2013-11-30;24;226,6;966,99875;25,284445;7,8;1,139722;
2013-12-31;23;184,4;966,936962;25,263441;6,5;1,34207;
2014-01-31;16;120,8;969,028495;25,077554;7;,81586;
2014-02-28;19;232;967,940923;24,870833;5,5;,989732;
2014-03-31;21;262;968,529704;25,490054;5;1,028763;
2014-04-30;10;null;null;26,180833;7;null;
2014-05-31;3;null;null;26,156458;3,9;null;
2014-06-30;2;,6;970,877222;25,372222;4,9;,961944;
2014-07-31;1;1;972,47836;25,346505;5,9;1,121371;
2014-08-31;2;1,4;970,61707;26,897446;5,3;,974462;
2014-09-30;13;11;968,845417;27,95125;5,2;,947778;
2014-10-31;null;null;968,260618;27,695296;9,8;1,099462;
2014-11-30;null;null;967,540278;26,276389;7,5;,923611;
2014-12-31;null;null;968,143011;24,948387;5,4;,907124;
2015-01-31;null;0;969,280078;25,774147;10,2;,89148;
2015-02-28;null;null;968,978274;25,104613;4,7;1,092113;
2015-03-31;null;null;968,794086;25,165188;5,1;,82621;
2015-04-30;null;null;969,21;25,754722;5,9;,665833;
2015-05-31;null;null;970,456183;25,581855;4,5;,880645;
2015-06-30;null;null;971,930556;25,676111;5,2;1,001806;
2015-07-31;2;2,6;971,441398;25,735349;4,9;1,051479;
2015-08-31;0;0;970,189785;27,05121;5,6;1,038038;
2015-09-30;5;3,4;968,131667;29,000139;5,2;1,261667;
2015-10-31;null;null;967,90672;28,734946;6,8;1,485753;
2015-11-30;null;null;967,105;27,693889;6,9;1,143889;
2015-12-31;null;null;968,592608;27,278629;8,3;1,023118;
2016-01-31;null;null;967,827285;25,195296;4,8;1,002554;
2016-02-29;null;null;968,661913;27,127469;5,2;1,031595;
2016-03-31;19;231;969,491528;26,639028;5,3;1,025139;
2016-04-30;7;52,2;968,796111;27,590278;5,7;1,076389;
2016-05-31;1;7,6;970,61707;27,489516;4,9;1,053898;
2016-06-30;0;0;972,232083;26,103611;4,8;1,074028;
2016-07-31;0;0;971,404435;26,069893;5,5;,668414;
2016-08-31;2;null;null;27,241477;3,1;null;
2016-09-30;null;null;null;null;null;null;
2016-10-31;6;null;null;28,210809;4,5;null;
2016-11-30;19;218,6;966,946806;26,369444;4,1;,521389;
2016-12-31;23;343,8;967,950403;25,208199;5,1;,692204;
2017-01-31;23;260,8;968,399866;25,644355;5,3;,627823;
2017-02-28;21;258,6;968,37619;25,063839;4,8;,909524;
2017-03-31;24;158,8;968,503898;25,881586;5,4;,843817;
2017-04-30;13;167,2;968,919722;26,55875;4,8;,858194;
2017-05-31;4;15,6;969,689651;26,952554;3,8;,727688;
2017-06-30;null;null;971,164722;25,914861;4,6;,945278;
2017-07-31;null;0;973,688441;24,34879;5,2;1,252823;
2017-08-31;0;0;969,68078;27,533199;5,4;,970833;
2017-09-30;2;7,4;969,269583;28,785556;5,4;1,260139;
2017-10-31;9;84,6;967,220027;28,030376;6,3;1,28414;
2017-11-30;18;235,6;966,798056;26,121389;6,2;,893056;
2017-12-31;27;350,8;967,438978;25,183199;6,5;,724866;
2018-01-31;20;118,2;968,106452;25,652151;5,5;,906452;
2018-02-28;19;331,4;967,629762;25,047024;4,8;,39881;
2018-03-31;18;130;968,086425;26,105779;5,1;,925403;
2018-04-30;16;71,4;969,662639;25,850278;4,8;,73125;
2018-05-31;3;20;970,691532;25,927419;5,9;,852151;
2018-06-30;0;0;971,921528;25,432083;4,6;1,265278;
2018-07-31;0;0;971,602957;25,400806;4,9;1,20578;
2018-08-31;2;21;970,709946;27,357392;6,7;1,329704;
2018-09-30;1;null;968,315643;27,916881;6;1,328594;
2018-10-31;null;null;null;null;4;null;
2018-11-30;null;null;null;null;3;null;
2018-12-31;null;null;null;null;null;null;
2019-01-31;null;null;null;null;null;null;
2019-02-28;8;null;null;null;null;null;
2019-03-31;26;282,8;969,120813;25,678822;5;,051747;
2019-04-30;17;137,8;969,016806;26,223611;5,9;,665278;
2019-05-31;3;10;969,54664;26,954436;4,7;1,272177;
2019-06-30;0;0;972,014306;25,708056;4,6;,414167;
2019-07-31;0;0;971,800403;25,380242;0;0;
2019-08-31;null;0;971,804251;27,005217;4,5;,294722;
2019-09-30;2;11,2;968,586389;29,150972;5,5;,637222;
2019-10-31;15;196;968,067368;27,093718;6,9;1,380306;
2019-11-30;14;199;967,225694;26,618237;5,8;1,395471;
2019-12-31;19;142,2;967,660542;26,601677;4,9;,387903;
2020-01-31;20;279,6;968,112763;26,056656;4,2;1,077297;
2020-02-29;17;197,8;968,833209;25,801989;6,6;1,262219;
2020-03-31;22;242,2;968,427999;25,904581;6,1;1,080532;
2020-04-30;13;187,8;969,879167;26,375278;6;1,33;
2020-05-31;1;null;null;26,125245;4,7;null;
2020-06-30;null;null;null;null;5,4;null;
2020-07-31;null;null;null;null;4,9;null;
2020-08-31;null;null;null;null;6,1;null;
2020-09-30;null;null;null;null;5,5;null;
2020-10-31;null;null;null;null;5;null;
2020-11-30;null;null;null;null;4,7;null;
2020-12-31;null;null;null;null;4,3;null;
2021-01-31;null;null;null;null;4,2;null;
2021-02-28;null;null;null;null;6;null;
2021-03-31;null;null;null;null;3,4;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;6;null;null;26,291543;7;null;
2022-04-30;8;44;968,448339;27,070761;5,4;,821624;
2022-05-31;1;1;970,936962;25,153226;6,2;1,118145;
2022-06-30;1;,2;970,543611;25,717222;5,2;1,082222;
2022-07-31;0;0;971,113258;25,765042;5,3;,915538;
