Nome: SANTO ANTONIO DO LESTE
Codigo Estacao: A931
Latitude: -14.92777777
Longitude: -53.8836111
Altitude: 664.21
Situacao: Pane
Data Inicial: 2008-05-29
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-05-31;null;null;null;null;null;null;
2008-06-30;1;,2;940,178998;21,853481;6,4;2,357072;
2008-07-31;0;0;940,755645;22,419892;7,1;2,675134;
2008-08-31;0;0;938,182527;25,512097;9,4;3,16922;
2008-09-30;7;30,6;938,085972;25,641111;12,4;3,500972;
2008-10-31;12;66,8;937,320027;25,620833;11,3;3,088172;
2008-11-30;20;242,8;935,770513;24,189752;9,4;2,668007;
2008-12-31;21;226,4;935,193145;23,766532;8;2,908333;
2009-01-31;15;164,2;936,809163;24,363984;9,4;2,526134;
2009-02-28;21;265,8;936,635986;23,637571;9,6;2,196681;
2009-03-31;20;194,6;936,46707;24,025269;7,3;2,186828;
2009-04-30;13;185,4;938,012083;23,194306;8,1;2,117917;
2009-05-31;3;11,6;938,963172;22,764785;6,4;2,278898;
2009-06-30;4;14,6;940,451667;21,339167;7,3;2,73875;
2009-07-31;0;0;940,017742;23,084274;10,5;3,164382;
2009-08-31;4;20,8;939,077688;24,312634;8,7;3,401882;
2009-09-30;11;54;938,56625;25,055833;9,3;3,039028;
2009-10-31;17;159,8;936,175575;24,514368;13;2,568103;
2009-11-30;21;281,6;935,761806;24,405139;7,6;2,121528;
2009-12-31;24;319,8;936,478226;23,433468;8,9;2,196505;
2010-01-31;14;121,2;936,81129;23,729668;10,2;2,505584;
2010-02-28;0;0;936,771131;24,474702;8;1,910565;
2010-03-31;15;200,6;936,844893;24,657527;7,2;1,593279;
2010-04-30;5;38,2;938,163472;23,821667;7,7;1,343333;
2010-05-31;0;0;938,85;22,36707;8,5;2,175;
2010-06-30;3;12;940,862222;23,065139;7,2;1,981528;
2010-07-31;1;,8;940,406317;22,251075;10,4;3,018683;
2010-08-31;null;0;939,920773;24,078025;10;2,998617;
2010-09-30;0;0;937,025278;27,665139;11,9;3,115139;
2010-10-31;17;137;936,360753;25,941129;10,5;2,587903;
2010-11-30;26;266;935,35375;23,82125;11;2,366806;
2010-12-31;18;288,4;934,37836;23,779436;9,9;2,257796;
2011-01-31;26;305,8;935,342473;23,188844;9;1,973656;
2011-02-28;21;232,6;936,524554;23,315625;9,8;1,970238;
2011-03-31;21;309,8;935,82902;23,480367;7,5;2,236852;
2011-04-30;8;76;937,640417;24,360833;7,6;1,930972;
2011-05-31;1;,2;938,968548;22,410484;7,3;2,29422;
2011-06-30;1;6,6;939,807917;22,001528;9,4;2,449583;
2011-07-31;0;0;939,639651;23,057392;8,7;2,968952;
2011-08-31;0;0;939,117204;25,066667;9,9;3,326478;
2011-09-30;3;23,8;938,650417;26,881528;10,5;3,45875;
2011-10-31;15;119,2;935,992339;24,726479;9,5;2,92164;
2011-11-30;18;216,4;935,879444;23,93125;10,7;2,677778;
2011-12-31;26;126,4;935,921909;23,529301;10,3;2,266667;
2012-01-31;30;184,4;936,528629;22,921371;7,9;2,661694;
2012-02-29;5;null;null;23,469907;10,8;null;
2012-03-31;null;null;null;23,697538;8,5;null;
2012-04-30;null;null;null;null;6,5;null;
2012-05-31;9;null;null;22,35625;6,6;null;
2012-06-30;4;10,4;940,245972;22,55375;6,6;2,035139;
2012-07-31;0;0;940,363575;22,411962;8,1;2,588172;
2012-08-31;null;0;940,817857;24,030139;10,3;3,574213;
2012-09-30;7;55,8;938,945417;26,613333;11,6;2,661528;
2012-10-31;11;60,8;936,450941;25,849059;12,5;2,344355;
2012-11-30;24;173,6;935,515833;23,751111;12,3;1,910694;
2012-12-31;23;188,8;936,118414;24,549328;8,1;1,957393;
2013-01-31;28;232,2;936,539785;23,401478;7,1;1,549731;
2013-02-28;null;null;937,079167;23,470387;8,3;,402083;
2013-03-31;null;null;937,233056;24,204885;7,6;,239722;
2013-04-30;17;36,4;938,580417;23,034861;8,4;,120556;
2013-05-31;2;null;939,218145;23,137769;5,6;,264113;
2013-06-30;null;null;939,871237;23,327651;6,4;,149811;
2013-07-31;2;5,8;940,952957;22,167204;8,2;2,502238;
2013-08-31;0;0;939,772849;23,10914;10,5;3,476075;
2013-09-30;5;27,8;938,345972;25,56875;9,7;2,978472;
2013-10-31;19;134,2;937,492339;24,641667;7,9;2,512097;
2013-11-30;18;135,6;935,926389;24,013611;8;2,395833;
2013-12-31;26;220,2;935,564382;23,515054;9;2,175672;
2014-01-31;26;223,8;938,053495;23,099328;8,6;1,775;
2014-02-28;21;232,8;936,82128;23,17753;12,6;2,059821;
2014-03-31;24;132,8;937,480961;24,015732;9,5;1,865217;
2014-04-30;14;70,4;938,308194;23,898056;6,2;1,747222;
2014-05-31;5;36,4;939,074059;22,705242;6,6;2,200269;
2014-06-30;4;21,2;940,161944;22,679445;6,9;2,333472;
2014-07-31;4;15,8;941,756586;22,559005;9,3;2,94543;
2014-08-31;0;0;940,018683;25,225538;8;2,875538;
2014-09-30;12;93,8;938,132639;26,214028;9,9;2,358194;
2014-10-31;null;null;937,482392;26,534946;15,9;2,622581;
2014-11-30;null;null;936,479167;24,737361;9,3;2,021389;
2014-12-31;null;null;936,939247;23,447312;15,5;1,847849;
2015-01-31;null;0;938,39619;23,943706;9,3;1,82448;
2015-02-28;null;null;937,724851;23,629018;8,3;2,148512;
2015-03-31;null;null;937,673656;23,674194;7,8;1,831183;
2015-04-30;null;null;938,339583;23,782778;6,5;1,480694;
2015-05-31;null;null;939,712097;22,787903;8,2;1,931586;
2015-06-30;null;null;941,252917;22,796944;6,8;2,458056;
2015-07-31;5;7,8;940,720027;23,165323;9,4;2,552151;
2015-08-31;1;1,2;939,553898;25,332392;11,2;2,918549;
2015-09-30;5;21,4;937,604306;27,167639;11;2,611805;
2015-10-31;9;55,6;937,334274;26,732124;11,5;2,813575;
2015-11-30;16;81,4;936,344583;25,586806;9,7;2,276944;
2015-12-31;21;33,4;937,880645;25,039382;9,5;1,982124;
