Nome: ALTO TAQUARI
Codigo Estacao: A934
Latitude: -17.8411111
Longitude: -53.28944444
Altitude: 862.42
Situacao: Operante
Data Inicial: 2008-01-28
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-01-31;1;null;null;null;null;null;
2008-02-29;25;359,8;914,143247;21,915374;9,4;2,668822;
2008-03-31;21;358,8;914,129784;22,01034;8,3;2,677006;
2008-04-30;20;197,4;913,994722;22,272639;6,9;2,534861;
2008-05-31;7;9,2;916,998112;20,133176;10,7;2,819957;
2008-06-30;2;,4;917,99843;20,652886;6,4;2,600544;
2008-07-31;0;0;918,505242;21,441532;7,7;2,711694;
2008-08-31;2;9,6;916,029704;23,662097;7,6;2,930511;
2008-09-30;3;43,2;916,0975;23,492361;9,3;2,660694;
2008-10-31;18;139,6;915,192473;23,68172;0;0;
2008-11-30;13;168,6;913,187917;23,354444;,1;,000139;
2008-12-31;24;389,2;912,412097;22,66707;0;0;
2009-01-31;20;172,8;914,045027;22,641263;0;0;
2009-02-28;24;241,8;913,964259;22,712838;0;0;
2009-03-31;24;332;913,92836;22,857124;0;0;
2009-04-30;9;124,6;915,715278;22,266528;0;0;
2009-05-31;4;9,6;916,557258;21,315995;0;0;
2009-06-30;6;36,6;918,008889;19,37875;0;0;
2009-07-31;3;9,4;917,602016;21,262231;0;0;
2009-08-31;6;67,2;916,778629;22,223253;0;0;
2009-09-30;13;131,4;916,127083;23,25125;0;0;
2009-10-31;18;114;913,578305;23,223851;0;0;
2009-11-30;24;249;913,05625;23,151667;0;0;
2009-12-31;7;null;913,459409;22,239247;0;0;
2010-01-31;null;null;914,055453;23,014167;0;0;
2010-02-28;null;null;914,260223;23,617223;0;0;
2010-03-31;null;null;914,129704;23,821909;0;0;
2010-04-30;null;null;916,002222;22,781389;0;0;
2010-05-31;null;null;916,599194;19,989785;0;0;
2010-06-30;null;null;918,646667;21,050417;0;0;
2010-07-31;null;null;918,105645;20,873253;0;0;
2010-08-31;null;null;917,773074;22,79776;0;0;
2010-09-30;null;null;914,9125;25,950556;0;0;
2010-10-31;null;null;914,121774;23,719489;0;0;
2010-11-30;null;null;912,646806;22,730833;0;0;
2010-12-31;null;null;911,585081;22,633199;0;0;
2011-01-31;null;null;912,540995;22,601479;0;0;
2011-02-28;10;null;913,891423;22,416017;8,9;1,103396;
2011-03-31;25;404,8;913,004004;21,92773;10,8;2,754139;
2011-04-30;9;180,6;915,399028;22,656806;6,7;2,445278;
2011-05-31;2;38,8;916,949462;20,541263;7,1;2,739382;
2011-06-30;2;38,6;918,990741;19,435957;10,2;2,471759;
2011-07-31;1;,2;919,146505;20,726344;9;2,65578;
2011-08-31;2;3;918,762097;22,492204;9;3,25121;
2011-09-30;6;34,6;918,522639;24,404722;9,1;3,400278;
2011-10-31;21;271,8;915,402016;22,617339;13,7;3,314785;
2011-11-30;14;88,4;915,085278;22,604583;10,8;3,192917;
2011-12-31;15;185,8;914,883199;22,628629;8;2,714113;
2012-01-31;25;275,2;915,45582;21,798755;8,4;3,127507;
2012-02-29;19;151,6;916,304167;22,633333;15,1;2,616523;
2012-03-31;6;null;917,204301;22,155376;8,4;2,355511;
2012-04-30;null;null;917,145;22,346111;8,6;2,408472;
2012-05-31;2;null;919,052151;20,003226;8,9;2,633567;
2012-06-30;11;54,4;919,721528;19,732361;9,8;2,435556;
2012-07-31;2;,4;920,010618;19,452419;8,1;2,442608;
2012-08-31;null;0;920,717915;22,1125;7;2,864708;
2012-09-30;4;23,6;918,659006;24,61034;10,1;3,222179;
2012-10-31;9;null;915,936864;24,293108;12,2;3,060222;
2012-11-30;null;null;null;null;11,2;null;
2012-12-31;21;222,2;915,388889;23,349167;8,4;2,784444;
2013-01-31;26;362,2;915,472849;22,637231;9,2;2,777285;
2013-02-28;22;377,6;916,372173;22,380804;9,5;2,742857;
2013-03-31;26;262,6;916,569306;23,083764;10,9;2,530889;
2013-04-30;11;101,6;918,053472;21,572639;7,4;2,457222;
2013-05-31;3;10,8;918,703226;21,23871;8,2;2,203091;
2013-06-30;10;24,8;919,41851;20,984268;8,8;1,898674;
2013-07-31;2;10,2;920,659543;19,534409;8,4;2,646371;
2013-08-31;0;0;919,539247;20,500269;9,9;2,833602;
2013-09-30;6;72,2;918,079861;23,115139;9,5;3,048472;
2013-10-31;21;175,8;916,951613;22,886156;8,8;2,906452;
2013-11-30;14;150,8;915,124028;23,082917;8,4;2,768472;
2013-12-31;27;271,2;914,352957;22,70672;9,8;2,772715;
2014-01-31;26;197,4;917,369489;22,23629;10,7;2,250538;
2014-02-28;21;318,6;916,04256;22,496577;8,3;2,497768;
2014-03-31;20;276,2;916,774462;22,688441;9,2;2,524194;
2014-04-30;22;295,6;917,787639;22,5825;7,6;2,359167;
2014-05-31;5;22;918,680108;20,597177;7,1;1,980511;
2014-06-30;3;19,2;919,744583;20,284722;7;2,190972;
2014-07-31;5;157;921,40914;19,910618;9,5;2,404032;
2014-08-31;0;0;919,97836;22,517608;8,7;2,419355;
2014-09-30;11;134,4;917,708195;23,813194;11,3;2,618889;
2014-10-31;11;69,6;917,166129;24,496102;8;2,684677;
2014-11-30;22;246,2;915,678333;22,655833;8,6;2,573194;
2014-12-31;27;331,8;915,917876;22,48293;7,7;2,558199;
2015-01-31;20;203,2;917,738949;23,437056;11;2,32843;
2015-02-28;24;233,4;916,746726;22,722173;8,7;2,580208;
2015-03-31;26;246;916,871237;22,324059;8,5;2,260484;
2015-04-30;19;158,6;917,729306;22,746389;7,4;1,900972;
2015-05-31;12;96,8;919,179301;20,842742;7,4;2,197581;
2015-06-30;2;11,8;920,970278;20,340556;7;2,144861;
2015-07-31;4;27,4;920,194758;20,873387;10,5;2,225941;
2015-08-31;2;30,2;919,336156;22,682124;7,3;2,244355;
2015-09-30;5;61,2;917,205;24,486389;11,4;2,529722;
2015-10-31;9;47,6;916,910618;24,904032;8,9;2,572581;
2015-11-30;20;226;915,714167;23,514722;16,3;2,269167;
2015-12-31;26;365,6;917,272177;23,265726;8,9;2,208333;
2016-01-31;27;378,6;914,99086;23,040726;9,8;2,897177;
2016-02-29;17;217,8;917,463649;23,770546;9,4;2,02931;
2016-03-31;12;null;null;null;null;null;
2016-04-30;2;null;null;null;null;null;
2016-05-31;8;23,8;919,993145;21,351479;9,1;1,842473;
2016-06-30;7;null;null;19,115833;6,5;null;
2016-07-31;null;null;null;null;null;null;
2016-08-31;2;null;null;null;null;null;
2016-09-30;6;49,6;918,853472;22,935694;8,9;2,981667;
2016-10-31;16;68,2;916,57157;23,091784;11,2;2,736273;
2016-11-30;20;266,4;915,667222;22,521389;11,6;2,578889;
2016-12-31;25;353,2;916,11828;22,485215;10,1;2,304704;
2017-01-31;25;339;916,732124;22,330107;11,6;2,078226;
2017-02-28;23;155,6;916,321429;22,790476;8,4;1,979613;
2017-03-31;17;18,2;916,902285;22,91129;7,5;1,854839;
2017-04-30;9;123,8;917,808056;22,543056;6,5;2,024306;
2017-05-31;10;44,2;918,582258;22,20457;9,6;1,762769;
