Nome: PORTO ESTRELA
Codigo Estacao: A935
Latitude: -15.32472221
Longitude: -57.22583332
Altitude: 147.75
Situacao: Operante
Data Inicial: 2008-05-29
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-05-31;2;51,2;997,00831;22,935472;7,3;1,16617;
2008-06-30;11;2,2;998,155296;21,670936;4,1;,862325;
2008-07-31;1;,2;997,19422;22,929973;4,5;,815591;
2008-08-31;2;5,2;994,408602;25,601075;4,8;1,044489;
2008-09-30;3;7,2;995,274722;26,283056;5,5;1,406389;
2008-10-31;12;88,2;994,008199;27,498387;10,9;1,402285;
2008-11-30;9;170,4;991,98407;27,75936;6,1;1,223563;
2008-12-31;20;191,4;991,608625;26,425251;5,3;1,09287;
2009-01-31;16;256,6;993,352969;26,576028;5,7;,965977;
2009-02-28;19;null;992,582784;26,219252;5,7;1,076748;
2009-03-31;21;239,2;992,897272;26,3125;6,5;,910722;
2009-04-30;null;null;null;null;5,6;null;
2009-05-31;null;null;null;null;4,2;null;
2009-06-30;null;null;null;null;3,5;null;
2009-07-31;3;null;null;null;5,6;null;
2009-08-31;null;null;null;null;null;null;
2009-09-30;null;null;null;null;null;null;
2009-10-31;null;null;null;null;null;null;
2009-11-30;null;null;null;null;null;null;
2009-12-31;null;null;null;null;null;null;
2010-01-31;null;null;null;null;null;null;
2010-02-28;null;null;null;null;null;null;
2010-03-31;null;null;null;null;null;null;
2010-04-30;null;null;null;null;null;null;
2010-05-31;null;null;null;null;null;null;
2010-06-30;2;null;null;24,064583;4,6;null;
2010-07-31;1;1;998,034946;22,072581;5,3;1,292608;
2010-08-31;null;0;996,894789;23,702669;5,8;1,110592;
2010-09-30;2;6;993,133889;28,218889;8,7;1,266667;
2010-10-31;8;72;993,212097;28,270968;5,7;1,44879;
2010-11-30;13;189;992,293194;26,492639;5,4;1,328472;
2010-12-31;11;74,6;990,958737;27,073925;6;1,345564;
2011-01-31;21;274,8;991,977554;26,264247;6,1;1,193414;
2011-02-28;21;299;992,962351;26,049256;6,1;1,18125;
2011-03-31;23;494,4;992,011159;26,130725;4,8;1,06095;
2011-04-30;11;59,4;993,695694;26,829167;4,4;,803195;
2011-05-31;8;2,4;996,074059;24,014382;5;,997984;
2011-06-30;8;26,4;996,504167;23,511806;4,8;,925139;
2011-07-31;3;,6;996,251613;23,550941;5,2;1,108737;
2011-08-31;1;3;996,01828;24,93629;5,6;1,331586;
2011-09-30;5;39,4;995,0225;27,80875;5,5;1,335972;
2011-10-31;9;47,8;992,048521;27,784409;7;1,460887;
