Nome: PONTES E LACERDA
Codigo Estacao: A937
Latitude: -15.23444444
Longitude: -59.3461111
Altitude: 272.53
Situacao: Operante
Data Inicial: 2008-01-29
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-01-31;null;null;null;null;null;null;
2008-02-29;18;103,2;979,428736;25,413793;4,8;1,299425;
2008-03-31;17;291,8;979,306019;25,320988;5,6;1,049383;
2008-04-30;9;56,4;979,453194;24,139306;4,8;1,126806;
2008-05-31;7;59,4;982,702244;22,932311;6,5;1,35104;
2008-06-30;1;6,2;983,793955;21,807536;4,5;1,171347;
2008-07-31;0;0;982,600806;24,462231;4,3;1,155645;
2008-08-31;3;19;980,222312;26,599059;6;1,330376;
2008-09-30;3;6,6;981,278194;26,1875;6,7;1,689861;
2008-10-31;13;36,2;979,841801;27,00578;6,1;1,67957;
2008-11-30;13;160;977,77901;27,168635;7,7;1,324046;
2008-12-31;16;350,6;977,46828;25,94207;6;1,337231;
2009-01-31;15;176,6;979,140013;26,144156;6,5;1,204073;
2009-02-28;20;250,8;978,674229;25,488095;4,9;1,272213;
2009-03-31;25;260,6;979,123387;25,336156;7,2;1,042876;
2009-04-30;12;231,2;980,654306;25,578194;5;1,021805;
2009-05-31;14;29,4;981,478629;24,245833;5,4;1,124597;
2009-06-30;4;21,8;983,678056;22,331944;4,8;1,437639;
2009-07-31;3;34,2;982,882124;23,156989;5,1;1,23293;
2009-08-31;4;16,8;981,440726;24,935753;6,5;1,479839;
2009-09-30;6;13,4;981,269306;26,265;6,3;1,740278;
2009-10-31;8;43,8;978,010776;27,580316;7;1,476006;
2009-11-30;15;165,6;976,987917;26,941806;5,2;1,317639;
2009-12-31;22;191,6;978,347715;26,006855;6,8;1,420161;
2010-01-31;19;185,4;978,607466;25,869978;4,3;1,230291;
2010-02-28;22;355,2;978,598512;25,688542;5,7;1,153869;
2010-03-31;16;84,4;979,068414;26,739113;5,5;,999731;
2010-04-30;10;36,6;980,998889;25,583611;7,2;1,049861;
2010-05-31;6;48,8;982,414516;23,223522;5,8;1,189919;
2010-06-30;1;,6;983,455694;24,315;5;1,1025;
2010-07-31;0;0;983,476479;22,746774;4,9;1,529436;
2010-08-31;null;0;982,593255;24,433822;6,2;1,525284;
2010-09-30;2;26,6;979,186389;27,938472;6,5;1,576945;
2010-10-31;9;29,4;979,078898;27,607661;6,7;1,739382;
2010-11-30;17;149;977,762083;25,959722;6,3;1,494445;
2010-12-31;16;98,2;976,441263;26,531048;5,6;1,498253;
2011-01-31;26;462,4;977,5;24,926613;7;1,117607;
2011-02-28;22;236,4;978,661756;24,997024;4,6;,94122;
2011-03-31;12;null;null;25,31327;4,1;null;
2011-04-30;null;null;null;null;5,5;null;
2011-05-31;null;null;null;null;null;null;
2011-06-30;null;null;null;null;4,1;null;
2011-07-31;null;null;null;null;4,8;null;
2011-08-31;null;null;null;null;null;null;
2011-09-30;null;null;null;null;null;null;
2011-10-31;2;null;null;null;null;null;
2011-11-30;15;197,8;977,611806;26,902222;6,2;1,313611;
2011-12-31;13;125;978,036962;26,18172;7,6;1,055108;
2012-01-31;21;205,2;978,16828;25,704167;4,2;,201075;
2012-02-29;20;311,2;978,956466;25,142385;4,3;,130172;
2012-03-31;22;196,8;980,530242;25,023521;4,9;,251075;
2012-04-30;20;90,4;980,311944;25,168611;5;,906667;
2012-05-31;16;68,2;981,922715;24,196505;5,7;1,202957;
2012-06-30;10;49;983,076389;22,929722;4,7;,467222;
2012-07-31;0;0;983,529436;22,854436;3,6;,218683;
2012-08-31;null;0;982,957028;25,775417;2,6;,155184;
2012-09-30;5;49,4;981,028889;27,77125;5,4;1,016667;
2012-10-31;6;27;978,586828;28,13172;7,5;1,441264;
2012-11-30;16;128,4;977,657361;26,869028;7,2;1,319306;
2012-12-31;24;123,8;977,841263;26,336694;5,7;1,231183;
2013-01-31;null;null;978,781855;26,263441;5,8;1,141667;
2013-02-28;null;null;978,873363;25,51369;5;1,060119;
2013-03-31;15;102,2;979,724861;25,712356;5;,932769;
2013-04-30;17;175,4;981,362361;24,228333;3,8;,940972;
2013-05-31;7;112,6;982,123253;23,691263;4,8;1,035081;
2013-06-30;9;71;982,37702;24,22505;3,7;,843485;
2013-07-31;4;10,6;984,216585;22,655897;4,9;1,110466;
2013-08-31;0;0;983,094758;23,145833;6,4;1,384409;
2013-09-30;6;41;981,107083;25,989028;6,6;1,478194;
2013-10-31;12;87;979,85672;26,248656;6,2;1,174731;
2013-11-30;17;106,8;977,88875;26,172361;5,9;1,187222;
2013-12-31;13;108,6;977,702285;26,237231;6,5;1,260349;
2014-01-31;26;315,8;980,095027;24,95121;5,4;1,094892;
2014-02-28;26;322,2;979,149256;24,562351;5,6;,971429;
2014-03-31;24;278,4;979,598925;24,993952;5,7;,931452;
2014-04-30;18;249,8;980,920556;25,167222;5,1;,924861;
2014-05-31;14;57,8;981,919624;23,498387;6,5;1,1125;
2014-06-30;5;20,2;982,948611;23,410417;4,3;1,275556;
2014-07-31;6;13,6;984,780511;22,305645;5;1,201344;
2014-08-31;2;8,8;982,678629;25,362903;5,2;1,206989;
2014-09-30;7;105,2;980,04;27,297778;5,6;1,104028;
2014-10-31;11;106;979,666129;26,610349;8,5;,988038;
2014-11-30;14;99,8;978,427639;26,339306;5,1;1,011111;
2014-12-31;18;106,2;978,822177;25,641263;5,5;1,060484;
2015-01-31;22;199,6;980,864241;25,387944;5,8;,867853;
2015-02-28;23;235;979,829464;25,0875;5,1;,817113;
2015-03-31;17;70;979,844489;25,760753;4,9;,777823;
2015-04-30;18;65,6;980,862222;25,545;4,5;,723013;
2015-05-31;14;57,4;982,241263;24,563575;4,5;,903629;
2015-06-30;4;57;983,695139;24,036389;4,5;,914861;
2015-07-31;3;3,2;983,263306;23,685484;6,3;1,079973;
2015-08-31;1;3,6;981,0625;27,116667;5,8;,897177;
2015-09-30;2;34,8;979,540417;28,594722;5,3;1,19375;
