Nome: CACERES
Codigo Estacao: A941
Latitude: -16.07472221
Longitude: -57.69305555
Altitude: 123.53
Situacao: Fechada
Data Inicial: 2012-03-29
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2012-03-31;1;null;null;null;null;null;
2012-04-30;4;3,6;997,381944;26,709306;4,7;1,292361;
2012-05-31;5;1,2;999,39422;24,647446;3,8;1,177823;
2012-06-30;5;2,2;1000,516667;23,562361;4;1,248333;
2012-07-31;3;,6;1001,048521;22,79543;3,4;1,274194;
2012-08-31;null;0;1000,422734;26,136806;4,2;1,512596;
2012-09-30;5;57,2;998,057917;28,114722;5,1;1,480833;
2012-10-31;7;23,4;995,497446;29,235215;7,8;1,690457;
2012-11-30;2;null;null;null;6,3;null;
2012-12-31;14;202;995,020833;27,238095;6,9;1,523661;
2013-01-31;19;122,6;995,704704;27,241398;5,7;1,433736;
2013-02-28;16;159,4;996,116369;26,674107;5;1,517262;
2013-03-31;15;130,8;996,742222;27,167385;5,9;1,265833;
2013-04-30;13;77,8;998,599722;25,320972;4;1,218333;
2013-05-31;5;32,6;999,459005;24,565188;4,3;1,275941;
2013-06-30;9;44,8;999,715555;24,886452;3,2;1,128649;
2013-07-31;5;20,8;1001,700134;22,857661;3,9;1,314417;
2013-08-31;0;0;1000,599328;23,615726;5,1;1,633065;
2013-09-30;6;19,8;998,239583;27,057917;4,6;1,567083;
2013-10-31;10;147,4;996,966801;27,338172;6,1;1,440323;
2013-11-30;12;96,4;995,019306;27,290417;6,6;1,515417;
2013-12-31;22;115,8;994,592204;27,076344;6;1,53629;
2014-01-31;23;331,4;997,347715;26,601747;5,8;1,502823;
2014-02-28;21;312,6;996,268155;25,492411;5,6;1,347024;
2014-03-31;17;195,6;996,773656;26,58414;7;1,39664;
2014-04-30;13;105;998,113472;26,179444;5,4;1,257917;
2014-05-31;23;103,4;999,390726;24,008468;4,2;1,179839;
2014-06-30;2;null;1000,424861;23,998611;3,2;1,31875;
2014-07-31;9;14,8;1002,425269;22,318145;5,4;1,2;
2014-08-31;5;8,4;1000,014113;25,219758;3,3;1,260081;
2014-09-30;7;48,6;997,09125;28,467222;4,8;1,425139;
2014-10-31;8;131,4;996,594624;28,373522;5,9;1,404839;
2014-11-30;15;196,8;995,551528;27,160417;5,2;1,415278;
2014-12-31;26;123,2;995,940054;26,699731;7;1,444355;
2015-01-31;11;2,2;997,940808;26,970167;5,4;1,339551;
