Nome: CAMPINA DA LAGOA
Codigo Estacao: B803
Latitude: -24.57083332
Longitude: -52.80027777
Altitude: 598
Situacao: Operante
Data Inicial: 2016-08-03
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-08-31;11;null;947,383642;17,552623;7,4;3,148303;
2016-09-30;7;35;948,053194;19,026528;7,9;2,873194;
2016-10-31;14;213,8;944,851344;21,376344;10,1;3,679597;
2016-11-30;8;109;943,922222;22,786944;9;3,1675;
2016-12-31;20;375,2;943,526613;22,764516;9,4;3,09543;
2017-01-31;20;181,2;944,258736;23,538441;10,1;2,668817;
2017-02-28;19;301,4;944,061161;24,473363;9,7;2,915476;
2017-03-31;16;142,4;945,404704;23,369892;7,4;3,124462;
2017-04-30;11;169,6;946,639028;20,584167;8,6;2,989861;
2017-05-31;19;161,8;946,903343;21,037646;7,1;2,688692;
2017-06-30;10;196,2;949,24875;19,766945;7,1;3,028056;
2017-07-31;4;5;953,041801;18,460081;10;3,431183;
2017-08-31;11;145,2;947,533199;21,818011;9,4;3,939113;
2017-09-30;5;30,8;947,593611;25,871944;10,1;3,912639;
2017-10-31;18;394,4;944,210753;24,912634;null;null;
2017-11-30;16;205,6;942,811806;22,301806;6,9;null;
2017-12-31;16;291,6;942,501747;23,854973;7,3;3,026841;
2018-01-31;11;null;null;null;7,4;null;
2018-02-28;null;null;null;null;8,5;null;
2018-03-31;null;null;null;null;6,5;null;
2018-04-30;2;null;null;22,283359;7,3;null;
2018-05-31;null;null;null;null;7,6;null;
2018-06-30;null;null;null;null;7,6;null;
2018-07-31;null;null;null;null;8,8;null;
2018-08-31;null;null;null;null;8,7;null;
2018-09-30;null;null;null;null;8;null;
2018-10-31;5;null;null;null;7,5;null;
2018-11-30;13;156,6;943,879444;22,830833;9;3,414444;
2018-12-31;12;93;944,325941;24,686694;11,6;2,919892;
2019-01-31;18;323,2;945,586021;25,286962;8,3;3,103465;
2019-02-28;14;191;943,83378;23,974405;8,1;3,219837;
2019-03-31;13;180,6;945,930043;23,034077;8,2;2,631694;
2019-04-30;10;91;945,724692;21,976335;6,3;2,145803;
2019-05-31;16;358,2;946,712605;19,571201;7,6;2,702957;
2019-06-30;4;null;null;null;null;null;
2019-07-31;null;null;null;null;null;null;
2019-08-31;4;null;null;19,89951;9,6;null;
2019-09-30;7;78,2;946,05625;23,041667;11,6;3,711365;
2019-10-31;10;45,2;944,646505;24,888844;11,9;3,618145;
2019-11-30;9;132,2;942,990694;24,371389;8,3;3,193164;
2019-12-31;2;null;null;null;7,2;null;
2020-01-31;null;null;null;null;8,3;null;
2020-02-29;null;null;null;null;9,5;null;
2020-03-31;null;null;null;null;6,6;null;
2020-04-30;null;null;null;null;5,3;null;
2020-05-31;null;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;2;null;null;null;null;null;
2021-11-30;11;28;942,985528;24,266702;7,6;2,941614;
2021-12-31;5;51,8;941,955148;25,67431;9;2,893712;
2022-01-31;12;157;942,815576;24,765405;8,7;3,0538;
2022-02-28;6;94,4;943,525252;25,56305;7,6;3,043148;
2022-03-31;16;254,4;944,464348;23,518418;8,8;3,015165;
2022-04-30;7;null;946,132011;21,040622;9,2;2,763196;
2022-05-31;2;null;null;null;7,4;null;
2022-06-30;null;null;null;null;6,7;null;
2022-07-31;null;null;null;null;7,5;null;
2022-08-31;null;null;null;null;10,1;null;
2022-09-30;null;null;null;null;11,4;null;
2022-10-31;null;null;null;null;11,1;null;
2022-11-30;null;null;null;null;8,9;null;
2022-12-31;null;null;null;null;6,7;null;
2023-01-31;null;null;null;null;5,8;null;
2023-02-28;null;null;null;null;7,2;null;
2023-03-31;null;null;null;null;7,2;null;
2023-04-30;null;null;null;null;6,5;null;
2023-05-31;6;37,4;948,549848;19,136832;5,4;2,387644;
2023-06-30;10;76,6;949,935135;16,620062;7;2,536317;
2023-07-31;9;105,2;949,547715;17,992608;7,4;2,748522;
2023-08-31;6;116,6;946,798074;20,240376;8,4;3,22327;
2023-09-30;9;117,8;945,025694;23,331389;10,5;4,096528;
2023-10-31;5;null;null;null;null;null;

